symbol,description,exchange,listedMarket,securityType
AFBQ25C.OI.Z,AUSTRALIAN FEED BARLEY Aug 2025 Future Option Call Total Open Interest,ASXCM,ASXCM,COMBINED_FOPTION
AFBQ25C.VOL.Z,AUSTRALIAN FEED BARLEY Aug 2025 Future Option Call Total Volume,ASXCM,ASXCM,COMBINED_FOPTION
AFBQ25P.OI.Z,AUSTRALIAN FEED BARLEY Aug 2025 Future Option Put Total Open Interest,ASXCM,ASXCM,COMBINED_FOPTION
AFBQ25P.VOL.Z,AUSTRALIAN FEED BARLEY Aug 2025 Future Option Put Total Volume,ASXCM,ASXCM,COMBINED_FOPTION
AFBV25C.OI.Z,AUSTRALIAN FEED BARLEY Oct 2025 Future Option Call Total Open Interest,ASXCM,ASXCM,COMBINED_FOPTION
AFBV25C.VOL.Z,AUSTRALIAN FEED BARLEY Oct 2025 Future Option Call Total Volume,ASXCM,ASXCM,COMBINED_FOPTION
AFBV25P.OI.Z,AUSTRALIAN FEED BARLEY Oct 2025 Future Option Put Total Open Interest,ASXCM,ASXCM,COMBINED_FOPTION
AFBV25P.VOL.Z,AUSTRALIAN FEED BARLEY Oct 2025 Future Option Put Total Volume,ASXCM,ASXCM,COMBINED_FOPTION
AFBZ25C.OI.Z,AUSTRALIAN FEED BARLEY Dec 2025 Future Option Call Total Open Interest,ASXCM,ASXCM,COMBINED_FOPTION
AFBZ25C.VOL.Z,AUSTRALIAN FEED BARLEY Dec 2025 Future Option Call Total Volume,ASXCM,ASXCM,COMBINED_FOPTION
AFBZ25P.OI.Z,AUSTRALIAN FEED BARLEY Dec 2025 Future Option Put Total Open Interest,ASXCM,ASXCM,COMBINED_FOPTION
AFBZ25P.VOL.Z,AUSTRALIAN FEED BARLEY Dec 2025 Future Option Put Total Volume,ASXCM,ASXCM,COMBINED_FOPTION
AFBG26C.OI.Z,AUSTRALIAN FEED BARLEY Feb 2026 Future Option Call Total Open Interest,ASXCM,ASXCM,COMBINED_FOPTION
AFBG26C.VOL.Z,AUSTRALIAN FEED BARLEY Feb 2026 Future Option Call Total Volume,ASXCM,ASXCM,COMBINED_FOPTION
AFBG26P.OI.Z,AUSTRALIAN FEED BARLEY Feb 2026 Future Option Put Total Open Interest,ASXCM,ASXCM,COMBINED_FOPTION
AFBG26P.VOL.Z,AUSTRALIAN FEED BARLEY Feb 2026 Future Option Put Total Volume,ASXCM,ASXCM,COMBINED_FOPTION
AFBJ26C.OI.Z,AUSTRALIAN FEED BARLEY Apr 2026 Future Option Call Total Open Interest,ASXCM,ASXCM,COMBINED_FOPTION
AFBJ26C.VOL.Z,AUSTRALIAN FEED BARLEY Apr 2026 Future Option Call Total Volume,ASXCM,ASXCM,COMBINED_FOPTION
AFBJ26P.OI.Z,AUSTRALIAN FEED BARLEY Apr 2026 Future Option Put Total Open Interest,ASXCM,ASXCM,COMBINED_FOPTION
AFBJ26P.VOL.Z,AUSTRALIAN FEED BARLEY Apr 2026 Future Option Put Total Volume,ASXCM,ASXCM,COMBINED_FOPTION
BBNU25C.OI.Z,NZ 90 DAY BANK ACCEPTED BILL Sep 2025 Future Option Call Total Open Interest,ASXCM,ASXCM,COMBINED_FOPTION
BBNU25C.VOL.Z,NZ 90 DAY BANK ACCEPTED BILL Sep 2025 Future Option Call Total Volume,ASXCM,ASXCM,COMBINED_FOPTION
