symbol,description,exchange,listedMarket,securityType
AFB.OI.Z,AUSTRALIAN FEED BARLEY Future Total Open Interest,ASXCM,ASXCM,COMBINED_FUTURE
AFB.VOL.Z,AUSTRALIAN FEED BARLEY Future Total Volume,ASXCM,ASXCM,COMBINED_FUTURE
AM.OI.Z,MINI SFE SPI 200 Future Total Open Interest,ASXCM,ASXCM,COMBINED_FUTURE
AM.VOL.Z,MINI SFE SPI 200 Future Total Volume,ASXCM,ASXCM,COMBINED_FUTURE
BBN.OI.Z,NZ 90 DAY BANK ACCEPTED BILL Future Total Open Interest,ASXCM,ASXCM,COMBINED_FUTURE
BBN.VOL.Z,NZ 90 DAY BANK ACCEPTED BILL Future Total Volume,ASXCM,ASXCM,COMBINED_FUTURE
BN.OI.Z,NSW BASE LOAD ELECTRICITY Future Total Open Interest,ASXCM,ASXCM,COMBINED_FUTURE
BN.VOL.Z,NSW BASE LOAD ELECTRICITY Future Total Volume,ASXCM,ASXCM,COMBINED_FUTURE
BQ.OI.Z,QLD BASE LOAD ELECTRICITY Future Total Open Interest,ASXCM,ASXCM,COMBINED_FUTURE
BQ.VOL.Z,QLD BASE LOAD ELECTRICITY Future Total Volume,ASXCM,ASXCM,COMBINED_FUTURE
BS.OI.Z,SA BASE LOAD ELECTRICITY Future Total Open Interest,ASXCM,ASXCM,COMBINED_FUTURE
BS.VOL.Z,SA BASE LOAD ELECTRICITY Future Total Volume,ASXCM,ASXCM,COMBINED_FUTURE
BV.OI.Z,VIC BASE LOAD ELECTRICITY Future Total Open Interest,ASXCM,ASXCM,COMBINED_FUTURE
BV.VOL.Z,VIC BASE LOAD ELECTRICITY Future Total Volume,ASXCM,ASXCM,COMBINED_FUTURE
EA.OI.Z,OTAHUHU BASE LOAD ELECTRICITY Future Total Open Interest,ASXCM,ASXCM,COMBINED_FUTURE
EA.VOL.Z,OTAHUHU BASE LOAD ELECTRICITY Future Total Volume,ASXCM,ASXCM,COMBINED_FUTURE
EE.OI.Z,BENMORE BASE LOAD ELECTRICITY Future Total Open Interest,ASXCM,ASXCM,COMBINED_FUTURE
EE.VOL.Z,BENMORE BASE LOAD ELECTRICITY Future Total Volume,ASXCM,ASXCM,COMBINED_FUTURE
GX.OI.Z,VICTORIAN WHOLESALE GAS Future Total Open Interest,ASXCM,ASXCM,COMBINED_FUTURE
GX.VOL.Z,VICTORIAN WHOLESALE GAS Future Total Volume,ASXCM,ASXCM,COMBINED_FUTURE
IB.OI.Z,30 DAY INTERBANK CASH RATE Future Total Open Interest,ASXCM,ASXCM,COMBINED_FUTURE
IB.VOL.Z,30 DAY INTERBANK CASH RATE Future Total Volume,ASXCM,ASXCM,COMBINED_FUTURE
IR.OI.Z,90 DAY BANK ACCEPTED BILL Future Total Open Interest,ASXCM,ASXCM,COMBINED_FUTURE
IR.VOL.Z,90 DAY BANK ACCEPTED BILL Future Total Volume,ASXCM,ASXCM,COMBINED_FUTURE
MWA.OI.Z,EASTERN AUSTRALIA WHEAT Future Total Open Interest,ASXCM,ASXCM,COMBINED_FUTURE
MWA.VOL.Z,EASTERN AUSTRALIA WHEAT Future Total Volume,ASXCM,ASXCM,COMBINED_FUTURE
PNS.OI.Z,NSW PEAK PERIOD ELECTRICITY Future Total Open Interest,ASXCM,ASXCM,COMBINED_FUTURE
PNS.VOL.Z,NSW PEAK PERIOD ELECTRICITY Future Total Volume,ASXCM,ASXCM,COMBINED_FUTURE
PQ.OI.Z,QLD PEAK PERIOD ELECTRICITY Future Total Open Interest,ASXCM,ASXCM,COMBINED_FUTURE
PQ.VOL.Z,QLD PEAK PERIOD ELECTRICITY Future Total Volume,ASXCM,ASXCM,COMBINED_FUTURE
PS.OI.Z,SA PEAK PERIOD ELECTRICITY Future Total Open Interest,ASXCM,ASXCM,COMBINED_FUTURE
PS.VOL.Z,SA PEAK PERIOD ELECTRICITY Future Total Volume,ASXCM,ASXCM,COMBINED_FUTURE
PV.OI.Z,VIC PEAK PERIOD ELECTRICITY Future Total Open Interest,ASXCM,ASXCM,COMBINED_FUTURE
PV.VOL.Z,VIC PEAK PERIOD ELECTRICITY Future Total Volume,ASXCM,ASXCM,COMBINED_FUTURE
SPI.OI.Z,SFE SPI 200 Future Total Open Interest,ASXCM,ASXCM,COMBINED_FUTURE
SPI.VOL.Z,SFE SPI 200 Future Total Volume,ASXCM,ASXCM,COMBINED_FUTURE
XT.OI.Z,10 YR AUSTRALIAN T BOND Future Total Open Interest,ASXCM,ASXCM,COMBINED_FUTURE
XT.VOL.Z,10 YR AUSTRALIAN T BOND Future Total Volume,ASXCM,ASXCM,COMBINED_FUTURE
YT.OI.Z,3 YR AUSTRALIAN TREASURY BOND Future Total Open Interest,ASXCM,ASXCM,COMBINED_FUTURE
YT.VOL.Z,3 YR AUSTRALIAN TREASURY BOND Future Total Volume,ASXCM,ASXCM,COMBINED_FUTURE
