symbol,description,exchange,listedMarket,securityType
AFB#C,AUSTRALIAN FEED BARLEY Continuous Backadjusted,ASXCM,ASXCM,FUTURE
AFB#,AUSTRALIAN FEED BARLEY Continuous,ASXCM,ASXCM,FUTURE
AFBU25,AUSTRALIAN FEED BARLEY September 2025,ASXCM,ASXCM,FUTURE
AFBX25,AUSTRALIAN FEED BARLEY November 2025,ASXCM,ASXCM,FUTURE
AFBF26,AUSTRALIAN FEED BARLEY January 2026,ASXCM,ASXCM,FUTURE
AFBH26,AUSTRALIAN FEED BARLEY March 2026,ASXCM,ASXCM,FUTURE
AFBK26,AUSTRALIAN FEED BARLEY May 2026,ASXCM,ASXCM,FUTURE
AFBN26,AUSTRALIAN FEED BARLEY July 2026,ASXCM,ASXCM,FUTURE
AFBF27,AUSTRALIAN FEED BARLEY January 2027,ASXCM,ASXCM,FUTURE
AFBF28,AUSTRALIAN FEED BARLEY January 2028,ASXCM,ASXCM,FUTURE
AM#C,MINI SFE SPI 200 Continuous Backadjusted,ASXCM,ASXCM,FUTURE
AM#,MINI SFE SPI 200 Continuous,ASXCM,ASXCM,FUTURE
AMQ25,MINI SFE SPI 200 August 2025,ASXCM,ASXCM,FUTURE
AMU25,MINI SFE SPI 200 September 2025,ASXCM,ASXCM,FUTURE
AMV25,MINI SFE SPI 200 October 2025,ASXCM,ASXCM,FUTURE
AMZ25,MINI SFE SPI 200 December 2025,ASXCM,ASXCM,FUTURE
BBN#C,NZ 90 DAY BANK ACCEPTED BILL Continuous Backadjusted,ASXCM,ASXCM,FUTURE
BBN#,NZ 90 DAY BANK ACCEPTED BILL Continuous,ASXCM,ASXCM,FUTURE
BBNU25,NZ 90 DAY BANK ACCEPTED BILL September 2025,ASXCM,ASXCM,FUTURE
BBNZ25,NZ 90 DAY BANK ACCEPTED BILL December 2025,ASXCM,ASXCM,FUTURE
BBNH26,NZ 90 DAY BANK ACCEPTED BILL March 2026,ASXCM,ASXCM,FUTURE
BBNM26,NZ 90 DAY BANK ACCEPTED BILL June 2026,ASXCM,ASXCM,FUTURE
BBNU26,NZ 90 DAY BANK ACCEPTED BILL September 2026,ASXCM,ASXCM,FUTURE
BBNZ26,NZ 90 DAY BANK ACCEPTED BILL December 2026,ASXCM,ASXCM,FUTURE
BBNH27,NZ 90 DAY BANK ACCEPTED BILL March 2027,ASXCM,ASXCM,FUTURE
BBNM27,NZ 90 DAY BANK ACCEPTED BILL June 2027,ASXCM,ASXCM,FUTURE
BBNU27,NZ 90 DAY BANK ACCEPTED BILL September 2027,ASXCM,ASXCM,FUTURE
BBNZ27,NZ 90 DAY BANK ACCEPTED BILL December 2027,ASXCM,ASXCM,FUTURE
BBNH28,NZ 90 DAY BANK ACCEPTED BILL March 2028,ASXCM,ASXCM,FUTURE
