symbol,description,exchange,listedMarket,securityType
AFBU25-AFBX25,AUSTRALIAN FEED BARLEY Sep 25/Nov 25,ASXCM,ASXCM,SPREAD
AFBU25-AFBF26,AUSTRALIAN FEED BARLEY Sep 25/Jan 26,ASXCM,ASXCM,SPREAD
AFBU25-AFBH26,AUSTRALIAN FEED BARLEY Sep 25/Mar 26,ASXCM,ASXCM,SPREAD
AFBU25-AFBK26,AUSTRALIAN FEED BARLEY Sep 25/May 26,ASXCM,ASXCM,SPREAD
AFBU25-AFBN26,AUSTRALIAN FEED BARLEY Sep 25/Jul 26,ASXCM,ASXCM,SPREAD
AFBU25-AFBF27,AUSTRALIAN FEED BARLEY Sep 25/Jan 27,ASXCM,ASXCM,SPREAD
AFBX25-AFBF26,AUSTRALIAN FEED BARLEY Nov 25/Jan 26,ASXCM,ASXCM,SPREAD
AFBX25-AFBH26,AUSTRALIAN FEED BARLEY Nov 25/Mar 26,ASXCM,ASXCM,SPREAD
AFBX25-AFBK26,AUSTRALIAN FEED BARLEY Nov 25/May 26,ASXCM,ASXCM,SPREAD
AFBX25-AFBF27,AUSTRALIAN FEED BARLEY Nov 25/Jan 27,ASXCM,ASXCM,SPREAD
AFBF26-AFBH26,AUSTRALIAN FEED BARLEY Jan 26/Mar 26,ASXCM,ASXCM,SPREAD
AFBF26-AFBK26,AUSTRALIAN FEED BARLEY Jan 26/May 26,ASXCM,ASXCM,SPREAD
AFBF26-AFBN26,AUSTRALIAN FEED BARLEY Jan 26/Jul 26,ASXCM,ASXCM,SPREAD
AFBF26-AFBF27,AUSTRALIAN FEED BARLEY Jan 26/Jan 27,ASXCM,ASXCM,SPREAD
AFBF26-AFBF28,AUSTRALIAN FEED BARLEY Jan 26/Jan 28,ASXCM,ASXCM,SPREAD
AFBH26-AFBK26,AUSTRALIAN FEED BARLEY Mar 26/May 26,ASXCM,ASXCM,SPREAD
AFBH26-AFBN26,AUSTRALIAN FEED BARLEY Mar 26/Jul 26,ASXCM,ASXCM,SPREAD
AFBH26-AFBF27,AUSTRALIAN FEED BARLEY Mar 26/Jan 27,ASXCM,ASXCM,SPREAD
AFBH26-AFBF28,AUSTRALIAN FEED BARLEY Mar 26/Jan 28,ASXCM,ASXCM,SPREAD
AFBK26-AFBN26,AUSTRALIAN FEED BARLEY May 26/Jul 26,ASXCM,ASXCM,SPREAD
AFBK26-AFBF27,AUSTRALIAN FEED BARLEY May 26/Jan 27,ASXCM,ASXCM,SPREAD
AFBK26-AFBF28,AUSTRALIAN FEED BARLEY May 26/Jan 28,ASXCM,ASXCM,SPREAD
AFBF27-AFBF28,AUSTRALIAN FEED BARLEY Jan 27/Jan 28,ASXCM,ASXCM,SPREAD
BBNU25-BBNZ25,NZ 90 DAY BANK ACCEPTED BILL Sep 25/Dec 25,ASXCM,ASXCM,SPREAD
BBNU25-BBNH26,NZ 90 DAY BANK ACCEPTED BILL Sep 25/Mar 26,ASXCM,ASXCM,SPREAD
BBNU25-BBNM26,NZ 90 DAY BANK ACCEPTED BILL Sep 25/Jun 26,ASXCM,ASXCM,SPREAD
BBNU25-BBNU26,NZ 90 DAY BANK ACCEPTED BILL Sep 25/Sep 26,ASXCM,ASXCM,SPREAD
BBNU25-BBNZ26,NZ 90 DAY BANK ACCEPTED BILL Sep 25/Dec 26,ASXCM,ASXCM,SPREAD
BBNZ25-BBNH26,NZ 90 DAY BANK ACCEPTED BILL Dec 25/Mar 26,ASXCM,ASXCM,SPREAD
BBNZ25-BBNM26,NZ 90 DAY BANK ACCEPTED BILL Dec 25/Jun 26,ASXCM,ASXCM,SPREAD
BBNZ25-BBNU26,NZ 90 DAY BANK ACCEPTED BILL Dec 25/Sep 26,ASXCM,ASXCM,SPREAD
BBNZ25-BBNZ26,NZ 90 DAY BANK ACCEPTED BILL Dec 25/Dec 26,ASXCM,ASXCM,SPREAD
BBNH26-BBNM26,NZ 90 DAY BANK ACCEPTED BILL Mar 26/Jun 26,ASXCM,ASXCM,SPREAD
BBNH26-BBNU26,NZ 90 DAY BANK ACCEPTED BILL Mar 26/Sep 26,ASXCM,ASXCM,SPREAD
BBNH26-BBNZ26,NZ 90 DAY BANK ACCEPTED BILL Mar 26/Dec 26,ASXCM,ASXCM,SPREAD
BBNM26-BBNU26,NZ 90 DAY BANK ACCEPTED BILL Jun 26/Sep 26,ASXCM,ASXCM,SPREAD
BBNM26-BBNZ26,NZ 90 DAY BANK ACCEPTED BILL Jun 26/Dec 26,ASXCM,ASXCM,SPREAD
BBNU26-BBNZ26,NZ 90 DAY BANK ACCEPTED BILL Sep 26/Dec 26,ASXCM,ASXCM,SPREAD
BNM26-BNM27,NSW BASE LOAD ELECTRICITY Jun 26/Jun 27,ASXCM,ASXCM,SPREAD
BNZ26-BNZ27,NSW BASE LOAD ELECTRICITY Dec 26/Dec 27,ASXCM,ASXCM,SPREAD
BNM27-BNM28,NSW BASE LOAD ELECTRICITY Jun 27/Jun 28,ASXCM,ASXCM,SPREAD
BNZ27-BNZ28,NSW BASE LOAD ELECTRICITY Dec 27/Dec 28,ASXCM,ASXCM,SPREAD
BNM28-BNM29,NSW BASE LOAD ELECTRICITY Jun 28/Jun 29,ASXCM,ASXCM,SPREAD
BNZ28-BNZ29,NSW BASE LOAD ELECTRICITY Dec 28/Dec 29,ASXCM,ASXCM,SPREAD
BNM29-BNM30,NSW BASE LOAD ELECTRICITY Jun 29/Jun 30,ASXCM,ASXCM,SPREAD
BQM26-BQM27,QLD BASE LOAD ELECTRICITY Jun 26/Jun 27,ASXCM,ASXCM,SPREAD
BQZ26-BQZ27,QLD BASE LOAD ELECTRICITY Dec 26/Dec 27,ASXCM,ASXCM,SPREAD
BQM27-BQM28,QLD BASE LOAD ELECTRICITY Jun 27/Jun 28,ASXCM,ASXCM,SPREAD
BQZ27-BQZ28,QLD BASE LOAD ELECTRICITY Dec 27/Dec 28,ASXCM,ASXCM,SPREAD
BQM28-BQM29,QLD BASE LOAD ELECTRICITY Jun 28/Jun 29,ASXCM,ASXCM,SPREAD
BQZ28-BQZ29,QLD BASE LOAD ELECTRICITY Dec 28/Dec 29,ASXCM,ASXCM,SPREAD
BQM29-BQM30,QLD BASE LOAD ELECTRICITY Jun 29/Jun 30,ASXCM,ASXCM,SPREAD
BSM26-BSM27,SA BASE LOAD ELECTRICITY Jun 26/Jun 27,ASXCM,ASXCM,SPREAD
BSZ26-BSZ27,SA BASE LOAD ELECTRICITY Dec 26/Dec 27,ASXCM,ASXCM,SPREAD
BSM27-BSM28,SA BASE LOAD ELECTRICITY Jun 27/Jun 28,ASXCM,ASXCM,SPREAD
BSZ27-BSZ28,SA BASE LOAD ELECTRICITY Dec 27/Dec 28,ASXCM,ASXCM,SPREAD
BSM28-BSM29,SA BASE LOAD ELECTRICITY Jun 28/Jun 29,ASXCM,ASXCM,SPREAD
BSZ28-BSZ29,SA BASE LOAD ELECTRICITY Dec 28/Dec 29,ASXCM,ASXCM,SPREAD
BSM29-BSM30,SA BASE LOAD ELECTRICITY Jun 29/Jun 30,ASXCM,ASXCM,SPREAD
BVM26-BVM27,VIC BASE LOAD ELECTRICITY Jun 26/Jun 27,ASXCM,ASXCM,SPREAD
BVZ26-BVZ27,VIC BASE LOAD ELECTRICITY Dec 26/Dec 27,ASXCM,ASXCM,SPREAD
