symbol,description,exchange,listedMarket,securityType
BCNBA.X,"1,900 TEU Bangkokmax CV, New Building $ mil",BALTIC,BALTIC,GENERICRPT
EC23.X,"10,000mt Easy chems Middle East Gulf to China $/mt",BALTIC,BALTIC,GENERICRPT
EC22.X,"10,000mt Easy chems Middle East Gulf to West Coast India $/mt",BALTIC,BALTIC,GENERICRPT
EC34.X,"10,000mt Easy chems US Gulf to Far East $/mt",BALTIC,BALTIC,GENERICRPT
LNG1Y.X,"12 Month Time Charter, LNG Carrier $/day",BALTIC,BALTIC,GENERICRPT
BDT27.X,130K Guyana to ARA Worldscale,BALTIC,BALTIC,GENERICRPT
BDT20XS.X,130K West Africa to UK-Continent (EU ETS Exclusive) $ $/mt,BALTIC,BALTIC,GENERICRPT
BDT20XSBALMO.X,130K West Africa to UK-Continent (EU ETS Exclusive) $ $/mt,BALTIC,BALTIC,GENERICRPT
BDT20XSM0.X,130K West Africa to UK-Continent (EU ETS Exclusive) $ $/mt,BALTIC,BALTIC,GENERICRPT
BDT20XSM1.X,130K West Africa to UK-Continent (EU ETS Exclusive) $ $/mt,BALTIC,BALTIC,GENERICRPT
BDT20XSM2.X,130K West Africa to UK-Continent (EU ETS Exclusive) $ $/mt,BALTIC,BALTIC,GENERICRPT
BDT20XSM3.X,130K West Africa to UK-Continent (EU ETS Exclusive) $ $/mt,BALTIC,BALTIC,GENERICRPT
BDT20XSM4.X,130K West Africa to UK-Continent (EU ETS Exclusive) $ $/mt,BALTIC,BALTIC,GENERICRPT
BDT20XSM5.X,130K West Africa to UK-Continent (EU ETS Exclusive) $ $/mt,BALTIC,BALTIC,GENERICRPT
BDT20XSQ0.X,130K West Africa to UK-Continent (EU ETS Exclusive) $ $/mt,BALTIC,BALTIC,GENERICRPT
BDT20XSQ1.X,130K West Africa to UK-Continent (EU ETS Exclusive) $ $/mt,BALTIC,BALTIC,GENERICRPT
BDT20XSQ2.X,130K West Africa to UK-Continent (EU ETS Exclusive) $ Cur Qtr+2 $/mt,BALTIC,BALTIC,GENERICRPT
BDT20XSQ3.X,130K West Africa to UK-Continent (EU ETS Exclusive) $ Cur Qtr+3 $/mt,BALTIC,BALTIC,GENERICRPT
BDT20SBALMO.X,130K West Africa to UK-Continent $ $/mt,BALTIC,BALTIC,GENERICRPT
BDT20SM0.X,130K West Africa to UK-Continent $ $/mt,BALTIC,BALTIC,GENERICRPT
BDT20SM1.X,130K West Africa to UK-Continent $ $/mt,BALTIC,BALTIC,GENERICRPT
BDT20SM2.X,130K West Africa to UK-Continent $ $/mt,BALTIC,BALTIC,GENERICRPT
BDT20SM3.X,130K West Africa to UK-Continent $ $/mt,BALTIC,BALTIC,GENERICRPT
BDT20SM4.X,130K West Africa to UK-Continent $ $/mt,BALTIC,BALTIC,GENERICRPT
BDT20SM5.X,130K West Africa to UK-Continent $ $/mt,BALTIC,BALTIC,GENERICRPT
BDT20SQ0.X,130K West Africa to UK-Continent $ $/mt,BALTIC,BALTIC,GENERICRPT
BDT20SQ1.X,130K West Africa to UK-Continent $ $/mt,BALTIC,BALTIC,GENERICRPT
BDT20SQ2.X,130K West Africa to UK-Continent $ $/mt,BALTIC,BALTIC,GENERICRPT
BDT20SQ3.X,130K West Africa to UK-Continent $ $/mt,BALTIC,BALTIC,GENERICRPT
BDT20SQ4.X,130K West Africa to UK-Continent $ $/mt,BALTIC,BALTIC,GENERICRPT
BDT20SYR1.X,130K West Africa to UK-Continent $ $/mt,BALTIC,BALTIC,GENERICRPT
BDT20SYR2.X,130K West Africa to UK-Continent $ $/mt,BALTIC,BALTIC,GENERICRPT
BDT20SYR3.X,130K West Africa to UK-Continent $ $/mt,BALTIC,BALTIC,GENERICRPT
BDT20SQ5.X,130K West Africa to UK-Continent $ Cur Qtr+5 $/mt,BALTIC,BALTIC,GENERICRPT
BDT20Q2.X,130K West Africa to UK-Continent Cur Qtr+2 WS,BALTIC,BALTIC,GENERICRPT
BDT20Q3.X,130K West Africa to UK-Continent Cur Qtr+3 WS,BALTIC,BALTIC,GENERICRPT
