symbol,description,exchange,listedMarket,securityType
ACSI.IV.X,AMERICAN CUSTOMER SATISFACTION CORE ALPH,BATS,BATS,INDEX
ADFI.IV.X,ANFIELD DYNAMIC FIXED INCOME IOPV,BATS,BATS,INDEX
AESR.IV.X,ANFIELD US EQUITY SECTOR ROTATION IOPV,BATS,BATS,INDEX
ARKX.IV.X,ARK SPACE EXPLORATION & INNOVATION IOPV,BATS,BATS,INDEX
IZRL.IV.X,ASK ISRAEL INNOVATIVE TECHNOLOGY ETF IOP,BATS,BATS,INDEX
WUGI.IV.X,ESOTERICA NEXTG ECONOMY IOPV,BATS,BATS,INDEX
CEFS.IV.X,EXCHANGE LISTED FUNDS TRUST ETF,BATS,BATS,INDEX
GEMD.IV.X,GOLDMAN SACHS ACCESS EMERGING MARKETS US,BATS,BATS,INDEX
GSST.IV.X,GOLDMAN SACHS ACCESS ULTRA SHORT BOND IO,BATS,BATS,INDEX
GLOV.IV.X,GOLDMAN SACHS ACTIVEBETA WORLD LOW VOL I,BATS,BATS,INDEX
GSEW.IV.X,GOLDMAN SACHS EQUAL WEIGHT US LARGE CAP,BATS,BATS,INDEX
GSEE.IV.X,GOLDMAN SACHS MARKETBETA EMERGING MKTS I,BATS,BATS,INDEX
GSID.IV.X,GOLDMAN SACHS MARKETBETA INTERNATIONAL I,BATS,BATS,INDEX
GSUS.IV.X,GOLDMAN SACHS MARKETBETA US EQUITY IOPV,BATS,BATS,INDEX
OMFL.IV.X,INVESCO RUSSELL 1000 DYNAMIC MULTIFA,BATS,BATS,INDEX
OMFS.IV.X,INVESCO RUSSELL 2000 DYNAMIC MULTIFA,BATS,BATS,INDEX
JSML.IV.X,JANUS SMALL CAP GROWTH ALPHA ETF IOPV,BATS,BATS,INDEX
JSMD.IV.X,JANUS SMALL/MID CAP GROWTH ALPHA ETF IOP,BATS,BATS,INDEX
TMAT.IV.X,MAIN THEMATIC INNOVATION IOPV,BATS,BATS,INDEX
TMFC.IV.X,MOTLEY FOOL 100 INDEX ETF IOPV,BATS,BATS,INDEX
ICOW.IV.X,PACER DVLPD MKTS INTL CASH COWS 100,BATS,BATS,INDEX
ECOW.IV.X,PACER EMERGING MARKETS CASH COWS 100 IOP,BATS,BATS,INDEX
GCOW.IV.X,PACER GLOBAL CASH COWS DIVIDEND IOPV,BATS,BATS,INDEX
PSCJ.IV.X,PACER SWAN SOS CONSERVATIVE (JULY) IOPV,BATS,BATS,INDEX
PSCW.IV.X,PACER SWAN SOS CONSERVATIVE APR IOPV,BATS,BATS,INDEX
PSCX.IV.X,PACER SWAN SOS CONSERVATIVE DEC IOPV,BATS,BATS,INDEX
PSCQ.IV.X,PACER SWAN SOS CONSERVATIVE OCT ETF IOPV,BATS,BATS,INDEX
PSFM.IV.X,PACER SWAN SOS FLEX (APRIL) IOPV,BATS,BATS,INDEX
PSFJ.IV.X,PACER SWAN SOS FLEX (JULY) ETF IOPV,BATS,BATS,INDEX
PSFO.IV.X,PACER SWAN SOS FLEX (OCT) ETF IOPV,BATS,BATS,INDEX
PSFD.IV.X,PACER SWAN SOS FLEX DEC IOPV,BATS,BATS,INDEX
PSMR.IV.X,PACER SWAN SOS MODERATE (APRIL) IOPV,BATS,BATS,INDEX
PSMJ.IV.X,PACER SWAN SOS MODERATE (JULY) ETF IOPV,BATS,BATS,INDEX
PSMO.IV.X,PACER SWAN SOS MODERATE (OCT) ETF IOPV,BATS,BATS,INDEX
PSMD.IV.X,PACER SWAN SOS MODERATE DEC IOPV,BATS,BATS,INDEX
PTMC.IV.X,PACER TRENDPILOT 450  ETF IOPV,BATS,BATS,INDEX
PTEU.IV.X,PACER TRENDPILOT EUROPEAN ETF IOPV,BATS,BATS,INDEX
PTLC.IV.X,PACER TRENDPIOLT 750 ETF IOPV,BATS,BATS,INDEX
COWZ.IV.X,PACER US CASH COWS 100 ETF IOPV,BATS,BATS,INDEX
CALF.IV.X,PACER US SMALL CAP CASH COWS 100 IOPV,BATS,BATS,INDEX
AAAU.IV.X,PERTH MINT PHYSICAL GOLD ETF SHARES IV,BATS,BATS,INDEX
PWS.IV.X,PWS IOPV,BATS,BATS,INDEX
SECT.IV.X,SECTOR 5 INC IOPV,BATS,BATS,INDEX
HEGD.IV.X,SWAN HEDGED EQUITY US LARGE CAP IOPV,BATS,BATS,INDEX
PRNT.IV.X,The 3D Printing ETF IV,BATS,BATS,INDEX
TUSI.IV.X,TOUCHSTONE ULTRA SHORT INCOME IOPV,BATS,BATS,INDEX
LCF.IV.X,TOUCHSTONE US LARGE CAP FOCUSED IOPV,BATS,BATS,INDEX
