symbol,description,exchange,listedMarket,securityType
BCOMAG.X,BLOOMBERG AGRICULTURE SUBINDEX,BLOOMBERG,BLOOMBERG,INDEX
BCOMAG3.X,BLOOMBERG AGRICULTURE SUBINDEX 3 MONTH F,BLOOMBERG,BLOOMBERG,INDEX
BCOMAG3T.X,BLOOMBERG AGRICULTURE SUBINDEX 3 MONTH F,BLOOMBERG,BLOOMBERG,INDEX
BUAGDE3.X,BLOOMBERG AGRICULTURE SUBINDEX 3 MONTH F,BLOOMBERG,BLOOMBERG,INDEX
BUAGDE3T.X,BLOOMBERG AGRICULTURE SUBINDEX 3 MONTH F,BLOOMBERG,BLOOMBERG,INDEX
BUAGDF3.X,BLOOMBERG AGRICULTURE SUBINDEX 3 MONTH F,BLOOMBERG,BLOOMBERG,INDEX
BUAGDF3T.X,BLOOMBERG AGRICULTURE SUBINDEX 3 MONTH F,BLOOMBERG,BLOOMBERG,INDEX
BUAGDP3.X,BLOOMBERG AGRICULTURE SUBINDEX 3 MONTH F,BLOOMBERG,BLOOMBERG,INDEX
BUAGDP3T.X,BLOOMBERG AGRICULTURE SUBINDEX 3 MONTH F,BLOOMBERG,BLOOMBERG,INDEX
BUAGDA.X,BLOOMBERG AGRICULTURE SUBINDEX AUSTRALIA,BLOOMBERG,BLOOMBERG,INDEX
BUAGDAT.X,BLOOMBERG AGRICULTURE SUBINDEX AUSTRALIA,BLOOMBERG,BLOOMBERG,INDEX
BUAGDE.X,BLOOMBERG AGRICULTURE SUBINDEX EURO HEDG,BLOOMBERG,BLOOMBERG,INDEX
BUAGDET.X,BLOOMBERG AGRICULTURE SUBINDEX EURO HEDG,BLOOMBERG,BLOOMBERG,INDEX
BUAGDP.X,BLOOMBERG AGRICULTURE SUBINDEX POUND STE,BLOOMBERG,BLOOMBERG,INDEX
BUAGDPT.X,BLOOMBERG AGRICULTURE SUBINDEX POUND STE,BLOOMBERG,BLOOMBERG,INDEX
BUAGDF.X,BLOOMBERG AGRICULTURE SUBINDEX SWISS FRA,BLOOMBERG,BLOOMBERG,INDEX
BUAGDFT.X,BLOOMBERG AGRICULTURE SUBINDEX SWISS FRA,BLOOMBERG,BLOOMBERG,INDEX
BCOMAGTR.X,BLOOMBERG AGRICULTURE SUBINDEX TOTAL RET,BLOOMBERG,BLOOMBERG,INDEX
BCOMAL.X,BLOOMBERG ALUMINUM SUBINDEX,BLOOMBERG,BLOOMBERG,INDEX
BCOMAL3.X,BLOOMBERG ALUMINUM SUBINDEX 3 MONTH FORW,BLOOMBERG,BLOOMBERG,INDEX
BCOMAL3T.X,BLOOMBERG ALUMINUM SUBINDEX 3 MONTH FORW,BLOOMBERG,BLOOMBERG,INDEX
BCOMALC.X,BLOOMBERG ALUMINUM SUBINDEX CAPPED,BLOOMBERG,BLOOMBERG,INDEX
BUALDE.X,BLOOMBERG ALUMINUM SUBINDEX EURO HEDGED,BLOOMBERG,BLOOMBERG,INDEX
