symbol,description,exchange,listedMarket,securityType
BGIN25C.OI.Z,LIVE CATTLE Jul 2025 Future Option Call Total Open Interest,BMF,BMF,COMBINED_FOPTION
BGIN25C.VOL.Z,LIVE CATTLE Jul 2025 Future Option Call Total Volume,BMF,BMF,COMBINED_FOPTION
BGIN25P.OI.Z,LIVE CATTLE Jul 2025 Future Option Put Total Open Interest,BMF,BMF,COMBINED_FOPTION
BGIN25P.VOL.Z,LIVE CATTLE Jul 2025 Future Option Put Total Volume,BMF,BMF,COMBINED_FOPTION
BGIQ25C.OI.Z,LIVE CATTLE Aug 2025 Future Option Call Total Open Interest,BMF,BMF,COMBINED_FOPTION
BGIQ25C.VOL.Z,LIVE CATTLE Aug 2025 Future Option Call Total Volume,BMF,BMF,COMBINED_FOPTION
BGIQ25P.OI.Z,LIVE CATTLE Aug 2025 Future Option Put Total Open Interest,BMF,BMF,COMBINED_FOPTION
BGIQ25P.VOL.Z,LIVE CATTLE Aug 2025 Future Option Put Total Volume,BMF,BMF,COMBINED_FOPTION
BGIU25C.OI.Z,LIVE CATTLE Sep 2025 Future Option Call Total Open Interest,BMF,BMF,COMBINED_FOPTION
BGIU25C.VOL.Z,LIVE CATTLE Sep 2025 Future Option Call Total Volume,BMF,BMF,COMBINED_FOPTION
BGIU25P.OI.Z,LIVE CATTLE Sep 2025 Future Option Put Total Open Interest,BMF,BMF,COMBINED_FOPTION
BGIU25P.VOL.Z,LIVE CATTLE Sep 2025 Future Option Put Total Volume,BMF,BMF,COMBINED_FOPTION
BGIV25C.OI.Z,LIVE CATTLE Oct 2025 Future Option Call Total Open Interest,BMF,BMF,COMBINED_FOPTION
BGIV25C.VOL.Z,LIVE CATTLE Oct 2025 Future Option Call Total Volume,BMF,BMF,COMBINED_FOPTION
BGIV25P.OI.Z,LIVE CATTLE Oct 2025 Future Option Put Total Open Interest,BMF,BMF,COMBINED_FOPTION
BGIV25P.VOL.Z,LIVE CATTLE Oct 2025 Future Option Put Total Volume,BMF,BMF,COMBINED_FOPTION
BGIX25C.OI.Z,LIVE CATTLE Nov 2025 Future Option Call Total Open Interest,BMF,BMF,COMBINED_FOPTION
BGIX25C.VOL.Z,LIVE CATTLE Nov 2025 Future Option Call Total Volume,BMF,BMF,COMBINED_FOPTION
BGIX25P.OI.Z,LIVE CATTLE Nov 2025 Future Option Put Total Open Interest,BMF,BMF,COMBINED_FOPTION
BGIX25P.VOL.Z,LIVE CATTLE Nov 2025 Future Option Put Total Volume,BMF,BMF,COMBINED_FOPTION
BGIZ25C.OI.Z,LIVE CATTLE Dec 2025 Future Option Call Total Open Interest,BMF,BMF,COMBINED_FOPTION
BGIZ25C.VOL.Z,LIVE CATTLE Dec 2025 Future Option Call Total Volume,BMF,BMF,COMBINED_FOPTION
BGIZ25P.OI.Z,LIVE CATTLE Dec 2025 Future Option Put Total Open Interest,BMF,BMF,COMBINED_FOPTION
BGIZ25P.VOL.Z,LIVE CATTLE Dec 2025 Future Option Put Total Volume,BMF,BMF,COMBINED_FOPTION
BGIF26C.OI.Z,LIVE CATTLE Jan 2026 Future Option Call Total Open Interest,BMF,BMF,COMBINED_FOPTION
BGIF26C.VOL.Z,LIVE CATTLE Jan 2026 Future Option Call Total Volume,BMF,BMF,COMBINED_FOPTION
BGIF26P.OI.Z,LIVE CATTLE Jan 2026 Future Option Put Total Open Interest,BMF,BMF,COMBINED_FOPTION
BGIF26P.VOL.Z,LIVE CATTLE Jan 2026 Future Option Put Total Volume,BMF,BMF,COMBINED_FOPTION
CCMU25C.OI.Z,BRAZILIAN YELLOW CORN Sep 2025 Future Option Call Total Open Interest,BMF,BMF,COMBINED_FOPTION
CCMU25C.VOL.Z,BRAZILIAN YELLOW CORN Sep 2025 Future Option Call Total Volume,BMF,BMF,COMBINED_FOPTION
CCMU25P.OI.Z,BRAZILIAN YELLOW CORN Sep 2025 Future Option Put Total Open Interest,BMF,BMF,COMBINED_FOPTION
CCMU25P.VOL.Z,BRAZILIAN YELLOW CORN Sep 2025 Future Option Put Total Volume,BMF,BMF,COMBINED_FOPTION
CCMX25C.OI.Z,BRAZILIAN YELLOW CORN Nov 2025 Future Option Call Total Open Interest,BMF,BMF,COMBINED_FOPTION
CCMX25C.VOL.Z,BRAZILIAN YELLOW CORN Nov 2025 Future Option Call Total Volume,BMF,BMF,COMBINED_FOPTION
CCMX25P.OI.Z,BRAZILIAN YELLOW CORN Nov 2025 Future Option Put Total Open Interest,BMF,BMF,COMBINED_FOPTION
CCMX25P.VOL.Z,BRAZILIAN YELLOW CORN Nov 2025 Future Option Put Total Volume,BMF,BMF,COMBINED_FOPTION
CCMF26C.OI.Z,BRAZILIAN YELLOW CORN Jan 2026 Future Option Call Total Open Interest,BMF,BMF,COMBINED_FOPTION
CCMF26C.VOL.Z,BRAZILIAN YELLOW CORN Jan 2026 Future Option Call Total Volume,BMF,BMF,COMBINED_FOPTION
CCMF26P.OI.Z,BRAZILIAN YELLOW CORN Jan 2026 Future Option Put Total Open Interest,BMF,BMF,COMBINED_FOPTION
CCMF26P.VOL.Z,BRAZILIAN YELLOW CORN Jan 2026 Future Option Put Total Volume,BMF,BMF,COMBINED_FOPTION
CCMH26C.OI.Z,BRAZILIAN YELLOW CORN Mar 2026 Future Option Call Total Open Interest,BMF,BMF,COMBINED_FOPTION
