symbol,description,exchange,listedMarket,securityType
ARS.OI.Z,ARGENTINE PESO USD Future Total Open Interest,BMF,BMF,COMBINED_FUTURE
ARS.VOL.Z,ARGENTINE PESO USD Future Total Volume,BMF,BMF,COMBINED_FUTURE
AUD.OI.Z,AUSTRALIAN DOLLAR Future Total Open Interest,BMF,BMF,COMBINED_FUTURE
AUD.VOL.Z,AUSTRALIAN DOLLAR Future Total Volume,BMF,BMF,COMBINED_FUTURE
AUT.OI.Z,AUSTRALIAN DOLLAR USD Future Total Open Interest,BMF,BMF,COMBINED_FUTURE
AUT.VOL.Z,AUSTRALIAN DOLLAR USD Future Total Volume,BMF,BMF,COMBINED_FUTURE
BGI.OI.Z,LIVE CATTLE Future Total Open Interest,BMF,BMF,COMBINED_FUTURE
BGI.VOL.Z,LIVE CATTLE Future Total Volume,BMF,BMF,COMBINED_FUTURE
BIT.OI.Z,BITCOIN Future Total Open Interest,BMF,BMF,COMBINED_FUTURE
BIT.VOL.Z,BITCOIN Future Total Volume,BMF,BMF,COMBINED_FUTURE
BRI.OI.Z,BOVESPA IBRX50 INDEX Future Total Open Interest,BMF,BMF,COMBINED_FUTURE
BRI.VOL.Z,BOVESPA IBRX50 INDEX Future Total Volume,BMF,BMF,COMBINED_FUTURE
CAD.OI.Z,CANADIAN DOLLAR Future Total Open Interest,BMF,BMF,COMBINED_FUTURE
CAD.VOL.Z,CANADIAN DOLLAR Future Total Volume,BMF,BMF,COMBINED_FUTURE
CAN.OI.Z,CANADIAN DOLLAR USD Future Total Open Interest,BMF,BMF,COMBINED_FUTURE
CAN.VOL.Z,CANADIAN DOLLAR USD Future Total Volume,BMF,BMF,COMBINED_FUTURE
CCM.OI.Z,BRAZILIAN YELLOW CORN Future Total Open Interest,BMF,BMF,COMBINED_FUTURE
CCM.VOL.Z,BRAZILIAN YELLOW CORN Future Total Volume,BMF,BMF,COMBINED_FUTURE
CHF.OI.Z,SWISS FRANC Future Total Open Interest,BMF,BMF,COMBINED_FUTURE
CHF.VOL.Z,SWISS FRANC Future Total Volume,BMF,BMF,COMBINED_FUTURE
