symbol,description,exchange,listedMarket,securityType
AFSN25,SOUTH AFRICAN RAND USD July 2025,BMF,BMF,FUTURE
AFSQ25,SOUTH AFRICAN RAND USD August 2025,BMF,BMF,FUTURE
AFSU25,SOUTH AFRICAN RAND USD September 2025,BMF,BMF,FUTURE
ARBQ25,ARGENTINE PESO August 2025,BMF,BMF,FUTURE
ARS#C,ARGENTINE PESO USD Continuous Backadjusted,BMF,BMF,FUTURE
ARS#,ARGENTINE PESO USD Continuous,BMF,BMF,FUTURE
ARSQ25,ARGENTINE PESO USD August 2025,BMF,BMF,FUTURE
ARSU25,ARGENTINE PESO USD September 2025,BMF,BMF,FUTURE
ARSV25,ARGENTINE PESO USD October 2025,BMF,BMF,FUTURE
ARSX25,ARGENTINE PESO USD November 2025,BMF,BMF,FUTURE
ARSZ25,ARGENTINE PESO USD December 2025,BMF,BMF,FUTURE
AUD#C,AUSTRALIAN DOLLAR Continuous Backadjusted,BMF,BMF,FUTURE
AUD#,AUSTRALIAN DOLLAR Continuous,BMF,BMF,FUTURE
AUDQ25,AUSTRALIAN DOLLAR August 2025,BMF,BMF,FUTURE
AUDU25,AUSTRALIAN DOLLAR September 2025,BMF,BMF,FUTURE
AUDV25,AUSTRALIAN DOLLAR October 2025,BMF,BMF,FUTURE
AUDX25,AUSTRALIAN DOLLAR November 2025,BMF,BMF,FUTURE
AUDZ25,AUSTRALIAN DOLLAR December 2025,BMF,BMF,FUTURE
AUT#C,AUSTRALIAN DOLLAR USD Continuous Backadjusted,BMF,BMF,FUTURE
AUT#,AUSTRALIAN DOLLAR USD Continuous,BMF,BMF,FUTURE
AUTQ25,AUSTRALIAN DOLLAR USD August 2025,BMF,BMF,FUTURE
AUTU25,AUSTRALIAN DOLLAR USD September 2025,BMF,BMF,FUTURE
AUTV25,AUSTRALIAN DOLLAR USD October 2025,BMF,BMF,FUTURE
AUTX25,AUSTRALIAN DOLLAR USD November 2025,BMF,BMF,FUTURE
AUTZ25,AUSTRALIAN DOLLAR USD December 2025,BMF,BMF,FUTURE
BGI#C,LIVE CATTLE Continuous Backadjusted,BMF,BMF,FUTURE
BGI#,LIVE CATTLE Continuous,BMF,BMF,FUTURE
BGIN25,LIVE CATTLE July 2025,BMF,BMF,FUTURE
BGIQ25,LIVE CATTLE August 2025,BMF,BMF,FUTURE
BGIU25,LIVE CATTLE September 2025,BMF,BMF,FUTURE
BGIV25,LIVE CATTLE October 2025,BMF,BMF,FUTURE
BGIX25,LIVE CATTLE November 2025,BMF,BMF,FUTURE
BGIZ25,LIVE CATTLE December 2025,BMF,BMF,FUTURE
BGIF26,LIVE CATTLE January 2026,BMF,BMF,FUTURE
BGIG26,LIVE CATTLE February 2026,BMF,BMF,FUTURE
BGIK26,LIVE CATTLE May 2026,BMF,BMF,FUTURE
BIT#C,BITCOIN Continuous Backadjusted,BMF,BMF,FUTURE
BIT#,BITCOIN Continuous,BMF,BMF,FUTURE
BITQ25,BITCOIN August 2025,BMF,BMF,FUTURE
BITU25,BITCOIN September 2025,BMF,BMF,FUTURE
BRI#C,BOVESPA IBRX50 INDEX Continuous Backadjusted,BMF,BMF,FUTURE
BRI#,BOVESPA IBRX50 INDEX Continuous,BMF,BMF,FUTURE
BRIQ25,BOVESPA IBRX50 INDEX August 2025,BMF,BMF,FUTURE
BRIV25,BOVESPA IBRX50 INDEX October 2025,BMF,BMF,FUTURE
BRIZ25,BOVESPA IBRX50 INDEX December 2025,BMF,BMF,FUTURE
CAD#C,CANADIAN DOLLAR Continuous Backadjusted,BMF,BMF,FUTURE
CAD#,CANADIAN DOLLAR Continuous,BMF,BMF,FUTURE
CADQ25,CANADIAN DOLLAR August 2025,BMF,BMF,FUTURE
CADU25,CANADIAN DOLLAR September 2025,BMF,BMF,FUTURE
CADV25,CANADIAN DOLLAR October 2025,BMF,BMF,FUTURE
CADX25,CANADIAN DOLLAR November 2025,BMF,BMF,FUTURE
CADZ25,CANADIAN DOLLAR December 2025,BMF,BMF,FUTURE
CAN#C,CANADIAN DOLLAR USD Continuous Backadjusted,BMF,BMF,FUTURE
CAN#,CANADIAN DOLLAR USD Continuous,BMF,BMF,FUTURE
CANQ25,CANADIAN DOLLAR USD August 2025,BMF,BMF,FUTURE
CANU25,CANADIAN DOLLAR USD September 2025,BMF,BMF,FUTURE
CANV25,CANADIAN DOLLAR USD October 2025,BMF,BMF,FUTURE
CANX25,CANADIAN DOLLAR USD November 2025,BMF,BMF,FUTURE
CANZ25,CANADIAN DOLLAR USD December 2025,BMF,BMF,FUTURE
CCM#C,BRAZILIAN YELLOW CORN Continuous Backadjusted,BMF,BMF,FUTURE
CCM#,BRAZILIAN YELLOW CORN Continuous,BMF,BMF,FUTURE
CCMU25,BRAZILIAN YELLOW CORN September 2025,BMF,BMF,FUTURE
CCMX25,BRAZILIAN YELLOW CORN November 2025,BMF,BMF,FUTURE
CCMF26,BRAZILIAN YELLOW CORN January 2026,BMF,BMF,FUTURE
CCMH26,BRAZILIAN YELLOW CORN March 2026,BMF,BMF,FUTURE
CCMK26,BRAZILIAN YELLOW CORN May 2026,BMF,BMF,FUTURE
CCMN26,BRAZILIAN YELLOW CORN July 2026,BMF,BMF,FUTURE
CCMU26,BRAZILIAN YELLOW CORN September 2026,BMF,BMF,FUTURE
CCMX26,BRAZILIAN YELLOW CORN November 2026,BMF,BMF,FUTURE
CCMF27,BRAZILIAN YELLOW CORN January 2027,BMF,BMF,FUTURE
CCMK27,BRAZILIAN YELLOW CORN May 2027,BMF,BMF,FUTURE
CHF#C,SWISS FRANC Continuous Backadjusted,BMF,BMF,FUTURE
CHF#,SWISS FRANC Continuous,BMF,BMF,FUTURE
CHFQ25,SWISS FRANC August 2025,BMF,BMF,FUTURE
CHFU25,SWISS FRANC September 2025,BMF,BMF,FUTURE
CHFV25,SWISS FRANC October 2025,BMF,BMF,FUTURE
CHFX25,SWISS FRANC November 2025,BMF,BMF,FUTURE
CHFZ25,SWISS FRANC December 2025,BMF,BMF,FUTURE
CHLN25,CHILEAN PESO USD July 2025,BMF,BMF,FUTURE
CHLQ25,CHILEAN PESO USD August 2025,BMF,BMF,FUTURE
CHLU25,CHILEAN PESO USD September 2025,BMF,BMF,FUTURE
CLP#C,CHILEAN PESO Continuous Backadjusted,BMF,BMF,FUTURE
CLP#,CHILEAN PESO Continuous,BMF,BMF,FUTURE
CLPQ25,CHILEAN PESO August 2025,BMF,BMF,FUTURE
CLPU25,CHILEAN PESO September 2025,BMF,BMF,FUTURE
CLPV25,CHILEAN PESO October 2025,BMF,BMF,FUTURE
CLPX25,CHILEAN PESO November 2025,BMF,BMF,FUTURE
CLPZ25,CHILEAN PESO December 2025,BMF,BMF,FUTURE
CNHN25,CHINESE YUAN USD July 2025,BMF,BMF,FUTURE
CNHQ25,CHINESE YUAN USD August 2025,BMF,BMF,FUTURE
CNHU25,CHINESE YUAN USD September 2025,BMF,BMF,FUTURE
CNHX25,CHINESE YUAN USD November 2025,BMF,BMF,FUTURE
DDI#C,INTERBANKING DEPOSITS/USDII Continuous Backadjusted,BMF,BMF,FUTURE
DDI#,INTERBANKING DEPOSITS/USDII Continuous,BMF,BMF,FUTURE
DDIQ25,INTERBANKING DEPOSITS/USDII August 2025,BMF,BMF,FUTURE
DDIU25,INTERBANKING DEPOSITS/USDII September 2025,BMF,BMF,FUTURE
DDIV25,INTERBANKING DEPOSITS/USDII October 2025,BMF,BMF,FUTURE
DDIX25,INTERBANKING DEPOSITS/USDII November 2025,BMF,BMF,FUTURE
DDIZ25,INTERBANKING DEPOSITS/USDII December 2025,BMF,BMF,FUTURE
DDIF26,INTERBANKING DEPOSITS/USDII January 2026,BMF,BMF,FUTURE
DDIG26,INTERBANKING DEPOSITS/USDII February 2026,BMF,BMF,FUTURE
DDIH26,INTERBANKING DEPOSITS/USDII March 2026,BMF,BMF,FUTURE
DDIJ26,INTERBANKING DEPOSITS/USDII April 2026,BMF,BMF,FUTURE
