symbol,description,exchange,listedMarket,securityType
@10Y.OI.Z,MICRO 10 YEAR YIELD FUTURES Future Total Open Interest,CBOT,CBOT_GBX,COMBINED_FUTURE
@10Y.VOL.Z,MICRO 10 YEAR YIELD FUTURES Future Total Volume,CBOT,CBOT_GBX,COMBINED_FUTURE
@20U.OI.Z,30-YEAR UMBS TBA FUTURES 2.0% COUPON Future Total Open Interest,CBOT,CBOT_GBX,COMBINED_FUTURE
@20U.VOL.Z,30-YEAR UMBS TBA FUTURES 2.0% COUPON Future Total Volume,CBOT,CBOT_GBX,COMBINED_FUTURE
@25U.OI.Z,30-YEAR UMBS TBA FUTURES 2.5% COUPON Future Total Open Interest,CBOT,CBOT_GBX,COMBINED_FUTURE
@25U.VOL.Z,30-YEAR UMBS TBA FUTURES 2.5% COUPON Future Total Volume,CBOT,CBOT_GBX,COMBINED_FUTURE
@2YY.OI.Z,MICRO 2 YEAR YIELD FUTURES Future Total Open Interest,CBOT,CBOT_GBX,COMBINED_FUTURE
@2YY.VOL.Z,MICRO 2 YEAR YIELD FUTURES Future Total Volume,CBOT,CBOT_GBX,COMBINED_FUTURE
@30U.OI.Z,30-YEAR UMBS TBA FUTURES 3.0% COUPON Future Total Open Interest,CBOT,CBOT_GBX,COMBINED_FUTURE
@30U.VOL.Z,30-YEAR UMBS TBA FUTURES 3.0% COUPON Future Total Volume,CBOT,CBOT_GBX,COMBINED_FUTURE
@30Y.OI.Z,MICRO 30 YEAR YIELD FUTURES Future Total Open Interest,CBOT,CBOT_GBX,COMBINED_FUTURE
@30Y.VOL.Z,MICRO 30 YEAR YIELD FUTURES Future Total Volume,CBOT,CBOT_GBX,COMBINED_FUTURE
@35U.OI.Z,30-YEAR UMBS TBA FUTURES 3.5% COUPON Future Total Open Interest,CBOT,CBOT_GBX,COMBINED_FUTURE
@35U.VOL.Z,30-YEAR UMBS TBA FUTURES 3.5% COUPON Future Total Volume,CBOT,CBOT_GBX,COMBINED_FUTURE
@3N.OI.Z,3 YR US TREASURY NOTE Future Total Open Interest,CBOT,CBOT_GBX,COMBINED_FUTURE
@3N.VOL.Z,3 YR US TREASURY NOTE Future Total Volume,CBOT,CBOT_GBX,COMBINED_FUTURE
@40U.OI.Z,30-YEAR UMBS TBA FUTURES 4.0% COUPON Future Total Open Interest,CBOT,CBOT_GBX,COMBINED_FUTURE
@40U.VOL.Z,30-YEAR UMBS TBA FUTURES 4.0% COUPON Future Total Volume,CBOT,CBOT_GBX,COMBINED_FUTURE
@45U.OI.Z,30-YEAR UMBS TBA FUTURES 4.5% COUPON Future Total Open Interest,CBOT,CBOT_GBX,COMBINED_FUTURE
@45U.VOL.Z,30-YEAR UMBS TBA FUTURES 4.5% COUPON Future Total Volume,CBOT,CBOT_GBX,COMBINED_FUTURE
@50U.OI.Z,30-YEAR UMBS TBA FUTURES 5.0% COUPON Future Total Open Interest,CBOT,CBOT_GBX,COMBINED_FUTURE
@50U.VOL.Z,30-YEAR UMBS TBA FUTURES 5.0% COUPON Future Total Volume,CBOT,CBOT_GBX,COMBINED_FUTURE
@55U.OI.Z,30-YEAR UMBS TBA FUTURES 5.5% COUPON Future Total Open Interest,CBOT,CBOT_GBX,COMBINED_FUTURE
@55U.VOL.Z,30-YEAR UMBS TBA FUTURES 5.5% COUPON Future Total Volume,CBOT,CBOT_GBX,COMBINED_FUTURE
@5YY.OI.Z,MICRO 5 YEAR YIELD FUTURES Future Total Open Interest,CBOT,CBOT_GBX,COMBINED_FUTURE
@5YY.VOL.Z,MICRO 5 YEAR YIELD FUTURES Future Total Volume,CBOT,CBOT_GBX,COMBINED_FUTURE
@60U.OI.Z,30-YEAR UMBS TBA FUTURES 6.0% COUPON Future Total Open Interest,CBOT,CBOT_GBX,COMBINED_FUTURE
@60U.VOL.Z,30-YEAR UMBS TBA FUTURES 6.0% COUPON Future Total Volume,CBOT,CBOT_GBX,COMBINED_FUTURE
@65U.OI.Z,30-YEAR UMBS TBA FUTURES 6.5% COUPON Future Total Open Interest,CBOT,CBOT_GBX,COMBINED_FUTURE
@65U.VOL.Z,30-YEAR UMBS TBA FUTURES 6.5% COUPON Future Total Volume,CBOT,CBOT_GBX,COMBINED_FUTURE
@70U.OI.Z,30-YEAR UMBS TBA FUTURES 7.0% COUPON Future Total Open Interest,CBOT,CBOT_GBX,COMBINED_FUTURE
@70U.VOL.Z,30-YEAR UMBS TBA FUTURES 7.0% COUPON Future Total Volume,CBOT,CBOT_GBX,COMBINED_FUTURE
@ADR.OI.Z,ADJ INTEREST RATE DOW JONES TOT RET Future Total Open Interest,CBOT,CBOT_GBX,COMBINED_FUTURE
@ADR.VOL.Z,ADJ INTEREST RATE DOW JONES TOT RET Future Total Volume,CBOT,CBOT_GBX,COMBINED_FUTURE
@ADT.OI.Z,ADJUSTED INTEREST RATE TOT RET DJIA BTIC Future Total Open Interest,CBOT,CBOT_GBX,COMBINED_FUTURE
@ADT.VOL.Z,ADJUSTED INTEREST RATE TOT RET DJIA BTIC Future Total Volume,CBOT,CBOT_GBX,COMBINED_FUTURE
@AE.OI.Z,BLOOMBERG COMMODITY INDEX Future Total Open Interest,CBOT,CBOT_GBX,COMBINED_FUTURE
@AE.VOL.Z,BLOOMBERG COMMODITY INDEX Future Total Volume,CBOT,CBOT_GBX,COMBINED_FUTURE
@AUW.OI.Z,AUSTRALIAN WHEAT FOB (PLATTS) Future Total Open Interest,CBOT,CBOT_GBX,COMBINED_FUTURE
@AUW.VOL.Z,AUSTRALIAN WHEAT FOB (PLATTS) Future Total Volume,CBOT,CBOT_GBX,COMBINED_FUTURE
@AWT.OI.Z,BLOOMBERG COMMODITY INDEX BTIC Future Total Open Interest,CBOT,CBOT_GBX,COMBINED_FUTURE
@AWT.VOL.Z,BLOOMBERG COMMODITY INDEX BTIC Future Total Volume,CBOT,CBOT_GBX,COMBINED_FUTURE
@B1S.OI.Z,30 YEAR MAC SOFR SWAP Future Total Open Interest,CBOT,CBOT_GBX,COMBINED_FUTURE
@B1S.VOL.Z,30 YEAR MAC SOFR SWAP Future Total Volume,CBOT,CBOT_GBX,COMBINED_FUTURE
@BAG.OI.Z,BLOOMBERG COMMODITY AGRICULTURE SUB Future Total Open Interest,CBOT,CBOT_GBX,COMBINED_FUTURE
@BAG.VOL.Z,BLOOMBERG COMMODITY AGRICULTURE SUB Future Total Volume,CBOT,CBOT_GBX,COMBINED_FUTURE
@BAT.OI.Z,BLOOMBERG COMMODITY AGRICULTURE BTIC Future Total Open Interest,CBOT,CBOT_GBX,COMBINED_FUTURE
@BAT.VOL.Z,BLOOMBERG COMMODITY AGRICULTURE BTIC Future Total Volume,CBOT,CBOT_GBX,COMBINED_FUTURE
@BCX.OI.Z,SOYBEAN CRUSH Future Total Open Interest,CBOT,CBOT_GBX,COMBINED_FUTURE
@BCX.VOL.Z,SOYBEAN CRUSH Future Total Volume,CBOT,CBOT_GBX,COMBINED_FUTURE
@BEN.OI.Z,BLOOMBERG COMMODITY ENERGY SUB Future Total Open Interest,CBOT,CBOT_GBX,COMBINED_FUTURE
@BEN.VOL.Z,BLOOMBERG COMMODITY ENERGY SUB Future Total Volume,CBOT,CBOT_GBX,COMBINED_FUTURE
@BET.OI.Z,BLOOMBERG COMMODITY ENERGY SUB BTIC Future Total Open Interest,CBOT,CBOT_GBX,COMBINED_FUTURE
@BET.VOL.Z,BLOOMBERG COMMODITY ENERGY SUB BTIC Future Total Volume,CBOT,CBOT_GBX,COMBINED_FUTURE
@BGR.OI.Z,BLOOMBERG COMMODITY GRAINS SUB Future Total Open Interest,CBOT,CBOT_GBX,COMBINED_FUTURE
@BGR.VOL.Z,BLOOMBERG COMMODITY GRAINS SUB Future Total Volume,CBOT,CBOT_GBX,COMBINED_FUTURE
@BLI.OI.Z,BLOOMBERG COMMODITY LIVESTOCK SUB Future Total Open Interest,CBOT,CBOT_GBX,COMBINED_FUTURE
@BLI.VOL.Z,BLOOMBERG COMMODITY LIVESTOCK SUB Future Total Volume,CBOT,CBOT_GBX,COMBINED_FUTURE
@BLT.OI.Z,BLOOMBERG COMMODITY LIVESTOCK SUB BTIC Future Total Open Interest,CBOT,CBOT_GBX,COMBINED_FUTURE
@BLT.VOL.Z,BLOOMBERG COMMODITY LIVESTOCK SUB BTIC Future Total Volume,CBOT,CBOT_GBX,COMBINED_FUTURE
@BME.OI.Z,BLOOMBERG COMMODITY ALL METALS SUB Future Total Open Interest,CBOT,CBOT_GBX,COMBINED_FUTURE
@BME.VOL.Z,BLOOMBERG COMMODITY ALL METALS SUB Future Total Volume,CBOT,CBOT_GBX,COMBINED_FUTURE
@BMT.OI.Z,BLOOMBERG COMMODITY ALL METALS BTIC Future Total Open Interest,CBOT,CBOT_GBX,COMBINED_FUTURE
@BMT.VOL.Z,BLOOMBERG COMMODITY ALL METALS BTIC Future Total Volume,CBOT,CBOT_GBX,COMBINED_FUTURE
@BO.OI.Z,SOYBEAN OIL Future Total Open Interest,CBOT,CBOT_GBX,COMBINED_FUTURE
@BO.VOL.Z,SOYBEAN OIL Future Total Volume,CBOT,CBOT_GBX,COMBINED_FUTURE
@BPE.OI.Z,BLOOMBERG COMMODITY PETROLEUM SUB Future Total Open Interest,CBOT,CBOT_GBX,COMBINED_FUTURE
@BPE.VOL.Z,BLOOMBERG COMMODITY PETROLEUM SUB Future Total Volume,CBOT,CBOT_GBX,COMBINED_FUTURE
@BPR.OI.Z,BLOOMBERG COMMODITY PRECIOUS METALS SUB Future Total Open Interest,CBOT,CBOT_GBX,COMBINED_FUTURE
@BPR.VOL.Z,BLOOMBERG COMMODITY PRECIOUS METALS SUB Future Total Volume,CBOT,CBOT_GBX,COMBINED_FUTURE
@BPT.OI.Z,BLOOMBERG COMMODITY PETROLEUM SUB BTIC Future Total Open Interest,CBOT,CBOT_GBX,COMBINED_FUTURE
@BPT.VOL.Z,BLOOMBERG COMMODITY PETROLEUM SUB BTIC Future Total Volume,CBOT,CBOT_GBX,COMBINED_FUTURE
@BST.OI.Z,BLOOMBERG COMMODITY PRECIOUS METALS BTIC Future Total Open Interest,CBOT,CBOT_GBX,COMBINED_FUTURE
@BST.VOL.Z,BLOOMBERG COMMODITY PRECIOUS METALS BTIC Future Total Volume,CBOT,CBOT_GBX,COMBINED_FUTURE
@BTG.OI.Z,BLOOMBERG COMMODITY GRAINS SUB BTIC Future Total Open Interest,CBOT,CBOT_GBX,COMBINED_FUTURE
@BTG.VOL.Z,BLOOMBERG COMMODITY GRAINS SUB BTIC Future Total Volume,CBOT,CBOT_GBX,COMBINED_FUTURE
@C.OI.Z,CORN Future Total Open Interest,CBOT,CBOT_GBX,COMBINED_FUTURE
@C.VOL.Z,CORN Future Total Volume,CBOT,CBOT_GBX,COMBINED_FUTURE
@C3S.OI.Z,KC WHEAT CSO MAR-JUL SYNTHETIC Future Total Open Interest,CBOT,CBOT_GBX,COMBINED_FUTURE
@C3S.VOL.Z,KC WHEAT CSO MAR-JUL SYNTHETIC Future Total Volume,CBOT,CBOT_GBX,COMBINED_FUTURE
@CKS.OI.Z,KC WHEAT CSO JUL-DEC SYNTHETIC Future Total Open Interest,CBOT,CBOT_GBX,COMBINED_FUTURE
@CKS.VOL.Z,KC WHEAT CSO JUL-DEC SYNTHETIC Future Total Volume,CBOT,CBOT_GBX,COMBINED_FUTURE
@CVB.OI.Z,BLACK SEA WHEAT (ARGUS) Future Total Open Interest,CBOT,CBOT_GBX,COMBINED_FUTURE
@CVB.VOL.Z,BLACK SEA WHEAT (ARGUS) Future Total Volume,CBOT,CBOT_GBX,COMBINED_FUTURE
@CW1.OI.Z,CHICAGO WHEAT - EURO MILLING WHEAT SYNTH Future Total Open Interest,CBOT,CBOT_GBX,COMBINED_FUTURE
@CW1.VOL.Z,CHICAGO WHEAT - EURO MILLING WHEAT SYNTH Future Total Volume,CBOT,CBOT_GBX,COMBINED_FUTURE
@CWD.OI.Z,CHICAGO WHEAT - EUROPEAN MILLING WHEAT Future Total Open Interest,CBOT,CBOT_GBX,COMBINED_FUTURE
@CWD.VOL.Z,CHICAGO WHEAT - EUROPEAN MILLING WHEAT Future Total Volume,CBOT,CBOT_GBX,COMBINED_FUTURE
@CWR.OI.Z,CANADIAN WHEAT (PLATTS) Future Total Open Interest,CBOT,CBOT_GBX,COMBINED_FUTURE
@CWR.VOL.Z,CANADIAN WHEAT (PLATTS) Future Total Volume,CBOT,CBOT_GBX,COMBINED_FUTURE
@DFN.OI.Z,DAP FOB NOLA FUTURES Future Total Open Interest,CBOT,CBOT_GBX,COMBINED_FUTURE
@DFN.VOL.Z,DAP FOB NOLA FUTURES Future Total Volume,CBOT,CBOT_GBX,COMBINED_FUTURE
@DGS.OI.Z,BLOOMBERG COMMODITY INDEX SWAP Future Total Open Interest,CBOT,CBOT_GBX,COMBINED_FUTURE
@DGS.VOL.Z,BLOOMBERG COMMODITY INDEX SWAP Future Total Volume,CBOT,CBOT_GBX,COMBINED_FUTURE
