symbol,description,exchange,listedMarket,securityType
@HRSN25-@KWN25,HARD RED SPRING WHEAT-CBOT July 2025 / HARD RED WINTER WHEAT July 2025 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSN25-@KWU25,HARD RED SPRING WHEAT-CBOT July 2025 / HARD RED WINTER WHEAT September 2025 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSN25-@KWZ25,HARD RED SPRING WHEAT-CBOT July 2025 / HARD RED WINTER WHEAT December 2025 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSN25-@KWH26,HARD RED SPRING WHEAT-CBOT July 2025 / HARD RED WINTER WHEAT March 2026 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSN25-@KWK26,HARD RED SPRING WHEAT-CBOT July 2025 / HARD RED WINTER WHEAT May 2026 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSN25-@KWN26,HARD RED SPRING WHEAT-CBOT July 2025 / HARD RED WINTER WHEAT July 2026 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSN25-@KWU26,HARD RED SPRING WHEAT-CBOT July 2025 / HARD RED WINTER WHEAT September 2026 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSN25-@KWZ26,HARD RED SPRING WHEAT-CBOT July 2025 / HARD RED WINTER WHEAT December 2026 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSN25-@KWH27,HARD RED SPRING WHEAT-CBOT July 2025 / HARD RED WINTER WHEAT March 2027 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSN25-@KWK27,HARD RED SPRING WHEAT-CBOT July 2025 / HARD RED WINTER WHEAT May 2027 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSN25-@KWN27,HARD RED SPRING WHEAT-CBOT July 2025 / HARD RED WINTER WHEAT July 2027 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSU25-@KWN25,HARD RED SPRING WHEAT-CBOT September 2025 / HARD RED WINTER WHEAT July 2025 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSU25-@KWU25,HARD RED SPRING WHEAT-CBOT September 2025 / HARD RED WINTER WHEAT September 2025 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSU25-@KWZ25,HARD RED SPRING WHEAT-CBOT September 2025 / HARD RED WINTER WHEAT December 2025 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSU25-@KWH26,HARD RED SPRING WHEAT-CBOT September 2025 / HARD RED WINTER WHEAT March 2026 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSU25-@KWK26,HARD RED SPRING WHEAT-CBOT September 2025 / HARD RED WINTER WHEAT May 2026 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSU25-@KWN26,HARD RED SPRING WHEAT-CBOT September 2025 / HARD RED WINTER WHEAT July 2026 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSU25-@KWU26,HARD RED SPRING WHEAT-CBOT September 2025 / HARD RED WINTER WHEAT September 2026 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSU25-@KWZ26,HARD RED SPRING WHEAT-CBOT September 2025 / HARD RED WINTER WHEAT December 2026 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSU25-@KWH27,HARD RED SPRING WHEAT-CBOT September 2025 / HARD RED WINTER WHEAT March 2027 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSU25-@KWK27,HARD RED SPRING WHEAT-CBOT September 2025 / HARD RED WINTER WHEAT May 2027 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSU25-@KWN27,HARD RED SPRING WHEAT-CBOT September 2025 / HARD RED WINTER WHEAT July 2027 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSZ25-@KWN25,HARD RED SPRING WHEAT-CBOT December 2025 / HARD RED WINTER WHEAT July 2025 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSZ25-@KWU25,HARD RED SPRING WHEAT-CBOT December 2025 / HARD RED WINTER WHEAT September 2025 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSZ25-@KWZ25,HARD RED SPRING WHEAT-CBOT December 2025 / HARD RED WINTER WHEAT December 2025 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSZ25-@KWH26,HARD RED SPRING WHEAT-CBOT December 2025 / HARD RED WINTER WHEAT March 2026 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSZ25-@KWK26,HARD RED SPRING WHEAT-CBOT December 2025 / HARD RED WINTER WHEAT May 2026 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSZ25-@KWN26,HARD RED SPRING WHEAT-CBOT December 2025 / HARD RED WINTER WHEAT July 2026 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSZ25-@KWU26,HARD RED SPRING WHEAT-CBOT December 2025 / HARD RED WINTER WHEAT September 2026 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSZ25-@KWZ26,HARD RED SPRING WHEAT-CBOT December 2025 / HARD RED WINTER WHEAT December 2026 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSZ25-@KWH27,HARD RED SPRING WHEAT-CBOT December 2025 / HARD RED WINTER WHEAT March 2027 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSZ25-@KWK27,HARD RED SPRING WHEAT-CBOT December 2025 / HARD RED WINTER WHEAT May 2027 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSZ25-@KWN27,HARD RED SPRING WHEAT-CBOT December 2025 / HARD RED WINTER WHEAT July 2027 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSH26-@KWN25,HARD RED SPRING WHEAT-CBOT March 2026 / HARD RED WINTER WHEAT July 2025 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSH26-@KWU25,HARD RED SPRING WHEAT-CBOT March 2026 / HARD RED WINTER WHEAT September 2025 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSH26-@KWZ25,HARD RED SPRING WHEAT-CBOT March 2026 / HARD RED WINTER WHEAT December 2025 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSH26-@KWH26,HARD RED SPRING WHEAT-CBOT March 2026 / HARD RED WINTER WHEAT March 2026 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSH26-@KWK26,HARD RED SPRING WHEAT-CBOT March 2026 / HARD RED WINTER WHEAT May 2026 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSH26-@KWN26,HARD RED SPRING WHEAT-CBOT March 2026 / HARD RED WINTER WHEAT July 2026 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSH26-@KWU26,HARD RED SPRING WHEAT-CBOT March 2026 / HARD RED WINTER WHEAT September 2026 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSH26-@KWZ26,HARD RED SPRING WHEAT-CBOT March 2026 / HARD RED WINTER WHEAT December 2026 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSH26-@KWH27,HARD RED SPRING WHEAT-CBOT March 2026 / HARD RED WINTER WHEAT March 2027 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSH26-@KWK27,HARD RED SPRING WHEAT-CBOT March 2026 / HARD RED WINTER WHEAT May 2027 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSH26-@KWN27,HARD RED SPRING WHEAT-CBOT March 2026 / HARD RED WINTER WHEAT July 2027 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSK26-@KWN25,HARD RED SPRING WHEAT-CBOT May 2026 / HARD RED WINTER WHEAT July 2025 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSK26-@KWU25,HARD RED SPRING WHEAT-CBOT May 2026 / HARD RED WINTER WHEAT September 2025 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSK26-@KWZ25,HARD RED SPRING WHEAT-CBOT May 2026 / HARD RED WINTER WHEAT December 2025 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSK26-@KWH26,HARD RED SPRING WHEAT-CBOT May 2026 / HARD RED WINTER WHEAT March 2026 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSK26-@KWK26,HARD RED SPRING WHEAT-CBOT May 2026 / HARD RED WINTER WHEAT May 2026 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSK26-@KWN26,HARD RED SPRING WHEAT-CBOT May 2026 / HARD RED WINTER WHEAT July 2026 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSK26-@KWU26,HARD RED SPRING WHEAT-CBOT May 2026 / HARD RED WINTER WHEAT September 2026 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSK26-@KWZ26,HARD RED SPRING WHEAT-CBOT May 2026 / HARD RED WINTER WHEAT December 2026 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSK26-@KWH27,HARD RED SPRING WHEAT-CBOT May 2026 / HARD RED WINTER WHEAT March 2027 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSK26-@KWK27,HARD RED SPRING WHEAT-CBOT May 2026 / HARD RED WINTER WHEAT May 2027 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSK26-@KWN27,HARD RED SPRING WHEAT-CBOT May 2026 / HARD RED WINTER WHEAT July 2027 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSN26-@KWN25,HARD RED SPRING WHEAT-CBOT July 2026 / HARD RED WINTER WHEAT July 2025 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSN26-@KWU25,HARD RED SPRING WHEAT-CBOT July 2026 / HARD RED WINTER WHEAT September 2025 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSN26-@KWZ25,HARD RED SPRING WHEAT-CBOT July 2026 / HARD RED WINTER WHEAT December 2025 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSN26-@KWH26,HARD RED SPRING WHEAT-CBOT July 2026 / HARD RED WINTER WHEAT March 2026 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSN26-@KWK26,HARD RED SPRING WHEAT-CBOT July 2026 / HARD RED WINTER WHEAT May 2026 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSN26-@KWN26,HARD RED SPRING WHEAT-CBOT July 2026 / HARD RED WINTER WHEAT July 2026 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSN26-@KWU26,HARD RED SPRING WHEAT-CBOT July 2026 / HARD RED WINTER WHEAT September 2026 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSN26-@KWZ26,HARD RED SPRING WHEAT-CBOT July 2026 / HARD RED WINTER WHEAT December 2026 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSN26-@KWH27,HARD RED SPRING WHEAT-CBOT July 2026 / HARD RED WINTER WHEAT March 2027 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSN26-@KWK27,HARD RED SPRING WHEAT-CBOT July 2026 / HARD RED WINTER WHEAT May 2027 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSN26-@KWN27,HARD RED SPRING WHEAT-CBOT July 2026 / HARD RED WINTER WHEAT July 2027 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSU26-@KWN25,HARD RED SPRING WHEAT-CBOT September 2026 / HARD RED WINTER WHEAT July 2025 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSU26-@KWU25,HARD RED SPRING WHEAT-CBOT September 2026 / HARD RED WINTER WHEAT September 2025 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSU26-@KWZ25,HARD RED SPRING WHEAT-CBOT September 2026 / HARD RED WINTER WHEAT December 2025 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSU26-@KWH26,HARD RED SPRING WHEAT-CBOT September 2026 / HARD RED WINTER WHEAT March 2026 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSU26-@KWK26,HARD RED SPRING WHEAT-CBOT September 2026 / HARD RED WINTER WHEAT May 2026 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSU26-@KWN26,HARD RED SPRING WHEAT-CBOT September 2026 / HARD RED WINTER WHEAT July 2026 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSU26-@KWU26,HARD RED SPRING WHEAT-CBOT September 2026 / HARD RED WINTER WHEAT September 2026 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSU26-@KWZ26,HARD RED SPRING WHEAT-CBOT September 2026 / HARD RED WINTER WHEAT December 2026 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSU26-@KWH27,HARD RED SPRING WHEAT-CBOT September 2026 / HARD RED WINTER WHEAT March 2027 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSU26-@KWK27,HARD RED SPRING WHEAT-CBOT September 2026 / HARD RED WINTER WHEAT May 2027 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSU26-@KWN27,HARD RED SPRING WHEAT-CBOT September 2026 / HARD RED WINTER WHEAT July 2027 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSN25-@WN25,HARD RED SPRING WHEAT-CBOT July 2025 / WHEAT July 2025 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSN25-@WU25,HARD RED SPRING WHEAT-CBOT July 2025 / WHEAT September 2025 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSN25-@WZ25,HARD RED SPRING WHEAT-CBOT July 2025 / WHEAT December 2025 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSN25-@WH26,HARD RED SPRING WHEAT-CBOT July 2025 / WHEAT March 2026 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSN25-@WK26,HARD RED SPRING WHEAT-CBOT July 2025 / WHEAT May 2026 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSN25-@WN26,HARD RED SPRING WHEAT-CBOT July 2025 / WHEAT July 2026 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSN25-@WU26,HARD RED SPRING WHEAT-CBOT July 2025 / WHEAT September 2026 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSN25-@WZ26,HARD RED SPRING WHEAT-CBOT July 2025 / WHEAT December 2026 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSN25-@WH27,HARD RED SPRING WHEAT-CBOT July 2025 / WHEAT March 2027 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSN25-@WK27,HARD RED SPRING WHEAT-CBOT July 2025 / WHEAT May 2027 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSN25-@WN27,HARD RED SPRING WHEAT-CBOT July 2025 / WHEAT July 2027 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSU25-@WN25,HARD RED SPRING WHEAT-CBOT September 2025 / WHEAT July 2025 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSU25-@WU25,HARD RED SPRING WHEAT-CBOT September 2025 / WHEAT September 2025 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSU25-@WZ25,HARD RED SPRING WHEAT-CBOT September 2025 / WHEAT December 2025 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSU25-@WH26,HARD RED SPRING WHEAT-CBOT September 2025 / WHEAT March 2026 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSU25-@WK26,HARD RED SPRING WHEAT-CBOT September 2025 / WHEAT May 2026 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
@HRSU25-@WN26,HARD RED SPRING WHEAT-CBOT September 2025 / WHEAT July 2026 IC SPREAD,CBOT,CBOT_GBX,ICSPREAD
