symbol,description,exchange,listedMarket,securityType
Z3NF.X,@3NU25 - 4 PM NYC FIXING,CBOT,CBOT,INDEX
ZFF.X,@FVZ25 - 4 PM NYC FIXING,CBOT,CBOT,INDEX
RXF.X,@RXU25 - 4 PM NYC FIXING,CBOT,CBOT,INDEX
TNF.X,@TNZ25 - 4 PM NYC FIXING,CBOT,CBOT,INDEX
ZTF.X,@TUU25 - 4 PM NYC FIXING,CBOT,CBOT,INDEX
ZNF.X,@TYZ25 - 4 PM NYC FIXING,CBOT,CBOT,INDEX
UBF.X,@UBU25 - 4 PM NYC FIXING,CBOT,CBOT,INDEX
ZBF.X,@USZ25 - 4 PM NYC FIXING,CBOT,CBOT,INDEX
YMF.X,@YMU25 - 4 PM NYC FIXING,CBOT,CBOT,INDEX
YML4F.X,@YMU25 - 4:30 PM LON FIXING,CBOT,CBOT,INDEX
