symbol,description,exchange,listedMarket,securityType
@IBH.OI.Z,IBOXX HIGH YIELD CORPORATE BOND INDEX Future Total Open Interest,CFE,CFE,COMBINED_FUTURE
@IBH.VOL.Z,IBOXX HIGH YIELD CORPORATE BOND INDEX Future Total Volume,CFE,CFE,COMBINED_FUTURE
@IBI.OI.Z,IBOXX INVESTMENT GRADE CORP BOND INDEX Future Total Open Interest,CFE,CFE,COMBINED_FUTURE
@IBI.VOL.Z,IBOXX INVESTMENT GRADE CORP BOND INDEX Future Total Volume,CFE,CFE,COMBINED_FUTURE
@IEM.OI.Z,IBOXX $ EMERGING MARKET BOND INDEX Future Total Open Interest,CFE,CFE,COMBINED_FUTURE
@IEM.VOL.Z,IBOXX $ EMERGING MARKET BOND INDEX Future Total Volume,CFE,CFE,COMBINED_FUTURE
@VA.OI.Z,S&P 500 VARIANCE FUTURES Future Total Open Interest,CFE,CFE,COMBINED_FUTURE
@VA.VOL.Z,S&P 500 VARIANCE FUTURES Future Total Volume,CFE,CFE,COMBINED_FUTURE
@VMT.OI.Z,MINI CBOE VOLATILITY INDEX TAS Future Total Open Interest,CFE,CFE,COMBINED_FUTURE
@VMT.VOL.Z,MINI CBOE VOLATILITY INDEX TAS Future Total Volume,CFE,CFE,COMBINED_FUTURE
@VX.OI.Z,CBOE VOLATILITY INDEX Future Total Open Interest,CFE,CFE,COMBINED_FUTURE
@VX.VOL.Z,CBOE VOLATILITY INDEX Future Total Volume,CFE,CFE,COMBINED_FUTURE
@VX1.OI.Z,VIX WEEKLYS WEEK 1 Future Total Open Interest,CFE,CFE,COMBINED_FUTURE
@VX1.VOL.Z,VIX WEEKLYS WEEK 1 Future Total Volume,CFE,CFE,COMBINED_FUTURE
@VX2.OI.Z,VIX WEEKLYS WEEK 2 Future Total Open Interest,CFE,CFE,COMBINED_FUTURE
@VX2.VOL.Z,VIX WEEKLYS WEEK 2 Future Total Volume,CFE,CFE,COMBINED_FUTURE
@VX4.OI.Z,VIX WEEKLYS WEEK 4 Future Total Open Interest,CFE,CFE,COMBINED_FUTURE
@VX4.VOL.Z,VIX WEEKLYS WEEK 4 Future Total Volume,CFE,CFE,COMBINED_FUTURE
@VX5.OI.Z,VIX WEEKLYS WEEK 5 Future Total Open Interest,CFE,CFE,COMBINED_FUTURE
@VX5.VOL.Z,VIX WEEKLYS WEEK 5 Future Total Volume,CFE,CFE,COMBINED_FUTURE
@VXM.OI.Z,MINI CBOE VOLATILITY INDEX Future Total Open Interest,CFE,CFE,COMBINED_FUTURE
@VXM.VOL.Z,MINI CBOE VOLATILITY INDEX Future Total Volume,CFE,CFE,COMBINED_FUTURE
@XBT.OI.Z,CBOE FTSE BITCOIN FUTURES Future Total Open Interest,CFE,CFE,COMBINED_FUTURE
@XBT.VOL.Z,CBOE FTSE BITCOIN FUTURES Future Total Volume,CFE,CFE,COMBINED_FUTURE
@XVT.OI.Z,CBOE VOLATILITY INDEX TAS Future Total Open Interest,CFE,CFE,COMBINED_FUTURE
@XVT.VOL.Z,CBOE VOLATILITY INDEX TAS Future Total Volume,CFE,CFE,COMBINED_FUTURE
