symbol,description,exchange,listedMarket,securityType
CC_N1_AL,COMBINED 10 YEAR USD INTEREST RATE SWAP CBOT ASSET LONG,CFTC,CFTC,GENERICRPT
CC_N1_AN,COMBINED 10 YEAR USD INTEREST RATE SWAP CBOT ASSET NET,CFTC,CFTC,GENERICRPT
CC_N1_AS,COMBINED 10 YEAR USD INTEREST RATE SWAP CBOT ASSET SHORT,CFTC,CFTC,GENERICRPT
CC_N1_AD,COMBINED 10 YEAR USD INTEREST RATE SWAP CBOT ASSET SPREAD,CFTC,CFTC,GENERICRPT
CC_N1_CL,COMBINED 10 YEAR USD INTEREST RATE SWAP CBOT COMMERCIAL LONG,CFTC,CFTC,GENERICRPT
CC_N1_CN,COMBINED 10 YEAR USD INTEREST RATE SWAP CBOT COMMERCIAL NET,CFTC,CFTC,GENERICRPT
CC_N1_CS,COMBINED 10 YEAR USD INTEREST RATE SWAP CBOT COMMERCIAL SHORT,CFTC,CFTC,GENERICRPT
CC_N1_DL,COMBINED 10 YEAR USD INTEREST RATE SWAP CBOT DEALER LONG,CFTC,CFTC,GENERICRPT
CC_N1_DN,COMBINED 10 YEAR USD INTEREST RATE SWAP CBOT DEALER NET,CFTC,CFTC,GENERICRPT
CC_N1_DS,COMBINED 10 YEAR USD INTEREST RATE SWAP CBOT DEALER SHORT,CFTC,CFTC,GENERICRPT
CC_N1_DD,COMBINED 10 YEAR USD INTEREST RATE SWAP CBOT DEALER SPREAD,CFTC,CFTC,GENERICRPT
CC_N1_LL,COMBINED 10 YEAR USD INTEREST RATE SWAP CBOT LEVERAGED LONG,CFTC,CFTC,GENERICRPT
CC_N1_LN,COMBINED 10 YEAR USD INTEREST RATE SWAP CBOT LEVERAGED NET,CFTC,CFTC,GENERICRPT
CC_N1_LS,COMBINED 10 YEAR USD INTEREST RATE SWAP CBOT LEVERAGED SHORT,CFTC,CFTC,GENERICRPT
CC_N1_LD,COMBINED 10 YEAR USD INTEREST RATE SWAP CBOT LEVERAGED SPREAD,CFTC,CFTC,GENERICRPT
CC_N1_NL,COMBINED 10 YEAR USD INTEREST RATE SWAP CBOT NONCOMMERCIAL LONG,CFTC,CFTC,GENERICRPT
CC_N1_NN,COMBINED 10 YEAR USD INTEREST RATE SWAP CBOT NONCOMMERCIAL NET,CFTC,CFTC,GENERICRPT
CC_N1_NS,COMBINED 10 YEAR USD INTEREST RATE SWAP CBOT NONCOMMERCIAL SHORT,CFTC,CFTC,GENERICRPT
CC_N1_ND,COMBINED 10 YEAR USD INTEREST RATE SWAP CBOT NONCOMMERCIAL SPREAD,CFTC,CFTC,GENERICRPT
CC_N1_RL,COMBINED 10 YEAR USD INTEREST RATE SWAP CBOT NONREPORT LONG,CFTC,CFTC,GENERICRPT
CC_N1_RN,COMBINED 10 YEAR USD INTEREST RATE SWAP CBOT NONREPORT NET,CFTC,CFTC,GENERICRPT
CC_N1_RS,COMBINED 10 YEAR USD INTEREST RATE SWAP CBOT NONREPORT SHORT,CFTC,CFTC,GENERICRPT
CC_N1_OI,COMBINED 10 YEAR USD INTEREST RATE SWAP CBOT OPEN INTEREST,CFTC,CFTC,GENERICRPT
CC_N1_OL,COMBINED 10 YEAR USD INTEREST RATE SWAP CBOT OTHER LONG,CFTC,CFTC,GENERICRPT
CC_N1_ON,COMBINED 10 YEAR USD INTEREST RATE SWAP CBOT OTHER NET,CFTC,CFTC,GENERICRPT
CC_N1_OS,COMBINED 10 YEAR USD INTEREST RATE SWAP CBOT OTHER SHORT,CFTC,CFTC,GENERICRPT
CC_N1_OD,COMBINED 10 YEAR USD INTEREST RATE SWAP CBOT OTHER SPREAD,CFTC,CFTC,GENERICRPT
CC_N1_TL,COMBINED 10 YEAR USD INTEREST RATE SWAP CBOT TOTAL LONG,CFTC,CFTC,GENERICRPT
CC_N1_TN,COMBINED 10 YEAR USD INTEREST RATE SWAP CBOT TOTAL NET,CFTC,CFTC,GENERICRPT
CC_N1_TS,COMBINED 10 YEAR USD INTEREST RATE SWAP CBOT TOTAL SHORT,CFTC,CFTC,GENERICRPT
CC_TY_AL,COMBINED 10 YR US TREASURY NOTE CBOT ASSET LONG,CFTC,CFTC,GENERICRPT
CC_TY_AN,COMBINED 10 YR US TREASURY NOTE CBOT ASSET NET,CFTC,CFTC,GENERICRPT
CC_TY_AS,COMBINED 10 YR US TREASURY NOTE CBOT ASSET SHORT,CFTC,CFTC,GENERICRPT
CC_TY_AD,COMBINED 10 YR US TREASURY NOTE CBOT ASSET SPREAD,CFTC,CFTC,GENERICRPT
CC_TY_CL,COMBINED 10 YR US TREASURY NOTE CBOT COMMERCIAL LONG,CFTC,CFTC,GENERICRPT
CC_TY_CN,COMBINED 10 YR US TREASURY NOTE CBOT COMMERCIAL NET,CFTC,CFTC,GENERICRPT
CC_TY_CS,COMBINED 10 YR US TREASURY NOTE CBOT COMMERCIAL SHORT,CFTC,CFTC,GENERICRPT
CC_TY_DL,COMBINED 10 YR US TREASURY NOTE CBOT DEALER LONG,CFTC,CFTC,GENERICRPT
CC_TY_DN,COMBINED 10 YR US TREASURY NOTE CBOT DEALER NET,CFTC,CFTC,GENERICRPT
CC_TY_DS,COMBINED 10 YR US TREASURY NOTE CBOT DEALER SHORT,CFTC,CFTC,GENERICRPT
CC_TY_DD,COMBINED 10 YR US TREASURY NOTE CBOT DEALER SPREAD,CFTC,CFTC,GENERICRPT
CC_TY_LL,COMBINED 10 YR US TREASURY NOTE CBOT LEVERAGED LONG,CFTC,CFTC,GENERICRPT
CC_TY_LN,COMBINED 10 YR US TREASURY NOTE CBOT LEVERAGED NET,CFTC,CFTC,GENERICRPT
CC_TY_LS,COMBINED 10 YR US TREASURY NOTE CBOT LEVERAGED SHORT,CFTC,CFTC,GENERICRPT
CC_TY_LD,COMBINED 10 YR US TREASURY NOTE CBOT LEVERAGED SPREAD,CFTC,CFTC,GENERICRPT
CC_TY_NL,COMBINED 10 YR US TREASURY NOTE CBOT NONCOMMERCIAL LONG,CFTC,CFTC,GENERICRPT
CC_TY_NN,COMBINED 10 YR US TREASURY NOTE CBOT NONCOMMERCIAL NET,CFTC,CFTC,GENERICRPT
CC_TY_NS,COMBINED 10 YR US TREASURY NOTE CBOT NONCOMMERCIAL SHORT,CFTC,CFTC,GENERICRPT
CC_TY_ND,COMBINED 10 YR US TREASURY NOTE CBOT NONCOMMERCIAL SPREAD,CFTC,CFTC,GENERICRPT
CC_TY_RL,COMBINED 10 YR US TREASURY NOTE CBOT NONREPORT LONG,CFTC,CFTC,GENERICRPT
CC_TY_RN,COMBINED 10 YR US TREASURY NOTE CBOT NONREPORT NET,CFTC,CFTC,GENERICRPT
CC_TY_RS,COMBINED 10 YR US TREASURY NOTE CBOT NONREPORT SHORT,CFTC,CFTC,GENERICRPT
CC_TY_OI,COMBINED 10 YR US TREASURY NOTE CBOT OPEN INTEREST,CFTC,CFTC,GENERICRPT
CC_TY_OL,COMBINED 10 YR US TREASURY NOTE CBOT OTHER LONG,CFTC,CFTC,GENERICRPT
CC_TY_ON,COMBINED 10 YR US TREASURY NOTE CBOT OTHER NET,CFTC,CFTC,GENERICRPT
CC_TY_OS,COMBINED 10 YR US TREASURY NOTE CBOT OTHER SHORT,CFTC,CFTC,GENERICRPT
CC_TY_OD,COMBINED 10 YR US TREASURY NOTE CBOT OTHER SPREAD,CFTC,CFTC,GENERICRPT
CC_TY_TL,COMBINED 10 YR US TREASURY NOTE CBOT TOTAL LONG,CFTC,CFTC,GENERICRPT
CC_TY_TN,COMBINED 10 YR US TREASURY NOTE CBOT TOTAL NET,CFTC,CFTC,GENERICRPT
CC_TY_TS,COMBINED 10 YR US TREASURY NOTE CBOT TOTAL SHORT,CFTC,CFTC,GENERICRPT
