symbol,description,exchange,listedMarket,securityType
SPUST5TR.X,&P 5-YEAR U.S. TREASURY NOTE FUTURES TR,CME-FL,CME-FL,INDEX
BKADR.X,BNY MELLON ADR INDEX,CME-FL,CME-FL,INDEX
BKADRT.X,BNY MELLON ADR TOTAL RETURN INDEX,CME-FL,CME-FL,INDEX
BKDAF.X,BNY MELLON AFRICA DR INDEX,CME-FL,CME-FL,INDEX
BKDAFT.X,BNY MELLON AFRICA DR TOTAL RETURN INDEX,CME-FL,CME-FL,INDEX
BKGAF.X,BNY MELLON AFRICA GDR INDEX,CME-FL,CME-FL,INDEX
BKGAFT.X,BNY MELLON AFRICA GDR TOTAL RETURN INDEX,CME-FL,CME-FL,INDEX
BKAR.X,BNY MELLON ARGENTINA ADR INDEX,CME-FL,CME-FL,INDEX
BKART.X,BNY MELLON ARGENTINA ADR TOTAL RETURN IN,CME-FL,CME-FL,INDEX
BKTAS.X,BNY MELLON ASIA 50 ADR INDEX,CME-FL,CME-FL,INDEX
BKTAST.X,BNY MELLON ASIA 50 ADR TOTAL RETURN INDE,CME-FL,CME-FL,INDEX
BKAS.X,BNY MELLON ASIA ADR INDEX,CME-FL,CME-FL,INDEX
BKAST.X,BNY MELLON ASIA ADR TOTAL RETURN INDEX,CME-FL,CME-FL,INDEX
BKCAS.X,BNY MELLON ASIA CLASSIC ADR INDEX,CME-FL,CME-FL,INDEX
BKCAST.X,BNY MELLON ASIA CLASSIC ADR TOTAL RETURN,CME-FL,CME-FL,INDEX
BKDAS.X,BNY MELLON ASIA DR INDEX,CME-FL,CME-FL,INDEX
BKDAST.X,BNY MELLON ASIA DR TOTAL RETURN INDEX,CME-FL,CME-FL,INDEX
BKGAS.X,BNY MELLON ASIA GDR INDEX,CME-FL,CME-FL,INDEX
BKGAST.X,BNY MELLON ASIA GDR TOTAL RETURN INDEX,CME-FL,CME-FL,INDEX
BKDEA.X,BNY MELLON ASIA/PACIFIC EMERGING DR INDE,CME-FL,CME-FL,INDEX
BKDEATR.X,BNY MELLON ASIA/PACIFIC EMERGING DR TOTA,CME-FL,CME-FL,INDEX
BKAU.X,BNY MELLON AUSTRALIA ADR INDEX,CME-FL,CME-FL,INDEX
