symbol,description,exchange,listedMarket,securityType
@1D0.OI.Z,HDD - LONDON Q1 SEASONAL STRIP Future Total Open Interest,CME,CME_GBX,COMBINED_FUTURE
@1D0.VOL.Z,HDD - LONDON Q1 SEASONAL STRIP Future Total Volume,CME,CME_GBX,COMBINED_FUTURE
@1D1.OI.Z,HDD - PARIS Q1 SEASONAL STRIP Future Total Open Interest,CME,CME_GBX,COMBINED_FUTURE
@1D1.VOL.Z,HDD - PARIS Q1 SEASONAL STRIP Future Total Volume,CME,CME_GBX,COMBINED_FUTURE
@1D2.OI.Z,HDD - AMSTERDAM Q1 SEASONAL STRIP Future Total Open Interest,CME,CME_GBX,COMBINED_FUTURE
@1D2.VOL.Z,HDD - AMSTERDAM Q1 SEASONAL STRIP Future Total Volume,CME,CME_GBX,COMBINED_FUTURE
@1D4.OI.Z,HDD - ESSEN Q1 SEASONAL STRIP Future Total Open Interest,CME,CME_GBX,COMBINED_FUTURE
@1D4.VOL.Z,HDD - ESSEN Q1 SEASONAL STRIP Future Total Volume,CME,CME_GBX,COMBINED_FUTURE
@1G6.OI.Z,HDD - TOKYO Q1 SEASONAL STRIP Future Total Open Interest,CME,CME_GBX,COMBINED_FUTURE
@1G6.VOL.Z,HDD - TOKYO Q1 SEASONAL STRIP Future Total Volume,CME,CME_GBX,COMBINED_FUTURE
@1H0.OI.Z,HDD - LAS VEGAS Q1 SEASONAL STRIP Future Total Open Interest,CME,CME_GBX,COMBINED_FUTURE
@1H0.VOL.Z,HDD - LAS VEGAS Q1 SEASONAL STRIP Future Total Volume,CME,CME_GBX,COMBINED_FUTURE
@1H1.OI.Z,HDD - ATLANTA Q1 SEASONAL STRIP Future Total Open Interest,CME,CME_GBX,COMBINED_FUTURE
@1H1.VOL.Z,HDD - ATLANTA Q1 SEASONAL STRIP Future Total Volume,CME,CME_GBX,COMBINED_FUTURE
@1H2.OI.Z,HDD - CHICAGO Q1 SEASONAL STRIP Future Total Open Interest,CME,CME_GBX,COMBINED_FUTURE
@1H2.VOL.Z,HDD - CHICAGO Q1 SEASONAL STRIP Future Total Volume,CME,CME_GBX,COMBINED_FUTURE
@1H3.OI.Z,HDD - CINCINNATI Q1 SEASONAL STRIP Future Total Open Interest,CME,CME_GBX,COMBINED_FUTURE
@1H3.VOL.Z,HDD - CINCINNATI Q1 SEASONAL STRIP Future Total Volume,CME,CME_GBX,COMBINED_FUTURE
@1H4.OI.Z,HDD - NEW YORK Q1 SEASONAL STRIP Future Total Open Interest,CME,CME_GBX,COMBINED_FUTURE
