symbol,description,exchange,listedMarket,securityType
@1D0#C,HDD - LONDON Q1 SEASONAL STRIP Continuous Backadjusted,CME,CME_GBX,FUTURE
@1D0#,HDD - LONDON Q1 SEASONAL STRIP Continuous,CME,CME_GBX,FUTURE
@1D0H26,HDD - LONDON Q1 SEASONAL STRIP March 2026,CME,CME_GBX,FUTURE
@1D1#C,HDD - PARIS Q1 SEASONAL STRIP Continuous Backadjusted,CME,CME_GBX,FUTURE
@1D1#,HDD - PARIS Q1 SEASONAL STRIP Continuous,CME,CME_GBX,FUTURE
@1D1H26,HDD - PARIS Q1 SEASONAL STRIP March 2026,CME,CME_GBX,FUTURE
@1D2#C,HDD - AMSTERDAM Q1 SEASONAL STRIP Continuous Backadjusted,CME,CME_GBX,FUTURE
@1D2#,HDD - AMSTERDAM Q1 SEASONAL STRIP Continuous,CME,CME_GBX,FUTURE
@1D2H26,HDD - AMSTERDAM Q1 SEASONAL STRIP March 2026,CME,CME_GBX,FUTURE
@1D4#C,HDD - ESSEN Q1 SEASONAL STRIP Continuous Backadjusted,CME,CME_GBX,FUTURE
@1D4#,HDD - ESSEN Q1 SEASONAL STRIP Continuous,CME,CME_GBX,FUTURE
@1D4H26,HDD - ESSEN Q1 SEASONAL STRIP March 2026,CME,CME_GBX,FUTURE
@1G6#C,HDD - TOKYO Q1 SEASONAL STRIP Continuous Backadjusted,CME,CME_GBX,FUTURE
@1G6#,HDD - TOKYO Q1 SEASONAL STRIP Continuous,CME,CME_GBX,FUTURE
@1G6H26,HDD - TOKYO Q1 SEASONAL STRIP March 2026,CME,CME_GBX,FUTURE
@1H0#C,HDD - LAS VEGAS Q1 SEASONAL STRIP Continuous Backadjusted,CME,CME_GBX,FUTURE
@1H0#,HDD - LAS VEGAS Q1 SEASONAL STRIP Continuous,CME,CME_GBX,FUTURE
@1H0H26,HDD - LAS VEGAS Q1 SEASONAL STRIP March 2026,CME,CME_GBX,FUTURE
@1H1#C,HDD - ATLANTA Q1 SEASONAL STRIP Continuous Backadjusted,CME,CME_GBX,FUTURE
@1H1#,HDD - ATLANTA Q1 SEASONAL STRIP Continuous,CME,CME_GBX,FUTURE
@1H1H26,HDD - ATLANTA Q1 SEASONAL STRIP March 2026,CME,CME_GBX,FUTURE
@1H2#C,HDD - CHICAGO Q1 SEASONAL STRIP Continuous Backadjusted,CME,CME_GBX,FUTURE
@1H2#,HDD - CHICAGO Q1 SEASONAL STRIP Continuous,CME,CME_GBX,FUTURE
@1H2H26,HDD - CHICAGO Q1 SEASONAL STRIP March 2026,CME,CME_GBX,FUTURE
@1H3#C,HDD - CINCINNATI Q1 SEASONAL STRIP Continuous Backadjusted,CME,CME_GBX,FUTURE
@1H3#,HDD - CINCINNATI Q1 SEASONAL STRIP Continuous,CME,CME_GBX,FUTURE
@1H3H26,HDD - CINCINNATI Q1 SEASONAL STRIP March 2026,CME,CME_GBX,FUTURE
@1H4#C,HDD - NEW YORK Q1 SEASONAL STRIP Continuous Backadjusted,CME,CME_GBX,FUTURE
@1H4#,HDD - NEW YORK Q1 SEASONAL STRIP Continuous,CME,CME_GBX,FUTURE
@1H4H26,HDD - NEW YORK Q1 SEASONAL STRIP March 2026,CME,CME_GBX,FUTURE
@1H5#C,HDD - DALLAS Q1 SEASONAL STRIP Continuous Backadjusted,CME,CME_GBX,FUTURE
@1H5#,HDD - DALLAS Q1 SEASONAL STRIP Continuous,CME,CME_GBX,FUTURE
@1H5H26,HDD - DALLAS Q1 SEASONAL STRIP March 2026,CME,CME_GBX,FUTURE
@1H6#C,HDD - PHILADELPHIA Q1 SEASONAL STRIP Continuous Backadjusted,CME,CME_GBX,FUTURE
@1H6#,HDD - PHILADELPHIA Q1 SEASONAL STRIP Continuous,CME,CME_GBX,FUTURE
@1H6H26,HDD - PHILADELPHIA Q1 SEASONAL STRIP March 2026,CME,CME_GBX,FUTURE
@1H7#C,HDD - PORTLAND Q1 SEASONAL STRIP Continuous Backadjusted,CME,CME_GBX,FUTURE
@1H7#,HDD - PORTLAND Q1 SEASONAL STRIP Continuous,CME,CME_GBX,FUTURE
@1H7H26,HDD - PORTLAND Q1 SEASONAL STRIP March 2026,CME,CME_GBX,FUTURE
@1HQ#C,HDD - MINNEAPOLIS Q1 SEASONAL STRIP Continuous Backadjusted,CME,CME_GBX,FUTURE
@1HQ#,HDD - MINNEAPOLIS Q1 SEASONAL STRIP Continuous,CME,CME_GBX,FUTURE
@1HQH26,HDD - MINNEAPOLIS Q1 SEASONAL STRIP March 2026,CME,CME_GBX,FUTURE
@1HR#C,HDD - HOUSTON Q1 SEASONAL STRIP Continuous Backadjusted,CME,CME_GBX,FUTURE
@1HR#,HDD - HOUSTON Q1 SEASONAL STRIP Continuous,CME,CME_GBX,FUTURE
@1HRH26,HDD - HOUSTON Q1 SEASONAL STRIP March 2026,CME,CME_GBX,FUTURE
@1HS#C,HDD - SACRAMENTO Q1 SEASONAL STRIP Continuous Backadjusted,CME,CME_GBX,FUTURE
@1HS#,HDD - SACRAMENTO Q1 SEASONAL STRIP Continuous,CME,CME_GBX,FUTURE
@1HSH26,HDD - SACRAMENTO Q1 SEASONAL STRIP March 2026,CME,CME_GBX,FUTURE
@1HW#C,HDD - BOSTON Q1 SEASONAL STRIP Continuous Backadjusted,CME,CME_GBX,FUTURE
@1HW#,HDD - BOSTON Q1 SEASONAL STRIP Continuous,CME,CME_GBX,FUTURE
@1HWH26,HDD - BOSTON Q1 SEASONAL STRIP March 2026,CME,CME_GBX,FUTURE
@1LP#C,HDD - BURBANK Q1 SEASONAL STRIP Continuous Backadjusted,CME,CME_GBX,FUTURE
@1LP#,HDD - BURBANK Q1 SEASONAL STRIP Continuous,CME,CME_GBX,FUTURE
