symbol,description,exchange,listedMarket,securityType
@BLKN25-@CSCN25,BLOCK CHEESE July 2025 / CHEESE - CASH SETTLED July 2025 IC SPREAD,CME,CME_GBX,ICSPREAD
@BLKN25-@CSCQ25,BLOCK CHEESE July 2025 / CHEESE - CASH SETTLED August 2025 IC SPREAD,CME,CME_GBX,ICSPREAD
@BLKN25-@CSCU25,BLOCK CHEESE July 2025 / CHEESE - CASH SETTLED September 2025 IC SPREAD,CME,CME_GBX,ICSPREAD
@BLKQ25-@CSCQ25,BLOCK CHEESE August 2025 / CHEESE - CASH SETTLED August 2025 IC SPREAD,CME,CME_GBX,ICSPREAD
@BLKQ25-@CSCU25,BLOCK CHEESE August 2025 / CHEESE - CASH SETTLED September 2025 IC SPREAD,CME,CME_GBX,ICSPREAD
@BLKU25-@CSCU25,BLOCK CHEESE September 2025 / CHEESE - CASH SETTLED September 2025 IC SPREAD,CME,CME_GBX,ICSPREAD
@BLKV25-@CSCV25,BLOCK CHEESE October 2025 / CHEESE - CASH SETTLED October 2025 IC SPREAD,CME,CME_GBX,ICSPREAD
@BLKX25-@CSCX25,BLOCK CHEESE November 2025 / CHEESE - CASH SETTLED November 2025 IC SPREAD,CME,CME_GBX,ICSPREAD
@BLKZ25-@CSCZ25,BLOCK CHEESE December 2025 / CHEESE - CASH SETTLED December 2025 IC SPREAD,CME,CME_GBX,ICSPREAD
@BLKN25-@DAN25,BLOCK CHEESE July 2025 / MILK CLASS III July 2025 IC SPREAD,CME,CME_GBX,ICSPREAD
@BLKN25-@DAQ25,BLOCK CHEESE July 2025 / MILK CLASS III August 2025 IC SPREAD,CME,CME_GBX,ICSPREAD
@BLKN25-@DAU25,BLOCK CHEESE July 2025 / MILK CLASS III September 2025 IC SPREAD,CME,CME_GBX,ICSPREAD
@BLKQ25-@DAQ25,BLOCK CHEESE August 2025 / MILK CLASS III August 2025 IC SPREAD,CME,CME_GBX,ICSPREAD
@BLKQ25-@DAU25,BLOCK CHEESE August 2025 / MILK CLASS III September 2025 IC SPREAD,CME,CME_GBX,ICSPREAD
@BLKU25-@DAU25,BLOCK CHEESE September 2025 / MILK CLASS III September 2025 IC SPREAD,CME,CME_GBX,ICSPREAD
@BLKV25-@DAV25,BLOCK CHEESE October 2025 / MILK CLASS III October 2025 IC SPREAD,CME,CME_GBX,ICSPREAD
@BLKX25-@DAX25,BLOCK CHEESE November 2025 / MILK CLASS III November 2025 IC SPREAD,CME,CME_GBX,ICSPREAD
@BLKZ25-@DAZ25,BLOCK CHEESE December 2025 / MILK CLASS III December 2025 IC SPREAD,CME,CME_GBX,ICSPREAD
@CSCN25-@DAN25,CHEESE - CASH SETTLED July 2025 / MILK CLASS III July 2025 IC SPREAD,CME,CME_GBX,ICSPREAD
