symbol,description,exchange,listedMarket,securityType
6AF.X,@ADU25 -  FIXING,CME,CME,INDEX
ZAD.X,@ADU25 - 11 AM CHI FIXING,CME,CME,INDEX
6A$.X,@ADU25 - 2 PM CHI FIXING,CME,CME,INDEX
ZAU.X,@ADU25 - 3 PM CHI FIXING,CME,CME,INDEX
ZYA.X,@ADU25 - 9 AM CHI FIXING,CME,CME,INDEX
AFRL4F.X,@AFRU25 - 4:30 PM LON FIXING,CME,CME,INDEX
BIOF.X,@BIOU25 - 4 PM NYC FIXING,CME,CME,INDEX
6BF.X,@BPU25 -  FIXING,CME,CME,INDEX
ZGB.X,@BPU25 - 11 AM CHI FIXING,CME,CME,INDEX
6B$.X,@BPU25 - 2 PM CHI FIXING,CME,CME,INDEX
ZBP.X,@BPU25 - 3 PM CHI FIXING,CME,CME,INDEX
YB.X,@BPU25 - 9 AM CHI FIXING,CME,CME,INDEX
BTCL3F.X,@BTCN25 - 4 PM LON FIXING,CME,CME,INDEX
BTEL3F.X,@BTEN25 - 4 PM LON FIXING,CME,CME,INDEX
6CF.X,@CDU25 -  FIXING,CME,CME,INDEX
ZCD.X,@CDU25 - 11 AM CHI FIXING,CME,CME,INDEX
6C$.X,@CDU25 - 2 PM CHI FIXING,CME,CME,INDEX
ZCA.X,@CDU25 - 3 PM CHI FIXING,CME,CME,INDEX
YD.X,@CDU25 - 9 AM CHI FIXING,CME,CME,INDEX
ZCZ.X,@CKOU25 -  FIXING,CME,CME,INDEX
CZKC2F.X,@CKOU25 - 9 AM CHI FIXING,CME,CME,INDEX
CNHF.X,@CNHU25 -  FIXING,CME,CME,INDEX
CNHTF.X,@CNHU25 - 3PM TOK FIXING,CME,CME,INDEX
DVF.X,@DVEU25 - 4:30 PM LON FIXING,CME,CME,INDEX
E3GL4F.X,@E3GU25 - 4:30 PM LON FIXING,CME,CME,INDEX
ZKE.X,@ECZU25 - 9 AM CHI FIXING,CME,CME,INDEX
EHFC2F.X,@EHUU25 - 9 AM CHI FIXING,CME,CME,INDEX
EIF.X,@EIU25 - 4 PM NYC FIXING,CME,CME,INDEX
EMDF.X,@EMDU25 - 4 PM NYC FIXING,CME,CME,INDEX
ZPE.X,@EPLU25 - 9 AM CHI FIXING,CME,CME,INDEX
EGF.X,@ESGU25 - 4 PM NYC FIXING,CME,CME,INDEX
ESJF.X,@ESU25 - 3:30 PM JPN FIXING,CME,CME,INDEX
ESF.X,@ESU25 - 4 PM NYC FIXING,CME,CME,INDEX
ESACF.X,@ESU25 - 4 PM NYC TMAC FIXING,CME,CME,INDEX
EEF.X,@ESU25 - 4:30 PM LON FIXING,CME,CME,INDEX
ESN1F.X,@ESU25 - 9:31 AM NYC FIXING,CME,CME,INDEX
ETEL3F.X,@ETEN25 - 4 PM LON FIXING,CME,CME,INDEX
ETHL3F.X,@ETHN25 - 4 PM LON FIXING,CME,CME,INDEX
6EF.X,@EUU25 -  FIXING,CME,CME,INDEX
ZER.X,@EUU25 - 11 AM CHI FIXING,CME,CME,INDEX
6E$.X,@EUU25 - 2 PM CHI FIXING,CME,CME,INDEX
ZEU.X,@EUU25 - 3 PM CHI FIXING,CME,CME,INDEX
YT.X,@EUU25 - 9 AM CHI FIXING,CME,CME,INDEX
EWFF.X,@EWFU25 - 4 PM NYC FIXING,CME,CME,INDEX
FTF.X,@FT1U25 - 4:30 PM LON FIXING,CME,CME,INDEX
FTH.X,@FT5N25 - 4 PM HK FIXING,CME,CME,INDEX
FTG.X,@FTUU25 - 4:30 PM LON FIXING,CME,CME,INDEX
HUFF.X,@HFOU25 -  FIXING,CME,CME,INDEX
HUFC2F.X,@HFOU25 - 9 AM CHI FIXING,CME,CME,INDEX
ILSF.X,@ILU25 -  FIXING,CME,CME,INDEX
ILSC2F.X,@ILU25 - 9 AM CHI FIXING,CME,CME,INDEX
IOF.X,@IPOU25 - 4 PM NYC FIXING,CME,CME,INDEX
ZPY.X,@JYU25 -  FIXING,CME,CME,INDEX
ZJP.X,@JYU25 - 11 AM CHI FIXING,CME,CME,INDEX
6JC4F.X,@JYU25 - 2 PM CHI FIXING,CME,CME,INDEX
6J$.X,@JYU25 - 3 PM CHI FIXING,CME,CME,INDEX
