symbol,description,exchange,listedMarket,securityType
@ADQ25-@ADU25,AUSTRALIAN DOLLAR Aug 25/Sep 25,CME,CME_GBX,SPREAD
@ADQ25-@ADV25,AUSTRALIAN DOLLAR Aug 25/Oct 25,CME,CME_GBX,SPREAD
@ADQ25-@ADX25,AUSTRALIAN DOLLAR Aug 25/Nov 25,CME,CME_GBX,SPREAD
@ADQ25-@ADZ25,AUSTRALIAN DOLLAR Aug 25/Dec 25,CME,CME_GBX,SPREAD
@ADQ25-@ADH26,AUSTRALIAN DOLLAR Aug 25/Mar 26,CME,CME_GBX,SPREAD
@ADQ25-@ADM26,AUSTRALIAN DOLLAR Aug 25/Jun 26,CME,CME_GBX,SPREAD
@ADU25-@ADV25,AUSTRALIAN DOLLAR Sep 25/Oct 25,CME,CME_GBX,SPREAD
@ADU25-@ADX25,AUSTRALIAN DOLLAR Sep 25/Nov 25,CME,CME_GBX,SPREAD
@ADU25-@ADZ25,AUSTRALIAN DOLLAR Sep 25/Dec 25,CME,CME_GBX,SPREAD
@ADU25-@ADH26,AUSTRALIAN DOLLAR Sep 25/Mar 26,CME,CME_GBX,SPREAD
@ADU25-@ADM26,AUSTRALIAN DOLLAR Sep 25/Jun 26,CME,CME_GBX,SPREAD
@ADU25-@ADU26,AUSTRALIAN DOLLAR Sep 25/Sep 26,CME,CME_GBX,SPREAD
@ADV25-@ADX25,AUSTRALIAN DOLLAR Oct 25/Nov 25,CME,CME_GBX,SPREAD
@ADV25-@ADZ25,AUSTRALIAN DOLLAR Oct 25/Dec 25,CME,CME_GBX,SPREAD
@ADV25-@ADH26,AUSTRALIAN DOLLAR Oct 25/Mar 26,CME,CME_GBX,SPREAD
@ADV25-@ADM26,AUSTRALIAN DOLLAR Oct 25/Jun 26,CME,CME_GBX,SPREAD
@ADV25-@ADU26,AUSTRALIAN DOLLAR Oct 25/Sep 26,CME,CME_GBX,SPREAD
@ADX25-@ADZ25,AUSTRALIAN DOLLAR Nov 25/Dec 25,CME,CME_GBX,SPREAD
@ADX25-@ADH26,AUSTRALIAN DOLLAR Nov 25/Mar 26,CME,CME_GBX,SPREAD
@ADX25-@ADM26,AUSTRALIAN DOLLAR Nov 25/Jun 26,CME,CME_GBX,SPREAD
@ADX25-@ADU26,AUSTRALIAN DOLLAR Nov 25/Sep 26,CME,CME_GBX,SPREAD
@ADZ25-@ADH26,AUSTRALIAN DOLLAR Dec 25/Mar 26,CME,CME_GBX,SPREAD
@ADZ25-@ADM26,AUSTRALIAN DOLLAR Dec 25/Jun 26,CME,CME_GBX,SPREAD
@ADZ25-@ADU26,AUSTRALIAN DOLLAR Dec 25/Sep 26,CME,CME_GBX,SPREAD
@ADZ25-@ADZ26,AUSTRALIAN DOLLAR Dec 25/Dec 26,CME,CME_GBX,SPREAD
@ADH26-@ADM26,AUSTRALIAN DOLLAR Mar 26/Jun 26,CME,CME_GBX,SPREAD
@ADM26-@ADU26,AUSTRALIAN DOLLAR Jun 26/Sep 26,CME,CME_GBX,SPREAD
@ADU26-@ADZ26,AUSTRALIAN DOLLAR Sep 26/Dec 26,CME,CME_GBX,SPREAD
@ADZ26-@ADH27,AUSTRALIAN DOLLAR Dec 26/Mar 27,CME,CME_GBX,SPREAD
@ADH27-@ADM27,AUSTRALIAN DOLLAR Mar 27/Jun 27,CME,CME_GBX,SPREAD
@ADM27-@ADU27,AUSTRALIAN DOLLAR Jun 27/Sep 27,CME,CME_GBX,SPREAD
@ADU27-@ADZ27,AUSTRALIAN DOLLAR Sep 27/Dec 27,CME,CME_GBX,SPREAD
@ADZ27-@ADH28,AUSTRALIAN DOLLAR Dec 27/Mar 28,CME,CME_GBX,SPREAD
@ADH28-@ADM28,AUSTRALIAN DOLLAR Mar 28/Jun 28,CME,CME_GBX,SPREAD
@ADM28-@ADU28,AUSTRALIAN DOLLAR Jun 28/Sep 28,CME,CME_GBX,SPREAD
@ADU28-@ADZ28,AUSTRALIAN DOLLAR Sep 28/Dec 28,CME,CME_GBX,SPREAD
@ADZ28-@ADH29,AUSTRALIAN DOLLAR Dec 28/Mar 29,CME,CME_GBX,SPREAD
@ADH29-@ADM29,AUSTRALIAN DOLLAR Mar 29/Jun 29,CME,CME_GBX,SPREAD
@ADM29-@ADU29,AUSTRALIAN DOLLAR Jun 29/Sep 29,CME,CME_GBX,SPREAD
@ADU29-@ADZ29,AUSTRALIAN DOLLAR Sep 29/Dec 29,CME,CME_GBX,SPREAD
@ADZ29-@ADH30,AUSTRALIAN DOLLAR Dec 29/Mar 30,CME,CME_GBX,SPREAD
@ADH30-@ADM30,AUSTRALIAN DOLLAR Mar 30/Jun 30,CME,CME_GBX,SPREAD
@BPQ25-@BPU25,BRITISH POUND Aug 25/Sep 25,CME,CME_GBX,SPREAD
@BPQ25-@BPV25,BRITISH POUND Aug 25/Oct 25,CME,CME_GBX,SPREAD
@BPQ25-@BPX25,BRITISH POUND Aug 25/Nov 25,CME,CME_GBX,SPREAD
@BPQ25-@BPZ25,BRITISH POUND Aug 25/Dec 25,CME,CME_GBX,SPREAD
@BPQ25-@BPH26,BRITISH POUND Aug 25/Mar 26,CME,CME_GBX,SPREAD
@BPQ25-@BPM26,BRITISH POUND Aug 25/Jun 26,CME,CME_GBX,SPREAD
@BPU25-@BPV25,BRITISH POUND Sep 25/Oct 25,CME,CME_GBX,SPREAD
@BPU25-@BPX25,BRITISH POUND Sep 25/Nov 25,CME,CME_GBX,SPREAD
@BPU25-@BPZ25,BRITISH POUND Sep 25/Dec 25,CME,CME_GBX,SPREAD
@BPU25-@BPH26,BRITISH POUND Sep 25/Mar 26,CME,CME_GBX,SPREAD
@BPU25-@BPM26,BRITISH POUND Sep 25/Jun 26,CME,CME_GBX,SPREAD
@BPU25-@BPU26,BRITISH POUND Sep 25/Sep 26,CME,CME_GBX,SPREAD
@BPV25-@BPX25,BRITISH POUND Oct 25/Nov 25,CME,CME_GBX,SPREAD
@BPV25-@BPZ25,BRITISH POUND Oct 25/Dec 25,CME,CME_GBX,SPREAD
@BPV25-@BPH26,BRITISH POUND Oct 25/Mar 26,CME,CME_GBX,SPREAD
@BPV25-@BPM26,BRITISH POUND Oct 25/Jun 26,CME,CME_GBX,SPREAD
@BPV25-@BPU26,BRITISH POUND Oct 25/Sep 26,CME,CME_GBX,SPREAD
@BPX25-@BPZ25,BRITISH POUND Nov 25/Dec 25,CME,CME_GBX,SPREAD
@BPX25-@BPH26,BRITISH POUND Nov 25/Mar 26,CME,CME_GBX,SPREAD
@BPX25-@BPM26,BRITISH POUND Nov 25/Jun 26,CME,CME_GBX,SPREAD
@BPX25-@BPU26,BRITISH POUND Nov 25/Sep 26,CME,CME_GBX,SPREAD
@BPZ25-@BPH26,BRITISH POUND Dec 25/Mar 26,CME,CME_GBX,SPREAD
@BPZ25-@BPM26,BRITISH POUND Dec 25/Jun 26,CME,CME_GBX,SPREAD
@BPZ25-@BPU26,BRITISH POUND Dec 25/Sep 26,CME,CME_GBX,SPREAD
@BPZ25-@BPZ26,BRITISH POUND Dec 25/Dec 26,CME,CME_GBX,SPREAD
@BPH26-@BPM26,BRITISH POUND Mar 26/Jun 26,CME,CME_GBX,SPREAD
@BPM26-@BPU26,BRITISH POUND Jun 26/Sep 26,CME,CME_GBX,SPREAD
@BPU26-@BPZ26,BRITISH POUND Sep 26/Dec 26,CME,CME_GBX,SPREAD
@BPZ26-@BPH27,BRITISH POUND Dec 26/Mar 27,CME,CME_GBX,SPREAD
@BPH27-@BPM27,BRITISH POUND Mar 27/Jun 27,CME,CME_GBX,SPREAD
@BPM27-@BPU27,BRITISH POUND Jun 27/Sep 27,CME,CME_GBX,SPREAD
@BPU27-@BPZ27,BRITISH POUND Sep 27/Dec 27,CME,CME_GBX,SPREAD
@BPZ27-@BPH28,BRITISH POUND Dec 27/Mar 28,CME,CME_GBX,SPREAD
@BPH28-@BPM28,BRITISH POUND Mar 28/Jun 28,CME,CME_GBX,SPREAD
@BPM28-@BPU28,BRITISH POUND Jun 28/Sep 28,CME,CME_GBX,SPREAD
@BPU28-@BPZ28,BRITISH POUND Sep 28/Dec 28,CME,CME_GBX,SPREAD
@BPZ28-@BPH29,BRITISH POUND Dec 28/Mar 29,CME,CME_GBX,SPREAD
@BPH29-@BPM29,BRITISH POUND Mar 29/Jun 29,CME,CME_GBX,SPREAD
@BPM29-@BPU29,BRITISH POUND Jun 29/Sep 29,CME,CME_GBX,SPREAD
@BPU29-@BPZ29,BRITISH POUND Sep 29/Dec 29,CME,CME_GBX,SPREAD
@BPZ29-@BPH30,BRITISH POUND Dec 29/Mar 30,CME,CME_GBX,SPREAD
@BPH30-@BPM30,BRITISH POUND Mar 30/Jun 30,CME,CME_GBX,SPREAD
@BRU25-@BRV25,BRAZILIAN REAL Sep 25/Oct 25,CME,CME_GBX,SPREAD
@BRU25-@BRX25,BRAZILIAN REAL Sep 25/Nov 25,CME,CME_GBX,SPREAD
@BRU25-@BRZ25,BRAZILIAN REAL Sep 25/Dec 25,CME,CME_GBX,SPREAD
@BRU25-@BRH26,BRAZILIAN REAL Sep 25/Mar 26,CME,CME_GBX,SPREAD
@BRU25-@BRM26,BRAZILIAN REAL Sep 25/Jun 26,CME,CME_GBX,SPREAD
@BRV25-@BRX25,BRAZILIAN REAL Oct 25/Nov 25,CME,CME_GBX,SPREAD
@BRV25-@BRZ25,BRAZILIAN REAL Oct 25/Dec 25,CME,CME_GBX,SPREAD
@BRV25-@BRF26,BRAZILIAN REAL Oct 25/Jan 26,CME,CME_GBX,SPREAD
@BRZ25-@BRH26,BRAZILIAN REAL Dec 25/Mar 26,CME,CME_GBX,SPREAD
@BTQ25-@BTX25,BOSTON HOME PRICE INDEX Aug 25/Nov 25,CME,CME_GBX,SPREAD
@BTQ25-@BTG26,BOSTON HOME PRICE INDEX Aug 25/Feb 26,CME,CME_GBX,SPREAD
@BTQ25-@BTK26,BOSTON HOME PRICE INDEX Aug 25/May 26,CME,CME_GBX,SPREAD
@BTQ25-@BTQ26,BOSTON HOME PRICE INDEX Aug 25/Aug 26,CME,CME_GBX,SPREAD
@BTQ25-@BTG27,BOSTON HOME PRICE INDEX Aug 25/Feb 27,CME,CME_GBX,SPREAD
@BTQ25-@BTG28,BOSTON HOME PRICE INDEX Aug 25/Feb 28,CME,CME_GBX,SPREAD
@BTQ25-@BTG29,BOSTON HOME PRICE INDEX Aug 25/Feb 29,CME,CME_GBX,SPREAD
@BTQ25-@BTG30,BOSTON HOME PRICE INDEX Aug 25/Feb 30,CME,CME_GBX,SPREAD
@BTX25-@BTG26,BOSTON HOME PRICE INDEX Nov 25/Feb 26,CME,CME_GBX,SPREAD
@BTX25-@BTK26,BOSTON HOME PRICE INDEX Nov 25/May 26,CME,CME_GBX,SPREAD
@BTX25-@BTQ26,BOSTON HOME PRICE INDEX Nov 25/Aug 26,CME,CME_GBX,SPREAD
@BTX25-@BTG27,BOSTON HOME PRICE INDEX Nov 25/Feb 27,CME,CME_GBX,SPREAD
@BTX25-@BTG28,BOSTON HOME PRICE INDEX Nov 25/Feb 28,CME,CME_GBX,SPREAD
@BTX25-@BTG29,BOSTON HOME PRICE INDEX Nov 25/Feb 29,CME,CME_GBX,SPREAD
@BTX25-@BTG30,BOSTON HOME PRICE INDEX Nov 25/Feb 30,CME,CME_GBX,SPREAD
@BTG26-@BTK26,BOSTON HOME PRICE INDEX Feb 26/May 26,CME,CME_GBX,SPREAD
@BTG26-@BTQ26,BOSTON HOME PRICE INDEX Feb 26/Aug 26,CME,CME_GBX,SPREAD
@BTG26-@BTG27,BOSTON HOME PRICE INDEX Feb 26/Feb 27,CME,CME_GBX,SPREAD
@BTG26-@BTG28,BOSTON HOME PRICE INDEX Feb 26/Feb 28,CME,CME_GBX,SPREAD
@BTG26-@BTG29,BOSTON HOME PRICE INDEX Feb 26/Feb 29,CME,CME_GBX,SPREAD
@BTG26-@BTG30,BOSTON HOME PRICE INDEX Feb 26/Feb 30,CME,CME_GBX,SPREAD
@BTK26-@BTQ26,BOSTON HOME PRICE INDEX May 26/Aug 26,CME,CME_GBX,SPREAD
@BTK26-@BTG27,BOSTON HOME PRICE INDEX May 26/Feb 27,CME,CME_GBX,SPREAD
@BTK26-@BTG28,BOSTON HOME PRICE INDEX May 26/Feb 28,CME,CME_GBX,SPREAD
@BTK26-@BTG29,BOSTON HOME PRICE INDEX May 26/Feb 29,CME,CME_GBX,SPREAD
@BTK26-@BTG30,BOSTON HOME PRICE INDEX May 26/Feb 30,CME,CME_GBX,SPREAD
@BTQ26-@BTG27,BOSTON HOME PRICE INDEX Aug 26/Feb 27,CME,CME_GBX,SPREAD
@BTQ26-@BTG28,BOSTON HOME PRICE INDEX Aug 26/Feb 28,CME,CME_GBX,SPREAD
@BTQ26-@BTG29,BOSTON HOME PRICE INDEX Aug 26/Feb 29,CME,CME_GBX,SPREAD
@BTQ26-@BTG30,BOSTON HOME PRICE INDEX Aug 26/Feb 30,CME,CME_GBX,SPREAD
@BTG27-@BTG28,BOSTON HOME PRICE INDEX Feb 27/Feb 28,CME,CME_GBX,SPREAD
@BTG27-@BTG29,BOSTON HOME PRICE INDEX Feb 27/Feb 29,CME,CME_GBX,SPREAD
@BTG27-@BTG30,BOSTON HOME PRICE INDEX Feb 27/Feb 30,CME,CME_GBX,SPREAD
@BTG28-@BTG29,BOSTON HOME PRICE INDEX Feb 28/Feb 29,CME,CME_GBX,SPREAD
@BTG28-@BTG30,BOSTON HOME PRICE INDEX Feb 28/Feb 30,CME,CME_GBX,SPREAD
@BTG29-@BTG30,BOSTON HOME PRICE INDEX Feb 29/Feb 30,CME,CME_GBX,SPREAD
@BTCQ25-@BTCU25,BITCOIN FUTURES Aug 25/Sep 25,CME,CME_GBX,SPREAD
@BTCQ25-@BTCV25,BITCOIN FUTURES Aug 25/Oct 25,CME,CME_GBX,SPREAD
@BTCQ25-@BTCX25,BITCOIN FUTURES Aug 25/Nov 25,CME,CME_GBX,SPREAD
@BTCQ25-@BTCZ25,BITCOIN FUTURES Aug 25/Dec 25,CME,CME_GBX,SPREAD
@BTCQ25-@BTCF26,BITCOIN FUTURES Aug 25/Jan 26,CME,CME_GBX,SPREAD
@BTCQ25-@BTCH26,BITCOIN FUTURES Aug 25/Mar 26,CME,CME_GBX,SPREAD
@BTCQ25-@BTCM26,BITCOIN FUTURES Aug 25/Jun 26,CME,CME_GBX,SPREAD
@BTCQ25-@BTCU26,BITCOIN FUTURES Aug 25/Sep 26,CME,CME_GBX,SPREAD
@BTCQ25-@BTCZ26,BITCOIN FUTURES Aug 25/Dec 26,CME,CME_GBX,SPREAD
@BTCU25-@BTCV25,BITCOIN FUTURES Sep 25/Oct 25,CME,CME_GBX,SPREAD
@BTCU25-@BTCX25,BITCOIN FUTURES Sep 25/Nov 25,CME,CME_GBX,SPREAD
@BTCU25-@BTCZ25,BITCOIN FUTURES Sep 25/Dec 25,CME,CME_GBX,SPREAD
@BTCU25-@BTCF26,BITCOIN FUTURES Sep 25/Jan 26,CME,CME_GBX,SPREAD
@BTCU25-@BTCH26,BITCOIN FUTURES Sep 25/Mar 26,CME,CME_GBX,SPREAD
@BTCU25-@BTCM26,BITCOIN FUTURES Sep 25/Jun 26,CME,CME_GBX,SPREAD
@BTCU25-@BTCU26,BITCOIN FUTURES Sep 25/Sep 26,CME,CME_GBX,SPREAD
@BTCU25-@BTCZ26,BITCOIN FUTURES Sep 25/Dec 26,CME,CME_GBX,SPREAD
@BTCV25-@BTCX25,BITCOIN FUTURES Oct 25/Nov 25,CME,CME_GBX,SPREAD
@BTCV25-@BTCZ25,BITCOIN FUTURES Oct 25/Dec 25,CME,CME_GBX,SPREAD
@BTCV25-@BTCF26,BITCOIN FUTURES Oct 25/Jan 26,CME,CME_GBX,SPREAD
@BTCV25-@BTCH26,BITCOIN FUTURES Oct 25/Mar 26,CME,CME_GBX,SPREAD
@BTCV25-@BTCM26,BITCOIN FUTURES Oct 25/Jun 26,CME,CME_GBX,SPREAD
@BTCV25-@BTCU26,BITCOIN FUTURES Oct 25/Sep 26,CME,CME_GBX,SPREAD
@BTCV25-@BTCZ26,BITCOIN FUTURES Oct 25/Dec 26,CME,CME_GBX,SPREAD
@BTCX25-@BTCZ25,BITCOIN FUTURES Nov 25/Dec 25,CME,CME_GBX,SPREAD
@BTCX25-@BTCF26,BITCOIN FUTURES Nov 25/Jan 26,CME,CME_GBX,SPREAD
@BTCX25-@BTCH26,BITCOIN FUTURES Nov 25/Mar 26,CME,CME_GBX,SPREAD
