symbol,description,exchange,listedMarket,securityType
Q1WGU25C.OI.Z,MICRO GOLD WEDNESDAY OPTION WEEK 1 Sep 2025 Future Option Call Total Open Interest,COMEX,COMEX_GBX,COMBINED_FOPTION
Q1WGU25C.VOL.Z,MICRO GOLD WEDNESDAY OPTION WEEK 1 Sep 2025 Future Option Call Total Volume,COMEX,COMEX_GBX,COMBINED_FOPTION
Q1WGU25P.OI.Z,MICRO GOLD WEDNESDAY OPTION WEEK 1 Sep 2025 Future Option Put Total Open Interest,COMEX,COMEX_GBX,COMBINED_FOPTION
Q1WGU25P.VOL.Z,MICRO GOLD WEDNESDAY OPTION WEEK 1 Sep 2025 Future Option Put Total Volume,COMEX,COMEX_GBX,COMBINED_FOPTION
Q2FGQ25C.OI.Z,MICRO GOLD FRIDAY OPTION WEEK 2 Aug 2025 Future Option Call Total Open Interest,COMEX,COMEX_GBX,COMBINED_FOPTION
Q2FGQ25C.VOL.Z,MICRO GOLD FRIDAY OPTION WEEK 2 Aug 2025 Future Option Call Total Volume,COMEX,COMEX_GBX,COMBINED_FOPTION
Q2FGQ25P.OI.Z,MICRO GOLD FRIDAY OPTION WEEK 2 Aug 2025 Future Option Put Total Open Interest,COMEX,COMEX_GBX,COMBINED_FOPTION
Q2FGQ25P.VOL.Z,MICRO GOLD FRIDAY OPTION WEEK 2 Aug 2025 Future Option Put Total Volume,COMEX,COMEX_GBX,COMBINED_FOPTION
Q2MGQ25C.OI.Z,MICRO GOLD MONDAY OPTION WEEK 2 Aug 2025 Future Option Call Total Open Interest,COMEX,COMEX_GBX,COMBINED_FOPTION
Q2MGQ25C.VOL.Z,MICRO GOLD MONDAY OPTION WEEK 2 Aug 2025 Future Option Call Total Volume,COMEX,COMEX_GBX,COMBINED_FOPTION
Q2MGQ25P.OI.Z,MICRO GOLD MONDAY OPTION WEEK 2 Aug 2025 Future Option Put Total Open Interest,COMEX,COMEX_GBX,COMBINED_FOPTION
Q2MGQ25P.VOL.Z,MICRO GOLD MONDAY OPTION WEEK 2 Aug 2025 Future Option Put Total Volume,COMEX,COMEX_GBX,COMBINED_FOPTION
Q2MGU25C.OI.Z,MICRO GOLD MONDAY OPTION WEEK 2 Sep 2025 Future Option Call Total Open Interest,COMEX,COMEX_GBX,COMBINED_FOPTION
Q2MGU25C.VOL.Z,MICRO GOLD MONDAY OPTION WEEK 2 Sep 2025 Future Option Call Total Volume,COMEX,COMEX_GBX,COMBINED_FOPTION
Q2MGU25P.OI.Z,MICRO GOLD MONDAY OPTION WEEK 2 Sep 2025 Future Option Put Total Open Interest,COMEX,COMEX_GBX,COMBINED_FOPTION
Q2MGU25P.VOL.Z,MICRO GOLD MONDAY OPTION WEEK 2 Sep 2025 Future Option Put Total Volume,COMEX,COMEX_GBX,COMBINED_FOPTION
Q2WGQ25C.OI.Z,MICRO GOLD WEDNESDAY OPTION WEEK 2 Aug 2025 Future Option Call Total Open Interest,COMEX,COMEX_GBX,COMBINED_FOPTION
Q2WGQ25C.VOL.Z,MICRO GOLD WEDNESDAY OPTION WEEK 2 Aug 2025 Future Option Call Total Volume,COMEX,COMEX_GBX,COMBINED_FOPTION
Q2WGQ25P.OI.Z,MICRO GOLD WEDNESDAY OPTION WEEK 2 Aug 2025 Future Option Put Total Open Interest,COMEX,COMEX_GBX,COMBINED_FOPTION
Q2WGQ25P.VOL.Z,MICRO GOLD WEDNESDAY OPTION WEEK 2 Aug 2025 Future Option Put Total Volume,COMEX,COMEX_GBX,COMBINED_FOPTION
Q3FGQ25C.OI.Z,MICRO GOLD FRIDAY OPTION WEEK 3 Aug 2025 Future Option Call Total Open Interest,COMEX,COMEX_GBX,COMBINED_FOPTION
Q3FGQ25C.VOL.Z,MICRO GOLD FRIDAY OPTION WEEK 3 Aug 2025 Future Option Call Total Volume,COMEX,COMEX_GBX,COMBINED_FOPTION
Q3FGQ25P.OI.Z,MICRO GOLD FRIDAY OPTION WEEK 3 Aug 2025 Future Option Put Total Open Interest,COMEX,COMEX_GBX,COMBINED_FOPTION
Q3FGQ25P.VOL.Z,MICRO GOLD FRIDAY OPTION WEEK 3 Aug 2025 Future Option Put Total Volume,COMEX,COMEX_GBX,COMBINED_FOPTION
Q3MGQ25C.OI.Z,MICRO GOLD MONDAY OPTION WEEK 3 Aug 2025 Future Option Call Total Open Interest,COMEX,COMEX_GBX,COMBINED_FOPTION
Q3MGQ25C.VOL.Z,MICRO GOLD MONDAY OPTION WEEK 3 Aug 2025 Future Option Call Total Volume,COMEX,COMEX_GBX,COMBINED_FOPTION
Q3MGQ25P.OI.Z,MICRO GOLD MONDAY OPTION WEEK 3 Aug 2025 Future Option Put Total Open Interest,COMEX,COMEX_GBX,COMBINED_FOPTION
Q3MGQ25P.VOL.Z,MICRO GOLD MONDAY OPTION WEEK 3 Aug 2025 Future Option Put Total Volume,COMEX,COMEX_GBX,COMBINED_FOPTION
Q3WGQ25C.OI.Z,MICRO GOLD WEDNESDAY OPTION WEEK 3 Aug 2025 Future Option Call Total Open Interest,COMEX,COMEX_GBX,COMBINED_FOPTION
Q3WGQ25C.VOL.Z,MICRO GOLD WEDNESDAY OPTION WEEK 3 Aug 2025 Future Option Call Total Volume,COMEX,COMEX_GBX,COMBINED_FOPTION
Q3WGQ25P.OI.Z,MICRO GOLD WEDNESDAY OPTION WEEK 3 Aug 2025 Future Option Put Total Open Interest,COMEX,COMEX_GBX,COMBINED_FOPTION
Q3WGQ25P.VOL.Z,MICRO GOLD WEDNESDAY OPTION WEEK 3 Aug 2025 Future Option Put Total Volume,COMEX,COMEX_GBX,COMBINED_FOPTION
Q4FGQ25C.OI.Z,MICRO GOLD FRIDAY OPTION WEEK 4 Aug 2025 Future Option Call Total Open Interest,COMEX,COMEX_GBX,COMBINED_FOPTION
Q4FGQ25C.VOL.Z,MICRO GOLD FRIDAY OPTION WEEK 4 Aug 2025 Future Option Call Total Volume,COMEX,COMEX_GBX,COMBINED_FOPTION
Q4FGQ25P.OI.Z,MICRO GOLD FRIDAY OPTION WEEK 4 Aug 2025 Future Option Put Total Open Interest,COMEX,COMEX_GBX,COMBINED_FOPTION
Q4FGQ25P.VOL.Z,MICRO GOLD FRIDAY OPTION WEEK 4 Aug 2025 Future Option Put Total Volume,COMEX,COMEX_GBX,COMBINED_FOPTION
Q4MGQ25C.OI.Z,MICRO GOLD MONDAY OPTION WEEK 4 Aug 2025 Future Option Call Total Open Interest,COMEX,COMEX_GBX,COMBINED_FOPTION
Q4MGQ25C.VOL.Z,MICRO GOLD MONDAY OPTION WEEK 4 Aug 2025 Future Option Call Total Volume,COMEX,COMEX_GBX,COMBINED_FOPTION
Q4MGQ25P.OI.Z,MICRO GOLD MONDAY OPTION WEEK 4 Aug 2025 Future Option Put Total Open Interest,COMEX,COMEX_GBX,COMBINED_FOPTION
Q4MGQ25P.VOL.Z,MICRO GOLD MONDAY OPTION WEEK 4 Aug 2025 Future Option Put Total Volume,COMEX,COMEX_GBX,COMBINED_FOPTION
Q4WGQ25C.OI.Z,MICRO GOLD WEDNESDAY OPTION WEEK 4 Aug 2025 Future Option Call Total Open Interest,COMEX,COMEX_GBX,COMBINED_FOPTION
Q4WGQ25C.VOL.Z,MICRO GOLD WEDNESDAY OPTION WEEK 4 Aug 2025 Future Option Call Total Volume,COMEX,COMEX_GBX,COMBINED_FOPTION
Q4WGQ25P.OI.Z,MICRO GOLD WEDNESDAY OPTION WEEK 4 Aug 2025 Future Option Put Total Open Interest,COMEX,COMEX_GBX,COMBINED_FOPTION
