symbol,description,exchange,listedMarket,securityType
@BUS.OI.Z,US MIDWEST #1 BUSHELING FERROUS SCRAP Future Total Open Interest,COMEX,COMEX_GBX,COMBINED_FUTURE
@BUS.VOL.Z,US MIDWEST #1 BUSHELING FERROUS SCRAP Future Total Volume,COMEX,COMEX_GBX,COMBINED_FUTURE
@HRC.OI.Z,DOMESTIC HOT-ROLLED COIL STEEL Future Total Open Interest,COMEX,COMEX_GBX,COMBINED_FUTURE
@HRC.VOL.Z,DOMESTIC HOT-ROLLED COIL STEEL Future Total Volume,COMEX,COMEX_GBX,COMBINED_FUTURE
@QC.OI.Z,E-MINI COPPER Future Total Open Interest,COMEX,COMEX_GBX,COMBINED_FUTURE
@QC.VOL.Z,E-MINI COPPER Future Total Volume,COMEX,COMEX_GBX,COMBINED_FUTURE
@QI.OI.Z,E-MINI SILVER Future Total Open Interest,COMEX,COMEX_GBX,COMBINED_FUTURE
@QI.VOL.Z,E-MINI SILVER Future Total Volume,COMEX,COMEX_GBX,COMBINED_FUTURE
@QO.OI.Z,E-MINI GOLD Future Total Open Interest,COMEX,COMEX_GBX,COMBINED_FUTURE
@QO.VOL.Z,E-MINI GOLD Future Total Volume,COMEX,COMEX_GBX,COMBINED_FUTURE
GCT.OI.Z,GOLD (TAS) Future Total Open Interest,COMEX,COMEX_GBX,COMBINED_FUTURE
GCT.VOL.Z,GOLD (TAS) Future Total Volume,COMEX,COMEX_GBX,COMBINED_FUTURE
HG0.OI.Z,COPPER SPOT TAS Future Total Open Interest,COMEX,COMEX_GBX,COMBINED_FUTURE
HG0.VOL.Z,COPPER SPOT TAS Future Total Volume,COMEX,COMEX_GBX,COMBINED_FUTURE
HGF.OI.Z,COPPER TAM Future Total Open Interest,COMEX,COMEX_GBX,COMBINED_FUTURE
HGF.VOL.Z,COPPER TAM Future Total Volume,COMEX,COMEX_GBX,COMBINED_FUTURE
HGS.OI.Z,COPPER FINANCIAL Future Total Open Interest,COMEX,COMEX_GBX,COMBINED_FUTURE
HGS.VOL.Z,COPPER FINANCIAL Future Total Volume,COMEX,COMEX_GBX,COMBINED_FUTURE
HGT.OI.Z,COPPER (TAS) Future Total Open Interest,COMEX,COMEX_GBX,COMBINED_FUTURE
HGT.VOL.Z,COPPER (TAS) Future Total Volume,COMEX,COMEX_GBX,COMBINED_FUTURE
Q1OZ.OI.Z,GOLD 1-OZ Future Total Open Interest,COMEX,COMEX_GBX,COMBINED_FUTURE
Q1OZ.VOL.Z,GOLD 1-OZ Future Total Volume,COMEX,COMEX_GBX,COMBINED_FUTURE
Q4GC.OI.Z,GOLD (ENHANCED DELIVERY) Future Total Open Interest,COMEX,COMEX_GBX,COMBINED_FUTURE
Q4GC.VOL.Z,GOLD (ENHANCED DELIVERY) Future Total Volume,COMEX,COMEX_GBX,COMBINED_FUTURE
QAEP.OI.Z,ALUMINUM EUROPEAN PREM DUTY UNPAID Future Total Open Interest,COMEX,COMEX_GBX,COMBINED_FUTURE
QAEP.VOL.Z,ALUMINUM EUROPEAN PREM DUTY UNPAID Future Total Volume,COMEX,COMEX_GBX,COMBINED_FUTURE
QALA.OI.Z,ALUMINA FOB AUSTRALIA S&P GLOBAL PLATTS Future Total Open Interest,COMEX,COMEX_GBX,COMBINED_FUTURE
QALA.VOL.Z,ALUMINA FOB AUSTRALIA S&P GLOBAL PLATTS Future Total Volume,COMEX,COMEX_GBX,COMBINED_FUTURE
QALI.OI.Z,ALUMINUM Future Total Open Interest,COMEX,COMEX_GBX,COMBINED_FUTURE
QALI.VOL.Z,ALUMINUM Future Total Volume,COMEX,COMEX_GBX,COMBINED_FUTURE
QAUP.OI.Z,ALUMINUM MW US TRANSACTION PREM Future Total Open Interest,COMEX,COMEX_GBX,COMBINED_FUTURE
QAUP.VOL.Z,ALUMINUM MW US TRANSACTION PREM Future Total Volume,COMEX,COMEX_GBX,COMBINED_FUTURE
QBCH.OI.Z,CHICAGO #1 BUSHELING FERROUS SCRAP Future Total Open Interest,COMEX,COMEX_GBX,COMBINED_FUTURE
QBCH.VOL.Z,CHICAGO #1 BUSHELING FERROUS SCRAP Future Total Volume,COMEX,COMEX_GBX,COMBINED_FUTURE
QCOB.OI.Z,COBALT METAL (FASTMARKETS) Future Total Open Interest,COMEX,COMEX_GBX,COMBINED_FUTURE
QCOB.VOL.Z,COBALT METAL (FASTMARKETS) Future Total Volume,COMEX,COMEX_GBX,COMBINED_FUTURE
QCOH.OI.Z,COBALT HYDROXIDE CIF CHINA (FASTMARKETS) Future Total Open Interest,COMEX,COMEX_GBX,COMBINED_FUTURE
QCOH.VOL.Z,COBALT HYDROXIDE CIF CHINA (FASTMARKETS) Future Total Volume,COMEX,COMEX_GBX,COMBINED_FUTURE
