symbol,description,exchange,listedMarket,securityType
@BUS#C,US MIDWEST #1 BUSHELING FERROUS SCRAP Continuous Backadjusted,COMEX,COMEX_GBX,FUTURE
@BUS#,US MIDWEST #1 BUSHELING FERROUS SCRAP Continuous,COMEX,COMEX_GBX,FUTURE
@BUSQ25,US MIDWEST #1 BUSHELING FERROUS SCRAP August 2025,COMEX,COMEX_GBX,FUTURE
@BUSU25,US MIDWEST #1 BUSHELING FERROUS SCRAP September 2025,COMEX,COMEX_GBX,FUTURE
@BUSV25,US MIDWEST #1 BUSHELING FERROUS SCRAP October 2025,COMEX,COMEX_GBX,FUTURE
@BUSX25,US MIDWEST #1 BUSHELING FERROUS SCRAP November 2025,COMEX,COMEX_GBX,FUTURE
@BUSZ25,US MIDWEST #1 BUSHELING FERROUS SCRAP December 2025,COMEX,COMEX_GBX,FUTURE
@HRC#C,DOMESTIC HOT-ROLLED COIL STEEL Continuous Backadjusted,COMEX,COMEX_GBX,FUTURE
@HRC#,DOMESTIC HOT-ROLLED COIL STEEL Continuous,COMEX,COMEX_GBX,FUTURE
@HRCQ25,DOMESTIC HOT-ROLLED COIL STEEL August 2025,COMEX,COMEX_GBX,FUTURE
@HRCU25,DOMESTIC HOT-ROLLED COIL STEEL September 2025,COMEX,COMEX_GBX,FUTURE
@HRCV25,DOMESTIC HOT-ROLLED COIL STEEL October 2025,COMEX,COMEX_GBX,FUTURE
@HRCX25,DOMESTIC HOT-ROLLED COIL STEEL November 2025,COMEX,COMEX_GBX,FUTURE
@HRCZ25,DOMESTIC HOT-ROLLED COIL STEEL December 2025,COMEX,COMEX_GBX,FUTURE
@HRCF26,DOMESTIC HOT-ROLLED COIL STEEL January 2026,COMEX,COMEX_GBX,FUTURE
@HRCG26,DOMESTIC HOT-ROLLED COIL STEEL February 2026,COMEX,COMEX_GBX,FUTURE
@HRCH26,DOMESTIC HOT-ROLLED COIL STEEL March 2026,COMEX,COMEX_GBX,FUTURE
@HRCJ26,DOMESTIC HOT-ROLLED COIL STEEL April 2026,COMEX,COMEX_GBX,FUTURE
@HRCK26,DOMESTIC HOT-ROLLED COIL STEEL May 2026,COMEX,COMEX_GBX,FUTURE
@HRCM26,DOMESTIC HOT-ROLLED COIL STEEL June 2026,COMEX,COMEX_GBX,FUTURE
@HRCN26,DOMESTIC HOT-ROLLED COIL STEEL July 2026,COMEX,COMEX_GBX,FUTURE
@HRCQ26,DOMESTIC HOT-ROLLED COIL STEEL August 2026,COMEX,COMEX_GBX,FUTURE
@HRCU26,DOMESTIC HOT-ROLLED COIL STEEL September 2026,COMEX,COMEX_GBX,FUTURE
@HRCV26,DOMESTIC HOT-ROLLED COIL STEEL October 2026,COMEX,COMEX_GBX,FUTURE
@HRCX26,DOMESTIC HOT-ROLLED COIL STEEL November 2026,COMEX,COMEX_GBX,FUTURE
@HRCZ26,DOMESTIC HOT-ROLLED COIL STEEL December 2026,COMEX,COMEX_GBX,FUTURE
@HRCF27,DOMESTIC HOT-ROLLED COIL STEEL January 2027,COMEX,COMEX_GBX,FUTURE
@HRCG27,DOMESTIC HOT-ROLLED COIL STEEL February 2027,COMEX,COMEX_GBX,FUTURE
@HRCH27,DOMESTIC HOT-ROLLED COIL STEEL March 2027,COMEX,COMEX_GBX,FUTURE
@HRCJ27,DOMESTIC HOT-ROLLED COIL STEEL April 2027,COMEX,COMEX_GBX,FUTURE
@HRCK27,DOMESTIC HOT-ROLLED COIL STEEL May 2027,COMEX,COMEX_GBX,FUTURE
@HRCM27,DOMESTIC HOT-ROLLED COIL STEEL June 2027,COMEX,COMEX_GBX,FUTURE
@HRCN27,DOMESTIC HOT-ROLLED COIL STEEL July 2027,COMEX,COMEX_GBX,FUTURE
@HRCQ27,DOMESTIC HOT-ROLLED COIL STEEL August 2027,COMEX,COMEX_GBX,FUTURE
@HRCU27,DOMESTIC HOT-ROLLED COIL STEEL September 2027,COMEX,COMEX_GBX,FUTURE
@HRCV27,DOMESTIC HOT-ROLLED COIL STEEL October 2027,COMEX,COMEX_GBX,FUTURE
@HRCX27,DOMESTIC HOT-ROLLED COIL STEEL November 2027,COMEX,COMEX_GBX,FUTURE
@HRCZ27,DOMESTIC HOT-ROLLED COIL STEEL December 2027,COMEX,COMEX_GBX,FUTURE
@HRCF28,DOMESTIC HOT-ROLLED COIL STEEL January 2028,COMEX,COMEX_GBX,FUTURE
@HRCG28,DOMESTIC HOT-ROLLED COIL STEEL February 2028,COMEX,COMEX_GBX,FUTURE
@HRCH28,DOMESTIC HOT-ROLLED COIL STEEL March 2028,COMEX,COMEX_GBX,FUTURE
@HRCJ28,DOMESTIC HOT-ROLLED COIL STEEL April 2028,COMEX,COMEX_GBX,FUTURE
@HRCK28,DOMESTIC HOT-ROLLED COIL STEEL May 2028,COMEX,COMEX_GBX,FUTURE
@HRCM28,DOMESTIC HOT-ROLLED COIL STEEL June 2028,COMEX,COMEX_GBX,FUTURE
@HRCN28,DOMESTIC HOT-ROLLED COIL STEEL July 2028,COMEX,COMEX_GBX,FUTURE
@HRCQ28,DOMESTIC HOT-ROLLED COIL STEEL August 2028,COMEX,COMEX_GBX,FUTURE
@HRCU28,DOMESTIC HOT-ROLLED COIL STEEL September 2028,COMEX,COMEX_GBX,FUTURE
@HRCV28,DOMESTIC HOT-ROLLED COIL STEEL October 2028,COMEX,COMEX_GBX,FUTURE
@HRCX28,DOMESTIC HOT-ROLLED COIL STEEL November 2028,COMEX,COMEX_GBX,FUTURE
@HRCZ28,DOMESTIC HOT-ROLLED COIL STEEL December 2028,COMEX,COMEX_GBX,FUTURE
@QC#C,E-MINI COPPER Continuous Backadjusted,COMEX,COMEX_GBX,FUTURE
@QC#,E-MINI COPPER Continuous,COMEX,COMEX_GBX,FUTURE
@QCU25,E-MINI COPPER September 2025,COMEX,COMEX_GBX,FUTURE
@QCV25,E-MINI COPPER October 2025,COMEX,COMEX_GBX,FUTURE
@QCX25,E-MINI COPPER November 2025,COMEX,COMEX_GBX,FUTURE
@QCZ25,E-MINI COPPER December 2025,COMEX,COMEX_GBX,FUTURE
@QCF26,E-MINI COPPER January 2026,COMEX,COMEX_GBX,FUTURE
@QCG26,E-MINI COPPER February 2026,COMEX,COMEX_GBX,FUTURE
@QCH26,E-MINI COPPER March 2026,COMEX,COMEX_GBX,FUTURE
@QCJ26,E-MINI COPPER April 2026,COMEX,COMEX_GBX,FUTURE
@QCK26,E-MINI COPPER May 2026,COMEX,COMEX_GBX,FUTURE
@QCM26,E-MINI COPPER June 2026,COMEX,COMEX_GBX,FUTURE
@QCN26,E-MINI COPPER July 2026,COMEX,COMEX_GBX,FUTURE
@QCQ26,E-MINI COPPER August 2026,COMEX,COMEX_GBX,FUTURE
@QCU26,E-MINI COPPER September 2026,COMEX,COMEX_GBX,FUTURE
@QCV26,E-MINI COPPER October 2026,COMEX,COMEX_GBX,FUTURE
@QCX26,E-MINI COPPER November 2026,COMEX,COMEX_GBX,FUTURE
@QCZ26,E-MINI COPPER December 2026,COMEX,COMEX_GBX,FUTURE
@QCF27,E-MINI COPPER January 2027,COMEX,COMEX_GBX,FUTURE
@QCG27,E-MINI COPPER February 2027,COMEX,COMEX_GBX,FUTURE
@QCH27,E-MINI COPPER March 2027,COMEX,COMEX_GBX,FUTURE
@QCJ27,E-MINI COPPER April 2027,COMEX,COMEX_GBX,FUTURE
@QCK27,E-MINI COPPER May 2027,COMEX,COMEX_GBX,FUTURE
@QCM27,E-MINI COPPER June 2027,COMEX,COMEX_GBX,FUTURE
@QCN27,E-MINI COPPER July 2027,COMEX,COMEX_GBX,FUTURE
@QCU27,E-MINI COPPER September 2027,COMEX,COMEX_GBX,FUTURE
@QCZ27,E-MINI COPPER December 2027,COMEX,COMEX_GBX,FUTURE
@QCH28,E-MINI COPPER March 2028,COMEX,COMEX_GBX,FUTURE
@QCK28,E-MINI COPPER May 2028,COMEX,COMEX_GBX,FUTURE
@QCN28,E-MINI COPPER July 2028,COMEX,COMEX_GBX,FUTURE
@QCU28,E-MINI COPPER September 2028,COMEX,COMEX_GBX,FUTURE
@QCZ28,E-MINI COPPER December 2028,COMEX,COMEX_GBX,FUTURE
@QCH29,E-MINI COPPER March 2029,COMEX,COMEX_GBX,FUTURE
@QCK29,E-MINI COPPER May 2029,COMEX,COMEX_GBX,FUTURE
@QCN29,E-MINI COPPER July 2029,COMEX,COMEX_GBX,FUTURE
@QCU29,E-MINI COPPER September 2029,COMEX,COMEX_GBX,FUTURE
@QCZ29,E-MINI COPPER December 2029,COMEX,COMEX_GBX,FUTURE
@QCH30,E-MINI COPPER March 2030,COMEX,COMEX_GBX,FUTURE
@QCK30,E-MINI COPPER May 2030,COMEX,COMEX_GBX,FUTURE
@QCN30,E-MINI COPPER July 2030,COMEX,COMEX_GBX,FUTURE
@QI#C,E-MINI SILVER Continuous Backadjusted,COMEX,COMEX_GBX,FUTURE
@QI#,E-MINI SILVER Continuous,COMEX,COMEX_GBX,FUTURE
@QIU25,E-MINI SILVER September 2025,COMEX,COMEX_GBX,FUTURE
@QIZ25,E-MINI SILVER December 2025,COMEX,COMEX_GBX,FUTURE
@QIF26,E-MINI SILVER January 2026,COMEX,COMEX_GBX,FUTURE
@QIH26,E-MINI SILVER March 2026,COMEX,COMEX_GBX,FUTURE
@QIK26,E-MINI SILVER May 2026,COMEX,COMEX_GBX,FUTURE
@QIN26,E-MINI SILVER July 2026,COMEX,COMEX_GBX,FUTURE
@QIU26,E-MINI SILVER September 2026,COMEX,COMEX_GBX,FUTURE
@QIZ26,E-MINI SILVER December 2026,COMEX,COMEX_GBX,FUTURE
@QIF27,E-MINI SILVER January 2027,COMEX,COMEX_GBX,FUTURE
@QIH27,E-MINI SILVER March 2027,COMEX,COMEX_GBX,FUTURE
@QIK27,E-MINI SILVER May 2027,COMEX,COMEX_GBX,FUTURE
@QIN27,E-MINI SILVER July 2027,COMEX,COMEX_GBX,FUTURE
@QIU27,E-MINI SILVER September 2027,COMEX,COMEX_GBX,FUTURE
@QO#C,E-MINI GOLD Continuous Backadjusted,COMEX,COMEX_GBX,FUTURE
@QO#,E-MINI GOLD Continuous,COMEX,COMEX_GBX,FUTURE
@QOV25,E-MINI GOLD October 2025,COMEX,COMEX_GBX,FUTURE
@QOZ25,E-MINI GOLD December 2025,COMEX,COMEX_GBX,FUTURE
@QOG26,E-MINI GOLD February 2026,COMEX,COMEX_GBX,FUTURE
@QOJ26,E-MINI GOLD April 2026,COMEX,COMEX_GBX,FUTURE
