symbol,description,exchange,listedMarket,securityType
@HRCN25-@HRCQ25,DOMESTIC HOT-ROLLED COIL STEEL Jul 25/Aug 25,COMEX,COMEX_GBX,SPREAD
@HRCN25-@HRCU25,DOMESTIC HOT-ROLLED COIL STEEL Jul 25/Sep 25,COMEX,COMEX_GBX,SPREAD
@HRCN25-@HRCV25,DOMESTIC HOT-ROLLED COIL STEEL Jul 25/Oct 25,COMEX,COMEX_GBX,SPREAD
@HRCN25-@HRCX25,DOMESTIC HOT-ROLLED COIL STEEL Jul 25/Nov 25,COMEX,COMEX_GBX,SPREAD
@HRCN25-@HRCZ25,DOMESTIC HOT-ROLLED COIL STEEL Jul 25/Dec 25,COMEX,COMEX_GBX,SPREAD
@HRCN25-@HRCF26,DOMESTIC HOT-ROLLED COIL STEEL Jul 25/Jan 26,COMEX,COMEX_GBX,SPREAD
@HRCN25-@HRCG26,DOMESTIC HOT-ROLLED COIL STEEL Jul 25/Feb 26,COMEX,COMEX_GBX,SPREAD
@HRCN25-@HRCH26,DOMESTIC HOT-ROLLED COIL STEEL Jul 25/Mar 26,COMEX,COMEX_GBX,SPREAD
@HRCN25-@HRCJ26,DOMESTIC HOT-ROLLED COIL STEEL Jul 25/Apr 26,COMEX,COMEX_GBX,SPREAD
@HRCN25-@HRCK26,DOMESTIC HOT-ROLLED COIL STEEL Jul 25/May 26,COMEX,COMEX_GBX,SPREAD
@HRCN25-@HRCM26,DOMESTIC HOT-ROLLED COIL STEEL Jul 25/Jun 26,COMEX,COMEX_GBX,SPREAD
@HRCN25-@HRCN26,DOMESTIC HOT-ROLLED COIL STEEL Jul 25/Jul 26,COMEX,COMEX_GBX,SPREAD
@HRCN25-@HRCQ26,DOMESTIC HOT-ROLLED COIL STEEL Jul 25/Aug 26,COMEX,COMEX_GBX,SPREAD
@HRCN25-@HRCU26,DOMESTIC HOT-ROLLED COIL STEEL Jul 25/Sep 26,COMEX,COMEX_GBX,SPREAD
@HRCN25-@HRCV26,DOMESTIC HOT-ROLLED COIL STEEL Jul 25/Oct 26,COMEX,COMEX_GBX,SPREAD
@HRCN25-@HRCX26,DOMESTIC HOT-ROLLED COIL STEEL Jul 25/Nov 26,COMEX,COMEX_GBX,SPREAD
@HRCN25-@HRCZ26,DOMESTIC HOT-ROLLED COIL STEEL Jul 25/Dec 26,COMEX,COMEX_GBX,SPREAD
@HRCN25-@HRCF27,DOMESTIC HOT-ROLLED COIL STEEL Jul 25/Jan 27,COMEX,COMEX_GBX,SPREAD
@HRCN25-@HRCG27,DOMESTIC HOT-ROLLED COIL STEEL Jul 25/Feb 27,COMEX,COMEX_GBX,SPREAD
@HRCN25-@HRCH27,DOMESTIC HOT-ROLLED COIL STEEL Jul 25/Mar 27,COMEX,COMEX_GBX,SPREAD
@HRCN25-@HRCJ27,DOMESTIC HOT-ROLLED COIL STEEL Jul 25/Apr 27,COMEX,COMEX_GBX,SPREAD
@HRCN25-@HRCK27,DOMESTIC HOT-ROLLED COIL STEEL Jul 25/May 27,COMEX,COMEX_GBX,SPREAD
@HRCN25-@HRCM27,DOMESTIC HOT-ROLLED COIL STEEL Jul 25/Jun 27,COMEX,COMEX_GBX,SPREAD
@HRCN25-@HRCN27,DOMESTIC HOT-ROLLED COIL STEEL Jul 25/Jul 27,COMEX,COMEX_GBX,SPREAD
@HRCN25-@HRCQ27,DOMESTIC HOT-ROLLED COIL STEEL Jul 25/Aug 27,COMEX,COMEX_GBX,SPREAD
@HRCN25-@HRCU27,DOMESTIC HOT-ROLLED COIL STEEL Jul 25/Sep 27,COMEX,COMEX_GBX,SPREAD
@HRCN25-@HRCV27,DOMESTIC HOT-ROLLED COIL STEEL Jul 25/Oct 27,COMEX,COMEX_GBX,SPREAD
@HRCN25-@HRCX27,DOMESTIC HOT-ROLLED COIL STEEL Jul 25/Nov 27,COMEX,COMEX_GBX,SPREAD
@HRCN25-@HRCZ27,DOMESTIC HOT-ROLLED COIL STEEL Jul 25/Dec 27,COMEX,COMEX_GBX,SPREAD
@HRCN25-@HRCF28,DOMESTIC HOT-ROLLED COIL STEEL Jul 25/Jan 28,COMEX,COMEX_GBX,SPREAD
@HRCN25-@HRCG28,DOMESTIC HOT-ROLLED COIL STEEL Jul 25/Feb 28,COMEX,COMEX_GBX,SPREAD
@HRCN25-@HRCH28,DOMESTIC HOT-ROLLED COIL STEEL Jul 25/Mar 28,COMEX,COMEX_GBX,SPREAD
@HRCN25-@HRCJ28,DOMESTIC HOT-ROLLED COIL STEEL Jul 25/Apr 28,COMEX,COMEX_GBX,SPREAD
