symbol,description,exchange,listedMarket,securityType
C.ONE,01 COMMUNIQUE,CVE,CVE,EQUITY
C.EFF,1844 RESOURCES INC,CVE,CVE,EQUITY
C.AUMB,1911 GOLD CORP,CVE,CVE,EQUITY
C.FNR,49 NORTH RESOURCE INC,CVE,CVE,EQUITY
C.FIVD.P,5D ACQUISITION CORP,CVE,CVE,EQUITY
C.ALAB.P,A-LABS CAPITAL II CORP,CVE,CVE,EQUITY
C.AZC.P,A2ZCRYPTOCAP INC,CVE,CVE,EQUITY
C.AAAJ.P,AAJ CAPITAL 3 CORP,CVE,CVE,EQUITY
C.AME,ABACUS MINING & EXPLORATION CO,CVE,CVE,EQUITY
C.ABA,ABASCA RESOURCES INC,CVE,CVE,EQUITY
C.ABI,ABCOURT MINES INC,CVE,CVE,EQUITY
C.ABM,ABEN GOLD CORP,CVE,CVE,EQUITY
C.ACDC,AC/DC BATTERY METALS INC,CVE,CVE,EQUITY
C.AXE,ACCELEWARE LTD,CVE,CVE,EQUITY
C.ADJ.P,AD4 CAPITAL CORP,CVE,CVE,EQUITY
C.ADAD.P,ADAGIO 2 CAPITAL INC,CVE,CVE,EQUITY
C.ADZ,ADAMERA MINERALS CORP,CVE,CVE,EQUITY
C.ADE,ADEX MINING INC,CVE,CVE,EQUITY
C.AWI,ADVENT AWI-HOLDINGS INC,CVE,CVE,EQUITY
C.ADYA,ADYA INC,CVE,CVE,EQUITY
C.ALTN,AEONIAN RESOURCES CORP,CVE,CVE,EQUITY
C.AERO,AERO ENERGY LIMITED,CVE,CVE,EQUITY
C.AF.P,AF2 CAPITAL CORP,CVE,CVE,EQUITY
C.AFR,AFR NUVENTURE RESOURCES INC,CVE,CVE,EQUITY
C.AFE,AFRICA ENERGY CORP,CVE,CVE,EQUITY
C.AAG,AFTERMATH SILVER LTD,CVE,CVE,EQUITY
C.AGET,AGEDB TECHNOLOGY LTD,CVE,CVE,EQUITY
C.AIVC,AI ARTIFICIAL INTELLIGENCE VENTURES INC,CVE,CVE,EQUITY
C.AIME.P,AIM5 VENTURES INC.,CVE,CVE,EQUITY
C.AIMF.P,AIM6 VENTURES INC,CVE,CVE,EQUITY
C.AIP.U,AIP REALTY TRUST USD,CVE,CVE,EQUITY
C.IQ,AIRIQ INC,CVE,CVE,EQUITY
C.AIS,AIS RESOURCES LTD,CVE,CVE,EQUITY
C.AISX,AISIX SOLUTIONS INC,CVE,CVE,EQUITY
C.AJA,AJA HEALTH AND WELLNESS INC,CVE,CVE,EQUITY
C.AML,AKWAABA MINING LTD,CVE,CVE,EQUITY
C.AEMC,ALASKA ENERGY METALS CORP,CVE,CVE,EQUITY
C.AKH.H,ALASKA HYDRO CORP,CVE,CVE,EQUITY
C.WAM,ALASKA SILVER CORP,CVE,CVE,EQUITY
C.ALBT.P,ALBATROS ACQUISITION CORP INC,CVE,CVE,EQUITY
