symbol,description,exchange,listedMarket,securityType
DCA.OI.Z,SOYBEANS NO. 1 Future Total Open Interest,DCE,DCE,COMBINED_FUTURE
DCA.VOL.Z,SOYBEANS NO. 1 Future Total Volume,DCE,DCE,COMBINED_FUTURE
DCB.OI.Z,SOYBEANS NO. 2 Future Total Open Interest,DCE,DCE,COMBINED_FUTURE
DCB.VOL.Z,SOYBEANS NO. 2 Future Total Volume,DCE,DCE,COMBINED_FUTURE
DCBB.OI.Z,BLOCKBOARD Future Total Open Interest,DCE,DCE,COMBINED_FUTURE
DCBB.VOL.Z,BLOCKBOARD Future Total Volume,DCE,DCE,COMBINED_FUTURE
DCC.OI.Z,CORN Future Total Open Interest,DCE,DCE,COMBINED_FUTURE
DCC.VOL.Z,CORN Future Total Volume,DCE,DCE,COMBINED_FUTURE
DCCS.OI.Z,CORN STARCH Future Total Open Interest,DCE,DCE,COMBINED_FUTURE
DCCS.VOL.Z,CORN STARCH Future Total Volume,DCE,DCE,COMBINED_FUTURE
DCFB.OI.Z,MEDIUM DENSITY FIBERBOARD Future Total Open Interest,DCE,DCE,COMBINED_FUTURE
DCFB.VOL.Z,MEDIUM DENSITY FIBERBOARD Future Total Volume,DCE,DCE,COMBINED_FUTURE
DCI.OI.Z,IRON ORE Future Total Open Interest,DCE,DCE,COMBINED_FUTURE
DCI.VOL.Z,IRON ORE Future Total Volume,DCE,DCE,COMBINED_FUTURE
DCJ.OI.Z,METALLURGICAL COKE Future Total Open Interest,DCE,DCE,COMBINED_FUTURE
DCJ.VOL.Z,METALLURGICAL COKE Future Total Volume,DCE,DCE,COMBINED_FUTURE
DCJD.OI.Z,FRESH HEN EGG Future Total Open Interest,DCE,DCE,COMBINED_FUTURE
DCJD.VOL.Z,FRESH HEN EGG Future Total Volume,DCE,DCE,COMBINED_FUTURE
DCJM.OI.Z,COKING COAL Future Total Open Interest,DCE,DCE,COMBINED_FUTURE
DCJM.VOL.Z,COKING COAL Future Total Volume,DCE,DCE,COMBINED_FUTURE
DCL.OI.Z,LINEAR LOW DENSITY POLYETHYLENE Future Total Open Interest,DCE,DCE,COMBINED_FUTURE
DCL.VOL.Z,LINEAR LOW DENSITY POLYETHYLENE Future Total Volume,DCE,DCE,COMBINED_FUTURE
DCM.OI.Z,SOYBEAN MEAL Future Total Open Interest,DCE,DCE,COMBINED_FUTURE
DCM.VOL.Z,SOYBEAN MEAL Future Total Volume,DCE,DCE,COMBINED_FUTURE
DCP.OI.Z,RBD PALM OLEIN Future Total Open Interest,DCE,DCE,COMBINED_FUTURE
DCP.VOL.Z,RBD PALM OLEIN Future Total Volume,DCE,DCE,COMBINED_FUTURE
DCPP.OI.Z,POLYPROPYLENE Future Total Open Interest,DCE,DCE,COMBINED_FUTURE
DCPP.VOL.Z,POLYPROPYLENE Future Total Volume,DCE,DCE,COMBINED_FUTURE
DCV.OI.Z,POLYVINYL CHLORIDE (PVC) Future Total Open Interest,DCE,DCE,COMBINED_FUTURE
DCV.VOL.Z,POLYVINYL CHLORIDE (PVC) Future Total Volume,DCE,DCE,COMBINED_FUTURE
DCY.OI.Z,CRUDE SOYBEAN OIL Future Total Open Interest,DCE,DCE,COMBINED_FUTURE
DCY.VOL.Z,CRUDE SOYBEAN OIL Future Total Volume,DCE,DCE,COMBINED_FUTURE
DEB.OI.Z,ETHENYLBENZENE Future Total Open Interest,DCE,DCE,COMBINED_FUTURE
DEB.VOL.Z,ETHENYLBENZENE Future Total Volume,DCE,DCE,COMBINED_FUTURE
DEG.OI.Z,ETHYLENE GLYCOL Future Total Open Interest,DCE,DCE,COMBINED_FUTURE
DEG.VOL.Z,ETHYLENE GLYCOL Future Total Volume,DCE,DCE,COMBINED_FUTURE
DLH.OI.Z,LIVE HOG Future Total Open Interest,DCE,DCE,COMBINED_FUTURE
DLH.VOL.Z,LIVE HOG Future Total Volume,DCE,DCE,COMBINED_FUTURE
DPG.OI.Z,LIQUEFIED PETROLEUM GAS Future Total Open Interest,DCE,DCE,COMBINED_FUTURE
DPG.VOL.Z,LIQUEFIED PETROLEUM GAS Future Total Volume,DCE,DCE,COMBINED_FUTURE
DRR.OI.Z,POLISHED ROUND-GRAINED RICE Future Total Open Interest,DCE,DCE,COMBINED_FUTURE
DRR.VOL.Z,POLISHED ROUND-GRAINED RICE Future Total Volume,DCE,DCE,COMBINED_FUTURE
