symbol,description,exchange,listedMarket,securityType
DCA#C,SOYBEANS NO. 1 Continuous Backadjusted,DCE,DCE,FUTURE
DCA#,SOYBEANS NO. 1 Continuous,DCE,DCE,FUTURE
DCAU25,SOYBEANS NO. 1 September 2025,DCE,DCE,FUTURE
DCAX25,SOYBEANS NO. 1 November 2025,DCE,DCE,FUTURE
DCAF26,SOYBEANS NO. 1 January 2026,DCE,DCE,FUTURE
DCAH26,SOYBEANS NO. 1 March 2026,DCE,DCE,FUTURE
DCAK26,SOYBEANS NO. 1 May 2026,DCE,DCE,FUTURE
DCAN26,SOYBEANS NO. 1 July 2026,DCE,DCE,FUTURE
DCB#C,SOYBEANS NO. 2 Continuous Backadjusted,DCE,DCE,FUTURE
DCB#,SOYBEANS NO. 2 Continuous,DCE,DCE,FUTURE
DCBQ25,SOYBEANS NO. 2 August 2025,DCE,DCE,FUTURE
DCBU25,SOYBEANS NO. 2 September 2025,DCE,DCE,FUTURE
DCBV25,SOYBEANS NO. 2 October 2025,DCE,DCE,FUTURE
DCBX25,SOYBEANS NO. 2 November 2025,DCE,DCE,FUTURE
DCBZ25,SOYBEANS NO. 2 December 2025,DCE,DCE,FUTURE
DCBF26,SOYBEANS NO. 2 January 2026,DCE,DCE,FUTURE
DCBG26,SOYBEANS NO. 2 February 2026,DCE,DCE,FUTURE
DCBH26,SOYBEANS NO. 2 March 2026,DCE,DCE,FUTURE
DCBJ26,SOYBEANS NO. 2 April 2026,DCE,DCE,FUTURE
DCBK26,SOYBEANS NO. 2 May 2026,DCE,DCE,FUTURE
DCBM26,SOYBEANS NO. 2 June 2026,DCE,DCE,FUTURE
DCBN26,SOYBEANS NO. 2 July 2026,DCE,DCE,FUTURE
DCBB#C,BLOCKBOARD Continuous Backadjusted,DCE,DCE,FUTURE
DCBB#,BLOCKBOARD Continuous,DCE,DCE,FUTURE
DCBBU25,BLOCKBOARD September 2025,DCE,DCE,FUTURE
DCBBX25,BLOCKBOARD November 2025,DCE,DCE,FUTURE
DCBBF26,BLOCKBOARD January 2026,DCE,DCE,FUTURE
DCBBH26,BLOCKBOARD March 2026,DCE,DCE,FUTURE
DCBBK26,BLOCKBOARD May 2026,DCE,DCE,FUTURE
DCBBN26,BLOCKBOARD July 2026,DCE,DCE,FUTURE
DCC#C,CORN Continuous Backadjusted,DCE,DCE,FUTURE
DCC#,CORN Continuous,DCE,DCE,FUTURE
DCCU25,CORN September 2025,DCE,DCE,FUTURE
DCCX25,CORN November 2025,DCE,DCE,FUTURE
DCCF26,CORN January 2026,DCE,DCE,FUTURE
DCCH26,CORN March 2026,DCE,DCE,FUTURE
DCCK26,CORN May 2026,DCE,DCE,FUTURE
DCCN26,CORN July 2026,DCE,DCE,FUTURE
DCCS#C,CORN STARCH Continuous Backadjusted,DCE,DCE,FUTURE
DCCS#,CORN STARCH Continuous,DCE,DCE,FUTURE
DCCSU25,CORN STARCH September 2025,DCE,DCE,FUTURE
DCCSX25,CORN STARCH November 2025,DCE,DCE,FUTURE
DCCSF26,CORN STARCH January 2026,DCE,DCE,FUTURE
DCCSH26,CORN STARCH March 2026,DCE,DCE,FUTURE
DCCSK26,CORN STARCH May 2026,DCE,DCE,FUTURE
DCCSN26,CORN STARCH July 2026,DCE,DCE,FUTURE
DCFB#C,MEDIUM DENSITY FIBERBOARD Continuous Backadjusted,DCE,DCE,FUTURE
DCFB#,MEDIUM DENSITY FIBERBOARD Continuous,DCE,DCE,FUTURE
DCFBQ25,MEDIUM DENSITY FIBERBOARD August 2025,DCE,DCE,FUTURE
DCFBU25,MEDIUM DENSITY FIBERBOARD September 2025,DCE,DCE,FUTURE
DCFBV25,MEDIUM DENSITY FIBERBOARD October 2025,DCE,DCE,FUTURE
DCFBX25,MEDIUM DENSITY FIBERBOARD November 2025,DCE,DCE,FUTURE
DCFBZ25,MEDIUM DENSITY FIBERBOARD December 2025,DCE,DCE,FUTURE
DCFBF26,MEDIUM DENSITY FIBERBOARD January 2026,DCE,DCE,FUTURE
DCFBG26,MEDIUM DENSITY FIBERBOARD February 2026,DCE,DCE,FUTURE
DCFBH26,MEDIUM DENSITY FIBERBOARD March 2026,DCE,DCE,FUTURE
DCFBJ26,MEDIUM DENSITY FIBERBOARD April 2026,DCE,DCE,FUTURE
DCFBK26,MEDIUM DENSITY FIBERBOARD May 2026,DCE,DCE,FUTURE
DCFBM26,MEDIUM DENSITY FIBERBOARD June 2026,DCE,DCE,FUTURE
DCFBN26,MEDIUM DENSITY FIBERBOARD July 2026,DCE,DCE,FUTURE
DCI#C,IRON ORE Continuous Backadjusted,DCE,DCE,FUTURE
DCI#,IRON ORE Continuous,DCE,DCE,FUTURE
DCIQ25,IRON ORE August 2025,DCE,DCE,FUTURE
DCIU25,IRON ORE September 2025,DCE,DCE,FUTURE
DCIV25,IRON ORE October 2025,DCE,DCE,FUTURE
DCIX25,IRON ORE November 2025,DCE,DCE,FUTURE
DCIZ25,IRON ORE December 2025,DCE,DCE,FUTURE
DCIF26,IRON ORE January 2026,DCE,DCE,FUTURE
DCIG26,IRON ORE February 2026,DCE,DCE,FUTURE
DCIH26,IRON ORE March 2026,DCE,DCE,FUTURE
DCIJ26,IRON ORE April 2026,DCE,DCE,FUTURE
DCIK26,IRON ORE May 2026,DCE,DCE,FUTURE
DCIM26,IRON ORE June 2026,DCE,DCE,FUTURE
DCIN26,IRON ORE July 2026,DCE,DCE,FUTURE
DCJ#C,METALLURGICAL COKE Continuous Backadjusted,DCE,DCE,FUTURE
DCJ#,METALLURGICAL COKE Continuous,DCE,DCE,FUTURE
DCJQ25,METALLURGICAL COKE August 2025,DCE,DCE,FUTURE
DCJU25,METALLURGICAL COKE September 2025,DCE,DCE,FUTURE
DCJV25,METALLURGICAL COKE October 2025,DCE,DCE,FUTURE
DCJX25,METALLURGICAL COKE November 2025,DCE,DCE,FUTURE
DCJZ25,METALLURGICAL COKE December 2025,DCE,DCE,FUTURE
DCJF26,METALLURGICAL COKE January 2026,DCE,DCE,FUTURE
DCJG26,METALLURGICAL COKE February 2026,DCE,DCE,FUTURE
DCJH26,METALLURGICAL COKE March 2026,DCE,DCE,FUTURE
DCJJ26,METALLURGICAL COKE April 2026,DCE,DCE,FUTURE
DCJK26,METALLURGICAL COKE May 2026,DCE,DCE,FUTURE
DCJM26,METALLURGICAL COKE June 2026,DCE,DCE,FUTURE
DCJN26,METALLURGICAL COKE July 2026,DCE,DCE,FUTURE
DCJD#C,FRESH HEN EGG Continuous Backadjusted,DCE,DCE,FUTURE
DCJD#,FRESH HEN EGG Continuous,DCE,DCE,FUTURE
DCJDN25,FRESH HEN EGG July 2025,DCE,DCE,FUTURE
DCJDQ25,FRESH HEN EGG August 2025,DCE,DCE,FUTURE
DCJDU25,FRESH HEN EGG September 2025,DCE,DCE,FUTURE
DCJDV25,FRESH HEN EGG October 2025,DCE,DCE,FUTURE
DCJDX25,FRESH HEN EGG November 2025,DCE,DCE,FUTURE
DCJDZ25,FRESH HEN EGG December 2025,DCE,DCE,FUTURE
DCJDF26,FRESH HEN EGG January 2026,DCE,DCE,FUTURE
DCJDG26,FRESH HEN EGG February 2026,DCE,DCE,FUTURE
DCJDH26,FRESH HEN EGG March 2026,DCE,DCE,FUTURE
DCJDJ26,FRESH HEN EGG April 2026,DCE,DCE,FUTURE
DCJDK26,FRESH HEN EGG May 2026,DCE,DCE,FUTURE
DCJDM26,FRESH HEN EGG June 2026,DCE,DCE,FUTURE
DCJM#C,COKING COAL Continuous Backadjusted,DCE,DCE,FUTURE
DCJM#,COKING COAL Continuous,DCE,DCE,FUTURE
DCJMQ25,COKING COAL August 2025,DCE,DCE,FUTURE
DCJMU25,COKING COAL September 2025,DCE,DCE,FUTURE
DCJMV25,COKING COAL October 2025,DCE,DCE,FUTURE
DCJMX25,COKING COAL November 2025,DCE,DCE,FUTURE
DCJMZ25,COKING COAL December 2025,DCE,DCE,FUTURE
DCJMF26,COKING COAL January 2026,DCE,DCE,FUTURE
DCJMG26,COKING COAL February 2026,DCE,DCE,FUTURE
DCJMH26,COKING COAL March 2026,DCE,DCE,FUTURE
DCJMJ26,COKING COAL April 2026,DCE,DCE,FUTURE
DCJMK26,COKING COAL May 2026,DCE,DCE,FUTURE
DCJMM26,COKING COAL June 2026,DCE,DCE,FUTURE
DCJMN26,COKING COAL July 2026,DCE,DCE,FUTURE
DCL#C,LINEAR LOW DENSITY POLYETHYLENE Continuous Backadjusted,DCE,DCE,FUTURE
DCL#,LINEAR LOW DENSITY POLYETHYLENE Continuous,DCE,DCE,FUTURE
DCLQ25,LINEAR LOW DENSITY POLYETHYLENE August 2025,DCE,DCE,FUTURE
DCLU25,LINEAR LOW DENSITY POLYETHYLENE September 2025,DCE,DCE,FUTURE
DCLV25,LINEAR LOW DENSITY POLYETHYLENE October 2025,DCE,DCE,FUTURE
DCLX25,LINEAR LOW DENSITY POLYETHYLENE November 2025,DCE,DCE,FUTURE
DCLZ25,LINEAR LOW DENSITY POLYETHYLENE December 2025,DCE,DCE,FUTURE
DCLF26,LINEAR LOW DENSITY POLYETHYLENE January 2026,DCE,DCE,FUTURE
DCLG26,LINEAR LOW DENSITY POLYETHYLENE February 2026,DCE,DCE,FUTURE
DCLH26,LINEAR LOW DENSITY POLYETHYLENE March 2026,DCE,DCE,FUTURE
DCLJ26,LINEAR LOW DENSITY POLYETHYLENE April 2026,DCE,DCE,FUTURE
DCLK26,LINEAR LOW DENSITY POLYETHYLENE May 2026,DCE,DCE,FUTURE
DCLM26,LINEAR LOW DENSITY POLYETHYLENE June 2026,DCE,DCE,FUTURE
DCLN26,LINEAR LOW DENSITY POLYETHYLENE July 2026,DCE,DCE,FUTURE
DCM#C,SOYBEAN MEAL Continuous Backadjusted,DCE,DCE,FUTURE
DCM#,SOYBEAN MEAL Continuous,DCE,DCE,FUTURE
DCMQ25,SOYBEAN MEAL August 2025,DCE,DCE,FUTURE
DCMU25,SOYBEAN MEAL September 2025,DCE,DCE,FUTURE
DCMX25,SOYBEAN MEAL November 2025,DCE,DCE,FUTURE
DCMZ25,SOYBEAN MEAL December 2025,DCE,DCE,FUTURE
DCMF26,SOYBEAN MEAL January 2026,DCE,DCE,FUTURE
DCMH26,SOYBEAN MEAL March 2026,DCE,DCE,FUTURE
DCMK26,SOYBEAN MEAL May 2026,DCE,DCE,FUTURE
DCMN26,SOYBEAN MEAL July 2026,DCE,DCE,FUTURE
DCP#C,RBD PALM OLEIN Continuous Backadjusted,DCE,DCE,FUTURE
DCP#,RBD PALM OLEIN Continuous,DCE,DCE,FUTURE
DCPQ25,RBD PALM OLEIN August 2025,DCE,DCE,FUTURE
DCPU25,RBD PALM OLEIN September 2025,DCE,DCE,FUTURE
DCPV25,RBD PALM OLEIN October 2025,DCE,DCE,FUTURE
DCPX25,RBD PALM OLEIN November 2025,DCE,DCE,FUTURE
DCPZ25,RBD PALM OLEIN December 2025,DCE,DCE,FUTURE
DCPF26,RBD PALM OLEIN January 2026,DCE,DCE,FUTURE
DCPG26,RBD PALM OLEIN February 2026,DCE,DCE,FUTURE
DCPH26,RBD PALM OLEIN March 2026,DCE,DCE,FUTURE
DCPJ26,RBD PALM OLEIN April 2026,DCE,DCE,FUTURE
DCPK26,RBD PALM OLEIN May 2026,DCE,DCE,FUTURE
DCPM26,RBD PALM OLEIN June 2026,DCE,DCE,FUTURE
DCPN26,RBD PALM OLEIN July 2026,DCE,DCE,FUTURE
DCPP#C,POLYPROPYLENE Continuous Backadjusted,DCE,DCE,FUTURE
DCPP#,POLYPROPYLENE Continuous,DCE,DCE,FUTURE
DCPPQ25,POLYPROPYLENE August 2025,DCE,DCE,FUTURE
DCPPU25,POLYPROPYLENE September 2025,DCE,DCE,FUTURE
DCPPV25,POLYPROPYLENE October 2025,DCE,DCE,FUTURE
DCPPX25,POLYPROPYLENE November 2025,DCE,DCE,FUTURE
DCPPZ25,POLYPROPYLENE December 2025,DCE,DCE,FUTURE
DCPPF26,POLYPROPYLENE January 2026,DCE,DCE,FUTURE
DCPPG26,POLYPROPYLENE February 2026,DCE,DCE,FUTURE
DCPPH26,POLYPROPYLENE March 2026,DCE,DCE,FUTURE
DCPPJ26,POLYPROPYLENE April 2026,DCE,DCE,FUTURE
DCPPK26,POLYPROPYLENE May 2026,DCE,DCE,FUTURE
DCPPM26,POLYPROPYLENE June 2026,DCE,DCE,FUTURE
DCPPN26,POLYPROPYLENE July 2026,DCE,DCE,FUTURE
DCV#C,POLYVINYL CHLORIDE (PVC) Continuous Backadjusted,DCE,DCE,FUTURE
DCV#,POLYVINYL CHLORIDE (PVC) Continuous,DCE,DCE,FUTURE
DCVQ25,POLYVINYL CHLORIDE (PVC) August 2025,DCE,DCE,FUTURE
DCVU25,POLYVINYL CHLORIDE (PVC) September 2025,DCE,DCE,FUTURE
DCVV25,POLYVINYL CHLORIDE (PVC) October 2025,DCE,DCE,FUTURE
DCVX25,POLYVINYL CHLORIDE (PVC) November 2025,DCE,DCE,FUTURE
DCVZ25,POLYVINYL CHLORIDE (PVC) December 2025,DCE,DCE,FUTURE
DCVF26,POLYVINYL CHLORIDE (PVC) January 2026,DCE,DCE,FUTURE
DCVG26,POLYVINYL CHLORIDE (PVC) February 2026,DCE,DCE,FUTURE
DCVH26,POLYVINYL CHLORIDE (PVC) March 2026,DCE,DCE,FUTURE
DCVJ26,POLYVINYL CHLORIDE (PVC) April 2026,DCE,DCE,FUTURE
