symbol,description,exchange,listedMarket,securityType
DJAPSD.X,D.J. ASIA/PACIFIC SELECT DIVIDEND 30 IDX,DJ,DJ,INDEX
DJAPSDE.X,D.J. ASIA/PACIFIC SELECT DIVIDEND 30 IDX,DJ,DJ,INDEX
DJEG20.X,D.J. EGX  EGYPT TITANS 20 INDEX,DJ,DJ,INDEX
DJEG20DT.X,D.J. EGX  EGYPT TITANS 20 TOT RET INDEX,DJ,DJ,INDEX
DJEG20D.X,D.J. EGX EGYPT TITANS 20 INDEX,DJ,DJ,INDEX
DJEG20E.X,D.J. EGX TITANS 20 INDEX,DJ,DJ,INDEX
DWXRST.X,D.J. WLSHR EXUS REAL ESTATE SEC T.R. IDX,DJ,DJ,INDEX
DWCBTE.X,D.J. WLSHRE US BUS TRG & EMPLOY AGEN IND,DJ,DJ,INDEX
DJITLS.X,DJ  ISLAMIC MARKET TELECOMMUNICATIONS,DJ,DJ,INDEX
ESDOW.X,DJ  SPAIN STOCK INDEX,DJ,DJ,INDEX
ESDOWD.X,DJ  SPAIN STOCK INDEX US$,DJ,DJ,INDEX
DJUSGL.X,DJ  US  LARGE CAP GROWTH INDEX,DJ,DJ,INDEX
A1NCY.X,DJ Am ConsumGds,DJ,DJ,INDEX
A1CYC.X,DJ AM CONSUMSRV,DJ,DJ,INDEX
A1FIN.X,DJ AM FINANCIALS,DJ,DJ,INDEX
A1IDU.X,DJ AM INDUSTRIALS,DJ,DJ,INDEX
A1ENE.X,DJ AM OIL&GAS,DJ,DJ,INDEX
A1BSC.X,DJ AMERICAS BASIC MATERIALS STCK IDX,DJ,DJ,INDEX
A1HCR.X,DJ AMERICAS HEALTHCARE STOCK INDEX,DJ,DJ,INDEX
A1DOW.X,DJ AMERICAS STOCK INDEX,DJ,DJ,INDEX
A1TEC.X,DJ AMERICAS TECHNOLOGY STOCK INDEX,DJ,DJ,INDEX
A1TLS.X,DJ Americas Telecommunications Index,DJ,DJ,INDEX
A1UTI.X,DJ AMERICAS UTILITIES STOCK INDEX,DJ,DJ,INDEX
DWAMRS.X,DJ Amers Selct RE Securities,DJ,DJ,INDEX
DWAMRT.X,DJ Amers Select REIT,DJ,DJ,INDEX
DJASD.X,DJ ASIA SELECT DIVIDEND 30 INDEX,DJ,DJ,INDEX
DWAPRS.X,DJ ASIA/PACIFIC SELCT RE SECURITIES,DJ,DJ,INDEX
DWAPRT.X,DJ ASIA/PACIFIC SELECT REIT,DJ,DJ,INDEX
DJAT.X,DJ ASIAN TITANS,DJ,DJ,INDEX
AUDOWD.X,DJ AUST STK US$,DJ,DJ,INDEX
ATDOW.X,DJ AUSTRIA STOCK INDEX,DJ,DJ,INDEX
ATDOWD.X,DJ Austria Stock Index US$,DJ,DJ,INDEX
DJTATO.X,DJ AUTOMOBILES & PARTS TITANS 30,DJ,DJ,INDEX
DJTATOE.X,DJ AUTOMOBILES & PARTS TITANS 30 (EUROS),DJ,DJ,INDEX
DJTBAKE.X,DJ BANKS EURO INDEX,DJ,DJ,INDEX
DJTBASE.X,DJ BASIC RESOURCES EURO INDEX,DJ,DJ,INDEX
BEDOW.X,DJ BELGIUM STOCK INDEX,DJ,DJ,INDEX
