symbol,description,exchange,listedMarket,securityType
1YCMY.X,1 YEAR TREASURY YIELD,DTN,DTN,INDEX
10YCMRY.X,10 YEAR REAL TREASURY YIELD,DTN,DTN,INDEX
10YCMY.X,10 YEAR TREASURY YIELD,DTN,DTN,INDEX
TB180.X,180 DAY TREASURY YIELD,DTN,DTN,INDEX
2YCMY.X,2 YEAR TREASURY YIELD,DTN,DTN,INDEX
20YCMRY.X,20 YEAR REAL TREASURY YIELD,DTN,DTN,INDEX
20YCMY.X,20 YEAR TREASURY YIELD,DTN,DTN,INDEX
3YCMY.X,3 YEAR TREASURY YIELD,DTN,DTN,INDEX
TB30.X,30 DAY TREASURY YIELD,DTN,DTN,INDEX
30YCMRY.X,30 YEAR REAL TREASURY YIELD,DTN,DTN,INDEX
30YCMY.X,30 YEAR TREASURY YIELD,DTN,DTN,INDEX
5YCMRY.X,5 YEAR REAL TREASURY YIELD,DTN,DTN,INDEX
5YCMY.X,5 YEAR TREASURY YIELD,DTN,DTN,INDEX
TB60.X,60 DAY TREASURY YIELD,DTN,DTN,INDEX
7YCMRY.X,7 YEAR REAL TREASURY YIELD,DTN,DTN,INDEX
7YCMY.X,7 YEAR TREASURY YIELD,DTN,DTN,INDEX
TB90.X,90 DAY TREASURY YIELD,DTN,DTN,INDEX
SYDI.X,ALL ORDINARIES INDEX,DTN,DTN,INDEX
MRVBA.X,ARGENTINA MERVAL,DTN,DTN,INDEX
BOCAVHRLFS.X,Avg Hourly Earnings LFS Bank of Canada,DTN,DTN,INDEX
BOCAVHRSEPH.X,Avg Hourly Earnings SEPH Bank of Canada,DTN,DTN,INDEX
BOCBB10YR.X,Benchmark Bond 10 Yr Bank of Canada,DTN,DTN,INDEX
BOCBB2YR.X,Benchmark Bond 2 Yr Bank of Canada,DTN,DTN,INDEX
BOCBB3YR.X,Benchmark Bond 3 Yr Bank of Canada,DTN,DTN,INDEX
BOCBB5YR.X,Benchmark Bond 5 Yr Bank of Canada,DTN,DTN,INDEX
BOCBB7YR.X,Benchmark Bond 7 Yr Bank of Canada,DTN,DTN,INDEX
BOCBBLNTERM.X,Benchmark Bond Long Term Bank of Canada,DTN,DTN,INDEX
BOCBBRRB.X,Benchmark Bond Real Ret Bank of Canada,DTN,DTN,INDEX
BSEN.X,BOMBAY SENSITIVE,DTN,DTN,INDEX
BOM.X,BOMBAY STOCK EX 100 IDX,DTN,DTN,INDEX
BOCBNYLDSPD.X,Bond Yield Spread Bank of Canada,DTN,DTN,INDEX
KLSE.X,BURSA MALAYSIA KLCI,DTN,DTN,INDEX
BVSP.X,BVSP BOVESPA INDEX,DTN,DTN,INDEX
CCC.X,CCC LOAN RATE,DTN,DTN,INDEX
BOCCEER.X,CEER Bank of Canada,DTN,DTN,INDEX
IGPA.X,CHILE GENERAL,DTN,DTN,INDEX
JAK.X,COMPOSITE INDEX,DTN,DTN,INDEX
CR1.X,CORN REGION 1: NORTHEAST IOWA,DTN,DTN,INDEX
CR1B.X,CORN REGION 1: NORTHEAST IOWA BASIS,DTN,DTN,INDEX
CR10.X,CORN REGION 10: WEST KANSAS,DTN,DTN,INDEX
CR10B.X,CORN REGION 10: WEST KANSAS BASIS,DTN,DTN,INDEX
CR11.X,CORN REGION 11: N.MO AND E.KANSAS,DTN,DTN,INDEX
CR11B.X,CORN REGION 11: N.MO AND E.KANSAS BASIS,DTN,DTN,INDEX
CR2.X,CORN REGION 2: EASTERN NEBRASKA,DTN,DTN,INDEX
CR2B.X,CORN REGION 2: EASTERN NEBRASKA BASIS,DTN,DTN,INDEX
CR3.X,CORN REGION 3: EASTERN SD,DTN,DTN,INDEX
CR3B.X,CORN REGION 3: EASTERN SD BASIS,DTN,DTN,INDEX
CR4.X,CORN REGION 4: GREAT LAKES,DTN,DTN,INDEX
CR4B.X,CORN REGION 4: GREAT LAKES BASIS,DTN,DTN,INDEX
CR5.X,CORN REGION 5: ILLINOIS,DTN,DTN,INDEX
CR5B.X,CORN REGION 5: ILLINOIS BASIS,DTN,DTN,INDEX
CR6.X,CORN REGION 6: NDAK AND MN,DTN,DTN,INDEX
CR6B.X,CORN REGION 6: NDAK AND MN BASIS,DTN,DTN,INDEX
CR7.X,CORN REGION 7: SOUTH IOWA,DTN,DTN,INDEX
