symbol,description,exchange,listedMarket,securityType
PRBT.Z,BITCOIN PREMIUM CME,DTN,DTN,MKTSTATS
PRMB.Z,BITCOIN PREMIUM CME,DTN,DTN,MKTSTATS
PRMT.Z,CAC 40 PREMIUM,DTN,DTN,MKTSTATS
PRRC.Z,CME RUSSELL 2000 MINI PREM,DTN,DTN,MKTSTATS
PRDA.Z,DAX PREMIUM,DTN,DTN,MKTSTATS
H304H.Z,DJ COMP 1 MONTH NEW HIGHS,DTN,DTN,MKTSTATS
H304L.Z,DJ COMP 1 MONTH NEW LOWS,DTN,DTN,MKTSTATS
H74H.Z,DJ COMP 1 WEEK NEW HIGHS,DTN,DTN,MKTSTATS
H74L.Z,DJ COMP 1 WEEK NEW LOWS,DTN,DTN,MKTSTATS
M204V.Z,DJ COMP 20 DAY MOVING AVG ABOVE,DTN,DTN,MKTSTATS
M204B.Z,DJ COMP 20 DAY MOVING AVG BELOW,DTN,DTN,MKTSTATS
M2004V.Z,DJ COMP 200 DAY MOVING AVG ABOVE,DTN,DTN,MKTSTATS
M2004B.Z,DJ COMP 200 DAY MOVING AVG BELOW,DTN,DTN,MKTSTATS
H904H.Z,DJ COMP 3 MONTH NEW HIGHS,DTN,DTN,MKTSTATS
H904L.Z,DJ COMP 3 MONTH NEW LOWS,DTN,DTN,MKTSTATS
M504V.Z,DJ COMP 50 DAY MOVING AVG ABOVE,DTN,DTN,MKTSTATS
M504B.Z,DJ COMP 50 DAY MOVING AVG BELOW,DTN,DTN,MKTSTATS
AI4T.Z,DJ COMP AVERAGE PRICE,DTN,DTN,MKTSTATS
H04H.Z,DJ COMP CURRENT DAY NEW HIGHS,DTN,DTN,MKTSTATS
H04L.Z,DJ COMP CURRENT DAY NEW LOWS,DTN,DTN,MKTSTATS
IR4T.Z,DJ COMP ISS ADV DEC RATIO,DTN,DTN,MKTSTATS
DI4A.Z,DJ COMP ISSUES $ VOL ADVANCES,DTN,DTN,MKTSTATS
DI4D.Z,DJ COMP ISSUES $ VOL DECLINES,DTN,DTN,MKTSTATS
DI4N.Z,DJ COMP ISSUES $ VOL NET,DTN,DTN,MKTSTATS
DI4T.Z,DJ COMP ISSUES $ VOL TOTAL,DTN,DTN,MKTSTATS
DI4U.Z,DJ COMP ISSUES $ VOL UNCHG,DTN,DTN,MKTSTATS
II4A.Z,DJ COMP ISSUES ADVANCES,DTN,DTN,MKTSTATS
II4D.Z,DJ COMP ISSUES DECLINES,DTN,DTN,MKTSTATS
JI4T.Z,DJ COMP ISSUES NET,DTN,DTN,MKTSTATS
II4T.Z,DJ COMP ISSUES TOTAL,DTN,DTN,MKTSTATS
II4U.Z,DJ COMP ISSUES UNCHG,DTN,DTN,MKTSTATS
VI4D.Z,DJ COMP ISSUES VOLUME DOWN,DTN,DTN,MKTSTATS
JV4T.Z,DJ COMP ISSUES VOLUME NET,DTN,DTN,MKTSTATS
VI4T.Z,DJ COMP ISSUES VOLUME TOTAL,DTN,DTN,MKTSTATS
VI4U.Z,DJ COMP ISSUES VOLUME UNCHG,DTN,DTN,MKTSTATS
VI4A.Z,DJ COMP ISSUES VOLUME UP,DTN,DTN,MKTSTATS
FI4H.Z,DJ COMP NEW FIFTY-TWO WEEK HIGHS,DTN,DTN,MKTSTATS
FI4L.Z,DJ COMP NEW FIFTY-TWO WEEK LOWS,DTN,DTN,MKTSTATS
JF4T.Z,DJ COMP NEW FIFTY-TWO WEEK NET,DTN,DTN,MKTSTATS
FR4T.Z,DJ COMP NEW FIFTY-TWO WEEK RATIO,DTN,DTN,MKTSTATS
H14H.Z,DJ COMP PREVIOUS DAY NEW HIGHS,DTN,DTN,MKTSTATS
H14L.Z,DJ COMP PREVIOUS DAY NEW LOWS,DTN,DTN,MKTSTATS
TI4D.Z,DJ COMP TICKS DOWN,DTN,DTN,MKTSTATS
JT4T.Z,DJ COMP TICKS NET,DTN,DTN,MKTSTATS
TR4T.Z,DJ COMP TICKS RATIO,DTN,DTN,MKTSTATS
TI4T.Z,DJ COMP TICKS TOTAL,DTN,DTN,MKTSTATS
TI4A.Z,DJ COMP TICKS UP,DTN,DTN,MKTSTATS
RI4T.Z,DJ COMP TRIN,DTN,DTN,MKTSTATS
H301H.Z,DJ INDU 1 MONTH NEW HIGHS,DTN,DTN,MKTSTATS
H301L.Z,DJ INDU 1 MONTH NEW LOWS,DTN,DTN,MKTSTATS
H71H.Z,DJ INDU 1 WEEK NEW HIGHS,DTN,DTN,MKTSTATS
H71L.Z,DJ INDU 1 WEEK NEW LOWS,DTN,DTN,MKTSTATS
M201V.Z,DJ INDU 20 DAY MOVING AVG ABOVE,DTN,DTN,MKTSTATS
M201B.Z,DJ INDU 20 DAY MOVING AVG BELOW,DTN,DTN,MKTSTATS
M2001V.Z,DJ INDU 200 DAY MOVING AVG ABOVE,DTN,DTN,MKTSTATS
M2001B.Z,DJ INDU 200 DAY MOVING AVG BELOW,DTN,DTN,MKTSTATS
H901H.Z,DJ INDU 3 MONTH NEW HIGHS,DTN,DTN,MKTSTATS
H901L.Z,DJ INDU 3 MONTH NEW LOWS,DTN,DTN,MKTSTATS
M501V.Z,DJ INDU 50 DAY MOVING AVG ABOVE,DTN,DTN,MKTSTATS
M501B.Z,DJ INDU 50 DAY MOVING AVG BELOW,DTN,DTN,MKTSTATS
AI1T.Z,DJ INDU AVERAGE PRICE,DTN,DTN,MKTSTATS
H01H.Z,DJ INDU CURRENT DAY NEW HIGHS,DTN,DTN,MKTSTATS
H01L.Z,DJ INDU CURRENT DAY NEW LOWS,DTN,DTN,MKTSTATS
IR1T.Z,DJ INDU ISS ADV DEC RATIO,DTN,DTN,MKTSTATS
DI1A.Z,DJ INDU ISSUES $ VOL ADVANCES,DTN,DTN,MKTSTATS
DI1D.Z,DJ INDU ISSUES $ VOL DECLINES,DTN,DTN,MKTSTATS
DI1N.Z,DJ INDU ISSUES $ VOL NET,DTN,DTN,MKTSTATS
DI1T.Z,DJ INDU ISSUES $ VOL TOTAL,DTN,DTN,MKTSTATS
DI1U.Z,DJ INDU ISSUES $ VOL UNCHG,DTN,DTN,MKTSTATS
II1A.Z,DJ INDU ISSUES ADVANCES,DTN,DTN,MKTSTATS
II1D.Z,DJ INDU ISSUES DECLINES,DTN,DTN,MKTSTATS
JI1T.Z,DJ INDU ISSUES NET,DTN,DTN,MKTSTATS
II1T.Z,DJ INDU ISSUES TOTAL,DTN,DTN,MKTSTATS
II1U.Z,DJ INDU ISSUES UNCHG,DTN,DTN,MKTSTATS
VI1D.Z,DJ INDU ISSUES VOLUME DOWN,DTN,DTN,MKTSTATS
JV1T.Z,DJ INDU ISSUES VOLUME NET,DTN,DTN,MKTSTATS
VI1T.Z,DJ INDU ISSUES VOLUME TOTAL,DTN,DTN,MKTSTATS
VI1U.Z,DJ INDU ISSUES VOLUME UNCHG,DTN,DTN,MKTSTATS
VI1A.Z,DJ INDU ISSUES VOLUME UP,DTN,DTN,MKTSTATS
FI1H.Z,DJ INDU NEW FIFTY-TWO WEEK HIGHS,DTN,DTN,MKTSTATS
FI1L.Z,DJ INDU NEW FIFTY-TWO WEEK LOWS,DTN,DTN,MKTSTATS
JF1T.Z,DJ INDU NEW FIFTY-TWO WEEK NET,DTN,DTN,MKTSTATS
FR1T.Z,DJ INDU NEW FIFTY-TWO WEEK RATIO,DTN,DTN,MKTSTATS
H11H.Z,DJ INDU PREVIOUS DAY NEW HIGHS,DTN,DTN,MKTSTATS
H11L.Z,DJ INDU PREVIOUS DAY NEW LOWS,DTN,DTN,MKTSTATS
TI1D.Z,DJ INDU TICKS DOWN,DTN,DTN,MKTSTATS
JT1T.Z,DJ INDU TICKS NET,DTN,DTN,MKTSTATS
TR1T.Z,DJ INDU TICKS RATIO,DTN,DTN,MKTSTATS
TI1T.Z,DJ INDU TICKS TOTAL,DTN,DTN,MKTSTATS
TI1A.Z,DJ INDU TICKS UP,DTN,DTN,MKTSTATS
RI1T.Z,DJ INDU TRIN,DTN,DTN,MKTSTATS
H302H.Z,DJ TRANS 1 MONTH NEW HIGHS,DTN,DTN,MKTSTATS
H302L.Z,DJ TRANS 1 MONTH NEW LOWS,DTN,DTN,MKTSTATS
H72H.Z,DJ TRANS 1 WEEK NEW HIGHS,DTN,DTN,MKTSTATS
H72L.Z,DJ TRANS 1 WEEK NEW LOWS,DTN,DTN,MKTSTATS
M202V.Z,DJ TRANS 20 DAY MOVING AVG ABOVE,DTN,DTN,MKTSTATS
M202B.Z,DJ TRANS 20 DAY MOVING AVG BELOW,DTN,DTN,MKTSTATS
M2002V.Z,DJ TRANS 200 DAY MOVING AVG ABOVE,DTN,DTN,MKTSTATS
M2002B.Z,DJ TRANS 200 DAY MOVING AVG BELOW,DTN,DTN,MKTSTATS
H902H.Z,DJ TRANS 3 MONTH NEW HIGHS,DTN,DTN,MKTSTATS
H902L.Z,DJ TRANS 3 MONTH NEW LOWS,DTN,DTN,MKTSTATS
M502V.Z,DJ TRANS 50 DAY MOVING AVG ABOVE,DTN,DTN,MKTSTATS
M502B.Z,DJ TRANS 50 DAY MOVING AVG BELOW,DTN,DTN,MKTSTATS
AI2T.Z,DJ TRANS AVERAGE PRICE,DTN,DTN,MKTSTATS
H02H.Z,DJ TRANS CURRENT DAY NEW HIGHS,DTN,DTN,MKTSTATS
H02L.Z,DJ TRANS CURRENT DAY NEW LOWS,DTN,DTN,MKTSTATS
IR2T.Z,DJ TRANS ISS ADV DEC RATIO,DTN,DTN,MKTSTATS
DI2A.Z,DJ TRANS ISSUES $ VOL ADVANCES,DTN,DTN,MKTSTATS
DI2D.Z,DJ TRANS ISSUES $ VOL DECLINES,DTN,DTN,MKTSTATS
DI2N.Z,DJ TRANS ISSUES $ VOL NET,DTN,DTN,MKTSTATS
DI2T.Z,DJ TRANS ISSUES $ VOL TOTAL,DTN,DTN,MKTSTATS
DI2U.Z,DJ TRANS ISSUES $ VOL UNCHG,DTN,DTN,MKTSTATS
II2A.Z,DJ TRANS ISSUES ADVANCES,DTN,DTN,MKTSTATS
II2D.Z,DJ TRANS ISSUES DECLINES,DTN,DTN,MKTSTATS
JI2T.Z,DJ TRANS ISSUES NET,DTN,DTN,MKTSTATS
II2T.Z,DJ TRANS ISSUES TOTAL,DTN,DTN,MKTSTATS
II2U.Z,DJ TRANS ISSUES UNCHG,DTN,DTN,MKTSTATS
VI2D.Z,DJ TRANS ISSUES VOLUME DOWN,DTN,DTN,MKTSTATS
JV2T.Z,DJ TRANS ISSUES VOLUME NET,DTN,DTN,MKTSTATS
VI2T.Z,DJ TRANS ISSUES VOLUME TOTAL,DTN,DTN,MKTSTATS
VI2U.Z,DJ TRANS ISSUES VOLUME UNCHG,DTN,DTN,MKTSTATS
VI2A.Z,DJ TRANS ISSUES VOLUME UP,DTN,DTN,MKTSTATS
FI2H.Z,DJ TRANS NEW FIFTY-TWO WEEK HIGHS,DTN,DTN,MKTSTATS
FI2L.Z,DJ TRANS NEW FIFTY-TWO WEEK LOWS,DTN,DTN,MKTSTATS
JF2T.Z,DJ TRANS NEW FIFTY-TWO WEEK NET,DTN,DTN,MKTSTATS
FR2T.Z,DJ TRANS NEW FIFTY-TWO WEEK RATIO,DTN,DTN,MKTSTATS
H12H.Z,DJ TRANS PREVIOUS DAY NEW HIGHS,DTN,DTN,MKTSTATS
H12L.Z,DJ TRANS PREVIOUS DAY NEW LOWS,DTN,DTN,MKTSTATS
TI2D.Z,DJ TRANS TICKS DOWN,DTN,DTN,MKTSTATS
JT2T.Z,DJ TRANS TICKS NET,DTN,DTN,MKTSTATS
