symbol,description,exchange,listedMarket,securityType
ABTN25,BUTTER July 2025,EEXAG,EEXAG,FUTURE
ABTQ25,BUTTER August 2025,EEXAG,EEXAG,FUTURE
ABTU25,BUTTER September 2025,EEXAG,EEXAG,FUTURE
ABTV25,BUTTER October 2025,EEXAG,EEXAG,FUTURE
ABTX25,BUTTER November 2025,EEXAG,EEXAG,FUTURE
ABTZ25,BUTTER December 2025,EEXAG,EEXAG,FUTURE
ABTF26,BUTTER January 2026,EEXAG,EEXAG,FUTURE
ABTG26,BUTTER February 2026,EEXAG,EEXAG,FUTURE
ABTH26,BUTTER March 2026,EEXAG,EEXAG,FUTURE
ABTJ26,BUTTER April 2026,EEXAG,EEXAG,FUTURE
ABTK26,BUTTER May 2026,EEXAG,EEXAG,FUTURE
ABTM26,BUTTER June 2026,EEXAG,EEXAG,FUTURE
ABTN26,BUTTER July 2026,EEXAG,EEXAG,FUTURE
ABTQ26,BUTTER August 2026,EEXAG,EEXAG,FUTURE
ABTU26,BUTTER September 2026,EEXAG,EEXAG,FUTURE
ABTV26,BUTTER October 2026,EEXAG,EEXAG,FUTURE
ABTX26,BUTTER November 2026,EEXAG,EEXAG,FUTURE
ABTZ26,BUTTER December 2026,EEXAG,EEXAG,FUTURE
ABTF27,BUTTER January 2027,EEXAG,EEXAG,FUTURE
ABTG27,BUTTER February 2027,EEXAG,EEXAG,FUTURE
APPX25,EUROPEAN PROCESSING POTATO November 2025,EEXAG,EEXAG,FUTURE
APPJ26,EUROPEAN PROCESSING POTATO April 2026,EEXAG,EEXAG,FUTURE
APPM26,EUROPEAN PROCESSING POTATO June 2026,EEXAG,EEXAG,FUTURE
APPJ27,EUROPEAN PROCESSING POTATO April 2027,EEXAG,EEXAG,FUTURE
ASKN25,SKIMMED MILK POWDER July 2025,EEXAG,EEXAG,FUTURE
ASKQ25,SKIMMED MILK POWDER August 2025,EEXAG,EEXAG,FUTURE
ASKU25,SKIMMED MILK POWDER September 2025,EEXAG,EEXAG,FUTURE
ASKV25,SKIMMED MILK POWDER October 2025,EEXAG,EEXAG,FUTURE
ASKX25,SKIMMED MILK POWDER November 2025,EEXAG,EEXAG,FUTURE
ASKZ25,SKIMMED MILK POWDER December 2025,EEXAG,EEXAG,FUTURE
ASKF26,SKIMMED MILK POWDER January 2026,EEXAG,EEXAG,FUTURE
ASKG26,SKIMMED MILK POWDER February 2026,EEXAG,EEXAG,FUTURE
ASKH26,SKIMMED MILK POWDER March 2026,EEXAG,EEXAG,FUTURE
ASKJ26,SKIMMED MILK POWDER April 2026,EEXAG,EEXAG,FUTURE
ASKK26,SKIMMED MILK POWDER May 2026,EEXAG,EEXAG,FUTURE
ASKM26,SKIMMED MILK POWDER June 2026,EEXAG,EEXAG,FUTURE
ASKN26,SKIMMED MILK POWDER July 2026,EEXAG,EEXAG,FUTURE
ASKQ26,SKIMMED MILK POWDER August 2026,EEXAG,EEXAG,FUTURE
ASKU26,SKIMMED MILK POWDER September 2026,EEXAG,EEXAG,FUTURE
ASKV26,SKIMMED MILK POWDER October 2026,EEXAG,EEXAG,FUTURE
ASKX26,SKIMMED MILK POWDER November 2026,EEXAG,EEXAG,FUTURE
ASKZ26,SKIMMED MILK POWDER December 2026,EEXAG,EEXAG,FUTURE
ASKF27,SKIMMED MILK POWDER January 2027,EEXAG,EEXAG,FUTURE
ASKG27,SKIMMED MILK POWDER February 2027,EEXAG,EEXAG,FUTURE
AWHN25,EUROPEAN WHEY POWDER July 2025,EEXAG,EEXAG,FUTURE
AWHQ25,EUROPEAN WHEY POWDER August 2025,EEXAG,EEXAG,FUTURE
AWHU25,EUROPEAN WHEY POWDER September 2025,EEXAG,EEXAG,FUTURE
AWHV25,EUROPEAN WHEY POWDER October 2025,EEXAG,EEXAG,FUTURE
AWHX25,EUROPEAN WHEY POWDER November 2025,EEXAG,EEXAG,FUTURE
AWHZ25,EUROPEAN WHEY POWDER December 2025,EEXAG,EEXAG,FUTURE
AWHF26,EUROPEAN WHEY POWDER January 2026,EEXAG,EEXAG,FUTURE
AWHG26,EUROPEAN WHEY POWDER February 2026,EEXAG,EEXAG,FUTURE
AWHH26,EUROPEAN WHEY POWDER March 2026,EEXAG,EEXAG,FUTURE
AWHJ26,EUROPEAN WHEY POWDER April 2026,EEXAG,EEXAG,FUTURE
AWHK26,EUROPEAN WHEY POWDER May 2026,EEXAG,EEXAG,FUTURE
AWHM26,EUROPEAN WHEY POWDER June 2026,EEXAG,EEXAG,FUTURE
AWHN26,EUROPEAN WHEY POWDER July 2026,EEXAG,EEXAG,FUTURE
AWHQ26,EUROPEAN WHEY POWDER August 2026,EEXAG,EEXAG,FUTURE
AWHU26,EUROPEAN WHEY POWDER September 2026,EEXAG,EEXAG,FUTURE
AWHV26,EUROPEAN WHEY POWDER October 2026,EEXAG,EEXAG,FUTURE
AWHX26,EUROPEAN WHEY POWDER November 2026,EEXAG,EEXAG,FUTURE
AWHZ26,EUROPEAN WHEY POWDER December 2026,EEXAG,EEXAG,FUTURE
AWHF27,EUROPEAN WHEY POWDER January 2027,EEXAG,EEXAG,FUTURE
AWHG27,EUROPEAN WHEY POWDER February 2027,EEXAG,EEXAG,FUTURE
