symbol,description,exchange,listedMarket,securityType
3BM.OI.Z,TTF NATURAL GAS MONTHLY Future Total Open Interest,EEXN,EEXN,COMBINED_FUTURE
3BM.VOL.Z,TTF NATURAL GAS MONTHLY Future Total Volume,EEXN,EEXN,COMBINED_FUTURE
3BQ.OI.Z,TTF NATURAL GAS QUARTERLY Future Total Open Interest,EEXN,EEXN,COMBINED_FUTURE
3BQ.VOL.Z,TTF NATURAL GAS QUARTERLY Future Total Volume,EEXN,EEXN,COMBINED_FUTURE
3BS.OI.Z,TTF NATURAL GAS SEASONAL Future Total Open Interest,EEXN,EEXN,COMBINED_FUTURE
3BS.VOL.Z,TTF NATURAL GAS SEASONAL Future Total Volume,EEXN,EEXN,COMBINED_FUTURE
3BY.OI.Z,TTF NATURAL GAS YEAR Future Total Open Interest,EEXN,EEXN,COMBINED_FUTURE
3BY.VOL.Z,TTF NATURAL GAS YEAR Future Total Volume,EEXN,EEXN,COMBINED_FUTURE
5BM.OI.Z,PEG NORD NATURAL GAS MONTHLY Future Total Open Interest,EEXN,EEXN,COMBINED_FUTURE
5BM.VOL.Z,PEG NORD NATURAL GAS MONTHLY Future Total Volume,EEXN,EEXN,COMBINED_FUTURE
5BQ.OI.Z,PEG NORD NATURAL GAS QUARTERLY Future Total Open Interest,EEXN,EEXN,COMBINED_FUTURE
5BQ.VOL.Z,PEG NORD NATURAL GAS QUARTERLY Future Total Volume,EEXN,EEXN,COMBINED_FUTURE
5BS.OI.Z,PEG NORD NATURAL GAS SEASONAL Future Total Open Interest,EEXN,EEXN,COMBINED_FUTURE
5BS.VOL.Z,PEG NORD NATURAL GAS SEASONAL Future Total Volume,EEXN,EEXN,COMBINED_FUTURE
5BY.OI.Z,PEG NORD NATURAL GAS YEAR Future Total Open Interest,EEXN,EEXN,COMBINED_FUTURE
5BY.VOL.Z,PEG NORD NATURAL GAS YEAR Future Total Volume,EEXN,EEXN,COMBINED_FUTURE
B1M.OI.Z,EEX TRADING HUB EUROPE NG OTF MONTHLY Future Total Open Interest,EEXN,EEXN,COMBINED_FUTURE
B1M.VOL.Z,EEX TRADING HUB EUROPE NG OTF MONTHLY Future Total Volume,EEXN,EEXN,COMBINED_FUTURE
B1Q.OI.Z,EEX TRADING HUB EUROPE NG OTF QUARTERLY Future Total Open Interest,EEXN,EEXN,COMBINED_FUTURE
B1Q.VOL.Z,EEX TRADING HUB EUROPE NG OTF QUARTERLY Future Total Volume,EEXN,EEXN,COMBINED_FUTURE
B1S.OI.Z,EEX TRADING HUB EUROPE NG OTF SEASONAL Future Total Open Interest,EEXN,EEXN,COMBINED_FUTURE
B1S.VOL.Z,EEX TRADING HUB EUROPE NG OTF SEASONAL Future Total Volume,EEXN,EEXN,COMBINED_FUTURE
B1Y.OI.Z,EEX TRADING HUB EUROPE NG OTF YEAR Future Total Open Interest,EEXN,EEXN,COMBINED_FUTURE
B1Y.VOL.Z,EEX TRADING HUB EUROPE NG OTF YEAR Future Total Volume,EEXN,EEXN,COMBINED_FUTURE
BBS.OI.Z,ZTP NATURAL GAS SEASONAL Future Total Open Interest,EEXN,EEXN,COMBINED_FUTURE
BBS.VOL.Z,ZTP NATURAL GAS SEASONAL Future Total Volume,EEXN,EEXN,COMBINED_FUTURE
BCQ.OI.Z,PSV PHYSICAL NATURAL GAS QUARTERLY OTF Future Total Open Interest,EEXN,EEXN,COMBINED_FUTURE
BCQ.VOL.Z,PSV PHYSICAL NATURAL GAS QUARTERLY OTF Future Total Volume,EEXN,EEXN,COMBINED_FUTURE
BCS.OI.Z,PSV PHYSICAL NATURAL GAS SEASONAL OTF Future Total Open Interest,EEXN,EEXN,COMBINED_FUTURE
BCS.VOL.Z,PSV PHYSICAL NATURAL GAS SEASONAL OTF Future Total Volume,EEXN,EEXN,COMBINED_FUTURE
BCY.OI.Z,PSV PHYSICAL NATURAL GAS YEAR OTF Future Total Open Interest,EEXN,EEXN,COMBINED_FUTURE
BCY.VOL.Z,PSV PHYSICAL NATURAL GAS YEAR OTF Future Total Volume,EEXN,EEXN,COMBINED_FUTURE
BZQ.OI.Z,ZTP NATURAL GAS QUARTERLY Future Total Open Interest,EEXN,EEXN,COMBINED_FUTURE
BZQ.VOL.Z,ZTP NATURAL GAS QUARTERLY Future Total Volume,EEXN,EEXN,COMBINED_FUTURE
BZY.OI.Z,ZTP NATURAL GAS YEAR Future Total Open Interest,EEXN,EEXN,COMBINED_FUTURE
BZY.VOL.Z,ZTP NATURAL GAS YEAR Future Total Volume,EEXN,EEXN,COMBINED_FUTURE
CBQ.OI.Z,PSV PHYSICAL NATURAL GAS QUARTERLY Future Total Open Interest,EEXN,EEXN,COMBINED_FUTURE
CBQ.VOL.Z,PSV PHYSICAL NATURAL GAS QUARTERLY Future Total Volume,EEXN,EEXN,COMBINED_FUTURE
CBS.OI.Z,PSV PHYSICAL NATURAL GAS SEASONAL Future Total Open Interest,EEXN,EEXN,COMBINED_FUTURE
CBS.VOL.Z,PSV PHYSICAL NATURAL GAS SEASONAL Future Total Volume,EEXN,EEXN,COMBINED_FUTURE
