symbol,description,exchange,listedMarket,securityType
0B1.OI.Z,DUTCH BASELOAD MONTHLY WEEK 1 Future Total Open Interest,EEXP,EEXP,COMBINED_FUTURE
0B1.VOL.Z,DUTCH BASELOAD MONTHLY WEEK 1 Future Total Volume,EEXP,EEXP,COMBINED_FUTURE
0B2.OI.Z,DUTCH BASELOAD MONTHLY WEEK 2 Future Total Open Interest,EEXP,EEXP,COMBINED_FUTURE
0B2.VOL.Z,DUTCH BASELOAD MONTHLY WEEK 2 Future Total Volume,EEXP,EEXP,COMBINED_FUTURE
0B3.OI.Z,DUTCH BASELOAD MONTHLY WEEK 3 Future Total Open Interest,EEXP,EEXP,COMBINED_FUTURE
0B3.VOL.Z,DUTCH BASELOAD MONTHLY WEEK 3 Future Total Volume,EEXP,EEXP,COMBINED_FUTURE
0B4.OI.Z,DUTCH BASELOAD MONTHLY WEEK 4 Future Total Open Interest,EEXP,EEXP,COMBINED_FUTURE
0B4.VOL.Z,DUTCH BASELOAD MONTHLY WEEK 4 Future Total Volume,EEXP,EEXP,COMBINED_FUTURE
0BM.OI.Z,DUTCH BASELOAD MONTHLY FINANCIAL Future Total Open Interest,EEXP,EEXP,COMBINED_FUTURE
0BM.VOL.Z,DUTCH BASELOAD MONTHLY FINANCIAL Future Total Volume,EEXP,EEXP,COMBINED_FUTURE
0BQ.OI.Z,DUTCH BASELOAD QUARTERLY FINANCIAL Future Total Open Interest,EEXP,EEXP,COMBINED_FUTURE
0BQ.VOL.Z,DUTCH BASELOAD QUARTERLY FINANCIAL Future Total Volume,EEXP,EEXP,COMBINED_FUTURE
0BY.OI.Z,DUTCH BASELOAD YEAR FINANCIAL Future Total Open Interest,EEXP,EEXP,COMBINED_FUTURE
0BY.VOL.Z,DUTCH BASELOAD YEAR FINANCIAL Future Total Volume,EEXP,EEXP,COMBINED_FUTURE
0PM.OI.Z,DUTCH PEAKLOAD MONTHLY FINANCIAL Future Total Open Interest,EEXP,EEXP,COMBINED_FUTURE
0PM.VOL.Z,DUTCH PEAKLOAD MONTHLY FINANCIAL Future Total Volume,EEXP,EEXP,COMBINED_FUTURE
0PQ.OI.Z,DUTCH PEAKLOAD QUARTERLY FIINANCIAL Future Total Open Interest,EEXP,EEXP,COMBINED_FUTURE
0PQ.VOL.Z,DUTCH PEAKLOAD QUARTERLY FIINANCIAL Future Total Volume,EEXP,EEXP,COMBINED_FUTURE
0PY.OI.Z,DUTCH PEAKLOAD YEAR FINANCIAL Future Total Open Interest,EEXP,EEXP,COMBINED_FUTURE
0PY.VOL.Z,DUTCH PEAKLOAD YEAR FINANCIAL Future Total Volume,EEXP,EEXP,COMBINED_FUTURE
11M.OI.Z,BELGIAN BASELOAD MONTHLY FINANCIAL Future Total Open Interest,EEXP,EEXP,COMBINED_FUTURE
11M.VOL.Z,BELGIAN BASELOAD MONTHLY FINANCIAL Future Total Volume,EEXP,EEXP,COMBINED_FUTURE
11Q.OI.Z,BELGIAN BASELOAD QUARTERLY FINANCIAL Future Total Open Interest,EEXP,EEXP,COMBINED_FUTURE
11Q.VOL.Z,BELGIAN BASELOAD QUARTERLY FINANCIAL Future Total Volume,EEXP,EEXP,COMBINED_FUTURE
11Y.OI.Z,BELGIAN BASELOAD YEAR FINANCIAL Future Total Open Interest,EEXP,EEXP,COMBINED_FUTURE
11Y.VOL.Z,BELGIAN BASELOAD YEAR FINANCIAL Future Total Volume,EEXP,EEXP,COMBINED_FUTURE
7B1.OI.Z,FRENCH FINANCIAL BASELOAD WEEK 1 Future Total Open Interest,EEXP,EEXP,COMBINED_FUTURE
7B1.VOL.Z,FRENCH FINANCIAL BASELOAD WEEK 1 Future Total Volume,EEXP,EEXP,COMBINED_FUTURE
7B2.OI.Z,FRENCH FINANCIAL BASELOAD WEEK 2 Future Total Open Interest,EEXP,EEXP,COMBINED_FUTURE
7B2.VOL.Z,FRENCH FINANCIAL BASELOAD WEEK 2 Future Total Volume,EEXP,EEXP,COMBINED_FUTURE
7B3.OI.Z,FRENCH FINANCIAL BASELOAD WEEK 3 Future Total Open Interest,EEXP,EEXP,COMBINED_FUTURE
7B3.VOL.Z,FRENCH FINANCIAL BASELOAD WEEK 3 Future Total Volume,EEXP,EEXP,COMBINED_FUTURE
7B4.OI.Z,FRENCH FINANCIAL BASELOAD WEEK 4 Future Total Open Interest,EEXP,EEXP,COMBINED_FUTURE
7B4.VOL.Z,FRENCH FINANCIAL BASELOAD WEEK 4 Future Total Volume,EEXP,EEXP,COMBINED_FUTURE
7BM.OI.Z,FRENCH FINANCIAL BASE MONTHLY Future Total Open Interest,EEXP,EEXP,COMBINED_FUTURE
7BM.VOL.Z,FRENCH FINANCIAL BASE MONTHLY Future Total Volume,EEXP,EEXP,COMBINED_FUTURE
7BQ.OI.Z,FRENCH FINANCIAL BASE QUARTERLY Future Total Open Interest,EEXP,EEXP,COMBINED_FUTURE
7BQ.VOL.Z,FRENCH FINANCIAL BASE QUARTERLY Future Total Volume,EEXP,EEXP,COMBINED_FUTURE
7BY.OI.Z,FRENCH FINANCIAL BASE YEAR Future Total Open Interest,EEXP,EEXP,COMBINED_FUTURE
7BY.VOL.Z,FRENCH FINANCIAL BASE YEAR Future Total Volume,EEXP,EEXP,COMBINED_FUTURE
7P1.OI.Z,FRENCH FINANCIAL PEAKLOAD WEEK 1 Future Total Open Interest,EEXP,EEXP,COMBINED_FUTURE
7P1.VOL.Z,FRENCH FINANCIAL PEAKLOAD WEEK 1 Future Total Volume,EEXP,EEXP,COMBINED_FUTURE
7P2.OI.Z,FRENCH FINANCIAL PEAKLOAD WEEK 2 Future Total Open Interest,EEXP,EEXP,COMBINED_FUTURE
7P2.VOL.Z,FRENCH FINANCIAL PEAKLOAD WEEK 2 Future Total Volume,EEXP,EEXP,COMBINED_FUTURE
7P3.OI.Z,FRENCH FINANCIAL PEAKLOAD WEEK 3 Future Total Open Interest,EEXP,EEXP,COMBINED_FUTURE
