symbol,description,exchange,listedMarket,securityType
CAQ25C.OI.Z,CORN Aug 2025 Future Option Call Total Open Interest,ENCOM,ENCOM,COMBINED_FOPTION
CAQ25C.VOL.Z,CORN Aug 2025 Future Option Call Total Volume,ENCOM,ENCOM,COMBINED_FOPTION
CAQ25P.OI.Z,CORN Aug 2025 Future Option Put Total Open Interest,ENCOM,ENCOM,COMBINED_FOPTION
CAQ25P.VOL.Z,CORN Aug 2025 Future Option Put Total Volume,ENCOM,ENCOM,COMBINED_FOPTION
CAX25C.OI.Z,CORN Nov 2025 Future Option Call Total Open Interest,ENCOM,ENCOM,COMBINED_FOPTION
CAX25C.VOL.Z,CORN Nov 2025 Future Option Call Total Volume,ENCOM,ENCOM,COMBINED_FOPTION
CAX25P.OI.Z,CORN Nov 2025 Future Option Put Total Open Interest,ENCOM,ENCOM,COMBINED_FOPTION
CAX25P.VOL.Z,CORN Nov 2025 Future Option Put Total Volume,ENCOM,ENCOM,COMBINED_FOPTION
CAH26C.OI.Z,CORN Mar 2026 Future Option Call Total Open Interest,ENCOM,ENCOM,COMBINED_FOPTION
CAH26C.VOL.Z,CORN Mar 2026 Future Option Call Total Volume,ENCOM,ENCOM,COMBINED_FOPTION
CAH26P.OI.Z,CORN Mar 2026 Future Option Put Total Open Interest,ENCOM,ENCOM,COMBINED_FOPTION
CAH26P.VOL.Z,CORN Mar 2026 Future Option Put Total Volume,ENCOM,ENCOM,COMBINED_FOPTION
CAM26C.OI.Z,CORN Jun 2026 Future Option Call Total Open Interest,ENCOM,ENCOM,COMBINED_FOPTION
CAM26C.VOL.Z,CORN Jun 2026 Future Option Call Total Volume,ENCOM,ENCOM,COMBINED_FOPTION
CAM26P.OI.Z,CORN Jun 2026 Future Option Put Total Open Interest,ENCOM,ENCOM,COMBINED_FOPTION
CAM26P.VOL.Z,CORN Jun 2026 Future Option Put Total Volume,ENCOM,ENCOM,COMBINED_FOPTION
CAQ26C.OI.Z,CORN Aug 2026 Future Option Call Total Open Interest,ENCOM,ENCOM,COMBINED_FOPTION
CAQ26C.VOL.Z,CORN Aug 2026 Future Option Call Total Volume,ENCOM,ENCOM,COMBINED_FOPTION
CAQ26P.OI.Z,CORN Aug 2026 Future Option Put Total Open Interest,ENCOM,ENCOM,COMBINED_FOPTION
CAQ26P.VOL.Z,CORN Aug 2026 Future Option Put Total Volume,ENCOM,ENCOM,COMBINED_FOPTION
CAX26C.OI.Z,CORN Nov 2026 Future Option Call Total Open Interest,ENCOM,ENCOM,COMBINED_FOPTION
CAX26C.VOL.Z,CORN Nov 2026 Future Option Call Total Volume,ENCOM,ENCOM,COMBINED_FOPTION
CAX26P.OI.Z,CORN Nov 2026 Future Option Put Total Open Interest,ENCOM,ENCOM,COMBINED_FOPTION
CAX26P.VOL.Z,CORN Nov 2026 Future Option Put Total Volume,ENCOM,ENCOM,COMBINED_FOPTION
CAH27C.OI.Z,CORN Mar 2027 Future Option Call Total Open Interest,ENCOM,ENCOM,COMBINED_FOPTION
CAH27C.VOL.Z,CORN Mar 2027 Future Option Call Total Volume,ENCOM,ENCOM,COMBINED_FOPTION
CAH27P.OI.Z,CORN Mar 2027 Future Option Put Total Open Interest,ENCOM,ENCOM,COMBINED_FOPTION
CAH27P.VOL.Z,CORN Mar 2027 Future Option Put Total Volume,ENCOM,ENCOM,COMBINED_FOPTION
CAM27C.OI.Z,CORN Jun 2027 Future Option Call Total Open Interest,ENCOM,ENCOM,COMBINED_FOPTION
CAM27C.VOL.Z,CORN Jun 2027 Future Option Call Total Volume,ENCOM,ENCOM,COMBINED_FOPTION
CAM27P.OI.Z,CORN Jun 2027 Future Option Put Total Open Interest,ENCOM,ENCOM,COMBINED_FOPTION
CAM27P.VOL.Z,CORN Jun 2027 Future Option Put Total Volume,ENCOM,ENCOM,COMBINED_FOPTION
CAQ27C.OI.Z,CORN Aug 2027 Future Option Call Total Open Interest,ENCOM,ENCOM,COMBINED_FOPTION
CAQ27C.VOL.Z,CORN Aug 2027 Future Option Call Total Volume,ENCOM,ENCOM,COMBINED_FOPTION
CAQ27P.OI.Z,CORN Aug 2027 Future Option Put Total Open Interest,ENCOM,ENCOM,COMBINED_FOPTION
CAQ27P.VOL.Z,CORN Aug 2027 Future Option Put Total Volume,ENCOM,ENCOM,COMBINED_FOPTION
CAX27C.OI.Z,CORN Nov 2027 Future Option Call Total Open Interest,ENCOM,ENCOM,COMBINED_FOPTION
CAX27C.VOL.Z,CORN Nov 2027 Future Option Call Total Volume,ENCOM,ENCOM,COMBINED_FOPTION
