symbol,description,exchange,listedMarket,securityType
ASF.OI.Z,SALMON Future Total Open Interest,ENCOM,ENCOM,COMBINED_FUTURE
ASF.VOL.Z,SALMON Future Total Volume,ENCOM,ENCOM,COMBINED_FUTURE
BKS.OI.Z,MILLING WHEAT NO. 2 VS KC HRW WHEAT Future Total Open Interest,ENCOM,ENCOM,COMBINED_FUTURE
BKS.VOL.Z,MILLING WHEAT NO. 2 VS KC HRW WHEAT Future Total Volume,ENCOM,ENCOM,COMBINED_FUTURE
BMS.OI.Z,MILLING WHEAT NO. 2 VS CORN Future Total Open Interest,ENCOM,ENCOM,COMBINED_FUTURE
BMS.VOL.Z,MILLING WHEAT NO. 2 VS CORN Future Total Volume,ENCOM,ENCOM,COMBINED_FUTURE
BWS.OI.Z,MILLING WHEAT NO. 2 VS CHICAGO WHEAT Future Total Open Interest,ENCOM,ENCOM,COMBINED_FUTURE
BWS.VOL.Z,MILLING WHEAT NO. 2 VS CHICAGO WHEAT Future Total Volume,ENCOM,ENCOM,COMBINED_FUTURE
CA.OI.Z,CORN Future Total Open Interest,ENCOM,ENCOM,COMBINED_FUTURE
CA.VOL.Z,CORN Future Total Volume,ENCOM,ENCOM,COMBINED_FUTURE
EDW.OI.Z,DURUM WHEAT Future Total Open Interest,ENCOM,ENCOM,COMBINED_FUTURE
EDW.VOL.Z,DURUM WHEAT Future Total Volume,ENCOM,ENCOM,COMBINED_FUTURE
PG.OI.Z,RAPESEED Future Total Open Interest,ENCOM,ENCOM,COMBINED_FUTURE
PG.VOL.Z,RAPESEED Future Total Volume,ENCOM,ENCOM,COMBINED_FUTURE
PM.OI.Z,MILLING WHEAT NO. 2 Future Total Open Interest,ENCOM,ENCOM,COMBINED_FUTURE
PM.VOL.Z,MILLING WHEAT NO. 2 Future Total Volume,ENCOM,ENCOM,COMBINED_FUTURE
