symbol,description,exchange,listedMarket,securityType
ASF#C,SALMON Continuous Backadjusted,ENCOM,ENCOM,FUTURE
ASF#,SALMON Continuous,ENCOM,ENCOM,FUTURE
ASFQ25,SALMON August 2025,ENCOM,ENCOM,FUTURE
ASFU25,SALMON September 2025,ENCOM,ENCOM,FUTURE
ASFV25,SALMON October 2025,ENCOM,ENCOM,FUTURE
ASFX25,SALMON November 2025,ENCOM,ENCOM,FUTURE
ASFZ25,SALMON December 2025,ENCOM,ENCOM,FUTURE
ASFF26,SALMON January 2026,ENCOM,ENCOM,FUTURE
ASFG26,SALMON February 2026,ENCOM,ENCOM,FUTURE
ASFH26,SALMON March 2026,ENCOM,ENCOM,FUTURE
ASFJ26,SALMON April 2026,ENCOM,ENCOM,FUTURE
ASFK26,SALMON May 2026,ENCOM,ENCOM,FUTURE
ASFM26,SALMON June 2026,ENCOM,ENCOM,FUTURE
ASFN26,SALMON July 2026,ENCOM,ENCOM,FUTURE
ASFQ26,SALMON August 2026,ENCOM,ENCOM,FUTURE
ASFU26,SALMON September 2026,ENCOM,ENCOM,FUTURE
ASFV26,SALMON October 2026,ENCOM,ENCOM,FUTURE
ASFX26,SALMON November 2026,ENCOM,ENCOM,FUTURE
ASFZ26,SALMON December 2026,ENCOM,ENCOM,FUTURE
ASFF27,SALMON January 2027,ENCOM,ENCOM,FUTURE
ASFG27,SALMON February 2027,ENCOM,ENCOM,FUTURE
ASFH27,SALMON March 2027,ENCOM,ENCOM,FUTURE
ASFJ27,SALMON April 2027,ENCOM,ENCOM,FUTURE
ASFK27,SALMON May 2027,ENCOM,ENCOM,FUTURE
ASFM27,SALMON June 2027,ENCOM,ENCOM,FUTURE
ASFN27,SALMON July 2027,ENCOM,ENCOM,FUTURE
ASFQ27,SALMON August 2027,ENCOM,ENCOM,FUTURE
ASFU27,SALMON September 2027,ENCOM,ENCOM,FUTURE
ASFV27,SALMON October 2027,ENCOM,ENCOM,FUTURE
ASFX27,SALMON November 2027,ENCOM,ENCOM,FUTURE
ASFZ27,SALMON December 2027,ENCOM,ENCOM,FUTURE
ASFF28,SALMON January 2028,ENCOM,ENCOM,FUTURE
ASFG28,SALMON February 2028,ENCOM,ENCOM,FUTURE
ASFH28,SALMON March 2028,ENCOM,ENCOM,FUTURE
BKS#C,MILLING WHEAT NO. 2 VS KC HRW WHEAT Continuous Backadjusted,ENCOM,ENCOM,FUTURE
BKS#,MILLING WHEAT NO. 2 VS KC HRW WHEAT Continuous,ENCOM,ENCOM,FUTURE
BKSU25,MILLING WHEAT NO. 2 VS KC HRW WHEAT September 2025,ENCOM,ENCOM,FUTURE
BKSZ25,MILLING WHEAT NO. 2 VS KC HRW WHEAT December 2025,ENCOM,ENCOM,FUTURE
BKSH26,MILLING WHEAT NO. 2 VS KC HRW WHEAT March 2026,ENCOM,ENCOM,FUTURE
BKSK26,MILLING WHEAT NO. 2 VS KC HRW WHEAT May 2026,ENCOM,ENCOM,FUTURE
BKSU26,MILLING WHEAT NO. 2 VS KC HRW WHEAT September 2026,ENCOM,ENCOM,FUTURE
BMS#C,MILLING WHEAT NO. 2 VS CORN Continuous Backadjusted,ENCOM,ENCOM,FUTURE
BMS#,MILLING WHEAT NO. 2 VS CORN Continuous,ENCOM,ENCOM,FUTURE
BMSX25,MILLING WHEAT NO. 2 VS CORN November 2025,ENCOM,ENCOM,FUTURE
BMSH26,MILLING WHEAT NO. 2 VS CORN March 2026,ENCOM,ENCOM,FUTURE
BMSK26,MILLING WHEAT NO. 2 VS CORN May 2026,ENCOM,ENCOM,FUTURE
BMSQ26,MILLING WHEAT NO. 2 VS CORN August 2026,ENCOM,ENCOM,FUTURE
BMSX26,MILLING WHEAT NO. 2 VS CORN November 2026,ENCOM,ENCOM,FUTURE
BWS#C,MILLING WHEAT NO. 2 VS CHICAGO WHEAT Continuous Backadjusted,ENCOM,ENCOM,FUTURE
BWS#,MILLING WHEAT NO. 2 VS CHICAGO WHEAT Continuous,ENCOM,ENCOM,FUTURE
BWSU25,MILLING WHEAT NO. 2 VS CHICAGO WHEAT September 2025,ENCOM,ENCOM,FUTURE
BWSZ25,MILLING WHEAT NO. 2 VS CHICAGO WHEAT December 2025,ENCOM,ENCOM,FUTURE
BWSH26,MILLING WHEAT NO. 2 VS CHICAGO WHEAT March 2026,ENCOM,ENCOM,FUTURE
BWSK26,MILLING WHEAT NO. 2 VS CHICAGO WHEAT May 2026,ENCOM,ENCOM,FUTURE
BWSU26,MILLING WHEAT NO. 2 VS CHICAGO WHEAT September 2026,ENCOM,ENCOM,FUTURE
CA#C,CORN Continuous Backadjusted,ENCOM,ENCOM,FUTURE
CA#,CORN Continuous,ENCOM,ENCOM,FUTURE
