symbol,description,exchange,listedMarket,securityType
CAQ25-CAX25,CORN Aug 25/Nov 25,ENCOM,ENCOM,SPREAD
CAQ25-CAH26,CORN Aug 25/Mar 26,ENCOM,ENCOM,SPREAD
CAX25-CAH26,CORN Nov 25/Mar 26,ENCOM,ENCOM,SPREAD
CAX25-CAM26,CORN Nov 25/Jun 26,ENCOM,ENCOM,SPREAD
CAX25-CAX26,CORN Nov 25/Nov 26,ENCOM,ENCOM,SPREAD
CAH26-CAM26,CORN Mar 26/Jun 26,ENCOM,ENCOM,SPREAD
CAM26-CAQ26,CORN Jun 26/Aug 26,ENCOM,ENCOM,SPREAD
PGQ25-PGX25,RAPESEED Aug 25/Nov 25,ENCOM,ENCOM,SPREAD
PGQ25-PGG26,RAPESEED Aug 25/Feb 26,ENCOM,ENCOM,SPREAD
PGQ25-PGK26,RAPESEED Aug 25/May 26,ENCOM,ENCOM,SPREAD
PGQ25-PGQ26,RAPESEED Aug 25/Aug 26,ENCOM,ENCOM,SPREAD
PGQ25-PGX26,RAPESEED Aug 25/Nov 26,ENCOM,ENCOM,SPREAD
PGX25-PGG26,RAPESEED Nov 25/Feb 26,ENCOM,ENCOM,SPREAD
PGX25-PGK26,RAPESEED Nov 25/May 26,ENCOM,ENCOM,SPREAD
PGX25-PGQ26,RAPESEED Nov 25/Aug 26,ENCOM,ENCOM,SPREAD
PGG26-PGK26,RAPESEED Feb 26/May 26,ENCOM,ENCOM,SPREAD
PGK26-PGQ26,RAPESEED May 26/Aug 26,ENCOM,ENCOM,SPREAD
PGQ26-PGX26,RAPESEED Aug 26/Nov 26,ENCOM,ENCOM,SPREAD
PMU25-PMZ25,MILLING WHEAT NO. 2 Sep 25/Dec 25,ENCOM,ENCOM,SPREAD
PMU25-PMH26,MILLING WHEAT NO. 2 Sep 25/Mar 26,ENCOM,ENCOM,SPREAD
PMU25-PMK26,MILLING WHEAT NO. 2 Sep 25/May 26,ENCOM,ENCOM,SPREAD
PMU25-PMU26,MILLING WHEAT NO. 2 Sep 25/Sep 26,ENCOM,ENCOM,SPREAD
PMZ25-PMH26,MILLING WHEAT NO. 2 Dec 25/Mar 26,ENCOM,ENCOM,SPREAD
PMZ25-PMK26,MILLING WHEAT NO. 2 Dec 25/May 26,ENCOM,ENCOM,SPREAD
PMZ25-PMU26,MILLING WHEAT NO. 2 Dec 25/Sep 26,ENCOM,ENCOM,SPREAD
PMZ25-PMZ26,MILLING WHEAT NO. 2 Dec 25/Dec 26,ENCOM,ENCOM,SPREAD
PMH26-PMK26,MILLING WHEAT NO. 2 Mar 26/May 26,ENCOM,ENCOM,SPREAD
PMH26-PMU26,MILLING WHEAT NO. 2 Mar 26/Sep 26,ENCOM,ENCOM,SPREAD
PMH26-PMZ26,MILLING WHEAT NO. 2 Mar 26/Dec 26,ENCOM,ENCOM,SPREAD
PMK26-PMU26,MILLING WHEAT NO. 2 May 26/Sep 26,ENCOM,ENCOM,SPREAD
PMK26-PMZ26,MILLING WHEAT NO. 2 May 26/Dec 26,ENCOM,ENCOM,SPREAD
PMU26-PMZ26,MILLING WHEAT NO. 2 Sep 26/Dec 26,ENCOM,ENCOM,SPREAD
PMZ26-PMH27,MILLING WHEAT NO. 2 Dec 26/Mar 27,ENCOM,ENCOM,SPREAD
PMZ26-PMK27,MILLING WHEAT NO. 2 Dec 26/May 27,ENCOM,ENCOM,SPREAD
PMZ26-PMZ27,MILLING WHEAT NO. 2 Dec 26/Dec 27,ENCOM,ENCOM,SPREAD
PMH27-PMK27,MILLING WHEAT NO. 2 Mar 27/May 27,ENCOM,ENCOM,SPREAD
