symbol,description,exchange,listedMarket,securityType
AEXN25C.OI.Z,AEX INDEX Jul 2025 Future Option Call Total Open Interest,ENID,ENID,COMBINED_FOPTION
AEXN25C.VOL.Z,AEX INDEX Jul 2025 Future Option Call Total Volume,ENID,ENID,COMBINED_FOPTION
AEXN25P.OI.Z,AEX INDEX Jul 2025 Future Option Put Total Open Interest,ENID,ENID,COMBINED_FOPTION
AEXN25P.VOL.Z,AEX INDEX Jul 2025 Future Option Put Total Volume,ENID,ENID,COMBINED_FOPTION
AEXQ25C.OI.Z,AEX INDEX Aug 2025 Future Option Call Total Open Interest,ENID,ENID,COMBINED_FOPTION
AEXQ25C.VOL.Z,AEX INDEX Aug 2025 Future Option Call Total Volume,ENID,ENID,COMBINED_FOPTION
AEXQ25P.OI.Z,AEX INDEX Aug 2025 Future Option Put Total Open Interest,ENID,ENID,COMBINED_FOPTION
AEXQ25P.VOL.Z,AEX INDEX Aug 2025 Future Option Put Total Volume,ENID,ENID,COMBINED_FOPTION
AEXU25C.OI.Z,AEX INDEX Sep 2025 Future Option Call Total Open Interest,ENID,ENID,COMBINED_FOPTION
AEXU25C.VOL.Z,AEX INDEX Sep 2025 Future Option Call Total Volume,ENID,ENID,COMBINED_FOPTION
AEXU25P.OI.Z,AEX INDEX Sep 2025 Future Option Put Total Open Interest,ENID,ENID,COMBINED_FOPTION
AEXU25P.VOL.Z,AEX INDEX Sep 2025 Future Option Put Total Volume,ENID,ENID,COMBINED_FOPTION
AEXV25C.OI.Z,AEX INDEX Oct 2025 Future Option Call Total Open Interest,ENID,ENID,COMBINED_FOPTION
AEXV25C.VOL.Z,AEX INDEX Oct 2025 Future Option Call Total Volume,ENID,ENID,COMBINED_FOPTION
AEXV25P.OI.Z,AEX INDEX Oct 2025 Future Option Put Total Open Interest,ENID,ENID,COMBINED_FOPTION
AEXV25P.VOL.Z,AEX INDEX Oct 2025 Future Option Put Total Volume,ENID,ENID,COMBINED_FOPTION
AEXZ25C.OI.Z,AEX INDEX Dec 2025 Future Option Call Total Open Interest,ENID,ENID,COMBINED_FOPTION
AEXZ25C.VOL.Z,AEX INDEX Dec 2025 Future Option Call Total Volume,ENID,ENID,COMBINED_FOPTION
AEXZ25P.OI.Z,AEX INDEX Dec 2025 Future Option Put Total Open Interest,ENID,ENID,COMBINED_FOPTION
AEXZ25P.VOL.Z,AEX INDEX Dec 2025 Future Option Put Total Volume,ENID,ENID,COMBINED_FOPTION
AEXH26C.OI.Z,AEX INDEX Mar 2026 Future Option Call Total Open Interest,ENID,ENID,COMBINED_FOPTION
AEXH26C.VOL.Z,AEX INDEX Mar 2026 Future Option Call Total Volume,ENID,ENID,COMBINED_FOPTION
