symbol,description,exchange,listedMarket,securityType
1AEX.OI.Z,AEX INDEX WEEKLY 1ST FRIDAY Future Total Open Interest,ENID,ENID,COMBINED_FUTURE
1AEX.VOL.Z,AEX INDEX WEEKLY 1ST FRIDAY Future Total Volume,ENID,ENID,COMBINED_FUTURE
1MT.OI.Z,CAC 40 WEEKLY 1ST FRIDAY Future Total Open Interest,ENID,ENID,COMBINED_FUTURE
1MT.VOL.Z,CAC 40 WEEKLY 1ST FRIDAY Future Total Volume,ENID,ENID,COMBINED_FUTURE
2AEX.OI.Z,AEX INDEX WEEKLY 2ND FRIDAY Future Total Open Interest,ENID,ENID,COMBINED_FUTURE
2AEX.VOL.Z,AEX INDEX WEEKLY 2ND FRIDAY Future Total Volume,ENID,ENID,COMBINED_FUTURE
2MT.OI.Z,CAC 40 WEEKLY 2ND FRIDAY Future Total Open Interest,ENID,ENID,COMBINED_FUTURE
2MT.VOL.Z,CAC 40 WEEKLY 2ND FRIDAY Future Total Volume,ENID,ENID,COMBINED_FUTURE
4AEX.OI.Z,AEX INDEX WEEKLY 4TH FRIDAY Future Total Open Interest,ENID,ENID,COMBINED_FUTURE
4AEX.VOL.Z,AEX INDEX WEEKLY 4TH FRIDAY Future Total Volume,ENID,ENID,COMBINED_FUTURE
4MT.OI.Z,CAC 40 WEEKLY 4TH FRIDAY Future Total Open Interest,ENID,ENID,COMBINED_FUTURE
4MT.VOL.Z,CAC 40 WEEKLY 4TH FRIDAY Future Total Volume,ENID,ENID,COMBINED_FUTURE
AEX.OI.Z,AEX INDEX Future Total Open Interest,ENID,ENID,COMBINED_FUTURE
AEX.VOL.Z,AEX INDEX Future Total Volume,ENID,ENID,COMBINED_FUTURE
AXF.OI.Z,AEX DIVIDEND INDEX Future Total Open Interest,ENID,ENID,COMBINED_FUTURE
AXF.VOL.Z,AEX DIVIDEND INDEX Future Total Volume,ENID,ENID,COMBINED_FUTURE
BFX.OI.Z,BEL 20 INDEX Future Total Open Interest,ENID,ENID,COMBINED_FUTURE
BFX.VOL.Z,BEL 20 INDEX Future Total Volume,ENID,ENID,COMBINED_FUTURE
EBF.OI.Z,EURONEXT EUROZONE BANKS INDEX Future Total Open Interest,ENID,ENID,COMBINED_FUTURE
EBF.VOL.Z,EURONEXT EUROZONE BANKS INDEX Future Total Volume,ENID,ENID,COMBINED_FUTURE
EBI.OI.Z,EURONEXT EUROZONE BANKS DIVIDEND INDEX Future Total Open Interest,ENID,ENID,COMBINED_FUTURE
EBI.VOL.Z,EURONEXT EUROZONE BANKS DIVIDEND INDEX Future Total Volume,ENID,ENID,COMBINED_FUTURE
