symbol,description,exchange,listedMarket,securityType
ATX.OI.Z,ATX Future Total Open Interest,EUREX,EUREX,COMBINED_FUTURE
ATX.VOL.Z,ATX Future Total Volume,EUREX,EUREX,COMBINED_FUTURE
BD.OI.Z,EURO BUND Future Total Open Interest,EUREX,EUREX,COMBINED_FUTURE
BD.VOL.Z,EURO BUND Future Total Volume,EUREX,EUREX,COMBINED_FUTURE
BL.OI.Z,EURO BOBL Future Total Open Interest,EUREX,EUREX,COMBINED_FUTURE
BL.VOL.Z,EURO BOBL Future Total Volume,EUREX,EUREX,COMBINED_FUTURE
BON.OI.Z,EURO BONO Future Total Open Interest,EUREX,EUREX,COMBINED_FUTURE
BON.VOL.Z,EURO BONO Future Total Volume,EUREX,EUREX,COMBINED_FUTURE
BTE.OI.Z,FTSE BITCOIN INDEX EUR Future Total Open Interest,EUREX,EUREX,COMBINED_FUTURE
BTE.VOL.Z,FTSE BITCOIN INDEX EUR Future Total Volume,EUREX,EUREX,COMBINED_FUTURE
BTM.OI.Z,EURO-BTP ITALIAN GOVT BONDS MID TERM Future Total Open Interest,EUREX,EUREX,COMBINED_FUTURE
BTM.VOL.Z,EURO-BTP ITALIAN GOVT BONDS MID TERM Future Total Volume,EUREX,EUREX,COMBINED_FUTURE
BTP.OI.Z,EURO-BTP ITALIAN GOVT BONDS LONG TERM Future Total Open Interest,EUREX,EUREX,COMBINED_FUTURE
BTP.VOL.Z,EURO-BTP ITALIAN GOVT BONDS LONG TERM Future Total Volume,EUREX,EUREX,COMBINED_FUTURE
BTS.OI.Z,EURO-BTP ITALIAN GOVT BONDS SHORT TERM Future Total Open Interest,EUREX,EUREX,COMBINED_FUTURE
BTS.VOL.Z,EURO-BTP ITALIAN GOVT BONDS SHORT TERM Future Total Volume,EUREX,EUREX,COMBINED_FUTURE
BTU.OI.Z,FTSE BITCOIN INDEX USD Future Total Open Interest,EUREX,EUREX,COMBINED_FUTURE
BTU.VOL.Z,FTSE BITCOIN INDEX USD Future Total Volume,EUREX,EUREX,COMBINED_FUTURE
BX.OI.Z,EURO BUXL Future Total Open Interest,EUREX,EUREX,COMBINED_FUTURE
BX.VOL.Z,EURO BUXL Future Total Volume,EUREX,EUREX,COMBINED_FUTURE
CAG.OI.Z,BLOOMBERG AGRICULTURE SUB INDEX Future Total Open Interest,EUREX,EUREX,COMBINED_FUTURE
CAG.VOL.Z,BLOOMBERG AGRICULTURE SUB INDEX Future Total Volume,EUREX,EUREX,COMBINED_FUTURE
CCO.OI.Z,BLOOMBERG COMMODITY INDEX Future Total Open Interest,EUREX,EUREX,COMBINED_FUTURE
CCO.VOL.Z,BLOOMBERG COMMODITY INDEX Future Total Volume,EUREX,EUREX,COMBINED_FUTURE
