symbol,description,exchange,listedMarket,securityType
ATX#C,ATX Continuous Backadjusted,EUREX,EUREX,FUTURE
ATX#,ATX Continuous,EUREX,EUREX,FUTURE
ATXU25,ATX September 2025,EUREX,EUREX,FUTURE
ATXZ25,ATX December 2025,EUREX,EUREX,FUTURE
ATXH26,ATX March 2026,EUREX,EUREX,FUTURE
BD#C,EURO BUND Continuous Backadjusted,EUREX,EUREX,FUTURE
BD#,EURO BUND Continuous,EUREX,EUREX,FUTURE
BDU25,EURO BUND September 2025,EUREX,EUREX,FUTURE
BDZ25,EURO BUND December 2025,EUREX,EUREX,FUTURE
BDH26,EURO BUND March 2026,EUREX,EUREX,FUTURE
BL#C,EURO BOBL Continuous Backadjusted,EUREX,EUREX,FUTURE
BL#,EURO BOBL Continuous,EUREX,EUREX,FUTURE
BLU25,EURO BOBL September 2025,EUREX,EUREX,FUTURE
BLZ25,EURO BOBL December 2025,EUREX,EUREX,FUTURE
BLH26,EURO BOBL March 2026,EUREX,EUREX,FUTURE
BON#C,EURO BONO Continuous Backadjusted,EUREX,EUREX,FUTURE
BON#,EURO BONO Continuous,EUREX,EUREX,FUTURE
BONU25,EURO BONO September 2025,EUREX,EUREX,FUTURE
BONZ25,EURO BONO December 2025,EUREX,EUREX,FUTURE
BONH26,EURO BONO March 2026,EUREX,EUREX,FUTURE
BTE#C,FTSE BITCOIN INDEX EUR Continuous Backadjusted,EUREX,EUREX,FUTURE
BTE#,FTSE BITCOIN INDEX EUR Continuous,EUREX,EUREX,FUTURE
BTEN25,FTSE BITCOIN INDEX EUR July 2025,EUREX,EUREX,FUTURE
BTEQ25,FTSE BITCOIN INDEX EUR August 2025,EUREX,EUREX,FUTURE
BTEU25,FTSE BITCOIN INDEX EUR September 2025,EUREX,EUREX,FUTURE
BTEZ25,FTSE BITCOIN INDEX EUR December 2025,EUREX,EUREX,FUTURE
BTEH26,FTSE BITCOIN INDEX EUR March 2026,EUREX,EUREX,FUTURE
BTM#C,EURO-BTP ITALIAN GOVT BONDS MID TERM Continuous Backadjusted,EUREX,EUREX,FUTURE
BTM#,EURO-BTP ITALIAN GOVT BONDS MID TERM Continuous,EUREX,EUREX,FUTURE
BTMU25,EURO-BTP ITALIAN GOVT BONDS MID TERM September 2025,EUREX,EUREX,FUTURE
BTMZ25,EURO-BTP ITALIAN GOVT BONDS MID TERM December 2025,EUREX,EUREX,FUTURE
BTMH26,EURO-BTP ITALIAN GOVT BONDS MID TERM March 2026,EUREX,EUREX,FUTURE
BTP#C,EURO-BTP ITALIAN GOVT BONDS LONG TERM Continuous Backadjusted,EUREX,EUREX,FUTURE
BTP#,EURO-BTP ITALIAN GOVT BONDS LONG TERM Continuous,EUREX,EUREX,FUTURE
BTPU25,EURO-BTP ITALIAN GOVT BONDS LONG TERM September 2025,EUREX,EUREX,FUTURE
BTPZ25,EURO-BTP ITALIAN GOVT BONDS LONG TERM December 2025,EUREX,EUREX,FUTURE
BTPH26,EURO-BTP ITALIAN GOVT BONDS LONG TERM March 2026,EUREX,EUREX,FUTURE
BTS#C,EURO-BTP ITALIAN GOVT BONDS SHORT TERM Continuous Backadjusted,EUREX,EUREX,FUTURE
BTS#,EURO-BTP ITALIAN GOVT BONDS SHORT TERM Continuous,EUREX,EUREX,FUTURE
BTSU25,EURO-BTP ITALIAN GOVT BONDS SHORT TERM September 2025,EUREX,EUREX,FUTURE
BTSZ25,EURO-BTP ITALIAN GOVT BONDS SHORT TERM December 2025,EUREX,EUREX,FUTURE
BTSH26,EURO-BTP ITALIAN GOVT BONDS SHORT TERM March 2026,EUREX,EUREX,FUTURE
BTU#C,FTSE BITCOIN INDEX USD Continuous Backadjusted,EUREX,EUREX,FUTURE
BTU#,FTSE BITCOIN INDEX USD Continuous,EUREX,EUREX,FUTURE
BTUN25,FTSE BITCOIN INDEX USD July 2025,EUREX,EUREX,FUTURE
BTUQ25,FTSE BITCOIN INDEX USD August 2025,EUREX,EUREX,FUTURE
BTUU25,FTSE BITCOIN INDEX USD September 2025,EUREX,EUREX,FUTURE
BTUZ25,FTSE BITCOIN INDEX USD December 2025,EUREX,EUREX,FUTURE
BTUH26,FTSE BITCOIN INDEX USD March 2026,EUREX,EUREX,FUTURE
BX#C,EURO BUXL Continuous Backadjusted,EUREX,EUREX,FUTURE
BX#,EURO BUXL Continuous,EUREX,EUREX,FUTURE
BXU25,EURO BUXL September 2025,EUREX,EUREX,FUTURE
BXZ25,EURO BUXL December 2025,EUREX,EUREX,FUTURE
BXH26,EURO BUXL March 2026,EUREX,EUREX,FUTURE
CAG#C,BLOOMBERG AGRICULTURE SUB INDEX Continuous Backadjusted,EUREX,EUREX,FUTURE
CAG#,BLOOMBERG AGRICULTURE SUB INDEX Continuous,EUREX,EUREX,FUTURE
CAGQ25,BLOOMBERG AGRICULTURE SUB INDEX August 2025,EUREX,EUREX,FUTURE
CAGU25,BLOOMBERG AGRICULTURE SUB INDEX September 2025,EUREX,EUREX,FUTURE
CAGZ25,BLOOMBERG AGRICULTURE SUB INDEX December 2025,EUREX,EUREX,FUTURE
CAGH26,BLOOMBERG AGRICULTURE SUB INDEX March 2026,EUREX,EUREX,FUTURE
CAGM26,BLOOMBERG AGRICULTURE SUB INDEX June 2026,EUREX,EUREX,FUTURE
CAGZ26,BLOOMBERG AGRICULTURE SUB INDEX December 2026,EUREX,EUREX,FUTURE
CAGM27,BLOOMBERG AGRICULTURE SUB INDEX June 2027,EUREX,EUREX,FUTURE
CAGZ27,BLOOMBERG AGRICULTURE SUB INDEX December 2027,EUREX,EUREX,FUTURE
CAGM28,BLOOMBERG AGRICULTURE SUB INDEX June 2028,EUREX,EUREX,FUTURE
CAGZ28,BLOOMBERG AGRICULTURE SUB INDEX December 2028,EUREX,EUREX,FUTURE
CAGZ29,BLOOMBERG AGRICULTURE SUB INDEX December 2029,EUREX,EUREX,FUTURE
CCO#C,BLOOMBERG COMMODITY INDEX Continuous Backadjusted,EUREX,EUREX,FUTURE
CCO#,BLOOMBERG COMMODITY INDEX Continuous,EUREX,EUREX,FUTURE
CCOQ25,BLOOMBERG COMMODITY INDEX August 2025,EUREX,EUREX,FUTURE
CCOU25,BLOOMBERG COMMODITY INDEX September 2025,EUREX,EUREX,FUTURE
CCOZ25,BLOOMBERG COMMODITY INDEX December 2025,EUREX,EUREX,FUTURE
CCOH26,BLOOMBERG COMMODITY INDEX March 2026,EUREX,EUREX,FUTURE
CCOM26,BLOOMBERG COMMODITY INDEX June 2026,EUREX,EUREX,FUTURE
CCOZ26,BLOOMBERG COMMODITY INDEX December 2026,EUREX,EUREX,FUTURE
CCOM27,BLOOMBERG COMMODITY INDEX June 2027,EUREX,EUREX,FUTURE
CCOZ27,BLOOMBERG COMMODITY INDEX December 2027,EUREX,EUREX,FUTURE
CCOM28,BLOOMBERG COMMODITY INDEX June 2028,EUREX,EUREX,FUTURE
CCOZ28,BLOOMBERG COMMODITY INDEX December 2028,EUREX,EUREX,FUTURE
CCOZ29,BLOOMBERG COMMODITY INDEX December 2029,EUREX,EUREX,FUTURE
CEE#C,CECE EUR Continuous Backadjusted,EUREX,EUREX,FUTURE
CEE#,CECE EUR Continuous,EUREX,EUREX,FUTURE
CEEU25,CECE EUR September 2025,EUREX,EUREX,FUTURE
CEEZ25,CECE EUR December 2025,EUREX,EUREX,FUTURE
CEEH26,CECE EUR March 2026,EUREX,EUREX,FUTURE
CEEM26,CECE EUR June 2026,EUREX,EUREX,FUTURE
CEEZ26,CECE EUR December 2026,EUREX,EUREX,FUTURE
CEEM27,CECE EUR June 2027,EUREX,EUREX,FUTURE
CEEZ27,CECE EUR December 2027,EUREX,EUREX,FUTURE
CEEM28,CECE EUR June 2028,EUREX,EUREX,FUTURE
CEN#C,BLOOMBERG ENERGY SUB INDEX Continuous Backadjusted,EUREX,EUREX,FUTURE
CEN#,BLOOMBERG ENERGY SUB INDEX Continuous,EUREX,EUREX,FUTURE
CENQ25,BLOOMBERG ENERGY SUB INDEX August 2025,EUREX,EUREX,FUTURE
CENU25,BLOOMBERG ENERGY SUB INDEX September 2025,EUREX,EUREX,FUTURE
CENZ25,BLOOMBERG ENERGY SUB INDEX December 2025,EUREX,EUREX,FUTURE
CENH26,BLOOMBERG ENERGY SUB INDEX March 2026,EUREX,EUREX,FUTURE
CENM26,BLOOMBERG ENERGY SUB INDEX June 2026,EUREX,EUREX,FUTURE
CENZ26,BLOOMBERG ENERGY SUB INDEX December 2026,EUREX,EUREX,FUTURE
CENM27,BLOOMBERG ENERGY SUB INDEX June 2027,EUREX,EUREX,FUTURE
CENZ27,BLOOMBERG ENERGY SUB INDEX December 2027,EUREX,EUREX,FUTURE
CENM28,BLOOMBERG ENERGY SUB INDEX June 2028,EUREX,EUREX,FUTURE
CENZ28,BLOOMBERG ENERGY SUB INDEX December 2028,EUREX,EUREX,FUTURE
CENZ29,BLOOMBERG ENERGY SUB INDEX December 2029,EUREX,EUREX,FUTURE
CGR#C,BLOOMBERG GRAINS INDEX Continuous Backadjusted,EUREX,EUREX,FUTURE
CGR#,BLOOMBERG GRAINS INDEX Continuous,EUREX,EUREX,FUTURE
CGRQ25,BLOOMBERG GRAINS INDEX August 2025,EUREX,EUREX,FUTURE
CGRU25,BLOOMBERG GRAINS INDEX September 2025,EUREX,EUREX,FUTURE
CGRZ25,BLOOMBERG GRAINS INDEX December 2025,EUREX,EUREX,FUTURE
CGRH26,BLOOMBERG GRAINS INDEX March 2026,EUREX,EUREX,FUTURE
CGRM26,BLOOMBERG GRAINS INDEX June 2026,EUREX,EUREX,FUTURE
CGRZ26,BLOOMBERG GRAINS INDEX December 2026,EUREX,EUREX,FUTURE
CGRM27,BLOOMBERG GRAINS INDEX June 2027,EUREX,EUREX,FUTURE
CGRZ27,BLOOMBERG GRAINS INDEX December 2027,EUREX,EUREX,FUTURE
CGRM28,BLOOMBERG GRAINS INDEX June 2028,EUREX,EUREX,FUTURE
CGRZ28,BLOOMBERG GRAINS INDEX December 2028,EUREX,EUREX,FUTURE
CGRZ29,BLOOMBERG GRAINS INDEX December 2029,EUREX,EUREX,FUTURE
CIN#C,BLOOMBERG INDUSTRIAL METALS SUB INDEX Continuous Backadjusted,EUREX,EUREX,FUTURE
CIN#,BLOOMBERG INDUSTRIAL METALS SUB INDEX Continuous,EUREX,EUREX,FUTURE
CINQ25,BLOOMBERG INDUSTRIAL METALS SUB INDEX August 2025,EUREX,EUREX,FUTURE
CINU25,BLOOMBERG INDUSTRIAL METALS SUB INDEX September 2025,EUREX,EUREX,FUTURE
