symbol,description,exchange,listedMarket,securityType
UKXL5X.X,5X DAILY LEVERAGED RT FTSE 100 TR,FTSE,FTSE,INDEX
UKXI5X.X,5X DAILY SHORT STRATEGY RT FTSE 100 TR,FTSE,FTSE,INDEX
FMIBI5X.X,5X DAILY SHORT STRATEGY RT FTSE MIB TR,FTSE,FTSE,INDEX
FMIBL5X.X,5X DLY LEVERAGED RT NET TAX FTSE MIB TR,FTSE,FTSE,INDEX
GPBGI204.X,FOCUSED VALUE SELECT,FTSE,FTSE,INDEX
FTDLCX.X,FRANKLIN DIVERSIFIED US LARGE CAP,FTSE,FTSE,INDEX
FTUELX.X,FRANKLIN US EQUITY,FTSE,FTSE,INDEX
FTUELXN.X,FRANKLIN US EQUITY NET,FTSE,FTSE,INDEX
NMX302020.X,FT 350 INVESTMENT BANKING SRVCS,FTSE,FTSE,INDEX
E4020.X,FTEUFRST 300 CONSUMER PRODUCTS & SRVCS,FTSE,FTSE,INDEX
EB5510.X,FTEUFRST 300 EUROZONE BASIC RESOURCES,FTSE,FTSE,INDEX
EB3020.X,FTEUFRST 300 EUROZONE FINANCIAL SRVCS,FTSE,FTSE,INDEX
EB4050.X,FTEUFRST 300 EUROZONE TRAVEL & LEISURE,FTSE,FTSE,INDEX
EB4010.X,FTEUFRST 300 EZ AUTOMOBILES & PARTS,FTSE,FTSE,INDEX
EB4020.X,FTEUFRST 300 EZ CNSMR PRODUCTS & SRVCS,FTSE,FTSE,INDEX
EB4510.X,"FTEUFRST 300 EZ FOOD, BEV & TOBACCO",FTSE,FTSE,INDEX
EB5020.X,FTEUFRST 300 EZ INDU GOODS & SRVCS,FTSE,FTSE,INDEX
EB4520.X,FTEUFRST 300 EZ PERSONAL CARE STORES,FTSE,FTSE,INDEX
E3X402020.X,FTEUFRST 300 HOME GOODS & CONSTRUCTION,FTSE,FTSE,INDEX
E5020.X,FTEUFRST 300 INDUSTRIAL GOODS & SRVCS,FTSE,FTSE,INDEX
E3X551020.X,FTEUFRST 300 INDUSTRIAL METALS & MINING,FTSE,FTSE,INDEX
E3X502050.X,FTEUFRST 300 INDUSTRIAL SUPPORT SRVCS,FTSE,FTSE,INDEX
E3X502060.X,FTEUFRST 300 INDUSTRIAL TRANSPORTATION,FTSE,FTSE,INDEX
E3X302020.X,FTEUFRST 300 INVESTMENT BANKING SRVCS,FTSE,FTSE,INDEX
E3X201020.X,FTEUFRST 300 MEDICAL EQUIPMENT & SRVCS,FTSE,FTSE,INDEX
E3X201030.X,FTEUFRST 300 PHARMACEUTICALS & BIOTECH,FTSE,FTSE,INDEX
E3X351010.X,FTEUFRST 300 REAL ESTATE INVST & SRVCS,FTSE,FTSE,INDEX
E3X101010.X,FTEUFRST 300 SOFTWARE & COMPUTER SRVCS,FTSE,FTSE,INDEX
E3X101020.X,FTEUFRST 300 TECH HARDWARE & EQUIPMENT,FTSE,FTSE,INDEX
E3X151020.X,FTEUFRST 300 TELECOM SERVICE PROVIDERS,FTSE,FTSE,INDEX
UKX.X,FTSE 100,FTSE,FTSE,INDEX
UKXDL2X.X,FTSE 100 2X DAILY LEVERAGED TR,FTSE,FTSE,INDEX
UKXL2.X,FTSE 100 DAILY LEVERAGED,FTSE,FTSE,INDEX
UKXL2X.X,FTSE 100 DAILY LEVERAGED RT TR,FTSE,FTSE,INDEX
UKXS.X,FTSE 100 DAILY SHORT,FTSE,FTSE,INDEX
UKXI1X.X,FTSE 100 DAILY SHORT STRATEGY RT TR,FTSE,FTSE,INDEX
UKXL3X.X,FTSE 100 DAILY SUPER LEVERAGED RT TR,FTSE,FTSE,INDEX
UKXI2.X,FTSE 100 DAILY SUPER SHORT STRATEGY,FTSE,FTSE,INDEX
UKXL4X.X,FTSE 100 DAILY ULTRA LEVERAGED RT TR,FTSE,FTSE,INDEX
UKXI2X.X,FTSE 100 DLY SUPER SHORT STRATEGY RT TR,FTSE,FTSE,INDEX
UKXI3X.X,FTSE 100 DLY ULTRA SHORT STRATEGY RT TR,FTSE,FTSE,INDEX
UKEWD45.X,FTSE 100 EQUAL WEIGHT 45 POINT DECREMENT,FTSE,FTSE,INDEX
UKXEQW.X,FTSE 100 EQUALLY WEIGHTED,FTSE,FTSE,INDEX
UKXEQ.X,FTSE 100 EQUALLY WEIGHTED NET TAX,FTSE,FTSE,INDEX
UKXESG.X,FTSE 100 ESG RISK-ADJUSTED,FTSE,FTSE,INDEX
UKXSP.X,FTSE 100 EXPIRY,FTSE,FTSE,INDEX
GPSOC001.X,FTSE 100 FIXED DIV YIELD EQ WT CUSTOM,FTSE,FTSE,INDEX
UKXM.X,FTSE 100 MINI,FTSE,FTSE,INDEX
UKXMINSP.X,FTSE 100 MINI EXPIRY,FTSE,FTSE,INDEX
UKXMV.X,FTSE 100 MINIMUM VARIANCE,FTSE,FTSE,INDEX
UKXNUK.X,FTSE 100 NET DIVIDEND TR,FTSE,FTSE,INDEX
UKXDUK.X,FTSE 100 TR DECLARED DIVIDEND,FTSE,FTSE,INDEX
UKXUSD.X,FTSE 100 USD,FTSE,FTSE,INDEX
UKXUSDSP.X,FTSE 100 USD EXPIRY,FTSE,FTSE,INDEX
UKXUSDM.X,FTSE 100 USD MINI,FTSE,FTSE,INDEX
UKXUSMSP.X,FTSE 100 USD MINI EXPIRY,FTSE,FTSE,INDEX
MCX.X,FTSE 250,FTSE,FTSE,INDEX
MCXL2X.X,FTSE 250 DAILY LEVERAGED RT TR,FTSE,FTSE,INDEX
MCXI1X.X,FTSE 250 DAILY SHORT STRATEGY RT TR,FTSE,FTSE,INDEX
MCXL3X.X,FTSE 250 DAILY SUPER LEVERAGED RT TR,FTSE,FTSE,INDEX
MCXL4X.X,FTSE 250 DAILY ULTRA LEVERAGED RT TR,FTSE,FTSE,INDEX
MCXI2X.X,FTSE 250 DLY SUPER SHORT STRATEGY RT TR,FTSE,FTSE,INDEX
MCXI3X.X,FTSE 250 DLY ULTRA SHORT STRATEGY RT TR,FTSE,FTSE,INDEX
MCXESG.X,FTSE 250 ESG RISK-ADJUSTED,FTSE,FTSE,INDEX
MCIX.X,FTSE 250 EX INV CO,FTSE,FTSE,INDEX
MCIXNUK.X,FTSE 250 EX INVESTMENT TRUSTS NET TAX,FTSE,FTSE,INDEX
MCXNUK.X,FTSE 250 NET DIVIDEND,FTSE,FTSE,INDEX
MCXNUKEU.X,FTSE 250 NET TAX EUR,FTSE,FTSE,INDEX
NMX.X,FTSE 350,FTSE,FTSE,INDEX
NMX502010.X,FTSE 350 AEROSPACE & DEFENSE,FTSE,FTSE,INDEX
NMX401010.X,FTSE 350 AUTOMOBILES & PARTS,FTSE,FTSE,INDEX
UB4010.X,FTSE 350 AUTOMOBILES & PARTS,FTSE,FTSE,INDEX
NMX301010.X,FTSE 350 BANKS,FTSE,FTSE,INDEX
UB3010.X,FTSE 350 BANKS,FTSE,FTSE,INDEX
UB5510.X,FTSE 350 BASIC RESOURCES,FTSE,FTSE,INDEX
NMX451010.X,FTSE 350 BEVERAGES,FTSE,FTSE,INDEX
NMX552010.X,FTSE 350 CHEMICALS,FTSE,FTSE,INDEX
UB5520.X,FTSE 350 CHEMICALS,FTSE,FTSE,INDEX
NMX302040.X,FTSE 350 CLOSED END INVESTMENTS,FTSE,FTSE,INDEX
NMX501010.X,FTSE 350 CONSTRUCTION & MATERIALS,FTSE,FTSE,INDEX
UB5010.X,FTSE 350 CONSTRUCTION & MATERIALS,FTSE,FTSE,INDEX
UB4020.X,FTSE 350 CONSUMER PRODUCTS & SERVICES,FTSE,FTSE,INDEX
NMX402010.X,FTSE 350 CONSUMER SERVICES,FTSE,FTSE,INDEX
NMXDEN.X,FTSE 350 DOMESTIC EXPOSURE NET TAX,FTSE,FTSE,INDEX
NMX651010.X,FTSE 350 ELECTRICITY,FTSE,FTSE,INDEX
NMX502020.X,FTSE 350 ELECTRONIC EQUIPMENT,FTSE,FTSE,INDEX
UB6010.X,FTSE 350 ENERGY,FTSE,FTSE,INDEX
NMXESG.X,FTSE 350 ESG RISK-ADJUSTED,FTSE,FTSE,INDEX
NMIX.X,FTSE 350 EX INVESTMENT COMPANIES,FTSE,FTSE,INDEX
NMIXNUK.X,FTSE 350 EX INVESTMENT TRUSTS NET TAX,FTSE,FTSE,INDEX
NMX302010.X,FTSE 350 FINANCE & CREDIT SERVICES,FTSE,FTSE,INDEX
UB3020.X,FTSE 350 FINANCIAL SERVICES,FTSE,FTSE,INDEX
NMX451020.X,FTSE 350 FOOD PRODUCERS,FTSE,FTSE,INDEX
UB4510.X,"FTSE 350 FOOD, BEVERAGE & TOBACCO",FTSE,FTSE,INDEX
NMX651020.X,"FTSE 350 GAS, WATER & MULTI-UTILITIES",FTSE,FTSE,INDEX
NMX502030.X,FTSE 350 GENERAL INDUSTRIALS,FTSE,FTSE,INDEX
UB2010.X,FTSE 350 HEALTH CARE,FTSE,FTSE,INDEX
NMX201010.X,FTSE 350 HEALTH CARE PROVIDERS,FTSE,FTSE,INDEX
HIX.X,FTSE 350 HIGHER YIELD,FTSE,FTSE,INDEX
NMX402020.X,FTSE 350 HOME GOODS & CONSTRUCTION,FTSE,FTSE,INDEX
NMX502040.X,FTSE 350 INDUSTRIAL ENGINEERING,FTSE,FTSE,INDEX
UB5020.X,FTSE 350 INDUSTRIAL GOODS & SERVICES,FTSE,FTSE,INDEX
NMX551020.X,FTSE 350 INDUSTRIAL METALS & MINING,FTSE,FTSE,INDEX
NMX502050.X,FTSE 350 INDUSTRIAL SUPPORT SERVICES,FTSE,FTSE,INDEX
NMX502060.X,FTSE 350 INDUSTRIAL TRANSPORTATION,FTSE,FTSE,INDEX
UB3030.X,FTSE 350 INSURANCE,FTSE,FTSE,INDEX
NMX402030.X,FTSE 350 LEISURE GOODS,FTSE,FTSE,INDEX
NMX303010.X,FTSE 350 LIFE INSURANCE,FTSE,FTSE,INDEX
LIX.X,FTSE 350 LOWER YIELD,FTSE,FTSE,INDEX
NMX403010.X,FTSE 350 MEDIA,FTSE,FTSE,INDEX
UB4030.X,FTSE 350 MEDIA,FTSE,FTSE,INDEX
NMX201020.X,FTSE 350 MEDICAL EQUIPMENT & SERVICES,FTSE,FTSE,INDEX
NMX303020.X,FTSE 350 NONLIFE INSURANCE,FTSE,FTSE,INDEX
NMX601010.X,FTSE 350 OIL. GAS & COAL,FTSE,FTSE,INDEX
NMX452010.X,FTSE 350 PERSONAL CARE STORES,FTSE,FTSE,INDEX
UB4520.X,FTSE 350 PERSONAL CARE STORES,FTSE,FTSE,INDEX
NMX402040.X,FTSE 350 PERSONAL GOODS,FTSE,FTSE,INDEX
NMX201030.X,FTSE 350 PHARMACEUTICALS & BIOTECH,FTSE,FTSE,INDEX
NMX551030.X,FTSE 350 PRECIOUS METALS & MINING,FTSE,FTSE,INDEX
UB3510.X,FTSE 350 REAL ESTATE,FTSE,FTSE,INDEX
NMX351010.X,FTSE 350 REAL ESTATE INVESTMENT & SRVCS,FTSE,FTSE,INDEX
NMX351020.X,FTSE 350 REAL ESTATE INVESTMENT TRUSTS,FTSE,FTSE,INDEX
UB4040.X,FTSE 350 RETAIL,FTSE,FTSE,INDEX
NMX404010.X,FTSE 350 RETAILERS,FTSE,FTSE,INDEX
NMX101010.X,FTSE 350 SOFTWARE & COMPUTER SERVICES,FTSE,FTSE,INDEX
UB1010.X,FTSE 350 TECHNOLOGY,FTSE,FTSE,INDEX
NMX151020.X,FTSE 350 TELECOM SERVICE PROVIDERS,FTSE,FTSE,INDEX
UB1510.X,FTSE 350 TELECOMMUNICATIONS,FTSE,FTSE,INDEX
NMX151010.X,FTSE 350 TELECOMMUNICATIONS EQUIPMENT,FTSE,FTSE,INDEX
NMX451030.X,FTSE 350 TOBACCO,FTSE,FTSE,INDEX
NMX405010.X,FTSE 350 TRAVEL & LEISURE,FTSE,FTSE,INDEX
UB4050.X,FTSE 350 TRAVEL & LEISURE,FTSE,FTSE,INDEX
UB6510.X,FTSE 350 UTILITIES,FTSE,FTSE,INDEX
NMX651030.X,FTSE 350 WASTE & DISPOSAL SERVICES,FTSE,FTSE,INDEX
SSABBL.X,FTSE ABB LTD,FTSE,FTSE,INDEX
SSDABB01.X,FTSE ABBVIE 5.2 FP DECREMENT,FTSE,FTSE,INDEX
SSADM.X,FTSE ADMIRAL GROUP PLC,FTSE,FTSE,INDEX
AA07.X,FTSE ADVANCED EMERGING,FTSE,FTSE,INDEX
FADX15.X,FTSE ADX 15,FTSE,FTSE,INDEX
FADXI15.X,FTSE ADX 15 ISLAMIC,FTSE,FTSE,INDEX
FADBMI.X,FTSE ADX BASIC MATERIALS,FTSE,FTSE,INDEX
FADCDI.X,FTSE ADX CONSUMER DISCRETIONARY,FTSE,FTSE,INDEX
FADCSI.X,FTSE ADX CONSUMER STAPLES,FTSE,FTSE,INDEX
FADENI.X,FTSE ADX ENERGY,FTSE,FTSE,INDEX
FADXSI.X,FTSE ADX ESG SCREENED,FTSE,FTSE,INDEX
FADFSI.X,FTSE ADX FINANCIALS,FTSE,FTSE,INDEX
FADGI.X,FTSE ADX GENERAL,FTSE,FTSE,INDEX
FADTECI.X,FTSE ADX GENERAL TECHNOLOGY,FTSE,FTSE,INDEX
FADGMI.X,FTSE ADX GROWTH MARKET,FTSE,FTSE,INDEX
FADHCI.X,FTSE ADX HEALTH CARE,FTSE,FTSE,INDEX
FADGII.X,FTSE ADX INDUSTRIALS,FTSE,FTSE,INDEX
FADREI.X,FTSE ADX REAL ESTATE,FTSE,FTSE,INDEX
FADTELI.X,FTSE ADX TELECOMMUNICATIONS,FTSE,FTSE,INDEX
FADUTI.X,FTSE ADX UTILITIES,FTSE,FTSE,INDEX
AIM1.X,FTSE AIM 100,FTSE,FTSE,INDEX
AXX.X,FTSE AIM ALL-SHARE,FTSE,FTSE,INDEX
AIM5.X,FTSE AIM UK 50,FTSE,FTSE,INDEX
SSAIR.X,FTSE AIRBUS,FTSE,FTSE,INDEX
SSALC.X,FTSE ALCON AG,FTSE,FTSE,INDEX
SSALFA.X,FTSE ALFA LAVAL,FTSE,FTSE,INDEX
GEISAC.X,FTSE ALL CAP,FTSE,FTSE,INDEX
ACXUSS.X,FTSE ALL CAP EX USA,FTSE,FTSE,INDEX
FTESPSL.X,FTSE ALL CAP SPAIN SUPER LIQUID,FTSE,FTSE,INDEX
FTESPSLN.X,FTSE ALL CAP SPAIN SUPER LIQUID NET TAX,FTSE,FTSE,INDEX
AG16.X,FTSE ALL EMERGING PACIFIC ALL CAP,FTSE,FTSE,INDEX
ASX.X,FTSE ALL-SHARE,FTSE,FTSE,INDEX
ASXESG.X,FTSE ALL-SHARE ESG RISK-ADJUSTED,FTSE,FTSE,INDEX
ASXX.X,FTSE ALL-SHARE EX INVESTMENT COMPANIES,FTSE,FTSE,INDEX
AW01.X,FTSE ALL-WORLD,FTSE,FTSE,INDEX
AWNT01.X,FTSE ALL-WORLD - NET TAX,FTSE,FTSE,INDEX
AWALEPN.X,FTSE ALL-WORLD EMERGING APAC NET TAX,FTSE,FTSE,INDEX
AW04.X,FTSE ALL-WORLD EX JPN,FTSE,FTSE,INDEX
AW03.X,FTSE ALL-WORLD EX UK,FTSE,FTSE,INDEX
AW02.X,FTSE ALL-WORLD EX US,FTSE,FTSE,INDEX
FAXUCPF.X,FTSE ALL-WORLD EX US COMP FACTOR,FTSE,FTSE,INDEX
FAXUCPFN.X,FTSE ALL-WORLD EX US COMP FCTR NET TAX,FTSE,FTSE,INDEX
GPVAN090.X,FTSE ALL-WORLD EX US HIGH DIV YIELD,FTSE,FTSE,INDEX
AW05.X,FTSE ALL-WORLD EX ZAF,FTSE,FTSE,INDEX
AWHDY01E.X,FTSE ALL-WORLD HIGH DIV YIELD - EUR,FTSE,FTSE,INDEX
AWHDY01.X,FTSE ALL-WORLD HIGH DIVIDEND YIELD,FTSE,FTSE,INDEX
AWHDY01C.X,FTSE ALL-WORLD HIGH DIVIDEND YIELD,FTSE,FTSE,INDEX
AWHDY01G.X,FTSE ALL-WORLD HIGH DIVIDEND YIELD,FTSE,FTSE,INDEX
AWLDMVN.X,FTSE ALL-WORLD MINIMUM VARIANCE NET TAX,FTSE,FTSE,INDEX
SSALVG.X,FTSE ALLIANZ SE,FTSE,FTSE,INDEX
SSGOOGL.X,FTSE ALPHABET CLASS A,FTSE,FTSE,INDEX
SSGSK.X,FTSE ALPHABET CLASS A,FTSE,FTSE,INDEX
SSALO.X,FTSE ALSTOM,FTSE,FTSE,INDEX
SSDMOU01.X,FTSE ALTRIA GROUP 3.44 FP DECREMENT,FTSE,FTSE,INDEX
SSAMZN.X,FTSE AMAZON.COM,FTSE,FTSE,INDEX
AWAMERS.X,FTSE AMERICAS,FTSE,FTSE,INDEX
G08.X,FTSE APAC ALL CAP EX IDN JPN PAK,FTSE,FTSE,INDEX
G09.X,FTSE APAC ALL CAP EX IDN JPN PAK AUS NZ,FTSE,FTSE,INDEX
AWPXJANH.X,FTSE APAC EX JPN AUS & NZ NET HKD,FTSE,FTSE,INDEX
