symbol,description,exchange,listedMarket,securityType
US_C_OFF.AL,Corn Off Farm Storage Alabama,GRNST,GRNST,GENERICRPT
PS_C_OFF.AL,Corn Off Farm Storage Alabama Prior Year,GRNST,GRNST,GENERICRPT
US_C_OFF.AZ,Corn Off Farm Storage Arizona,GRNST,GRNST,GENERICRPT
PS_C_OFF.AZ,Corn Off Farm Storage Arizona Prior Year,GRNST,GRNST,GENERICRPT
US_C_OFF.AR,Corn Off Farm Storage Arkansas,GRNST,GRNST,GENERICRPT
PS_C_OFF.AR,Corn Off Farm Storage Arkansas Prior Year,GRNST,GRNST,GENERICRPT
US_C_OFF.CA,Corn Off Farm Storage California,GRNST,GRNST,GENERICRPT
PS_C_OFF.CA,Corn Off Farm Storage California Prior Year,GRNST,GRNST,GENERICRPT
US_C_OFF.CO,Corn Off Farm Storage Colorado,GRNST,GRNST,GENERICRPT
PS_C_OFF.CO,Corn Off Farm Storage Colorado Prior Year,GRNST,GRNST,GENERICRPT
US_C_OFF.DE,Corn Off Farm Storage Delaware,GRNST,GRNST,GENERICRPT
PS_C_OFF.DE,Corn Off Farm Storage Delaware Prior Year,GRNST,GRNST,GENERICRPT
US_C_OFF.FL,Corn Off Farm Storage Florida,GRNST,GRNST,GENERICRPT
PS_C_OFF.FL,Corn Off Farm Storage Florida Prior Year,GRNST,GRNST,GENERICRPT
US_C_OFF.GA,Corn Off Farm Storage Georgia,GRNST,GRNST,GENERICRPT
PS_C_OFF.GA,Corn Off Farm Storage Georgia Prior Year,GRNST,GRNST,GENERICRPT
US_C_OFF.ID,Corn Off Farm Storage Idaho,GRNST,GRNST,GENERICRPT
PS_C_OFF.ID,Corn Off Farm Storage Idaho Prior Year,GRNST,GRNST,GENERICRPT
US_C_OFF.IL,Corn Off Farm Storage Illinois,GRNST,GRNST,GENERICRPT
PS_C_OFF.IL,Corn Off Farm Storage Illinois Prior Year,GRNST,GRNST,GENERICRPT
US_C_OFF.IN,Corn Off Farm Storage Indiana,GRNST,GRNST,GENERICRPT
PS_C_OFF.IN,Corn Off Farm Storage Indiana Prior Year,GRNST,GRNST,GENERICRPT
