symbol,description,exchange,listedMarket,securityType
LRCU25C.OI.Z,ROBUSTA COFFEE Sep 2025 Future Option Call Total Open Interest,ICEEA,ICEEA,COMBINED_FOPTION
LRCU25C.VOL.Z,ROBUSTA COFFEE Sep 2025 Future Option Call Total Volume,ICEEA,ICEEA,COMBINED_FOPTION
LRCU25P.OI.Z,ROBUSTA COFFEE Sep 2025 Future Option Put Total Open Interest,ICEEA,ICEEA,COMBINED_FOPTION
LRCU25P.VOL.Z,ROBUSTA COFFEE Sep 2025 Future Option Put Total Volume,ICEEA,ICEEA,COMBINED_FOPTION
LRCX25C.OI.Z,ROBUSTA COFFEE Nov 2025 Future Option Call Total Open Interest,ICEEA,ICEEA,COMBINED_FOPTION
LRCX25C.VOL.Z,ROBUSTA COFFEE Nov 2025 Future Option Call Total Volume,ICEEA,ICEEA,COMBINED_FOPTION
LRCX25P.OI.Z,ROBUSTA COFFEE Nov 2025 Future Option Put Total Open Interest,ICEEA,ICEEA,COMBINED_FOPTION
LRCX25P.VOL.Z,ROBUSTA COFFEE Nov 2025 Future Option Put Total Volume,ICEEA,ICEEA,COMBINED_FOPTION
LRCF26C.OI.Z,ROBUSTA COFFEE Jan 2026 Future Option Call Total Open Interest,ICEEA,ICEEA,COMBINED_FOPTION
LRCF26C.VOL.Z,ROBUSTA COFFEE Jan 2026 Future Option Call Total Volume,ICEEA,ICEEA,COMBINED_FOPTION
LRCF26P.OI.Z,ROBUSTA COFFEE Jan 2026 Future Option Put Total Open Interest,ICEEA,ICEEA,COMBINED_FOPTION
LRCF26P.VOL.Z,ROBUSTA COFFEE Jan 2026 Future Option Put Total Volume,ICEEA,ICEEA,COMBINED_FOPTION
LRCH26C.OI.Z,ROBUSTA COFFEE Mar 2026 Future Option Call Total Open Interest,ICEEA,ICEEA,COMBINED_FOPTION
LRCH26C.VOL.Z,ROBUSTA COFFEE Mar 2026 Future Option Call Total Volume,ICEEA,ICEEA,COMBINED_FOPTION
LRCH26P.OI.Z,ROBUSTA COFFEE Mar 2026 Future Option Put Total Open Interest,ICEEA,ICEEA,COMBINED_FOPTION
LRCH26P.VOL.Z,ROBUSTA COFFEE Mar 2026 Future Option Put Total Volume,ICEEA,ICEEA,COMBINED_FOPTION
LRCK26C.OI.Z,ROBUSTA COFFEE May 2026 Future Option Call Total Open Interest,ICEEA,ICEEA,COMBINED_FOPTION
LRCK26C.VOL.Z,ROBUSTA COFFEE May 2026 Future Option Call Total Volume,ICEEA,ICEEA,COMBINED_FOPTION
LRCK26P.OI.Z,ROBUSTA COFFEE May 2026 Future Option Put Total Open Interest,ICEEA,ICEEA,COMBINED_FOPTION
LRCK26P.VOL.Z,ROBUSTA COFFEE May 2026 Future Option Put Total Volume,ICEEA,ICEEA,COMBINED_FOPTION
LRCN26C.OI.Z,ROBUSTA COFFEE Jul 2026 Future Option Call Total Open Interest,ICEEA,ICEEA,COMBINED_FOPTION
LRCN26C.VOL.Z,ROBUSTA COFFEE Jul 2026 Future Option Call Total Volume,ICEEA,ICEEA,COMBINED_FOPTION
LRCN26P.OI.Z,ROBUSTA COFFEE Jul 2026 Future Option Put Total Open Interest,ICEEA,ICEEA,COMBINED_FOPTION
LRCN26P.VOL.Z,ROBUSTA COFFEE Jul 2026 Future Option Put Total Volume,ICEEA,ICEEA,COMBINED_FOPTION
LRCU26C.OI.Z,ROBUSTA COFFEE Sep 2026 Future Option Call Total Open Interest,ICEEA,ICEEA,COMBINED_FOPTION
LRCU26C.VOL.Z,ROBUSTA COFFEE Sep 2026 Future Option Call Total Volume,ICEEA,ICEEA,COMBINED_FOPTION
LRCU26P.OI.Z,ROBUSTA COFFEE Sep 2026 Future Option Put Total Open Interest,ICEEA,ICEEA,COMBINED_FOPTION
LRCU26P.VOL.Z,ROBUSTA COFFEE Sep 2026 Future Option Put Total Volume,ICEEA,ICEEA,COMBINED_FOPTION
LRCX26C.OI.Z,ROBUSTA COFFEE Nov 2026 Future Option Call Total Open Interest,ICEEA,ICEEA,COMBINED_FOPTION
LRCX26C.VOL.Z,ROBUSTA COFFEE Nov 2026 Future Option Call Total Volume,ICEEA,ICEEA,COMBINED_FOPTION
LRCX26P.OI.Z,ROBUSTA COFFEE Nov 2026 Future Option Put Total Open Interest,ICEEA,ICEEA,COMBINED_FOPTION
LRCX26P.VOL.Z,ROBUSTA COFFEE Nov 2026 Future Option Put Total Volume,ICEEA,ICEEA,COMBINED_FOPTION
LRCF27C.OI.Z,ROBUSTA COFFEE Jan 2027 Future Option Call Total Open Interest,ICEEA,ICEEA,COMBINED_FOPTION
LRCF27C.VOL.Z,ROBUSTA COFFEE Jan 2027 Future Option Call Total Volume,ICEEA,ICEEA,COMBINED_FOPTION
LRCF27P.OI.Z,ROBUSTA COFFEE Jan 2027 Future Option Put Total Open Interest,ICEEA,ICEEA,COMBINED_FOPTION
LRCF27P.VOL.Z,ROBUSTA COFFEE Jan 2027 Future Option Put Total Volume,ICEEA,ICEEA,COMBINED_FOPTION
QCU25C.OI.Z,LONDON COCOA Sep 2025 Future Option Call Total Open Interest,ICEEA,ICEEA,COMBINED_FOPTION
QCU25C.VOL.Z,LONDON COCOA Sep 2025 Future Option Call Total Volume,ICEEA,ICEEA,COMBINED_FOPTION
QCU25P.OI.Z,LONDON COCOA Sep 2025 Future Option Put Total Open Interest,ICEEA,ICEEA,COMBINED_FOPTION
QCU25P.VOL.Z,LONDON COCOA Sep 2025 Future Option Put Total Volume,ICEEA,ICEEA,COMBINED_FOPTION
QCZ25C.OI.Z,LONDON COCOA Dec 2025 Future Option Call Total Open Interest,ICEEA,ICEEA,COMBINED_FOPTION
QCZ25C.VOL.Z,LONDON COCOA Dec 2025 Future Option Call Total Volume,ICEEA,ICEEA,COMBINED_FOPTION
QCZ25P.OI.Z,LONDON COCOA Dec 2025 Future Option Put Total Open Interest,ICEEA,ICEEA,COMBINED_FOPTION
