symbol,description,exchange,listedMarket,securityType
LRC.OI.Z,ROBUSTA COFFEE Future Total Open Interest,ICEEA,ICEEA,COMBINED_FUTURE
LRC.VOL.Z,ROBUSTA COFFEE Future Total Volume,ICEEA,ICEEA,COMBINED_FUTURE
LRCT.OI.Z,ROBUSTA COFFEE TAS Future Total Open Interest,ICEEA,ICEEA,COMBINED_FUTURE
LRCT.VOL.Z,ROBUSTA COFFEE TAS Future Total Volume,ICEEA,ICEEA,COMBINED_FUTURE
QC.OI.Z,LONDON COCOA Future Total Open Interest,ICEEA,ICEEA,COMBINED_FUTURE
QC.VOL.Z,LONDON COCOA Future Total Volume,ICEEA,ICEEA,COMBINED_FUTURE
QCT.OI.Z,LONDON COCOA TAS Future Total Open Interest,ICEEA,ICEEA,COMBINED_FUTURE
QCT.VOL.Z,LONDON COCOA TAS Future Total Volume,ICEEA,ICEEA,COMBINED_FUTURE
QK.OI.Z,UK FEED WHEAT Future Total Open Interest,ICEEA,ICEEA,COMBINED_FUTURE
QK.VOL.Z,UK FEED WHEAT Future Total Volume,ICEEA,ICEEA,COMBINED_FUTURE
QW.OI.Z,WHITE SUGAR Future Total Open Interest,ICEEA,ICEEA,COMBINED_FUTURE
QW.VOL.Z,WHITE SUGAR Future Total Volume,ICEEA,ICEEA,COMBINED_FUTURE
QWT.OI.Z,WHITE SUGAR TAS Future Total Open Interest,ICEEA,ICEEA,COMBINED_FUTURE
QWT.VOL.Z,WHITE SUGAR TAS Future Total Volume,ICEEA,ICEEA,COMBINED_FUTURE
