symbol,description,exchange,listedMarket,securityType
LRC#C,ROBUSTA COFFEE Continuous Backadjusted,ICEEA,ICEEA,FUTURE
LRC#,ROBUSTA COFFEE Continuous,ICEEA,ICEEA,FUTURE
LRCN25,ROBUSTA COFFEE July 2025,ICEEA,ICEEA,FUTURE
LRCU25,ROBUSTA COFFEE September 2025,ICEEA,ICEEA,FUTURE
LRCX25,ROBUSTA COFFEE November 2025,ICEEA,ICEEA,FUTURE
LRCF26,ROBUSTA COFFEE January 2026,ICEEA,ICEEA,FUTURE
LRCH26,ROBUSTA COFFEE March 2026,ICEEA,ICEEA,FUTURE
LRCK26,ROBUSTA COFFEE May 2026,ICEEA,ICEEA,FUTURE
LRCN26,ROBUSTA COFFEE July 2026,ICEEA,ICEEA,FUTURE
LRCU26,ROBUSTA COFFEE September 2026,ICEEA,ICEEA,FUTURE
LRCX26,ROBUSTA COFFEE November 2026,ICEEA,ICEEA,FUTURE
LRCF27,ROBUSTA COFFEE January 2027,ICEEA,ICEEA,FUTURE
LRCT#C,ROBUSTA COFFEE TAS Continuous Backadjusted,ICEEA,ICEEA,FUTURE
LRCT#,ROBUSTA COFFEE TAS Continuous,ICEEA,ICEEA,FUTURE
LRCTU25,ROBUSTA COFFEE TAS September 2025,ICEEA,ICEEA,FUTURE
LRCTX25,ROBUSTA COFFEE TAS November 2025,ICEEA,ICEEA,FUTURE
LRCTF26,ROBUSTA COFFEE TAS January 2026,ICEEA,ICEEA,FUTURE
QC#C,LONDON COCOA Continuous Backadjusted,ICEEA,ICEEA,FUTURE
QC#,LONDON COCOA Continuous,ICEEA,ICEEA,FUTURE
QCU25,LONDON COCOA September 2025,ICEEA,ICEEA,FUTURE
QCZ25,LONDON COCOA December 2025,ICEEA,ICEEA,FUTURE
QCH26,LONDON COCOA March 2026,ICEEA,ICEEA,FUTURE
QCK26,LONDON COCOA May 2026,ICEEA,ICEEA,FUTURE
QCN26,LONDON COCOA July 2026,ICEEA,ICEEA,FUTURE
QCU26,LONDON COCOA September 2026,ICEEA,ICEEA,FUTURE
QCZ26,LONDON COCOA December 2026,ICEEA,ICEEA,FUTURE
QCH27,LONDON COCOA March 2027,ICEEA,ICEEA,FUTURE
QCK27,LONDON COCOA May 2027,ICEEA,ICEEA,FUTURE
QCN27,LONDON COCOA July 2027,ICEEA,ICEEA,FUTURE
QCT#C,LONDON COCOA TAS Continuous Backadjusted,ICEEA,ICEEA,FUTURE
QCT#,LONDON COCOA TAS Continuous,ICEEA,ICEEA,FUTURE
QCTU25,LONDON COCOA TAS September 2025,ICEEA,ICEEA,FUTURE
QCTZ25,LONDON COCOA TAS December 2025,ICEEA,ICEEA,FUTURE
QCTH26,LONDON COCOA TAS March 2026,ICEEA,ICEEA,FUTURE
QK#C,UK FEED WHEAT Continuous Backadjusted,ICEEA,ICEEA,FUTURE
QK#,UK FEED WHEAT Continuous,ICEEA,ICEEA,FUTURE
QKX25,UK FEED WHEAT November 2025,ICEEA,ICEEA,FUTURE
QKF26,UK FEED WHEAT January 2026,ICEEA,ICEEA,FUTURE
QKH26,UK FEED WHEAT March 2026,ICEEA,ICEEA,FUTURE
QKK26,UK FEED WHEAT May 2026,ICEEA,ICEEA,FUTURE
QKN26,UK FEED WHEAT July 2026,ICEEA,ICEEA,FUTURE
QKX26,UK FEED WHEAT November 2026,ICEEA,ICEEA,FUTURE
QKF27,UK FEED WHEAT January 2027,ICEEA,ICEEA,FUTURE
QKH27,UK FEED WHEAT March 2027,ICEEA,ICEEA,FUTURE
QKK27,UK FEED WHEAT May 2027,ICEEA,ICEEA,FUTURE
QKX27,UK FEED WHEAT November 2027,ICEEA,ICEEA,FUTURE
QW#C,WHITE SUGAR Continuous Backadjusted,ICEEA,ICEEA,FUTURE
QW#,WHITE SUGAR Continuous,ICEEA,ICEEA,FUTURE
QWV25,WHITE SUGAR October 2025,ICEEA,ICEEA,FUTURE
QWZ25,WHITE SUGAR December 2025,ICEEA,ICEEA,FUTURE
QWH26,WHITE SUGAR March 2026,ICEEA,ICEEA,FUTURE
QWK26,WHITE SUGAR May 2026,ICEEA,ICEEA,FUTURE
QWQ26,WHITE SUGAR August 2026,ICEEA,ICEEA,FUTURE
QWV26,WHITE SUGAR October 2026,ICEEA,ICEEA,FUTURE
QWZ26,WHITE SUGAR December 2026,ICEEA,ICEEA,FUTURE
QWH27,WHITE SUGAR March 2027,ICEEA,ICEEA,FUTURE
QWK27,WHITE SUGAR May 2027,ICEEA,ICEEA,FUTURE
QWQ27,WHITE SUGAR August 2027,ICEEA,ICEEA,FUTURE
QWV27,WHITE SUGAR October 2027,ICEEA,ICEEA,FUTURE
QWZ27,WHITE SUGAR December 2027,ICEEA,ICEEA,FUTURE
QWH28,WHITE SUGAR March 2028,ICEEA,ICEEA,FUTURE
QWK28,WHITE SUGAR May 2028,ICEEA,ICEEA,FUTURE
QWT#C,WHITE SUGAR TAS Continuous Backadjusted,ICEEA,ICEEA,FUTURE
QWT#,WHITE SUGAR TAS Continuous,ICEEA,ICEEA,FUTURE
QWTV25,WHITE SUGAR TAS October 2025,ICEEA,ICEEA,FUTURE
QWTZ25,WHITE SUGAR TAS December 2025,ICEEA,ICEEA,FUTURE
QWTH26,WHITE SUGAR TAS March 2026,ICEEA,ICEEA,FUTURE
