symbol,description,exchange,listedMarket,securityType
LRCN25-LRCU25,ROBUSTA COFFEE Jul 25/Sep 25,ICEEA,ICEEA,SPREAD
LRCN25-LRCX25,ROBUSTA COFFEE Jul 25/Nov 25,ICEEA,ICEEA,SPREAD
LRCN25-LRCF26,ROBUSTA COFFEE Jul 25/Jan 26,ICEEA,ICEEA,SPREAD
LRCN25-LRCH26,ROBUSTA COFFEE Jul 25/Mar 26,ICEEA,ICEEA,SPREAD
LRCN25-LRCK26,ROBUSTA COFFEE Jul 25/May 26,ICEEA,ICEEA,SPREAD
LRCN25-LRCN26,ROBUSTA COFFEE Jul 25/Jul 26,ICEEA,ICEEA,SPREAD
LRCN25-LRCU26,ROBUSTA COFFEE Jul 25/Sep 26,ICEEA,ICEEA,SPREAD
LRCN25-LRCX26,ROBUSTA COFFEE Jul 25/Nov 26,ICEEA,ICEEA,SPREAD
LRCN25-LRCF27,ROBUSTA COFFEE Jul 25/Jan 27,ICEEA,ICEEA,SPREAD
LRCU25-LRCX25,ROBUSTA COFFEE Sep 25/Nov 25,ICEEA,ICEEA,SPREAD
LRCU25-LRCF26,ROBUSTA COFFEE Sep 25/Jan 26,ICEEA,ICEEA,SPREAD
LRCU25-LRCH26,ROBUSTA COFFEE Sep 25/Mar 26,ICEEA,ICEEA,SPREAD
LRCU25-LRCK26,ROBUSTA COFFEE Sep 25/May 26,ICEEA,ICEEA,SPREAD
LRCU25-LRCN26,ROBUSTA COFFEE Sep 25/Jul 26,ICEEA,ICEEA,SPREAD
LRCU25-LRCU26,ROBUSTA COFFEE Sep 25/Sep 26,ICEEA,ICEEA,SPREAD
LRCU25-LRCX26,ROBUSTA COFFEE Sep 25/Nov 26,ICEEA,ICEEA,SPREAD
LRCU25-LRCF27,ROBUSTA COFFEE Sep 25/Jan 27,ICEEA,ICEEA,SPREAD
LRCX25-LRCF26,ROBUSTA COFFEE Nov 25/Jan 26,ICEEA,ICEEA,SPREAD
LRCX25-LRCH26,ROBUSTA COFFEE Nov 25/Mar 26,ICEEA,ICEEA,SPREAD
LRCX25-LRCK26,ROBUSTA COFFEE Nov 25/May 26,ICEEA,ICEEA,SPREAD
LRCX25-LRCN26,ROBUSTA COFFEE Nov 25/Jul 26,ICEEA,ICEEA,SPREAD
LRCX25-LRCU26,ROBUSTA COFFEE Nov 25/Sep 26,ICEEA,ICEEA,SPREAD
LRCX25-LRCX26,ROBUSTA COFFEE Nov 25/Nov 26,ICEEA,ICEEA,SPREAD
LRCX25-LRCF27,ROBUSTA COFFEE Nov 25/Jan 27,ICEEA,ICEEA,SPREAD
LRCF26-LRCH26,ROBUSTA COFFEE Jan 26/Mar 26,ICEEA,ICEEA,SPREAD
LRCF26-LRCK26,ROBUSTA COFFEE Jan 26/May 26,ICEEA,ICEEA,SPREAD
LRCF26-LRCN26,ROBUSTA COFFEE Jan 26/Jul 26,ICEEA,ICEEA,SPREAD
LRCF26-LRCU26,ROBUSTA COFFEE Jan 26/Sep 26,ICEEA,ICEEA,SPREAD
LRCF26-LRCX26,ROBUSTA COFFEE Jan 26/Nov 26,ICEEA,ICEEA,SPREAD
LRCF26-LRCF27,ROBUSTA COFFEE Jan 26/Jan 27,ICEEA,ICEEA,SPREAD
LRCH26-LRCK26,ROBUSTA COFFEE Mar 26/May 26,ICEEA,ICEEA,SPREAD
LRCH26-LRCN26,ROBUSTA COFFEE Mar 26/Jul 26,ICEEA,ICEEA,SPREAD
LRCH26-LRCU26,ROBUSTA COFFEE Mar 26/Sep 26,ICEEA,ICEEA,SPREAD
LRCH26-LRCX26,ROBUSTA COFFEE Mar 26/Nov 26,ICEEA,ICEEA,SPREAD
LRCH26-LRCF27,ROBUSTA COFFEE Mar 26/Jan 27,ICEEA,ICEEA,SPREAD
LRCK26-LRCN26,ROBUSTA COFFEE May 26/Jul 26,ICEEA,ICEEA,SPREAD
LRCK26-LRCU26,ROBUSTA COFFEE May 26/Sep 26,ICEEA,ICEEA,SPREAD
LRCK26-LRCX26,ROBUSTA COFFEE May 26/Nov 26,ICEEA,ICEEA,SPREAD
LRCK26-LRCF27,ROBUSTA COFFEE May 26/Jan 27,ICEEA,ICEEA,SPREAD
LRCN26-LRCU26,ROBUSTA COFFEE Jul 26/Sep 26,ICEEA,ICEEA,SPREAD
LRCN26-LRCX26,ROBUSTA COFFEE Jul 26/Nov 26,ICEEA,ICEEA,SPREAD
LRCN26-LRCF27,ROBUSTA COFFEE Jul 26/Jan 27,ICEEA,ICEEA,SPREAD
LRCU26-LRCX26,ROBUSTA COFFEE Sep 26/Nov 26,ICEEA,ICEEA,SPREAD
LRCU26-LRCF27,ROBUSTA COFFEE Sep 26/Jan 27,ICEEA,ICEEA,SPREAD
LRCX26-LRCF27,ROBUSTA COFFEE Nov 26/Jan 27,ICEEA,ICEEA,SPREAD
QCU25-QCZ25,LONDON COCOA Sep 25/Dec 25,ICEEA,ICEEA,SPREAD
QCU25-QCH26,LONDON COCOA Sep 25/Mar 26,ICEEA,ICEEA,SPREAD
QCU25-QCK26,LONDON COCOA Sep 25/May 26,ICEEA,ICEEA,SPREAD
QCU25-QCN26,LONDON COCOA Sep 25/Jul 26,ICEEA,ICEEA,SPREAD
QCU25-QCU26,LONDON COCOA Sep 25/Sep 26,ICEEA,ICEEA,SPREAD
QCU25-QCZ26,LONDON COCOA Sep 25/Dec 26,ICEEA,ICEEA,SPREAD
QCU25-QCH27,LONDON COCOA Sep 25/Mar 27,ICEEA,ICEEA,SPREAD
QCU25-QCK27,LONDON COCOA Sep 25/May 27,ICEEA,ICEEA,SPREAD
QCU25-QCN27,LONDON COCOA Sep 25/Jul 27,ICEEA,ICEEA,SPREAD
QCZ25-QCH26,LONDON COCOA Dec 25/Mar 26,ICEEA,ICEEA,SPREAD
QCZ25-QCK26,LONDON COCOA Dec 25/May 26,ICEEA,ICEEA,SPREAD
QCZ25-QCN26,LONDON COCOA Dec 25/Jul 26,ICEEA,ICEEA,SPREAD
QCZ25-QCU26,LONDON COCOA Dec 25/Sep 26,ICEEA,ICEEA,SPREAD
QCZ25-QCZ26,LONDON COCOA Dec 25/Dec 26,ICEEA,ICEEA,SPREAD
QCZ25-QCH27,LONDON COCOA Dec 25/Mar 27,ICEEA,ICEEA,SPREAD
QCZ25-QCK27,LONDON COCOA Dec 25/May 27,ICEEA,ICEEA,SPREAD
QCZ25-QCN27,LONDON COCOA Dec 25/Jul 27,ICEEA,ICEEA,SPREAD
QCH26-QCK26,LONDON COCOA Mar 26/May 26,ICEEA,ICEEA,SPREAD
QCH26-QCN26,LONDON COCOA Mar 26/Jul 26,ICEEA,ICEEA,SPREAD
QCH26-QCU26,LONDON COCOA Mar 26/Sep 26,ICEEA,ICEEA,SPREAD
QCH26-QCZ26,LONDON COCOA Mar 26/Dec 26,ICEEA,ICEEA,SPREAD
QCH26-QCH27,LONDON COCOA Mar 26/Mar 27,ICEEA,ICEEA,SPREAD
QCH26-QCK27,LONDON COCOA Mar 26/May 27,ICEEA,ICEEA,SPREAD
QCH26-QCN27,LONDON COCOA Mar 26/Jul 27,ICEEA,ICEEA,SPREAD
QCK26-QCN26,LONDON COCOA May 26/Jul 26,ICEEA,ICEEA,SPREAD
QCK26-QCU26,LONDON COCOA May 26/Sep 26,ICEEA,ICEEA,SPREAD
QCK26-QCZ26,LONDON COCOA May 26/Dec 26,ICEEA,ICEEA,SPREAD
QCK26-QCH27,LONDON COCOA May 26/Mar 27,ICEEA,ICEEA,SPREAD
QCK26-QCK27,LONDON COCOA May 26/May 27,ICEEA,ICEEA,SPREAD
QCK26-QCN27,LONDON COCOA May 26/Jul 27,ICEEA,ICEEA,SPREAD
QCN26-QCU26,LONDON COCOA Jul 26/Sep 26,ICEEA,ICEEA,SPREAD
QCN26-QCZ26,LONDON COCOA Jul 26/Dec 26,ICEEA,ICEEA,SPREAD
QCN26-QCH27,LONDON COCOA Jul 26/Mar 27,ICEEA,ICEEA,SPREAD
QCN26-QCK27,LONDON COCOA Jul 26/May 27,ICEEA,ICEEA,SPREAD
QCN26-QCN27,LONDON COCOA Jul 26/Jul 27,ICEEA,ICEEA,SPREAD
QCU26-QCZ26,LONDON COCOA Sep 26/Dec 26,ICEEA,ICEEA,SPREAD
QCU26-QCH27,LONDON COCOA Sep 26/Mar 27,ICEEA,ICEEA,SPREAD
QCU26-QCK27,LONDON COCOA Sep 26/May 27,ICEEA,ICEEA,SPREAD
QCU26-QCN27,LONDON COCOA Sep 26/Jul 27,ICEEA,ICEEA,SPREAD
QCZ26-QCH27,LONDON COCOA Dec 26/Mar 27,ICEEA,ICEEA,SPREAD
QCZ26-QCK27,LONDON COCOA Dec 26/May 27,ICEEA,ICEEA,SPREAD
QCZ26-QCN27,LONDON COCOA Dec 26/Jul 27,ICEEA,ICEEA,SPREAD
QCH27-QCK27,LONDON COCOA Mar 27/May 27,ICEEA,ICEEA,SPREAD
QCH27-QCN27,LONDON COCOA Mar 27/Jul 27,ICEEA,ICEEA,SPREAD
QCK27-QCN27,LONDON COCOA May 27/Jul 27,ICEEA,ICEEA,SPREAD
QKX25-QKF26,UK FEED WHEAT Nov 25/Jan 26,ICEEA,ICEEA,SPREAD
QKX25-QKH26,UK FEED WHEAT Nov 25/Mar 26,ICEEA,ICEEA,SPREAD
QKX25-QKK26,UK FEED WHEAT Nov 25/May 26,ICEEA,ICEEA,SPREAD
QKX25-QKN26,UK FEED WHEAT Nov 25/Jul 26,ICEEA,ICEEA,SPREAD
QKX25-QKX26,UK FEED WHEAT Nov 25/Nov 26,ICEEA,ICEEA,SPREAD
QKX25-QKF27,UK FEED WHEAT Nov 25/Jan 27,ICEEA,ICEEA,SPREAD
QKX25-QKH27,UK FEED WHEAT Nov 25/Mar 27,ICEEA,ICEEA,SPREAD
QKX25-QKK27,UK FEED WHEAT Nov 25/May 27,ICEEA,ICEEA,SPREAD
QKX25-QKX27,UK FEED WHEAT Nov 25/Nov 27,ICEEA,ICEEA,SPREAD
QKF26-QKH26,UK FEED WHEAT Jan 26/Mar 26,ICEEA,ICEEA,SPREAD
QKF26-QKK26,UK FEED WHEAT Jan 26/May 26,ICEEA,ICEEA,SPREAD
QKF26-QKN26,UK FEED WHEAT Jan 26/Jul 26,ICEEA,ICEEA,SPREAD
QKF26-QKX26,UK FEED WHEAT Jan 26/Nov 26,ICEEA,ICEEA,SPREAD
QKF26-QKF27,UK FEED WHEAT Jan 26/Jan 27,ICEEA,ICEEA,SPREAD
QKF26-QKH27,UK FEED WHEAT Jan 26/Mar 27,ICEEA,ICEEA,SPREAD
QKF26-QKK27,UK FEED WHEAT Jan 26/May 27,ICEEA,ICEEA,SPREAD
QKF26-QKX27,UK FEED WHEAT Jan 26/Nov 27,ICEEA,ICEEA,SPREAD
QKH26-QKK26,UK FEED WHEAT Mar 26/May 26,ICEEA,ICEEA,SPREAD
QKH26-QKN26,UK FEED WHEAT Mar 26/Jul 26,ICEEA,ICEEA,SPREAD
QKH26-QKX26,UK FEED WHEAT Mar 26/Nov 26,ICEEA,ICEEA,SPREAD
QKH26-QKF27,UK FEED WHEAT Mar 26/Jan 27,ICEEA,ICEEA,SPREAD
QKH26-QKH27,UK FEED WHEAT Mar 26/Mar 27,ICEEA,ICEEA,SPREAD
QKH26-QKK27,UK FEED WHEAT Mar 26/May 27,ICEEA,ICEEA,SPREAD
QKH26-QKX27,UK FEED WHEAT Mar 26/Nov 27,ICEEA,ICEEA,SPREAD
QKK26-QKN26,UK FEED WHEAT May 26/Jul 26,ICEEA,ICEEA,SPREAD
QKK26-QKX26,UK FEED WHEAT May 26/Nov 26,ICEEA,ICEEA,SPREAD
QKK26-QKF27,UK FEED WHEAT May 26/Jan 27,ICEEA,ICEEA,SPREAD
QKK26-QKH27,UK FEED WHEAT May 26/Mar 27,ICEEA,ICEEA,SPREAD
QKK26-QKK27,UK FEED WHEAT May 26/May 27,ICEEA,ICEEA,SPREAD
QKK26-QKX27,UK FEED WHEAT May 26/Nov 27,ICEEA,ICEEA,SPREAD
QKN26-QKX26,UK FEED WHEAT Jul 26/Nov 26,ICEEA,ICEEA,SPREAD
QKN26-QKF27,UK FEED WHEAT Jul 26/Jan 27,ICEEA,ICEEA,SPREAD
QKN26-QKH27,UK FEED WHEAT Jul 26/Mar 27,ICEEA,ICEEA,SPREAD
QKN26-QKK27,UK FEED WHEAT Jul 26/May 27,ICEEA,ICEEA,SPREAD
QKN26-QKX27,UK FEED WHEAT Jul 26/Nov 27,ICEEA,ICEEA,SPREAD
QKX26-QKF27,UK FEED WHEAT Nov 26/Jan 27,ICEEA,ICEEA,SPREAD
QKX26-QKH27,UK FEED WHEAT Nov 26/Mar 27,ICEEA,ICEEA,SPREAD
