symbol,description,exchange,listedMarket,securityType
@NCF.OI.Z,NEWCASTLE COAL Future Total Open Interest,ICEEC,ICEEC,COMBINED_FUTURE
@NCF.VOL.Z,NEWCASTLE COAL Future Total Volume,ICEEC,ICEEC,COMBINED_FUTURE
CRD.OI.Z,WTI CRUDE Future Total Open Interest,ICEEC,ICEEC,COMBINED_FUTURE
CRD.VOL.Z,WTI CRUDE Future Total Volume,ICEEC,ICEEC,COMBINED_FUTURE
DBI.OI.Z,DUBAI 1ST LINE Future Total Open Interest,ICEEC,ICEEC,COMBINED_FUTURE
DBI.VOL.Z,DUBAI 1ST LINE Future Total Volume,ICEEC,ICEEC,COMBINED_FUTURE
EB.OI.Z,BRENT CRUDE Future Total Open Interest,ICEEC,ICEEC,COMBINED_FUTURE
EB.VOL.Z,BRENT CRUDE Future Total Volume,ICEEC,ICEEC,COMBINED_FUTURE
EBT.OI.Z,BRENT CRUDE TAS Future Total Open Interest,ICEEC,ICEEC,COMBINED_FUTURE
EBT.VOL.Z,BRENT CRUDE TAS Future Total Volume,ICEEC,ICEEC,COMBINED_FUTURE
EF.OI.Z,RICHARDS BAY COAL MONTHLY Future Total Open Interest,ICEEC,ICEEC,COMBINED_FUTURE
EF.VOL.Z,RICHARDS BAY COAL MONTHLY Future Total Volume,ICEEC,ICEEC,COMBINED_FUTURE
EFQ.OI.Z,RICHARDS BAY COAL QUARTERLY Future Total Open Interest,ICEEC,ICEEC,COMBINED_FUTURE
EFQ.VOL.Z,RICHARDS BAY COAL QUARTERLY Future Total Volume,ICEEC,ICEEC,COMBINED_FUTURE
EFS.OI.Z,RICHARDS BAY COAL SEASONAL Future Total Open Interest,ICEEC,ICEEC,COMBINED_FUTURE
EFS.VOL.Z,RICHARDS BAY COAL SEASONAL Future Total Volume,ICEEC,ICEEC,COMBINED_FUTURE
EFY.OI.Z,RICHARDS BAY COAL YEARLY Future Total Open Interest,ICEEC,ICEEC,COMBINED_FUTURE
EFY.VOL.Z,RICHARDS BAY COAL YEARLY Future Total Volume,ICEEC,ICEEC,COMBINED_FUTURE
ET.OI.Z,ROTTERDAM COAL MONTHLY Future Total Open Interest,ICEEC,ICEEC,COMBINED_FUTURE
ET.VOL.Z,ROTTERDAM COAL MONTHLY Future Total Volume,ICEEC,ICEEC,COMBINED_FUTURE
ETQ.OI.Z,ROTTERDAM COAL QUARTERLY Future Total Open Interest,ICEEC,ICEEC,COMBINED_FUTURE
ETQ.VOL.Z,ROTTERDAM COAL QUARTERLY Future Total Volume,ICEEC,ICEEC,COMBINED_FUTURE
ETS.OI.Z,ROTTERDAM COAL SEASONAL Future Total Open Interest,ICEEC,ICEEC,COMBINED_FUTURE
ETS.VOL.Z,ROTTERDAM COAL SEASONAL Future Total Volume,ICEEC,ICEEC,COMBINED_FUTURE
ETY.OI.Z,ROTTERDAM COAL YEARLY Future Total Open Interest,ICEEC,ICEEC,COMBINED_FUTURE
ETY.VOL.Z,ROTTERDAM COAL YEARLY Future Total Volume,ICEEC,ICEEC,COMBINED_FUTURE
FN.OI.Z,NATURAL GAS BALANCING POINT Future Total Open Interest,ICEEC,ICEEC,COMBINED_FUTURE
FN.VOL.Z,NATURAL GAS BALANCING POINT Future Total Volume,ICEEC,ICEEC,COMBINED_FUTURE
FNQ.OI.Z,NATURAL GAS - QUARTERLY BAL PT Future Total Open Interest,ICEEC,ICEEC,COMBINED_FUTURE
FNQ.VOL.Z,NATURAL GAS - QUARTERLY BAL PT Future Total Volume,ICEEC,ICEEC,COMBINED_FUTURE
FNS.OI.Z,NATURAL GAS - SEASONAL BAL PT Future Total Open Interest,ICEEC,ICEEC,COMBINED_FUTURE
FNS.VOL.Z,NATURAL GAS - SEASONAL BAL PT Future Total Volume,ICEEC,ICEEC,COMBINED_FUTURE
GAS.OI.Z,LOW SULPHUR GAS OIL NEW Future Total Open Interest,ICEEC,ICEEC,COMBINED_FUTURE
GAS.VOL.Z,LOW SULPHUR GAS OIL NEW Future Total Volume,ICEEC,ICEEC,COMBINED_FUTURE
