symbol,description,exchange,listedMarket,securityType
ER3Q25C.OI.Z,3 MONTH ESTR INDEXED FUTURE Aug 2025 Future Option Call Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
ER3Q25C.VOL.Z,3 MONTH ESTR INDEXED FUTURE Aug 2025 Future Option Call Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
ER3Q25P.OI.Z,3 MONTH ESTR INDEXED FUTURE Aug 2025 Future Option Put Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
ER3Q25P.VOL.Z,3 MONTH ESTR INDEXED FUTURE Aug 2025 Future Option Put Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
ER3U25C.OI.Z,3 MONTH ESTR INDEXED FUTURE Sep 2025 Future Option Call Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
ER3U25C.VOL.Z,3 MONTH ESTR INDEXED FUTURE Sep 2025 Future Option Call Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
ER3U25P.OI.Z,3 MONTH ESTR INDEXED FUTURE Sep 2025 Future Option Put Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
ER3U25P.VOL.Z,3 MONTH ESTR INDEXED FUTURE Sep 2025 Future Option Put Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
ER3V25C.OI.Z,3 MONTH ESTR INDEXED FUTURE Oct 2025 Future Option Call Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
ER3V25C.VOL.Z,3 MONTH ESTR INDEXED FUTURE Oct 2025 Future Option Call Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
ER3V25P.OI.Z,3 MONTH ESTR INDEXED FUTURE Oct 2025 Future Option Put Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
ER3V25P.VOL.Z,3 MONTH ESTR INDEXED FUTURE Oct 2025 Future Option Put Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
ER3X25C.OI.Z,3 MONTH ESTR INDEXED FUTURE Nov 2025 Future Option Call Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
ER3X25C.VOL.Z,3 MONTH ESTR INDEXED FUTURE Nov 2025 Future Option Call Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
ER3X25P.OI.Z,3 MONTH ESTR INDEXED FUTURE Nov 2025 Future Option Put Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
ER3X25P.VOL.Z,3 MONTH ESTR INDEXED FUTURE Nov 2025 Future Option Put Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
ER3Z25C.OI.Z,3 MONTH ESTR INDEXED FUTURE Dec 2025 Future Option Call Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
ER3Z25C.VOL.Z,3 MONTH ESTR INDEXED FUTURE Dec 2025 Future Option Call Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
ER3Z25P.OI.Z,3 MONTH ESTR INDEXED FUTURE Dec 2025 Future Option Put Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
ER3Z25P.VOL.Z,3 MONTH ESTR INDEXED FUTURE Dec 2025 Future Option Put Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
ER3F26C.OI.Z,3 MONTH ESTR INDEXED FUTURE Jan 2026 Future Option Call Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
ER3F26C.VOL.Z,3 MONTH ESTR INDEXED FUTURE Jan 2026 Future Option Call Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
ER3F26P.OI.Z,3 MONTH ESTR INDEXED FUTURE Jan 2026 Future Option Put Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
ER3F26P.VOL.Z,3 MONTH ESTR INDEXED FUTURE Jan 2026 Future Option Put Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
ER3H26C.OI.Z,3 MONTH ESTR INDEXED FUTURE Mar 2026 Future Option Call Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
ER3H26C.VOL.Z,3 MONTH ESTR INDEXED FUTURE Mar 2026 Future Option Call Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
ER3H26P.OI.Z,3 MONTH ESTR INDEXED FUTURE Mar 2026 Future Option Put Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
ER3H26P.VOL.Z,3 MONTH ESTR INDEXED FUTURE Mar 2026 Future Option Put Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
ER3M26C.OI.Z,3 MONTH ESTR INDEXED FUTURE Jun 2026 Future Option Call Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
ER3M26C.VOL.Z,3 MONTH ESTR INDEXED FUTURE Jun 2026 Future Option Call Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
ER3M26P.OI.Z,3 MONTH ESTR INDEXED FUTURE Jun 2026 Future Option Put Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
ER3M26P.VOL.Z,3 MONTH ESTR INDEXED FUTURE Jun 2026 Future Option Put Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
ER3U26C.OI.Z,3 MONTH ESTR INDEXED FUTURE Sep 2026 Future Option Call Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
ER3U26C.VOL.Z,3 MONTH ESTR INDEXED FUTURE Sep 2026 Future Option Call Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
ER3U26P.OI.Z,3 MONTH ESTR INDEXED FUTURE Sep 2026 Future Option Put Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
ER3U26P.VOL.Z,3 MONTH ESTR INDEXED FUTURE Sep 2026 Future Option Put Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
ER3Z26C.OI.Z,3 MONTH ESTR INDEXED FUTURE Dec 2026 Future Option Call Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
ER3Z26C.VOL.Z,3 MONTH ESTR INDEXED FUTURE Dec 2026 Future Option Call Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
ER3Z26P.OI.Z,3 MONTH ESTR INDEXED FUTURE Dec 2026 Future Option Put Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
ER3Z26P.VOL.Z,3 MONTH ESTR INDEXED FUTURE Dec 2026 Future Option Put Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
ER3H27C.OI.Z,3 MONTH ESTR INDEXED FUTURE Mar 2027 Future Option Call Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
ER3H27C.VOL.Z,3 MONTH ESTR INDEXED FUTURE Mar 2027 Future Option Call Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
ER3H27P.OI.Z,3 MONTH ESTR INDEXED FUTURE Mar 2027 Future Option Put Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
ER3H27P.VOL.Z,3 MONTH ESTR INDEXED FUTURE Mar 2027 Future Option Put Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
ER3M27C.OI.Z,3 MONTH ESTR INDEXED FUTURE Jun 2027 Future Option Call Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
ER3M27C.VOL.Z,3 MONTH ESTR INDEXED FUTURE Jun 2027 Future Option Call Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
ER3M27P.OI.Z,3 MONTH ESTR INDEXED FUTURE Jun 2027 Future Option Put Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
ER3M27P.VOL.Z,3 MONTH ESTR INDEXED FUTURE Jun 2027 Future Option Put Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
IEQ25C.OI.Z,3 MONTH EURIBOR Aug 2025 Future Option Call Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
IEQ25C.VOL.Z,3 MONTH EURIBOR Aug 2025 Future Option Call Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
IEQ25P.OI.Z,3 MONTH EURIBOR Aug 2025 Future Option Put Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
IEQ25P.VOL.Z,3 MONTH EURIBOR Aug 2025 Future Option Put Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
IEU25C.OI.Z,3 MONTH EURIBOR Sep 2025 Future Option Call Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
IEU25C.VOL.Z,3 MONTH EURIBOR Sep 2025 Future Option Call Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
IEU25P.OI.Z,3 MONTH EURIBOR Sep 2025 Future Option Put Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
IEU25P.VOL.Z,3 MONTH EURIBOR Sep 2025 Future Option Put Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
IEV25C.OI.Z,3 MONTH EURIBOR Oct 2025 Future Option Call Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
IEV25C.VOL.Z,3 MONTH EURIBOR Oct 2025 Future Option Call Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
IEV25P.OI.Z,3 MONTH EURIBOR Oct 2025 Future Option Put Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
IEV25P.VOL.Z,3 MONTH EURIBOR Oct 2025 Future Option Put Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
IEX25C.OI.Z,3 MONTH EURIBOR Nov 2025 Future Option Call Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
IEX25C.VOL.Z,3 MONTH EURIBOR Nov 2025 Future Option Call Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
IEX25P.OI.Z,3 MONTH EURIBOR Nov 2025 Future Option Put Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
IEX25P.VOL.Z,3 MONTH EURIBOR Nov 2025 Future Option Put Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
IEZ25C.OI.Z,3 MONTH EURIBOR Dec 2025 Future Option Call Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
IEZ25C.VOL.Z,3 MONTH EURIBOR Dec 2025 Future Option Call Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
IEZ25P.OI.Z,3 MONTH EURIBOR Dec 2025 Future Option Put Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
IEZ25P.VOL.Z,3 MONTH EURIBOR Dec 2025 Future Option Put Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
IEF26C.OI.Z,3 MONTH EURIBOR Jan 2026 Future Option Call Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
IEF26C.VOL.Z,3 MONTH EURIBOR Jan 2026 Future Option Call Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
IEF26P.OI.Z,3 MONTH EURIBOR Jan 2026 Future Option Put Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
IEF26P.VOL.Z,3 MONTH EURIBOR Jan 2026 Future Option Put Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
IEH26C.OI.Z,3 MONTH EURIBOR Mar 2026 Future Option Call Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
IEH26C.VOL.Z,3 MONTH EURIBOR Mar 2026 Future Option Call Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
IEH26P.OI.Z,3 MONTH EURIBOR Mar 2026 Future Option Put Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
IEH26P.VOL.Z,3 MONTH EURIBOR Mar 2026 Future Option Put Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
IEM26C.OI.Z,3 MONTH EURIBOR Jun 2026 Future Option Call Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
IEM26C.VOL.Z,3 MONTH EURIBOR Jun 2026 Future Option Call Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
IEM26P.OI.Z,3 MONTH EURIBOR Jun 2026 Future Option Put Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
IEM26P.VOL.Z,3 MONTH EURIBOR Jun 2026 Future Option Put Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
IEU26C.OI.Z,3 MONTH EURIBOR Sep 2026 Future Option Call Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
IEU26C.VOL.Z,3 MONTH EURIBOR Sep 2026 Future Option Call Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
IEU26P.OI.Z,3 MONTH EURIBOR Sep 2026 Future Option Put Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
IEU26P.VOL.Z,3 MONTH EURIBOR Sep 2026 Future Option Put Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
IEZ26C.OI.Z,3 MONTH EURIBOR Dec 2026 Future Option Call Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
IEZ26C.VOL.Z,3 MONTH EURIBOR Dec 2026 Future Option Call Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
IEZ26P.OI.Z,3 MONTH EURIBOR Dec 2026 Future Option Put Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
IEZ26P.VOL.Z,3 MONTH EURIBOR Dec 2026 Future Option Put Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
IEH27C.OI.Z,3 MONTH EURIBOR Mar 2027 Future Option Call Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
IEH27C.VOL.Z,3 MONTH EURIBOR Mar 2027 Future Option Call Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
IEH27P.OI.Z,3 MONTH EURIBOR Mar 2027 Future Option Put Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
IEH27P.VOL.Z,3 MONTH EURIBOR Mar 2027 Future Option Put Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
IEM27C.OI.Z,3 MONTH EURIBOR Jun 2027 Future Option Call Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
IEM27C.VOL.Z,3 MONTH EURIBOR Jun 2027 Future Option Call Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
IEM27P.OI.Z,3 MONTH EURIBOR Jun 2027 Future Option Put Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
IEM27P.VOL.Z,3 MONTH EURIBOR Jun 2027 Future Option Put Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
K2Q25C.OI.Z,2 YR EURIBOR MID-CURVE Aug 2025 Future Option Call Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
K2Q25C.VOL.Z,2 YR EURIBOR MID-CURVE Aug 2025 Future Option Call Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
K2Q25P.OI.Z,2 YR EURIBOR MID-CURVE Aug 2025 Future Option Put Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
K2Q25P.VOL.Z,2 YR EURIBOR MID-CURVE Aug 2025 Future Option Put Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
K2U25C.OI.Z,2 YR EURIBOR MID-CURVE Sep 2025 Future Option Call Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
K2U25C.VOL.Z,2 YR EURIBOR MID-CURVE Sep 2025 Future Option Call Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
K2U25P.OI.Z,2 YR EURIBOR MID-CURVE Sep 2025 Future Option Put Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
K2U25P.VOL.Z,2 YR EURIBOR MID-CURVE Sep 2025 Future Option Put Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
K2V25C.OI.Z,2 YR EURIBOR MID-CURVE Oct 2025 Future Option Call Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
K2V25C.VOL.Z,2 YR EURIBOR MID-CURVE Oct 2025 Future Option Call Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
K2V25P.OI.Z,2 YR EURIBOR MID-CURVE Oct 2025 Future Option Put Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
K2V25P.VOL.Z,2 YR EURIBOR MID-CURVE Oct 2025 Future Option Put Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
K2X25C.OI.Z,2 YR EURIBOR MID-CURVE Nov 2025 Future Option Call Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
K2X25C.VOL.Z,2 YR EURIBOR MID-CURVE Nov 2025 Future Option Call Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
K2X25P.OI.Z,2 YR EURIBOR MID-CURVE Nov 2025 Future Option Put Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
K2X25P.VOL.Z,2 YR EURIBOR MID-CURVE Nov 2025 Future Option Put Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
K2Z25C.OI.Z,2 YR EURIBOR MID-CURVE Dec 2025 Future Option Call Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
K2Z25C.VOL.Z,2 YR EURIBOR MID-CURVE Dec 2025 Future Option Call Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
K2Z25P.OI.Z,2 YR EURIBOR MID-CURVE Dec 2025 Future Option Put Total Open Interest,ICEEF,ICEEF,COMBINED_FOPTION
K2Z25P.VOL.Z,2 YR EURIBOR MID-CURVE Dec 2025 Future Option Put Total Volume,ICEEF,ICEEF,COMBINED_FOPTION
