symbol,description,exchange,listedMarket,securityType
C05.OI.Z,MEDIUM SWISS CONFEDERATION BOND Future Total Open Interest,ICEEF,ICEEF,COMBINED_FUTURE
C05.VOL.Z,MEDIUM SWISS CONFEDERATION BOND Future Total Volume,ICEEF,ICEEF,COMBINED_FUTURE
C10.OI.Z,LONG SWISS CONFEDERATION BOND Future Total Open Interest,ICEEF,ICEEF,COMBINED_FUTURE
C10.VOL.Z,LONG SWISS CONFEDERATION BOND Future Total Volume,ICEEF,ICEEF,COMBINED_FUTURE
ER3.OI.Z,3 MONTH ESTR INDEXED FUTURE Future Total Open Interest,ICEEF,ICEEF,COMBINED_FUTURE
ER3.VOL.Z,3 MONTH ESTR INDEXED FUTURE Future Total Volume,ICEEF,ICEEF,COMBINED_FUTURE
EU3.OI.Z,30 YR EURO SWAPNOTE Future Total Open Interest,ICEEF,ICEEF,COMBINED_FUTURE
EU3.VOL.Z,30 YR EURO SWAPNOTE Future Total Volume,ICEEF,ICEEF,COMBINED_FUTURE
EXZ.OI.Z,FTSE 100 DIVIDEND INDEX RDSA Future Total Open Interest,ICEEF,ICEEF,COMBINED_FUTURE
EXZ.VOL.Z,FTSE 100 DIVIDEND INDEX RDSA Future Total Volume,ICEEF,ICEEF,COMBINED_FUTURE
G.OI.Z,SHORT GILT Future Total Open Interest,ICEEF,ICEEF,COMBINED_FUTURE
G.VOL.Z,SHORT GILT Future Total Volume,ICEEF,ICEEF,COMBINED_FUTURE
G02.OI.Z,SHORT BUND (SCHATZ) Future Total Open Interest,ICEEF,ICEEF,COMBINED_FUTURE
G02.VOL.Z,SHORT BUND (SCHATZ) Future Total Volume,ICEEF,ICEEF,COMBINED_FUTURE
G05.OI.Z,MEDIUM BUND (BOBL) Future Total Open Interest,ICEEF,ICEEF,COMBINED_FUTURE
G05.VOL.Z,MEDIUM BUND (BOBL) Future Total Volume,ICEEF,ICEEF,COMBINED_FUTURE
G11.OI.Z,LONG BUND Future Total Open Interest,ICEEF,ICEEF,COMBINED_FUTURE
G11.VOL.Z,LONG BUND Future Total Volume,ICEEF,ICEEF,COMBINED_FUTURE
G30.OI.Z,ULTRA LONG BUND Future Total Open Interest,ICEEF,ICEEF,COMBINED_FUTURE
G30.VOL.Z,ULTRA LONG BUND Future Total Volume,ICEEF,ICEEF,COMBINED_FUTURE
GB3.OI.Z,30 YR STERLING SWAPNOTE Future Total Open Interest,ICEEF,ICEEF,COMBINED_FUTURE
GB3.VOL.Z,30 YR STERLING SWAPNOTE Future Total Volume,ICEEF,ICEEF,COMBINED_FUTURE
GBO.OI.Z,5 YR STERLING SWAPNOTE Future Total Open Interest,ICEEF,ICEEF,COMBINED_FUTURE
GBO.VOL.Z,5 YR STERLING SWAPNOTE Future Total Volume,ICEEF,ICEEF,COMBINED_FUTURE
GBQ.OI.Z,10 YR STERLING SWAPNOTE Future Total Open Interest,ICEEF,ICEEF,COMBINED_FUTURE
GBQ.VOL.Z,10 YR STERLING SWAPNOTE Future Total Volume,ICEEF,ICEEF,COMBINED_FUTURE
GBW.OI.Z,2 YR STERLING SWAPNOTE Future Total Open Interest,ICEEF,ICEEF,COMBINED_FUTURE
GBW.VOL.Z,2 YR STERLING SWAPNOTE Future Total Volume,ICEEF,ICEEF,COMBINED_FUTURE
H.OI.Z,MEDIUM GILT Future Total Open Interest,ICEEF,ICEEF,COMBINED_FUTURE
H.VOL.Z,MEDIUM GILT Future Total Volume,ICEEF,ICEEF,COMBINED_FUTURE
I02.OI.Z,SHORT BTP Future Total Open Interest,ICEEF,ICEEF,COMBINED_FUTURE
I02.VOL.Z,SHORT BTP Future Total Volume,ICEEF,ICEEF,COMBINED_FUTURE
I05.OI.Z,MEDIUM BTP Future Total Open Interest,ICEEF,ICEEF,COMBINED_FUTURE
I05.VOL.Z,MEDIUM BTP Future Total Volume,ICEEF,ICEEF,COMBINED_FUTURE
I10.OI.Z,LONG BTP Future Total Open Interest,ICEEF,ICEEF,COMBINED_FUTURE
I10.VOL.Z,LONG BTP Future Total Volume,ICEEF,ICEEF,COMBINED_FUTURE
IE.OI.Z,3 MONTH EURIBOR Future Total Open Interest,ICEEF,ICEEF,COMBINED_FUTURE
