symbol,description,exchange,listedMarket,securityType
UXQ25C.OI.Z,EUA Aug 2025 Future Option Call Total Open Interest,ICEENDEX,ICEENDEX,COMBINED_FOPTION
UXQ25C.VOL.Z,EUA Aug 2025 Future Option Call Total Volume,ICEENDEX,ICEENDEX,COMBINED_FOPTION
UXQ25P.OI.Z,EUA Aug 2025 Future Option Put Total Open Interest,ICEENDEX,ICEENDEX,COMBINED_FOPTION
UXQ25P.VOL.Z,EUA Aug 2025 Future Option Put Total Volume,ICEENDEX,ICEENDEX,COMBINED_FOPTION
UXU25C.OI.Z,EUA Sep 2025 Future Option Call Total Open Interest,ICEENDEX,ICEENDEX,COMBINED_FOPTION
UXU25C.VOL.Z,EUA Sep 2025 Future Option Call Total Volume,ICEENDEX,ICEENDEX,COMBINED_FOPTION
UXU25P.OI.Z,EUA Sep 2025 Future Option Put Total Open Interest,ICEENDEX,ICEENDEX,COMBINED_FOPTION
UXU25P.VOL.Z,EUA Sep 2025 Future Option Put Total Volume,ICEENDEX,ICEENDEX,COMBINED_FOPTION
UXV25C.OI.Z,EUA Oct 2025 Future Option Call Total Open Interest,ICEENDEX,ICEENDEX,COMBINED_FOPTION
UXV25C.VOL.Z,EUA Oct 2025 Future Option Call Total Volume,ICEENDEX,ICEENDEX,COMBINED_FOPTION
UXV25P.OI.Z,EUA Oct 2025 Future Option Put Total Open Interest,ICEENDEX,ICEENDEX,COMBINED_FOPTION
UXV25P.VOL.Z,EUA Oct 2025 Future Option Put Total Volume,ICEENDEX,ICEENDEX,COMBINED_FOPTION
UXX25C.OI.Z,EUA Nov 2025 Future Option Call Total Open Interest,ICEENDEX,ICEENDEX,COMBINED_FOPTION
UXX25C.VOL.Z,EUA Nov 2025 Future Option Call Total Volume,ICEENDEX,ICEENDEX,COMBINED_FOPTION
UXX25P.OI.Z,EUA Nov 2025 Future Option Put Total Open Interest,ICEENDEX,ICEENDEX,COMBINED_FOPTION
UXX25P.VOL.Z,EUA Nov 2025 Future Option Put Total Volume,ICEENDEX,ICEENDEX,COMBINED_FOPTION
