symbol,description,exchange,listedMarket,securityType
AOQ.OI.Z,AUSTRIAN POWER FINANCIAL BASELOAD QTR Future Total Open Interest,ICEENDEX,ICEENDEX,COMBINED_FUTURE
AOQ.VOL.Z,AUSTRIAN POWER FINANCIAL BASELOAD QTR Future Total Volume,ICEENDEX,ICEENDEX,COMBINED_FUTURE
AOS.OI.Z,AUSTRIAN POWER FINANCIAL BASE SEASONAL Future Total Open Interest,ICEENDEX,ICEENDEX,COMBINED_FUTURE
AOS.VOL.Z,AUSTRIAN POWER FINANCIAL BASE SEASONAL Future Total Volume,ICEENDEX,ICEENDEX,COMBINED_FUTURE
AOT.OI.Z,AUSTRIAN POWER FINANCIAL BASELOAD Future Total Open Interest,ICEENDEX,ICEENDEX,COMBINED_FUTURE
AOT.VOL.Z,AUSTRIAN POWER FINANCIAL BASELOAD Future Total Volume,ICEENDEX,ICEENDEX,COMBINED_FUTURE
AOU.OI.Z,AUSTRIAN POWER FINANCIAL PEAKLOAD Future Total Open Interest,ICEENDEX,ICEENDEX,COMBINED_FUTURE
AOU.VOL.Z,AUSTRIAN POWER FINANCIAL PEAKLOAD Future Total Volume,ICEENDEX,ICEENDEX,COMBINED_FUTURE
AOY.OI.Z,AUSTRIAN POWER FINANCIAL BASELOAD YR Future Total Open Interest,ICEENDEX,ICEENDEX,COMBINED_FUTURE
AOY.VOL.Z,AUSTRIAN POWER FINANCIAL BASELOAD YR Future Total Volume,ICEENDEX,ICEENDEX,COMBINED_FUTURE
AUQ.OI.Z,AUSTRIAN POWER FINANCIAL PEAKLOAD QTR Future Total Open Interest,ICEENDEX,ICEENDEX,COMBINED_FUTURE
AUQ.VOL.Z,AUSTRIAN POWER FINANCIAL PEAKLOAD QTR Future Total Volume,ICEENDEX,ICEENDEX,COMBINED_FUTURE
AUS.OI.Z,AUSTRIAN POWER FINANCIAL PEAKLOAD SEASON Future Total Open Interest,ICEENDEX,ICEENDEX,COMBINED_FUTURE
AUS.VOL.Z,AUSTRIAN POWER FINANCIAL PEAKLOAD SEASON Future Total Volume,ICEENDEX,ICEENDEX,COMBINED_FUTURE
AUY.OI.Z,AUSTRIAN POWER FINANCIAL PEAKLOAD YR Future Total Open Interest,ICEENDEX,ICEENDEX,COMBINED_FUTURE
AUY.VOL.Z,AUSTRIAN POWER FINANCIAL PEAKLOAD YR Future Total Volume,ICEENDEX,ICEENDEX,COMBINED_FUTURE
AVM.OI.Z,AUSTRIAN CEGH VTP GAS FUTURES Future Total Open Interest,ICEENDEX,ICEENDEX,COMBINED_FUTURE
AVM.VOL.Z,AUSTRIAN CEGH VTP GAS FUTURES Future Total Volume,ICEENDEX,ICEENDEX,COMBINED_FUTURE
AVQ.OI.Z,AUSTRIAN CEGH VTP GAS FUTURES QTR Future Total Open Interest,ICEENDEX,ICEENDEX,COMBINED_FUTURE
AVQ.VOL.Z,AUSTRIAN CEGH VTP GAS FUTURES QTR Future Total Volume,ICEENDEX,ICEENDEX,COMBINED_FUTURE
AVS.OI.Z,AUSTRIAN CEGH VTP GAS FUTURES SEASONAL Future Total Open Interest,ICEENDEX,ICEENDEX,COMBINED_FUTURE
AVS.VOL.Z,AUSTRIAN CEGH VTP GAS FUTURES SEASONAL Future Total Volume,ICEENDEX,ICEENDEX,COMBINED_FUTURE
AVY.OI.Z,AUSTRIAN CEGH VTP GAS FUTURES YR Future Total Open Interest,ICEENDEX,ICEENDEX,COMBINED_FUTURE
AVY.VOL.Z,AUSTRIAN CEGH VTP GAS FUTURES YR Future Total Volume,ICEENDEX,ICEENDEX,COMBINED_FUTURE
BEB.OI.Z,BELGIAN POWER FINANCIAL BASELOAD Future Total Open Interest,ICEENDEX,ICEENDEX,COMBINED_FUTURE
BEB.VOL.Z,BELGIAN POWER FINANCIAL BASELOAD Future Total Volume,ICEENDEX,ICEENDEX,COMBINED_FUTURE
