symbol,description,exchange,listedMarket,securityType
ECP07Q25,EUA PHASE 3 DAILY FUTURES August 07 2025,ICEENDEX,ICEENDEX,DAILY_FUTURE
TFE08Q25,DUTCH TTF NATURAL GAS DAILY August 08 2025,ICEENDEX,ICEENDEX,DAILY_FUTURE
TFE09Q25,DUTCH TTF NATURAL GAS DAILY August 09 2025,ICEENDEX,ICEENDEX,DAILY_FUTURE
TFE10Q25,DUTCH TTF NATURAL GAS DAILY August 10 2025,ICEENDEX,ICEENDEX,DAILY_FUTURE
TFE11Q25,DUTCH TTF NATURAL GAS DAILY August 11 2025,ICEENDEX,ICEENDEX,DAILY_FUTURE
TFE12Q25,DUTCH TTF NATURAL GAS DAILY August 12 2025,ICEENDEX,ICEENDEX,DAILY_FUTURE
TFE13Q25,DUTCH TTF NATURAL GAS DAILY August 13 2025,ICEENDEX,ICEENDEX,DAILY_FUTURE
TFE14Q25,DUTCH TTF NATURAL GAS DAILY August 14 2025,ICEENDEX,ICEENDEX,DAILY_FUTURE
TFE15Q25,DUTCH TTF NATURAL GAS DAILY August 15 2025,ICEENDEX,ICEENDEX,DAILY_FUTURE
TFE16Q25,DUTCH TTF NATURAL GAS DAILY August 16 2025,ICEENDEX,ICEENDEX,DAILY_FUTURE
TFE17Q25,DUTCH TTF NATURAL GAS DAILY August 17 2025,ICEENDEX,ICEENDEX,DAILY_FUTURE
TFE18Q25,DUTCH TTF NATURAL GAS DAILY August 18 2025,ICEENDEX,ICEENDEX,DAILY_FUTURE
TFE19Q25,DUTCH TTF NATURAL GAS DAILY August 19 2025,ICEENDEX,ICEENDEX,DAILY_FUTURE
TFE20Q25,DUTCH TTF NATURAL GAS DAILY August 20 2025,ICEENDEX,ICEENDEX,DAILY_FUTURE
TFE21Q25,DUTCH TTF NATURAL GAS DAILY August 21 2025,ICEENDEX,ICEENDEX,DAILY_FUTURE
TFE22Q25,DUTCH TTF NATURAL GAS DAILY August 22 2025,ICEENDEX,ICEENDEX,DAILY_FUTURE
TFE23Q25,DUTCH TTF NATURAL GAS DAILY August 23 2025,ICEENDEX,ICEENDEX,DAILY_FUTURE
TFE24Q25,DUTCH TTF NATURAL GAS DAILY August 24 2025,ICEENDEX,ICEENDEX,DAILY_FUTURE
TFE25Q25,DUTCH TTF NATURAL GAS DAILY August 25 2025,ICEENDEX,ICEENDEX,DAILY_FUTURE
TFE26Q25,DUTCH TTF NATURAL GAS DAILY August 26 2025,ICEENDEX,ICEENDEX,DAILY_FUTURE
TFE27Q25,DUTCH TTF NATURAL GAS DAILY August 27 2025,ICEENDEX,ICEENDEX,DAILY_FUTURE
TFE28Q25,DUTCH TTF NATURAL GAS DAILY August 28 2025,ICEENDEX,ICEENDEX,DAILY_FUTURE
TFE29Q25,DUTCH TTF NATURAL GAS DAILY August 29 2025,ICEENDEX,ICEENDEX,DAILY_FUTURE
TFE01U25,DUTCH TTF NATURAL GAS DAILY September 01 2025,ICEENDEX,ICEENDEX,DAILY_FUTURE
TFE30Q25,DUTCH TTF NATURAL GAS DAILY August 30 2025,ICEENDEX,ICEENDEX,DAILY_FUTURE
TFE31Q25,DUTCH TTF NATURAL GAS DAILY August 31 2025,ICEENDEX,ICEENDEX,DAILY_FUTURE
TFE02U25,DUTCH TTF NATURAL GAS DAILY September 02 2025,ICEENDEX,ICEENDEX,DAILY_FUTURE
TFE03U25,DUTCH TTF NATURAL GAS DAILY September 03 2025,ICEENDEX,ICEENDEX,DAILY_FUTURE
TFE04U25,DUTCH TTF NATURAL GAS DAILY September 04 2025,ICEENDEX,ICEENDEX,DAILY_FUTURE
TFE05U25,DUTCH TTF NATURAL GAS DAILY September 05 2025,ICEENDEX,ICEENDEX,DAILY_FUTURE
TFE06U25,DUTCH TTF NATURAL GAS DAILY September 06 2025,ICEENDEX,ICEENDEX,DAILY_FUTURE
TFE07U25,DUTCH TTF NATURAL GAS DAILY September 07 2025,ICEENDEX,ICEENDEX,DAILY_FUTURE
TFE08U25,DUTCH TTF NATURAL GAS DAILY September 08 2025,ICEENDEX,ICEENDEX,DAILY_FUTURE
TFE09U25,DUTCH TTF NATURAL GAS DAILY September 09 2025,ICEENDEX,ICEENDEX,DAILY_FUTURE
TFE10U25,DUTCH TTF NATURAL GAS DAILY September 10 2025,ICEENDEX,ICEENDEX,DAILY_FUTURE
TFE11U25,DUTCH TTF NATURAL GAS DAILY September 11 2025,ICEENDEX,ICEENDEX,DAILY_FUTURE
TFE12U25,DUTCH TTF NATURAL GAS DAILY September 12 2025,ICEENDEX,ICEENDEX,DAILY_FUTURE
TFE13U25,DUTCH TTF NATURAL GAS DAILY September 13 2025,ICEENDEX,ICEENDEX,DAILY_FUTURE
TFE14U25,DUTCH TTF NATURAL GAS DAILY September 14 2025,ICEENDEX,ICEENDEX,DAILY_FUTURE
TFE15U25,DUTCH TTF NATURAL GAS DAILY September 15 2025,ICEENDEX,ICEENDEX,DAILY_FUTURE
TFE16U25,DUTCH TTF NATURAL GAS DAILY September 16 2025,ICEENDEX,ICEENDEX,DAILY_FUTURE
TFE17U25,DUTCH TTF NATURAL GAS DAILY September 17 2025,ICEENDEX,ICEENDEX,DAILY_FUTURE
TFE18U25,DUTCH TTF NATURAL GAS DAILY September 18 2025,ICEENDEX,ICEENDEX,DAILY_FUTURE
TFE19U25,DUTCH TTF NATURAL GAS DAILY September 19 2025,ICEENDEX,ICEENDEX,DAILY_FUTURE
TFE20U25,DUTCH TTF NATURAL GAS DAILY September 20 2025,ICEENDEX,ICEENDEX,DAILY_FUTURE
TFE21U25,DUTCH TTF NATURAL GAS DAILY September 21 2025,ICEENDEX,ICEENDEX,DAILY_FUTURE
TFE22U25,DUTCH TTF NATURAL GAS DAILY September 22 2025,ICEENDEX,ICEENDEX,DAILY_FUTURE
TFE23U25,DUTCH TTF NATURAL GAS DAILY September 23 2025,ICEENDEX,ICEENDEX,DAILY_FUTURE
