symbol,description,exchange,listedMarket,securityType
AOQ#C,AUSTRIAN POWER FINANCIAL BASELOAD QTR Continuous Backadjusted,ICEENDEX,ICEENDEX,FUTURE
AOQ#,AUSTRIAN POWER FINANCIAL BASELOAD QTR Continuous,ICEENDEX,ICEENDEX,FUTURE
AOQU25,AUSTRIAN POWER FINANCIAL BASELOAD QTR September 2025,ICEENDEX,ICEENDEX,FUTURE
AOQZ25,AUSTRIAN POWER FINANCIAL BASELOAD QTR December 2025,ICEENDEX,ICEENDEX,FUTURE
AOQH26,AUSTRIAN POWER FINANCIAL BASELOAD QTR March 2026,ICEENDEX,ICEENDEX,FUTURE
AOQM26,AUSTRIAN POWER FINANCIAL BASELOAD QTR June 2026,ICEENDEX,ICEENDEX,FUTURE
AOQU26,AUSTRIAN POWER FINANCIAL BASELOAD QTR September 2026,ICEENDEX,ICEENDEX,FUTURE
AOQZ26,AUSTRIAN POWER FINANCIAL BASELOAD QTR December 2026,ICEENDEX,ICEENDEX,FUTURE
AOQH27,AUSTRIAN POWER FINANCIAL BASELOAD QTR March 2027,ICEENDEX,ICEENDEX,FUTURE
AOQM27,AUSTRIAN POWER FINANCIAL BASELOAD QTR June 2027,ICEENDEX,ICEENDEX,FUTURE
AOQU27,AUSTRIAN POWER FINANCIAL BASELOAD QTR September 2027,ICEENDEX,ICEENDEX,FUTURE
AOQZ27,AUSTRIAN POWER FINANCIAL BASELOAD QTR December 2027,ICEENDEX,ICEENDEX,FUTURE
AOQH28,AUSTRIAN POWER FINANCIAL BASELOAD QTR March 2028,ICEENDEX,ICEENDEX,FUTURE
AOQM28,AUSTRIAN POWER FINANCIAL BASELOAD QTR June 2028,ICEENDEX,ICEENDEX,FUTURE
AOQU28,AUSTRIAN POWER FINANCIAL BASELOAD QTR September 2028,ICEENDEX,ICEENDEX,FUTURE
AOQZ28,AUSTRIAN POWER FINANCIAL BASELOAD QTR December 2028,ICEENDEX,ICEENDEX,FUTURE
AOQH29,AUSTRIAN POWER FINANCIAL BASELOAD QTR March 2029,ICEENDEX,ICEENDEX,FUTURE
AOQM29,AUSTRIAN POWER FINANCIAL BASELOAD QTR June 2029,ICEENDEX,ICEENDEX,FUTURE
AOQU29,AUSTRIAN POWER FINANCIAL BASELOAD QTR September 2029,ICEENDEX,ICEENDEX,FUTURE
AOQZ29,AUSTRIAN POWER FINANCIAL BASELOAD QTR December 2029,ICEENDEX,ICEENDEX,FUTURE
AOQH30,AUSTRIAN POWER FINANCIAL BASELOAD QTR March 2030,ICEENDEX,ICEENDEX,FUTURE
AOS#C,AUSTRIAN POWER FINANCIAL BASE SEASONAL Continuous Backadjusted,ICEENDEX,ICEENDEX,FUTURE
