symbol,description,exchange,listedMarket,securityType
AVMQ25-NGMQ25,AUSTRIAN CEGH VTP GAS FUTURES August 2025 / NCG NATURAL GAS August 2025 IC SPREAD,ICEENDEX,ICEENDEX,ICSPREAD
AVMU25-NGMU25,AUSTRIAN CEGH VTP GAS FUTURES September 2025 / NCG NATURAL GAS September 2025 IC SPREAD,ICEENDEX,ICEENDEX,ICSPREAD
AVMV25-NGMV25,AUSTRIAN CEGH VTP GAS FUTURES October 2025 / NCG NATURAL GAS October 2025 IC SPREAD,ICEENDEX,ICEENDEX,ICSPREAD
AVMX25-NGMX25,AUSTRIAN CEGH VTP GAS FUTURES November 2025 / NCG NATURAL GAS November 2025 IC SPREAD,ICEENDEX,ICEENDEX,ICSPREAD
AVMZ25-NGMZ25,AUSTRIAN CEGH VTP GAS FUTURES December 2025 / NCG NATURAL GAS December 2025 IC SPREAD,ICEENDEX,ICEENDEX,ICSPREAD
AVMF26-NGMF26,AUSTRIAN CEGH VTP GAS FUTURES January 2026 / NCG NATURAL GAS January 2026 IC SPREAD,ICEENDEX,ICEENDEX,ICSPREAD
AVMG26-NGMG26,AUSTRIAN CEGH VTP GAS FUTURES February 2026 / NCG NATURAL GAS February 2026 IC SPREAD,ICEENDEX,ICEENDEX,ICSPREAD
AVMH26-NGMH26,AUSTRIAN CEGH VTP GAS FUTURES March 2026 / NCG NATURAL GAS March 2026 IC SPREAD,ICEENDEX,ICEENDEX,ICSPREAD
AVMJ26-NGMJ26,AUSTRIAN CEGH VTP GAS FUTURES April 2026 / NCG NATURAL GAS April 2026 IC SPREAD,ICEENDEX,ICEENDEX,ICSPREAD
AVMK26-NGMK26,AUSTRIAN CEGH VTP GAS FUTURES May 2026 / NCG NATURAL GAS May 2026 IC SPREAD,ICEENDEX,ICEENDEX,ICSPREAD
AVMM26-NGMM26,AUSTRIAN CEGH VTP GAS FUTURES June 2026 / NCG NATURAL GAS June 2026 IC SPREAD,ICEENDEX,ICEENDEX,ICSPREAD
