symbol,description,exchange,listedMarket,securityType
AVMQ25-AVMU25,AUSTRIAN CEGH VTP GAS FUTURES Aug 25/Sep 25,ICEENDEX,ICEENDEX,SPREAD
AVMQ25-AVMV25,AUSTRIAN CEGH VTP GAS FUTURES Aug 25/Oct 25,ICEENDEX,ICEENDEX,SPREAD
AVMQ25-AVMX25,AUSTRIAN CEGH VTP GAS FUTURES Aug 25/Nov 25,ICEENDEX,ICEENDEX,SPREAD
AVMQ25-AVMZ25,AUSTRIAN CEGH VTP GAS FUTURES Aug 25/Dec 25,ICEENDEX,ICEENDEX,SPREAD
AVMQ25-AVMF26,AUSTRIAN CEGH VTP GAS FUTURES Aug 25/Jan 26,ICEENDEX,ICEENDEX,SPREAD
AVMQ25-AVMG26,AUSTRIAN CEGH VTP GAS FUTURES Aug 25/Feb 26,ICEENDEX,ICEENDEX,SPREAD
AVMQ25-AVMH26,AUSTRIAN CEGH VTP GAS FUTURES Aug 25/Mar 26,ICEENDEX,ICEENDEX,SPREAD
AVMQ25-AVMJ26,AUSTRIAN CEGH VTP GAS FUTURES Aug 25/Apr 26,ICEENDEX,ICEENDEX,SPREAD
AVMQ25-AVMK26,AUSTRIAN CEGH VTP GAS FUTURES Aug 25/May 26,ICEENDEX,ICEENDEX,SPREAD
AVMQ25-AVMM26,AUSTRIAN CEGH VTP GAS FUTURES Aug 25/Jun 26,ICEENDEX,ICEENDEX,SPREAD
AVMQ25-AVMN26,AUSTRIAN CEGH VTP GAS FUTURES Aug 25/Jul 26,ICEENDEX,ICEENDEX,SPREAD
AVMU25-AVMV25,AUSTRIAN CEGH VTP GAS FUTURES Sep 25/Oct 25,ICEENDEX,ICEENDEX,SPREAD
AVMU25-AVMX25,AUSTRIAN CEGH VTP GAS FUTURES Sep 25/Nov 25,ICEENDEX,ICEENDEX,SPREAD
AVMU25-AVMZ25,AUSTRIAN CEGH VTP GAS FUTURES Sep 25/Dec 25,ICEENDEX,ICEENDEX,SPREAD
AVMU25-AVMF26,AUSTRIAN CEGH VTP GAS FUTURES Sep 25/Jan 26,ICEENDEX,ICEENDEX,SPREAD
AVMU25-AVMG26,AUSTRIAN CEGH VTP GAS FUTURES Sep 25/Feb 26,ICEENDEX,ICEENDEX,SPREAD
AVMU25-AVMH26,AUSTRIAN CEGH VTP GAS FUTURES Sep 25/Mar 26,ICEENDEX,ICEENDEX,SPREAD
AVMU25-AVMJ26,AUSTRIAN CEGH VTP GAS FUTURES Sep 25/Apr 26,ICEENDEX,ICEENDEX,SPREAD
AVMU25-AVMK26,AUSTRIAN CEGH VTP GAS FUTURES Sep 25/May 26,ICEENDEX,ICEENDEX,SPREAD
AVMU25-AVMM26,AUSTRIAN CEGH VTP GAS FUTURES Sep 25/Jun 26,ICEENDEX,ICEENDEX,SPREAD
AVMU25-AVMN26,AUSTRIAN CEGH VTP GAS FUTURES Sep 25/Jul 26,ICEENDEX,ICEENDEX,SPREAD
AVMV25-AVMX25,AUSTRIAN CEGH VTP GAS FUTURES Oct 25/Nov 25,ICEENDEX,ICEENDEX,SPREAD
AVMV25-AVMZ25,AUSTRIAN CEGH VTP GAS FUTURES Oct 25/Dec 25,ICEENDEX,ICEENDEX,SPREAD
AVMV25-AVMF26,AUSTRIAN CEGH VTP GAS FUTURES Oct 25/Jan 26,ICEENDEX,ICEENDEX,SPREAD
AVMV25-AVMG26,AUSTRIAN CEGH VTP GAS FUTURES Oct 25/Feb 26,ICEENDEX,ICEENDEX,SPREAD
AVMV25-AVMH26,AUSTRIAN CEGH VTP GAS FUTURES Oct 25/Mar 26,ICEENDEX,ICEENDEX,SPREAD
AVMV25-AVMJ26,AUSTRIAN CEGH VTP GAS FUTURES Oct 25/Apr 26,ICEENDEX,ICEENDEX,SPREAD
AVMV25-AVMK26,AUSTRIAN CEGH VTP GAS FUTURES Oct 25/May 26,ICEENDEX,ICEENDEX,SPREAD
AVMV25-AVMM26,AUSTRIAN CEGH VTP GAS FUTURES Oct 25/Jun 26,ICEENDEX,ICEENDEX,SPREAD
AVMV25-AVMN26,AUSTRIAN CEGH VTP GAS FUTURES Oct 25/Jul 26,ICEENDEX,ICEENDEX,SPREAD
AVMX25-AVMZ25,AUSTRIAN CEGH VTP GAS FUTURES Nov 25/Dec 25,ICEENDEX,ICEENDEX,SPREAD
AVMX25-AVMF26,AUSTRIAN CEGH VTP GAS FUTURES Nov 25/Jan 26,ICEENDEX,ICEENDEX,SPREAD
AVMX25-AVMG26,AUSTRIAN CEGH VTP GAS FUTURES Nov 25/Feb 26,ICEENDEX,ICEENDEX,SPREAD
AVMX25-AVMH26,AUSTRIAN CEGH VTP GAS FUTURES Nov 25/Mar 26,ICEENDEX,ICEENDEX,SPREAD
AVMX25-AVMJ26,AUSTRIAN CEGH VTP GAS FUTURES Nov 25/Apr 26,ICEENDEX,ICEENDEX,SPREAD
AVMX25-AVMK26,AUSTRIAN CEGH VTP GAS FUTURES Nov 25/May 26,ICEENDEX,ICEENDEX,SPREAD
AVMX25-AVMM26,AUSTRIAN CEGH VTP GAS FUTURES Nov 25/Jun 26,ICEENDEX,ICEENDEX,SPREAD
AVMX25-AVMN26,AUSTRIAN CEGH VTP GAS FUTURES Nov 25/Jul 26,ICEENDEX,ICEENDEX,SPREAD
AVMZ25-AVMF26,AUSTRIAN CEGH VTP GAS FUTURES Dec 25/Jan 26,ICEENDEX,ICEENDEX,SPREAD
