symbol,description,exchange,listedMarket,securityType
@RSQ25C.OI.Z,CANOLA Aug 2025 Future Option Call Total Open Interest,ICEFC,ICEFC,COMBINED_FOPTION
@RSQ25C.VOL.Z,CANOLA Aug 2025 Future Option Call Total Volume,ICEFC,ICEFC,COMBINED_FOPTION
@RSQ25P.OI.Z,CANOLA Aug 2025 Future Option Put Total Open Interest,ICEFC,ICEFC,COMBINED_FOPTION
@RSQ25P.VOL.Z,CANOLA Aug 2025 Future Option Put Total Volume,ICEFC,ICEFC,COMBINED_FOPTION
@RSU25C.OI.Z,CANOLA Sep 2025 Future Option Call Total Open Interest,ICEFC,ICEFC,COMBINED_FOPTION
@RSU25C.VOL.Z,CANOLA Sep 2025 Future Option Call Total Volume,ICEFC,ICEFC,COMBINED_FOPTION
@RSU25P.OI.Z,CANOLA Sep 2025 Future Option Put Total Open Interest,ICEFC,ICEFC,COMBINED_FOPTION
@RSU25P.VOL.Z,CANOLA Sep 2025 Future Option Put Total Volume,ICEFC,ICEFC,COMBINED_FOPTION
@RSV25C.OI.Z,CANOLA Oct 2025 Future Option Call Total Open Interest,ICEFC,ICEFC,COMBINED_FOPTION
@RSV25C.VOL.Z,CANOLA Oct 2025 Future Option Call Total Volume,ICEFC,ICEFC,COMBINED_FOPTION
@RSV25P.OI.Z,CANOLA Oct 2025 Future Option Put Total Open Interest,ICEFC,ICEFC,COMBINED_FOPTION
@RSV25P.VOL.Z,CANOLA Oct 2025 Future Option Put Total Volume,ICEFC,ICEFC,COMBINED_FOPTION
@RSX25C.OI.Z,CANOLA Nov 2025 Future Option Call Total Open Interest,ICEFC,ICEFC,COMBINED_FOPTION
@RSX25C.VOL.Z,CANOLA Nov 2025 Future Option Call Total Volume,ICEFC,ICEFC,COMBINED_FOPTION
@RSX25P.OI.Z,CANOLA Nov 2025 Future Option Put Total Open Interest,ICEFC,ICEFC,COMBINED_FOPTION
@RSX25P.VOL.Z,CANOLA Nov 2025 Future Option Put Total Volume,ICEFC,ICEFC,COMBINED_FOPTION
@RSF26C.OI.Z,CANOLA Jan 2026 Future Option Call Total Open Interest,ICEFC,ICEFC,COMBINED_FOPTION
@RSF26C.VOL.Z,CANOLA Jan 2026 Future Option Call Total Volume,ICEFC,ICEFC,COMBINED_FOPTION
@RSF26P.OI.Z,CANOLA Jan 2026 Future Option Put Total Open Interest,ICEFC,ICEFC,COMBINED_FOPTION
@RSF26P.VOL.Z,CANOLA Jan 2026 Future Option Put Total Volume,ICEFC,ICEFC,COMBINED_FOPTION
@RSH26C.OI.Z,CANOLA Mar 2026 Future Option Call Total Open Interest,ICEFC,ICEFC,COMBINED_FOPTION
@RSH26C.VOL.Z,CANOLA Mar 2026 Future Option Call Total Volume,ICEFC,ICEFC,COMBINED_FOPTION
@RSH26P.OI.Z,CANOLA Mar 2026 Future Option Put Total Open Interest,ICEFC,ICEFC,COMBINED_FOPTION
@RSH26P.VOL.Z,CANOLA Mar 2026 Future Option Put Total Volume,ICEFC,ICEFC,COMBINED_FOPTION
@RSK26C.OI.Z,CANOLA May 2026 Future Option Call Total Open Interest,ICEFC,ICEFC,COMBINED_FOPTION
@RSK26C.VOL.Z,CANOLA May 2026 Future Option Call Total Volume,ICEFC,ICEFC,COMBINED_FOPTION
@RSK26P.OI.Z,CANOLA May 2026 Future Option Put Total Open Interest,ICEFC,ICEFC,COMBINED_FOPTION
@RSK26P.VOL.Z,CANOLA May 2026 Future Option Put Total Volume,ICEFC,ICEFC,COMBINED_FOPTION
@RSN26C.OI.Z,CANOLA Jul 2026 Future Option Call Total Open Interest,ICEFC,ICEFC,COMBINED_FOPTION
@RSN26C.VOL.Z,CANOLA Jul 2026 Future Option Call Total Volume,ICEFC,ICEFC,COMBINED_FOPTION
@RSN26P.OI.Z,CANOLA Jul 2026 Future Option Put Total Open Interest,ICEFC,ICEFC,COMBINED_FOPTION
@RSN26P.VOL.Z,CANOLA Jul 2026 Future Option Put Total Volume,ICEFC,ICEFC,COMBINED_FOPTION
@RSX26C.OI.Z,CANOLA Nov 2026 Future Option Call Total Open Interest,ICEFC,ICEFC,COMBINED_FOPTION
@RSX26C.VOL.Z,CANOLA Nov 2026 Future Option Call Total Volume,ICEFC,ICEFC,COMBINED_FOPTION
@RSX26P.OI.Z,CANOLA Nov 2026 Future Option Put Total Open Interest,ICEFC,ICEFC,COMBINED_FOPTION
@RSX26P.VOL.Z,CANOLA Nov 2026 Future Option Put Total Volume,ICEFC,ICEFC,COMBINED_FOPTION
@RS1X25C.OI.Z,CANOLA 1 MONTH CSO Nov 2025 Future Option Call Total Open Interest,ICEFC,ICEFC,COMBINED_FOPTION
@RS1X25C.VOL.Z,CANOLA 1 MONTH CSO Nov 2025 Future Option Call Total Volume,ICEFC,ICEFC,COMBINED_FOPTION
@RS1X25P.OI.Z,CANOLA 1 MONTH CSO Nov 2025 Future Option Put Total Open Interest,ICEFC,ICEFC,COMBINED_FOPTION
@RS1X25P.VOL.Z,CANOLA 1 MONTH CSO Nov 2025 Future Option Put Total Volume,ICEFC,ICEFC,COMBINED_FOPTION
@RS1F26C.OI.Z,CANOLA 1 MONTH CSO Jan 2026 Future Option Call Total Open Interest,ICEFC,ICEFC,COMBINED_FOPTION
@RS1F26C.VOL.Z,CANOLA 1 MONTH CSO Jan 2026 Future Option Call Total Volume,ICEFC,ICEFC,COMBINED_FOPTION
@RS1F26P.OI.Z,CANOLA 1 MONTH CSO Jan 2026 Future Option Put Total Open Interest,ICEFC,ICEFC,COMBINED_FOPTION
@RS1F26P.VOL.Z,CANOLA 1 MONTH CSO Jan 2026 Future Option Put Total Volume,ICEFC,ICEFC,COMBINED_FOPTION
@RS1H26C.OI.Z,CANOLA 1 MONTH CSO Mar 2026 Future Option Call Total Open Interest,ICEFC,ICEFC,COMBINED_FOPTION
@RS1H26C.VOL.Z,CANOLA 1 MONTH CSO Mar 2026 Future Option Call Total Volume,ICEFC,ICEFC,COMBINED_FOPTION
@RS1H26P.OI.Z,CANOLA 1 MONTH CSO Mar 2026 Future Option Put Total Open Interest,ICEFC,ICEFC,COMBINED_FOPTION
@RS1H26P.VOL.Z,CANOLA 1 MONTH CSO Mar 2026 Future Option Put Total Volume,ICEFC,ICEFC,COMBINED_FOPTION
@RS1K26C.OI.Z,CANOLA 1 MONTH CSO May 2026 Future Option Call Total Open Interest,ICEFC,ICEFC,COMBINED_FOPTION
