symbol,description,exchange,listedMarket,securityType
@RCT#C,CANOLA TAS Continuous Backadjusted,ICEFC,ICEFC,FUTURE
@RCT#,CANOLA TAS Continuous,ICEFC,ICEFC,FUTURE
@RCTX25,CANOLA TAS November 2025,ICEFC,ICEFC,FUTURE
@RCTF26,CANOLA TAS January 2026,ICEFC,ICEFC,FUTURE
@RCTH26,CANOLA TAS March 2026,ICEFC,ICEFC,FUTURE
@RS#C,CANOLA Continuous Backadjusted,ICEFC,ICEFC,FUTURE
@RS#,CANOLA Continuous,ICEFC,ICEFC,FUTURE
@RSX25,CANOLA November 2025,ICEFC,ICEFC,FUTURE
@RSF26,CANOLA January 2026,ICEFC,ICEFC,FUTURE
@RSH26,CANOLA March 2026,ICEFC,ICEFC,FUTURE
@RSK26,CANOLA May 2026,ICEFC,ICEFC,FUTURE
@RSN26,CANOLA July 2026,ICEFC,ICEFC,FUTURE
@RSX26,CANOLA November 2026,ICEFC,ICEFC,FUTURE
@RSF27,CANOLA January 2027,ICEFC,ICEFC,FUTURE
@RSH27,CANOLA March 2027,ICEFC,ICEFC,FUTURE
@RSK27,CANOLA May 2027,ICEFC,ICEFC,FUTURE
@RSN27,CANOLA July 2027,ICEFC,ICEFC,FUTURE
@RSX27,CANOLA November 2027,ICEFC,ICEFC,FUTURE
