symbol,description,exchange,listedMarket,securityType
@CCU25C.OI.Z,COCOA Sep 2025 Future Option Call Total Open Interest,ICEFU,ICEFU,COMBINED_FOPTION
@CCU25C.VOL.Z,COCOA Sep 2025 Future Option Call Total Volume,ICEFU,ICEFU,COMBINED_FOPTION
@CCU25P.OI.Z,COCOA Sep 2025 Future Option Put Total Open Interest,ICEFU,ICEFU,COMBINED_FOPTION
@CCU25P.VOL.Z,COCOA Sep 2025 Future Option Put Total Volume,ICEFU,ICEFU,COMBINED_FOPTION
@CCV25C.OI.Z,COCOA Oct 2025 Future Option Call Total Open Interest,ICEFU,ICEFU,COMBINED_FOPTION
@CCV25C.VOL.Z,COCOA Oct 2025 Future Option Call Total Volume,ICEFU,ICEFU,COMBINED_FOPTION
@CCV25P.OI.Z,COCOA Oct 2025 Future Option Put Total Open Interest,ICEFU,ICEFU,COMBINED_FOPTION
@CCV25P.VOL.Z,COCOA Oct 2025 Future Option Put Total Volume,ICEFU,ICEFU,COMBINED_FOPTION
@CCX25C.OI.Z,COCOA Nov 2025 Future Option Call Total Open Interest,ICEFU,ICEFU,COMBINED_FOPTION
@CCX25C.VOL.Z,COCOA Nov 2025 Future Option Call Total Volume,ICEFU,ICEFU,COMBINED_FOPTION
@CCX25P.OI.Z,COCOA Nov 2025 Future Option Put Total Open Interest,ICEFU,ICEFU,COMBINED_FOPTION
@CCX25P.VOL.Z,COCOA Nov 2025 Future Option Put Total Volume,ICEFU,ICEFU,COMBINED_FOPTION
@CCZ25C.OI.Z,COCOA Dec 2025 Future Option Call Total Open Interest,ICEFU,ICEFU,COMBINED_FOPTION
@CCZ25C.VOL.Z,COCOA Dec 2025 Future Option Call Total Volume,ICEFU,ICEFU,COMBINED_FOPTION
@CCZ25P.OI.Z,COCOA Dec 2025 Future Option Put Total Open Interest,ICEFU,ICEFU,COMBINED_FOPTION
@CCZ25P.VOL.Z,COCOA Dec 2025 Future Option Put Total Volume,ICEFU,ICEFU,COMBINED_FOPTION
@CCH26C.OI.Z,COCOA Mar 2026 Future Option Call Total Open Interest,ICEFU,ICEFU,COMBINED_FOPTION
@CCH26C.VOL.Z,COCOA Mar 2026 Future Option Call Total Volume,ICEFU,ICEFU,COMBINED_FOPTION
@CCH26P.OI.Z,COCOA Mar 2026 Future Option Put Total Open Interest,ICEFU,ICEFU,COMBINED_FOPTION
@CCH26P.VOL.Z,COCOA Mar 2026 Future Option Put Total Volume,ICEFU,ICEFU,COMBINED_FOPTION
@CCK26C.OI.Z,COCOA May 2026 Future Option Call Total Open Interest,ICEFU,ICEFU,COMBINED_FOPTION
@CCK26C.VOL.Z,COCOA May 2026 Future Option Call Total Volume,ICEFU,ICEFU,COMBINED_FOPTION
@CCK26P.OI.Z,COCOA May 2026 Future Option Put Total Open Interest,ICEFU,ICEFU,COMBINED_FOPTION
@CCK26P.VOL.Z,COCOA May 2026 Future Option Put Total Volume,ICEFU,ICEFU,COMBINED_FOPTION
@CCN26C.OI.Z,COCOA Jul 2026 Future Option Call Total Open Interest,ICEFU,ICEFU,COMBINED_FOPTION
@CCN26C.VOL.Z,COCOA Jul 2026 Future Option Call Total Volume,ICEFU,ICEFU,COMBINED_FOPTION
@CCN26P.OI.Z,COCOA Jul 2026 Future Option Put Total Open Interest,ICEFU,ICEFU,COMBINED_FOPTION
@CCN26P.VOL.Z,COCOA Jul 2026 Future Option Put Total Volume,ICEFU,ICEFU,COMBINED_FOPTION
@CCU26C.OI.Z,COCOA Sep 2026 Future Option Call Total Open Interest,ICEFU,ICEFU,COMBINED_FOPTION
@CCU26C.VOL.Z,COCOA Sep 2026 Future Option Call Total Volume,ICEFU,ICEFU,COMBINED_FOPTION
@CCU26P.OI.Z,COCOA Sep 2026 Future Option Put Total Open Interest,ICEFU,ICEFU,COMBINED_FOPTION
@CCU26P.VOL.Z,COCOA Sep 2026 Future Option Put Total Volume,ICEFU,ICEFU,COMBINED_FOPTION
@CCZ26C.OI.Z,COCOA Dec 2026 Future Option Call Total Open Interest,ICEFU,ICEFU,COMBINED_FOPTION
@CCZ26C.VOL.Z,COCOA Dec 2026 Future Option Call Total Volume,ICEFU,ICEFU,COMBINED_FOPTION
@CCZ26P.OI.Z,COCOA Dec 2026 Future Option Put Total Open Interest,ICEFU,ICEFU,COMBINED_FOPTION
