symbol,description,exchange,listedMarket,securityType
@AR.OI.Z,AUSTRALIAN $/NZ $ Future Total Open Interest,ICEFU,ICEFU,COMBINED_FUTURE
@AR.VOL.Z,AUSTRALIAN $/NZ $ Future Total Volume,ICEFU,ICEFU,COMBINED_FUTURE
@AS.OI.Z,AUSTRALIAN $/CANADIAN $ Future Total Open Interest,ICEFU,ICEFU,COMBINED_FUTURE
@AS.VOL.Z,AUSTRALIAN $/CANADIAN $ Future Total Volume,ICEFU,ICEFU,COMBINED_FUTURE
@ASI.OI.Z,MSCI AC ASIA EX JAPAN NTR INDEX Future Total Open Interest,ICEFU,ICEFU,COMBINED_FUTURE
@ASI.VOL.Z,MSCI AC ASIA EX JAPAN NTR INDEX Future Total Volume,ICEFU,ICEFU,COMBINED_FUTURE
@ASN.OI.Z,MINI MSCI EM ASIA NTR INDEX Future Total Open Interest,ICEFU,ICEFU,COMBINED_FUTURE
@ASN.VOL.Z,MINI MSCI EM ASIA NTR INDEX Future Total Volume,ICEFU,ICEFU,COMBINED_FUTURE
@AWN.OI.Z,MINI MSCI ACWI EX-US NTR INDEX Future Total Open Interest,ICEFU,ICEFU,COMBINED_FUTURE
@AWN.VOL.Z,MINI MSCI ACWI EX-US NTR INDEX Future Total Volume,ICEFU,ICEFU,COMBINED_FUTURE
@BF.OI.Z,BRITISH POUND/SWISS FRANC Future Total Open Interest,ICEFU,ICEFU,COMBINED_FUTURE
@BF.VOL.Z,BRITISH POUND/SWISS FRANC Future Total Volume,ICEFU,ICEFU,COMBINED_FUTURE
@CAD.OI.Z,MSCI CANADA GTR INDEX Future Total Open Interest,ICEFU,ICEFU,COMBINED_FUTURE
@CAD.VOL.Z,MSCI CANADA GTR INDEX Future Total Volume,ICEFU,ICEFU,COMBINED_FUTURE
@CC.OI.Z,COCOA Future Total Open Interest,ICEFU,ICEFU,COMBINED_FUTURE
@CC.VOL.Z,COCOA Future Total Volume,ICEFU,ICEFU,COMBINED_FUTURE
@CCT.OI.Z,COCOA (TAS) Future Total Open Interest,ICEFU,ICEFU,COMBINED_FUTURE
@CCT.VOL.Z,COCOA (TAS) Future Total Volume,ICEFU,ICEFU,COMBINED_FUTURE
@CT.OI.Z,COTTON #2 Future Total Open Interest,ICEFU,ICEFU,COMBINED_FUTURE
@CT.VOL.Z,COTTON #2 Future Total Volume,ICEFU,ICEFU,COMBINED_FUTURE
@CTT.OI.Z,COTTON #2 (TAS) Future Total Open Interest,ICEFU,ICEFU,COMBINED_FUTURE
@CTT.VOL.Z,COTTON #2 (TAS) Future Total Volume,ICEFU,ICEFU,COMBINED_FUTURE
@DX.OI.Z,US DOLLAR INDEX Future Total Open Interest,ICEFU,ICEFU,COMBINED_FUTURE
@DX.VOL.Z,US DOLLAR INDEX Future Total Volume,ICEFU,ICEFU,COMBINED_FUTURE
@DXT.OI.Z,US DOLLAR INDEX (TAS) Future Total Open Interest,ICEFU,ICEFU,COMBINED_FUTURE
@DXT.VOL.Z,US DOLLAR INDEX (TAS) Future Total Volume,ICEFU,ICEFU,COMBINED_FUTURE
@EMV.OI.Z,MSCI EUROPE MINIMUM VOLATILITY NTR Future Total Open Interest,ICEFU,ICEFU,COMBINED_FUTURE
@EMV.VOL.Z,MSCI EUROPE MINIMUM VOLATILITY NTR Future Total Volume,ICEFU,ICEFU,COMBINED_FUTURE
@ETR.OI.Z,TURKISH LIRA/EURO Future Total Open Interest,ICEFU,ICEFU,COMBINED_FUTURE
@ETR.VOL.Z,TURKISH LIRA/EURO Future Total Volume,ICEFU,ICEFU,COMBINED_FUTURE
@EU9.OI.Z,MSCI EUROPE NTR INDEX Future Total Open Interest,ICEFU,ICEFU,COMBINED_FUTURE
@EU9.VOL.Z,MSCI EUROPE NTR INDEX Future Total Volume,ICEFU,ICEFU,COMBINED_FUTURE
@EWE.OI.Z,MSCI EUROPE EQUAL WEIGHTED NTR Future Total Open Interest,ICEFU,ICEFU,COMBINED_FUTURE
@EWE.VOL.Z,MSCI EUROPE EQUAL WEIGHTED NTR Future Total Volume,ICEFU,ICEFU,COMBINED_FUTURE
@EWM.OI.Z,MSCI EMER MKTS EQUAL WT NTR FUTURE Future Total Open Interest,ICEFU,ICEFU,COMBINED_FUTURE
@EWM.VOL.Z,MSCI EMER MKTS EQUAL WT NTR FUTURE Future Total Volume,ICEFU,ICEFU,COMBINED_FUTURE
@EZ.OI.Z,EURO/CZECH KORUNA Future Total Open Interest,ICEFU,ICEFU,COMBINED_FUTURE
@EZ.VOL.Z,EURO/CZECH KORUNA Future Total Volume,ICEFU,ICEFU,COMBINED_FUTURE
@FNG.OI.Z,NYSE FANG+ INDEX Future Total Open Interest,ICEFU,ICEFANG,COMBINED_FUTURE
@FNG.VOL.Z,NYSE FANG+ INDEX Future Total Volume,ICEFU,ICEFANG,COMBINED_FUTURE
@GN.OI.Z,STERLING/NEW ZEALAND $ Future Total Open Interest,ICEFU,ICEFU,COMBINED_FUTURE
@GN.VOL.Z,STERLING/NEW ZEALAND $ Future Total Volume,ICEFU,ICEFU,COMBINED_FUTURE
@HRE.OI.Z,EURO/HUNGARIAN FORINT Future Total Open Interest,ICEFU,ICEFU,COMBINED_FUTURE
@HRE.VOL.Z,EURO/HUNGARIAN FORINT Future Total Volume,ICEFU,ICEFU,COMBINED_FUTURE
@HY.OI.Z,CANADIAN $/JAPANESE YEN Future Total Open Interest,ICEFU,ICEFU,COMBINED_FUTURE
@HY.VOL.Z,CANADIAN $/JAPANESE YEN Future Total Volume,ICEFU,ICEFU,COMBINED_FUTURE
@ILS.OI.Z,ISRAELI SHEKEL/US DOLLAR Future Total Open Interest,ICEFU,ICEFU,COMBINED_FUTURE
@ILS.VOL.Z,ISRAELI SHEKEL/US DOLLAR Future Total Volume,ICEFU,ICEFU,COMBINED_FUTURE
@JPP.OI.Z,MSCI JAPAN NTR INDEX Future Total Open Interest,ICEFU,ICEFU,COMBINED_FUTURE
@JPP.VOL.Z,MSCI JAPAN NTR INDEX Future Total Volume,ICEFU,ICEFU,COMBINED_FUTURE
@KAU.OI.Z,AUSTRALIAN $/US $ (NEW) Future Total Open Interest,ICEFU,ICEFU,COMBINED_FUTURE
@KAU.VOL.Z,AUSTRALIAN $/US $ (NEW) Future Total Volume,ICEFU,ICEFU,COMBINED_FUTURE
@KC.OI.Z,COFFEE Future Total Open Interest,ICEFU,ICEFU,COMBINED_FUTURE
@KC.VOL.Z,COFFEE Future Total Volume,ICEFU,ICEFU,COMBINED_FUTURE
