symbol,description,exchange,listedMarket,securityType
@AR#C,AUSTRALIAN $/NZ $ Continuous Backadjusted,ICEFU,ICEFU,FUTURE
@AR#,AUSTRALIAN $/NZ $ Continuous,ICEFU,ICEFU,FUTURE
@ARU25,AUSTRALIAN $/NZ $ September 2025,ICEFU,ICEFU,FUTURE
@ARZ25,AUSTRALIAN $/NZ $ December 2025,ICEFU,ICEFU,FUTURE
@ARH26,AUSTRALIAN $/NZ $ March 2026,ICEFU,ICEFU,FUTURE
@ARM26,AUSTRALIAN $/NZ $ June 2026,ICEFU,ICEFU,FUTURE
@AS#C,AUSTRALIAN $/CANADIAN $ Continuous Backadjusted,ICEFU,ICEFU,FUTURE
@AS#,AUSTRALIAN $/CANADIAN $ Continuous,ICEFU,ICEFU,FUTURE
@ASU25,AUSTRALIAN $/CANADIAN $ September 2025,ICEFU,ICEFU,FUTURE
@ASZ25,AUSTRALIAN $/CANADIAN $ December 2025,ICEFU,ICEFU,FUTURE
@ASH26,AUSTRALIAN $/CANADIAN $ March 2026,ICEFU,ICEFU,FUTURE
@ASM26,AUSTRALIAN $/CANADIAN $ June 2026,ICEFU,ICEFU,FUTURE
@ASI#C,MSCI AC ASIA EX JAPAN NTR INDEX Continuous Backadjusted,ICEFU,ICEFU,FUTURE
@ASI#,MSCI AC ASIA EX JAPAN NTR INDEX Continuous,ICEFU,ICEFU,FUTURE
@ASIU25,MSCI AC ASIA EX JAPAN NTR INDEX September 2025,ICEFU,ICEFU,FUTURE
@ASIZ25,MSCI AC ASIA EX JAPAN NTR INDEX December 2025,ICEFU,ICEFU,FUTURE
@ASIH26,MSCI AC ASIA EX JAPAN NTR INDEX March 2026,ICEFU,ICEFU,FUTURE
@ASIM26,MSCI AC ASIA EX JAPAN NTR INDEX June 2026,ICEFU,ICEFU,FUTURE
@ASIU26,MSCI AC ASIA EX JAPAN NTR INDEX September 2026,ICEFU,ICEFU,FUTURE
@ASN#C,MINI MSCI EM ASIA NTR INDEX Continuous Backadjusted,ICEFU,ICEFU,FUTURE
@ASN#,MINI MSCI EM ASIA NTR INDEX Continuous,ICEFU,ICEFU,FUTURE
@ASNU25,MINI MSCI EM ASIA NTR INDEX September 2025,ICEFU,ICEFU,FUTURE
@ASNZ25,MINI MSCI EM ASIA NTR INDEX December 2025,ICEFU,ICEFU,FUTURE
@ASNH26,MINI MSCI EM ASIA NTR INDEX March 2026,ICEFU,ICEFU,FUTURE
@ASNM26,MINI MSCI EM ASIA NTR INDEX June 2026,ICEFU,ICEFU,FUTURE
@ASNU26,MINI MSCI EM ASIA NTR INDEX September 2026,ICEFU,ICEFU,FUTURE
@ASNZ26,MINI MSCI EM ASIA NTR INDEX December 2026,ICEFU,ICEFU,FUTURE
@ASNH27,MINI MSCI EM ASIA NTR INDEX March 2027,ICEFU,ICEFU,FUTURE
