symbol,description,exchange,listedMarket,securityType
@ARM25-@ARU25,AUSTRALIAN $/NZ $ Jun 25/Sep 25,ICEFU,ICEFU,SPREAD
@ARM25-@ARZ25,AUSTRALIAN $/NZ $ Jun 25/Dec 25,ICEFU,ICEFU,SPREAD
@ARU25-@ARZ25,AUSTRALIAN $/NZ $ Sep 25/Dec 25,ICEFU,ICEFU,SPREAD
@ARM25-@ARH26,AUSTRALIAN $/NZ $ Jun 25/Mar 26,ICEFU,ICEFU,SPREAD
@ARU25-@ARH26,AUSTRALIAN $/NZ $ Sep 25/Mar 26,ICEFU,ICEFU,SPREAD
@ARZ25-@ARH26,AUSTRALIAN $/NZ $ Dec 25/Mar 26,ICEFU,ICEFU,SPREAD
@ARH26-@ARM26,AUSTRALIAN $/NZ $ Mar 26/Jun 26,ICEFU,ICEFU,SPREAD
@ARU25-@ARM26,AUSTRALIAN $/NZ $ Sep 25/Jun 26,ICEFU,ICEFU,SPREAD
@ARZ25-@ARM26,AUSTRALIAN $/NZ $ Dec 25/Jun 26,ICEFU,ICEFU,SPREAD
@ASM25-@ASU25,AUSTRALIAN $/CANADIAN $ Jun 25/Sep 25,ICEFU,ICEFU,SPREAD
@ASM25-@ASZ25,AUSTRALIAN $/CANADIAN $ Jun 25/Dec 25,ICEFU,ICEFU,SPREAD
@ASU25-@ASZ25,AUSTRALIAN $/CANADIAN $ Sep 25/Dec 25,ICEFU,ICEFU,SPREAD
@ASM25-@ASH26,AUSTRALIAN $/CANADIAN $ Jun 25/Mar 26,ICEFU,ICEFU,SPREAD
@ASU25-@ASH26,AUSTRALIAN $/CANADIAN $ Sep 25/Mar 26,ICEFU,ICEFU,SPREAD
@ASZ25-@ASH26,AUSTRALIAN $/CANADIAN $ Dec 25/Mar 26,ICEFU,ICEFU,SPREAD
@ASH26-@ASM26,AUSTRALIAN $/CANADIAN $ Mar 26/Jun 26,ICEFU,ICEFU,SPREAD
@ASU25-@ASM26,AUSTRALIAN $/CANADIAN $ Sep 25/Jun 26,ICEFU,ICEFU,SPREAD
@ASZ25-@ASM26,AUSTRALIAN $/CANADIAN $ Dec 25/Jun 26,ICEFU,ICEFU,SPREAD
@ASNM25-@ASNU25,MINI MSCI EM ASIA NTR INDEX Jun 25/Sep 25,ICEFU,ICEFU,SPREAD
@ASNM25-@ASNZ25,MINI MSCI EM ASIA NTR INDEX Jun 25/Dec 25,ICEFU,ICEFU,SPREAD
@ASNU25-@ASNZ25,MINI MSCI EM ASIA NTR INDEX Sep 25/Dec 25,ICEFU,ICEFU,SPREAD
@ASNM25-@ASNH26,MINI MSCI EM ASIA NTR INDEX Jun 25/Mar 26,ICEFU,ICEFU,SPREAD
@ASNU25-@ASNH26,MINI MSCI EM ASIA NTR INDEX Sep 25/Mar 26,ICEFU,ICEFU,SPREAD
@ASNZ25-@ASNH26,MINI MSCI EM ASIA NTR INDEX Dec 25/Mar 26,ICEFU,ICEFU,SPREAD
@ASNH26-@ASNM26,MINI MSCI EM ASIA NTR INDEX Mar 26/Jun 26,ICEFU,ICEFU,SPREAD
@ASNM25-@ASNM26,MINI MSCI EM ASIA NTR INDEX Jun 25/Jun 26,ICEFU,ICEFU,SPREAD
@ASNU25-@ASNM26,MINI MSCI EM ASIA NTR INDEX Sep 25/Jun 26,ICEFU,ICEFU,SPREAD
@ASNZ25-@ASNM26,MINI MSCI EM ASIA NTR INDEX Dec 25/Jun 26,ICEFU,ICEFU,SPREAD
@ASNH26-@ASNU26,MINI MSCI EM ASIA NTR INDEX Mar 26/Sep 26,ICEFU,ICEFU,SPREAD
@ASNM25-@ASNU26,MINI MSCI EM ASIA NTR INDEX Jun 25/Sep 26,ICEFU,ICEFU,SPREAD
@ASNM26-@ASNU26,MINI MSCI EM ASIA NTR INDEX Jun 26/Sep 26,ICEFU,ICEFU,SPREAD
@ASNU25-@ASNU26,MINI MSCI EM ASIA NTR INDEX Sep 25/Sep 26,ICEFU,ICEFU,SPREAD
@ASNZ25-@ASNU26,MINI MSCI EM ASIA NTR INDEX Dec 25/Sep 26,ICEFU,ICEFU,SPREAD
