symbol,description,exchange,listedMarket,securityType
M.AA15,ALUMINIUM ALLOY 15 Month Forward,LME,LME,FORWARD
M.AA27,ALUMINIUM ALLOY 27 Month Forward,LME,LME,FORWARD
M.AA3,ALUMINIUM ALLOY 3 Month Forward,LME,LME,FORWARD
M.AA3=LX,ALUMINIUM ALLOY 3 Month Select Forward,LME,LME,FORWARD
M.AA0,ALUMINIUM ALLOY Cash Forward,LME,LME,FORWARD
M.AL15,ALUMINIUM HIGH GRADE 15 Month Forward,LME,LME,FORWARD
M.AL27,ALUMINIUM HIGH GRADE 27 Month Forward,LME,LME,FORWARD
M.AL3,ALUMINIUM HIGH GRADE 3 Month Forward,LME,LME,FORWARD
M.AL3=LX,ALUMINIUM HIGH GRADE 3 Month Select Forward,LME,LME,FORWARD
M.AL0,ALUMINIUM HIGH GRADE Cash Forward,LME,LME,FORWARD
M.CBD15,COBALT 15 Month Forward,LME,LME,FORWARD
M.CBD3,COBALT 3 Month Forward,LME,LME,FORWARD
M.CBD3=LX,COBALT 3 Month Select Forward,LME,LME,FORWARD
M.CBD0,COBALT Cash Forward,LME,LME,FORWARD
M.CU15,COPPER 15 Month Forward,LME,LME,FORWARD
M.CU27,COPPER 27 Month Forward,LME,LME,FORWARD
M.CU3,COPPER 3 Month Forward,LME,LME,FORWARD
M.CU3=LX,COPPER 3 Month Select Forward,LME,LME,FORWARD
M.CU0,COPPER Cash Forward,LME,LME,FORWARD
M.PB15,LEAD 15 Month Forward,LME,LME,FORWARD
M.PB27,LEAD 27 Month Forward,LME,LME,FORWARD
M.PB3,LEAD 3 Month Forward,LME,LME,FORWARD
M.PB3=LX,LEAD 3 Month Select Forward,LME,LME,FORWARD
M.PB0,LEAD Cash Forward,LME,LME,FORWARD
M.OD3,MOLYBDENUM 3 Month Forward,LME,LME,FORWARD
M.OD3=LX,MOLYBDENUM 3 Month Select Forward,LME,LME,FORWARD
M.OD0,MOLYBDENUM Cash Forward,LME,LME,FORWARD
M.NA15,NA ALUMINUM ALLOY 15 Month Forward,LME,LME,FORWARD
M.NA27,NA ALUMINUM ALLOY 27 Month Forward,LME,LME,FORWARD
M.NA3,NA ALUMINUM ALLOY 3 Month Forward,LME,LME,FORWARD
M.NA3=LX,NA ALUMINUM ALLOY 3 Month Select Forward,LME,LME,FORWARD
M.NA0,NA ALUMINUM ALLOY Cash Forward,LME,LME,FORWARD
M.NI15,NICKEL 15 Month Forward,LME,LME,FORWARD
M.NI27,NICKEL 27 Month Forward,LME,LME,FORWARD
M.NI3,NICKEL 3 Month Forward,LME,LME,FORWARD
M.NI3=LX,NICKEL 3 Month Select Forward,LME,LME,FORWARD
M.NI0,NICKEL Cash Forward,LME,LME,FORWARD
M.SN15,TIN HIGH GRADE 15 Month Forward,LME,LME,FORWARD
M.SN3,TIN HIGH GRADE 3 Month Forward,LME,LME,FORWARD
M.SN3=LX,TIN HIGH GRADE 3 Month Select Forward,LME,LME,FORWARD
M.SN0,TIN HIGH GRADE Cash Forward,LME,LME,FORWARD
M.ZN15,ZINC SPECIAL GRADE 15 Month Forward,LME,LME,FORWARD
M.ZN27,ZINC SPECIAL GRADE 27 Month Forward,LME,LME,FORWARD
M.ZN3,ZINC SPECIAL GRADE 3 Month Forward,LME,LME,FORWARD
M.ZN3=LX,ZINC SPECIAL GRADE 3 Month Select Forward,LME,LME,FORWARD
M.ZN0,ZINC SPECIAL GRADE Cash Forward,LME,LME,FORWARD
